,title,rating,pros,cons,company
0,"""Senior Financial Analyst""",4.0,Broad exposure to businesses across company.,"Support function often with the ability to say ""no"" to projects but not the ability to drive change.",3M
1,"""People work at 3M FOREVER""",4.0,"Flexible work schedule, great people, most salaried people work a 40 hr week (not a crazy 50-60 hr week), it's interesting - 3M makes a huge variety of things in different industries, most people work at 3M for their entire career (30, 40 or even 50 years), it's easy to move amongst job functions and divisions to find the right career for you, the benefits are great.","As so many people work at 3M for their entire career, coming in mid-career from the outside is difficult - your previous experience is discounted. The salary is average.",3M
2,"""corporate research analytical lab  (CRAL)""",4.0,Diversity of projects and products enable to keep you engaged for years and years. You will have enough resources to help other people ideas flourish or get your own idea (project) funded and work on almost anything you can imagine. If you can think of anything then 3M has an application for that idea. the company is not limited to one or two main products as many outsiders may think.,regular cons that come up with working at big companies. It is hard to be seen and sometimes the money is the main decisive factor in many projects.,3M
3,"""Best Place to Work by a long shot""",5.0,"emphasis on technical ladder for engineers... don't have to be a manager to get more money/ titles. great technologies... not ""just tape"". work life balance is great, and I get paternity leave (never thought I'd see in my lifetime in America).","3M lifers can be shortsighted and don't appreciate what they have. rare though, this place is amazing.",3M
4,"""3M - Great culture for new engineers""",5.0,Highly talented and diverse technical team driven to develop new products across a broad group of businesses. Collaborative culture with open and supportive management style. Great leadership development programs for technical and non-technical employees. Technical employees have ability to pursue their own ideas through Genesis and 15% programs.,Big company bureaucracy can sometimes slow decision making and hamper speed.,3M
5,"""3M - A World Class Organizaton - Endless Possibilities""",5.0,"Great company to work for. Wonderful work flexibility program. Left previous company after 17 1/2 years and came to 3M. 3M's belief in me changed my life, they paid for my B.S. degree and now the possibilities are endless.",I can't really think of any.,3M
6,"""Great culture! Great pay! Best entry job out of college!""",5.0,Great culture - everyone helps one another to succeed. The pay is great - even better when the market is doing well.,Diversity isn't the strongest but they're working on it!!,3M
7,"""The best place to work""",5.0,"Innovative company. Flexible in how employees approach their job. Great benefits, pay, rewards. Top notch products. Top notch people. 26 years and I wouldn't change a thing!",There are no cons working at 3M,3M
8,"""Manager""",4.0,Decent Company to work for,Very much a Upper Midwest mentality,3M
9,"""Overall, best place I've worked.""",4.0,Flexible schedule Great opportunities to learn There is always something new to look into Potential to move around and not leave the company,Competitive pay could use some work,3M
