,title,rating,pros,cons,company
0,"""Project Manager""",4.0,"Flexible , professional, solid team environment",Constant org change. Overseas outsourcing,AIG
1,"""Great place if you like big corporations""",4.0,"Large corporation atmosphere, ability to move up and switch divisions, etc","You are just a number. When the time comes to cut staff (seems almost quarterly), they cut almost without regard to history or abilities. This did NOT happen to me, this is from observation.",AIG
2,"""Review""",4.0,Very good company to work for,Not really anything to complain about,AIG
3,"""Decent Place to Work""",3.0,"Benefits, Vacation, Company 401K Match, Tuition Reimbursement","No one cares about how you can improve the overall processes of the organizational functions. They want to run the entire organization likes its the 80's , racially divided, no real underlying goals. They just want to continue to release new and supposed easier ways to navigate the softwares. It doesn't get better with time, it slows down processing times and hinders KPI performances. (not to mention they let go many of there employees from the Nashville location, 2/3 of their employees were laid off)",AIG
4,"""AIG Review pros and cons""",3.0,There are good vacation benefits,The U.S. jobs have been moving overseas,AIG
5,"""Good life and work balance""",3.0,AIG is a good company to learn and evolve.,The business knowledge there is too specialized.,AIG
6,"""N\A""",2.0,Good benefits for the employees.,Lack of training for the employees.,AIG
7,"""S0-So""",3.0,Good benefits from day one,bean counter management style a slave to metrics,AIG
8,"""Great people, shame about the company""",3.0,"There are a lot of really talented, nice long-term employees at the company. AIG is very focused on diversity and inclusion",The company is accident prone. Every year there is a new reason they can’t pay people more.,AIG
9,"""Don't do it""",2.0,Large company with lots of exposure,"pretty much everything. Lack of upward mobility, professional development, stagnant salaries (no raises for some people in over 10 years), massive layoffs, etc.",AIG
10,"""Great job""",4.0,"Great management, nice people to work with",Deadlines cause hours to fluctuate,AIG
11,"""Bad Vibes""",1.0,401K You will get a job here if you interview.. they will hire anyone,There is a very bad environment here where people barely even say good morning to each other. The managers don’t know how to stay organized and how to make things more efficient. It is also very hard to learn here with no direction at all. I hate this place !,AIG
12,"""Toxic work environment.  Outsourcing everything to India.""",1.0,401K matching better than average Decent benefits Generous PTO program,"Outsourcing as much as possible to India. IT, Finance, Actuarial, Call Center, Payment processing ... all of it. CONSTANT layoffs unless you are part of the good ole boy upper management. Management here gets promotions based upon how many employees they lay off. No annual cost of living increases. A small raise every 3-4 years if you are lucky. I guess keeping your job is considered reward enough. Very toxic atmosphere, incredibly poor employee morale Total chaos, so many policy systems that no one can keep it all straight. Nothing much ever gets done, you just meet about it a lot.",AIG
13,"""Human Resources""",2.0,"Benefits, paid time off, diverse","Low salary, low mobility, high workload, management",AIG
14,"""Good job for a fighter""",3.0,Good income potential and nice flexibility.,Everyone out for themselves.,AIG
15,"""Excellent Opportunity""",5.0,Corporate structure. You will always know in which direction to move forward.,Corporate structure. Your attitude determines whether AIG's Corporate Structure is a Pro or Con.,AIG
16,"""My male coworker was paid 25k more than me""",1.0,"My coworkers were amazing, but they had to be due to the failing infrastructure and constant fear of layoffs. Everyone has to pitch in when the ship is sinking","After being promoted to a new job, I discovered my also new male coworker was paid 25k more than me for his base salary.",AIG
17,"""Deteriorating work environment""",2.0,Big name organization Pockets of promise,Constant attrition Poor organizational vision Survivorship culture,AIG
18,"""Underwriting Manager and Assistant Profit Center Manager""",5.0,Learned Various skills and leadership,Lots of Responsibilities and multiple tasks,AIG
19,"""great company""",5.0,great benefits; work from home capability;,none; they treat their employees fairly,AIG
