,title,rating,pros,cons,company
0,"""Great Company to work for""",5.0,"Great culture. Customer Focused, and challenging problems",None Really. I have worked here for 10 years and have been enjoying every bit of it.,American Express
1,"""GREAT COMPANY TO WORK FOR""",5.0,"They really care about their employees, great pay, great benefits and great company values that they uphold.",I really can't think of any cons about the company.,American Express
2,"""Software Engineer""",5.0,"They have fantastic pay for the position you're in, and they teach you interesting and engaging utility of modern technology mixed with legacy fundamentals. I've learned quite a bit while AmEx while getting paid more than fairly - I'd recommend a stretch here to whomever may be reading this!","The Company is huge, and at times it may take more than a little time to get recognized for your abilities and the growth you've had. There's a reason there is a ""only way up is out"" reputation exists for some enterprise companies...",American Express
3,"""Exciting Opportunities, Very Bureaucratic""",4.0,"Company heavily investing in cutting edge technology trends Very relaxed team culture, great Quality of Life Excellent experience with manager (at least mine is really awesome) Plenty of parallel opportunities","OK benefits; expected more incentive and better health insurance Extremely meeting heavy Difficulties following basic best practices regarding code life-cycle Information seems to be in ""silos"", recommend befriending colleagues fast and getting heavily involved in learning upfront to save grief later Lacking role models for practices and learning",American Express
4,"""Depends on Team...""",4.0,"Good culture, relaxed, lots of free food and swag, clear progression","Questionable promotions, and hires into company, work-life balance depends on team",American Express
5,"""Positive work environment""",4.0,Good work life balance and leaders who care,Political and a large organization to navigate,American Express
6,"""Good""",5.0,"Good benefits, 9th best company to work for in 2020.",Take time to build expertise and career. Good for people with patience.,American Express
7,"""Great place to work""",4.0,Excellent desktop platform via Salesforce 1 Plus,Must continue staff at all levels training for desktop of the future via asked cycle.,American Express
8,"""Marketing""",4.0,Great place to grow your career,Bureaucracy - process that gets in the way rather than enables you to do your best work.,American Express
9,"""Top Notch""",5.0,Great Company with lots of room for advancement.,Moving jobs can be a challenge,American Express
10,"""Great Company with Great Talent""",4.0,"So much opportunity for those who are intelligent, and have thick skin.",Career paths can be limited depending on where you live across the globe.,American Express
11,"""A great 20 years journey so far.""",5.0,"Great Place to Work, lots of growth and development opportunities and tools, global footprint and global mindset.",Some compensation benefits @ industry level could be better.,American Express
12,"""Excellent benefits""",5.0,Almost 6 weeks pto for manager starting off with 6 days of sick time that roll over each year. So basically 7 weeks. Maternity leave is 6 months and there is flex time in the summer! Huge pay earning potential and great company to work for,Very competitive sales environment that is hard to keep up with,American Express
13,"""Worst boss ever""",5.0,"Meet different people , and build a relationship with some . Making your customer smile after interacting with them.",Poor team work from management question their integrity.,American Express
14,"""Ok place to work""",2.0,Large company with good benefits.,"Not well organized and leadership is below average. Unfortunately the middle management leaders(director/VP) are often not qualified in the role they are in which hurts direct reports growth. Also be prepared for layoffs every year or two. Again because of poor management, planning is not considered for long term employee benefit.",American Express
15,"""Fun""",5.0,Great leadership development and great place to start your career.,At lot of politics.,American Express
16,"""Fantastic Work From Home""",5.0,"pay, benefits, bonus, human resources, almost everything",I love american express Fantastic,American Express
17,"""Good for WLB""",2.0,5 dedicated working days in a year for learning Fair bonus If you find right team than you can really do Product Management Good WLB Good maternity/ paternity leaves (5 month!),Fully Engineering focused organization Highly limited growth for Product ppl Product mindset is a challenge still,American Express
18,"""Great Company - Choose Division Carefully""",3.0,The benefits are great and the array of what you are eligible for is impressive.,"Having an open office with out any sound barriers makes it difficult to focus, pay increases are non existent - you're lucky to get a 2% every year and the culture is generally passive aggressive. Mid-level leadership is inconsistent - junior level VPs don't get a lot of support and are often a barrier to improvements.",American Express
19,"""Successful company with very strong culture of service and internal politics.""",5.0,Great work-life balance and collegial atmosphere.,Very hierarchical approach to decision-making.,American Express
20,"""Great Company""",4.0,Great opportunity to learn and grow,Management needs to adjust their training methods when mass hiring/training,American Express
21,"""Depends on your leader""",4.0,"great work life balance if you have the right leadership, flexibility to work at home",trying do hard to be Google!,American Express
22,"""Benefits are good but departments are racial ghettos""",4.0,"Vacation days, medical, dental all good. Some good value extras like Life and legal insurance and commuter program too.","Constant re-orgs, flip-flopping processes / structures back to where it was 2 years ago, leaders never hanging around for longer than 18 months, series of leaders that come in ruin everything then promoted onto the next role before the shhh hits the fan with those they leave behind left to clean up",American Express
23,"""Ccp""",3.0,Can make bonus very easily,Not good shifts To choose from,American Express
24,"""Nice place to work,   Very competitive""",4.0,"Process oriented, respect for people , fast paced",Extremely competitive. And ha e to wat h your back,American Express
25,"""Great people""",5.0,"Everyone is nice, work at home, flex hours, full time in under a year",lots of people which I dont like,American Express
26,"""nice!""",5.0,amazing work culture and good career opportunities.,no cons as such !,American Express
27,"""Sales salesSales""",2.0,State of the art building,"Sales expectations too high, too Much walking due to size of campus",American Express
28,"""Great work life balance""",4.0,Great work life balance and benefits,Slow career growth at management levels,American Express
29,"""Great Place to work""",4.0,Great work life balance Opportunity to grow,Dependencies with in the organization makes it very slow for any change to be adapted,American Express
30,"""Nice company""",4.0,great learning experience and opportunities,too much work pressure at workplace and after work hours,American Express
31,"""Very busy, lots to learn, interesting, pays well""",4.0,Meeting/ greeting new people on the phone. Learning about different aspects of the business that I never knew.,Trying to find different avenues to convince the customer to pay while reaching your goals of dollars collected for the month,American Express
