,title,rating,pros,cons,company
0,"""Good""",5.0,Systematic working environment with safe care.,Good care and patient management,HCA Healthcare
1,"""RN experience""",4.0,Great staff and flexible with scheduling.,Short staffed at times.,HCA Healthcare
2,"""Committed to improving patient care and staff.""",4.0,"Back to school assistance, Loan repayment, scholarships for children","Meditech, security/safety in parking garage of hospital, supply shortages.",HCA Healthcare
3,"""Welcoming culture, relaxed environment, and""",4.0,Upper management is very open and responsive to employee concerns gives positive feedback for hard work. They will always check in on their employees and upward mobility is very possible.,Change within a department may take a longer time than expected.,HCA Healthcare
4,"""Good Place to Work""",5.0,"Health Benefits, Education Assistance, Good Team around me","Performance Culture, Data is everything, many competing metrics",HCA Healthcare
5,"""Great company""",5.0,Decent benefits. Paid tuition. Steady work and reliable. Pay is good.,Takes time to get promoted.,HCA Healthcare
6,"""Great Compant""",5.0,I feel like they appreciate their employees and recognize your hard work if you want to grow and succeed in the company.,"The only con that I can really think of is the long and drawn out process of getting new hires on -boarded. In cases where people quit or terminated, it leaves the rest of the staff struggling to cover.",HCA Healthcare
7,"""Good place""",4.0,nice company to work for,none that i can think of,HCA Healthcare
8,"""great place to work as a nurse""",5.0,great place to work as a nurse,the nurse management that I have seen is subpar,HCA Healthcare
9,"""Good Company and Flexible Work/Life Balance""",4.0,The culture is great and projects are challenging. Compensation is fair and leadership is strong.,"401K Match policy could be better, initial PTO accrual rate is a little low, and more flexible work from home policy.",HCA Healthcare
10,"""It was okay for a first job""",3.0,New nurse orientation helpful,"Poor management Money focused, not patient care focused",HCA Healthcare
11,"""Not paid enough""",3.0,Multiple locations to transfer to. Highest paying hospital in Nashville,Don’t get paid enough to live in Nashville. Get paid less than most other cities in the United States,HCA Healthcare
12,"""Just ok""",3.0,Seems to be lots of opportunities for growth,It's like working in a high school,HCA Healthcare
13,"""Pleasant place to work""",4.0,Benefits Teamwork Feels like family Small hospital,Understaffing Management Shared governance Staff meetings Not much change,HCA Healthcare
14,"""Patient care tech""",5.0,"Flexible, good management, good managers",Better teaching Before going on floor,HCA Healthcare
15,"""HCA""",4.0,"student loan repayment, 401 k matching",There is a waiting period for health insurance and other benefit.,HCA Healthcare
16,"""Great people!""",5.0,Everyone is extremely nice. Great environment.,Lower Pay than other hospitals,HCA Healthcare
17,"""Nice Company""",3.0,Flexible schedule and management is very helpful with accommodating for life situation (Family).,"Very heavy workload, very consistent addition to workload but not much financial compensation added",HCA Healthcare
18,"""A lot to learn when you're over-worked""",3.0,"Developed many hard skills, such as Meditech software",This is a for-profit hospital.,HCA Healthcare
19,"""Eh could be better""",3.0,"As a whole the company is great, pay is good, benefits are okay.","Delay in continuing of education, Proper training not provided, management promotes growth but doesn’t follow through",HCA Healthcare
20,"""Not satisfied""",2.0,Very knowledgeable team members Hard working staff Team work,Pay Work conditions (old equipment/broken) Understaffed Very acute patients,HCA Healthcare
21,"""Great""",5.0,"Great place to work, great staff",I have no cons for working here,HCA Healthcare
22,"""Organized clinic""",5.0,Friendly staff Organized Great physicians,Low pay rate Not enough hours,HCA Healthcare
23,"""Great Place to Work. Lots of opportunity.""",4.0,Many opportunities to advance career. Benefits are above industry standards.,Fast Paced Environment. Stress runs high in Healthcare Industry.,HCA Healthcare
24,"""HCA""",5.0,Large based hospital nation wide.,None at the very moment.,HCA Healthcare
25,"""Good staff, OK pay.""",4.0,"This will vary by location, but I liked my co-workers.",Pay is low as a new nurse. There are a lot of travelers.,HCA Healthcare
26,"""ER Paramedic""",3.0,"Transferability, opportunity, decent starting pay","Strict rules from mgmt and corporate, very strict dress code and no tattoos",HCA Healthcare
27,"""benefits""",4.0,"Good health insurance, good PTO accrual","working hours, pay, life/work balance",HCA Healthcare
28,"""Great Company - Too many moving parts""",4.0,Great atmosphere and coworkers.,Care more about the bottom line than tenured loyal employees.,HCA Healthcare
29,"""A Lot of work""",3.0,They have locations all around the country so moving and staying with the same company is easy,"The workload is very heavy, but I feel the base pay doesn't match how much work you put In",HCA Healthcare
30,"""Review""",4.0,"Incredible staff, educational opportunities, advancement opportunities",Lack of resources and staff,HCA Healthcare
31,"""Great benefits and organization""",5.0,Opportunities of promoting within Benefits Salary Adequate Resources to perform role duties,Leadership Politics Lack of Constructive Feedback and professional growth empowerment,HCA Healthcare
32,"""Run if you are the ATL location""",1.0,"The opportunities, benefits and pay.",This company doesn't care about their employees nor patients. They do a lot of things there that could cause you your licence and cause your family member their life if operated on. HCA might be good but the ATL location near Dunwoody is HORRIBLE!!,HCA Healthcare
33,"""Therapy Department""",3.0,"Overall, hours and benefits seem to be good. Company seems to care about employees.",Therapy department didn't seem to have good communication with each other.,HCA Healthcare
34,"""Enjoyed co workers and ER Manager""",3.0,Great coworkers and our manager was always looking out for our best interest.,The hospital as a whole was just worried about making money,HCA Healthcare
35,"""Great Vision, Poor Implimentation""",3.0,"Stable pay, benefits, patient focused care while care is being performed.","Poor communication up and down the chain of command, especially for recently acquired offices or those not near the central office. Inability of practice level leadership to adequately hire and retain their employees, inability of practice level leadership to promote exceptional employees without clearance (that will never come). Difficulty for physicians to give the care they want due to corporate guidelines.",HCA Healthcare
36,"""HCA""",3.0,Good people to work with. Company is focused on the patient.,Low pay for the industry. Benefits are not the greatest. Not much opportunity for advancement.,HCA Healthcare
37,"""PRN Phlebotomist""",5.0,Really nice company to work for,Transitioning from a old system to a new system- Moby lab,HCA Healthcare
38,"""Well organized company with a myriad or resources""",5.0,Able to travel within the 180 hospital structure for Interim assignments,Myst he willing to travel within the USA,HCA Healthcare
39,"""Good teamwork with ancillary staff. Great support between providers. Poor management.""",3.0,Great orientation for New Grad Providers. Other providers really try to help you out as you are finding your footing. Great training opportunities.,"Increase of pay to a provider role doesn't not provide enough to compensate for the cost of health insurance in addition to student loans. Awful. Can't seem to hold onto MAs or Xray techs. Many times one center of 6 will have ONE Xray tech, forcing patients to go to other locations!! An MA AND an Xray tech should be on property at all times. Seems management is more concerned about money for the company versus sending employees home early and forcing patients to go to other locations- which from a patient perspective is bad business.",HCA Healthcare
40,"""Expect to work hard""",2.0,Large network that encourages transferring within the company Decent benefits,For profit health organization = primary focus is the bottom line Employees feel like just a number Patient ratio expectations unreasonable,HCA Healthcare
41,"""For profit healthcare""",2.0,Quality- at least at my facility,For profit. They make money off sick people.,HCA Healthcare
42,"""Technical Analyst""",3.0,Good place to start career.,No opportunities after starting. No where to go.,HCA Healthcare
