,title,rating,pros,cons,company
0,"""Great place""",5.0,Stock market share getting to know people,Had to relocate that was a bummer,New York Life Insurance
1,"""Good Place to start a career""",4.0,Great work Environment . Everyone is always trying to help you succeed.,"Will be extremely difficult if you do not already have a large network or book of business. The Management requires you to do a tremendous amount of training, waiting time in the office instead of prospecting.",New York Life Insurance
2,"""Basically sales job""",4.0,Good experience Make life changing impact,Sales job Get paid solely on commission,New York Life Insurance
3,"""Great opportunity""",4.0,NYL has great products and training.,You'll need a second stream of income or salary or spouse who works. indefinitely.,New York Life Insurance
4,"""-""",5.0,Good environment and good people,very slow speed in general,New York Life Insurance
5,"""Nice company just tough to sell insurance""",4.0,Very friendly co workers nice training..,Commission based. And sometimes i have no sales,New York Life Insurance
6,"""Mutual company""",4.0,Stable and job security. Great people and culture of being good at life,Lack of technology investment. Slow moving. Centralized management structure,New York Life Insurance
7,"""Ehhhh they pay well""",3.0,Great benefits and pension plus 401k,They’re behind in technology advancement in every way. Too many things are left up to manager discretion. If you want to cancel a vacation day you have to tell your manager. Each location processes things differently. There’s no harmony basically each service center is their own company and it shouldn’t be that way. If you have FMLA stay out of the call center they’ll pick on you.,New York Life Insurance
8,"""Life changing career""",5.0,-In control of your calendar and schedule -No one has ever once told me how much I am worth -- I get to control that -Training is fantastic -Competitive but fun culture,"-It's really hard work, but worth it",New York Life Insurance
9,"""Best insurance company""",5.0,Well respected brand with great training and commitment to excellence,No leads provided. Must build network via sourcing leads through natural market.,New York Life Insurance
10,"""To clear up confusion over pension plan""",4.0,"People who started working at NYL prior to 1995 are still vested into the original (and well funded) pension plan. There are reviews here that are erroneously implyingh the company still has a pension plan that new employees have access to . That is wrong. Post 1995 hires don't have access to the original pension plan and get a much less robust ""cash balance"" plan instead.","Company is still heavily tied to a 19th century career agent distribution model, in an environment where the remaining ( and shrinking ) universe of consumers seeking life insurances are migrating to less involved (read: online and simplified underwriting) means of purchasing the product.",New York Life Insurance
11,"""Great People, Poor Processes""",3.0,Great teams. Great first line mangers. A few inspirational senior leaders.,Horrid mid management. Rudimentary process supported by antiquated technology.,New York Life Insurance
12,"""Commission Only""",2.0,"Good people, commission rates were really high, helpful managers",Tough industry to break into,New York Life Insurance
13,"""Good benefits, poor professional growth""",2.0,"Good benefits, provides pension plan and life insurance for reduced rate for self and spouse.",Not professional in its operating model. Senior leadership appointments are very distanced from key core competencies which is reflected in the overall culture.,New York Life Insurance
14,"""Fallen from grace""",2.0,Strong financial ratings and excellent products.,"Company no longer values people. Its a culture of throw people on the wall and see what sticks. Say whatever you need to lure people in, and hire anyone with a pulse. Then do not adequately support them.",New York Life Insurance
15,"""Great place to build a career""",5.0,"The culture is fun, uplifting and supportive. If you truly want to be rewarded for your efforts and have the backing and support of management and a strong company, this is the place.",none. This is a great place to enjoy a rewarding career-from an income standpoint and personal fulfillment.,New York Life Insurance
16,"""Amazing company""",5.0,Great training and preparation for your career.,If you are not able to prospect your clients you wont succeed.,New York Life Insurance
17,"""Decent but limited on learning""",3.0,It's a good place to start at,They don't foster growth and development as a financial advisor. Its good if you want to do strictly life insurance but other than that not so much,New York Life Insurance
18,"""enjoyed my time""",5.0,loved it So nice of a work environment Nice cafeteria,only 10 weeks of a program,New York Life Insurance
19,"""Great Company""",5.0,Solid company that does a great job with work/life balance. Leadership demonstrates concern for employees and is open to feedback,No complaints though like any major company you do have an occasional leader who doesn’t beling,New York Life Insurance
20,"""Growing pains in the digital word but a lot of progress""",3.0,"Set schedule- Monday-Friday, great benefits, close knit atmosphere.",Unprofessional work relationships. Lack of professional development.,New York Life Insurance
21,"""a pleasure working here""",5.0,good environment and very enjoyable,tough sales calls very hard for a beginner,New York Life Insurance
22,"""Horrible Experience..some good people""",1.0,None that I can think of,Horrible Experience cut throat,New York Life Insurance
23,"""dont do it""",1.0,they give u good training,They take half of your commissions,New York Life Insurance
24,"""N/A""",2.0,Support from co workers,"Pay schedule, 100% commission,",New York Life Insurance
25,"""Perfect Company to Start Your Career""",5.0,Great work environment and study hours Good compensation and benefits,Work hours can fluctuate depending on projects and roles,New York Life Insurance
26,"""Good Training""",4.0,Work life balance Uncapped earnings,No fixed salary full commission,New York Life Insurance
27,"""Great company!""",4.0,Great benefits and company culture,No remote opportunities available,New York Life Insurance
28,"""Do research before jumping in""",2.0,Amazing company to invest with. Great training and fantastic work environment.,100% Commission - It is very rough at the start but you have potential to make a lot of money. Make sure you already have leads because you will not get any. MLM-type organization structure.,New York Life Insurance
29,"""Probably the best training in the industry""",4.0,Great training and support for financial advisors and great products.,You are 100% commission from the start.,New York Life Insurance
