,title,rating,pros,cons,company
0,"""Great place to work""",5.0,Great salary with paid overtime.,Days can be stressful at times.,AbbVie
1,"""Great place to work.""",5.0,"Autonomy, coaching, good bonus structure, great benefits",None that I can think of,AbbVie
2,"""Great Place to Work""",4.0,"Great benefits, great established business and pipeline.",Use of contractors instead of hiring employees.,AbbVie
3,"""Nice and stable company""",5.0,Very nice company and nice team,Very old system and hard to change the system,AbbVie
4,"""AbbVie""",3.0,"Profit sharing bonus, good 401K match",Management and leadership play favorites,AbbVie
5,"""Going downhill""",2.0,Great benefits and amazing people,Toxic and super political culture. Everyone is afraid of top management and fudges the metrics so they don’t get yelled at. Expect to work a minimum of 60 hours a week as well with no OT,AbbVie
6,"""AbbVie has opportunity with typical corporate political culture""",3.0,"Stable, pension, 401k, job security Networking opportunities are plentiful for those looking to move up the ladder to middle management as long as they are politically savvy",Nearly all upper-level jobs are given to outside applicants and the culture involves a significant amount of infighting.,AbbVie
7,"""Great Company""",5.0,Large company with opportunities to grow across multiple business groups. Excellent benefits package. Developing a more forward approach towards work/life balance and health / wellness.,"Undesirable location far from city is the biggest con. Depending on the group or your manager, you may have less flexibility to work from home than desired.",AbbVie
8,"""Good training ground for future career""",3.0,Good training at early stage of career,Very conservative. Very mid-western like culture.,AbbVie
9,"""AbbVie""",4.0,"If team is good, good hours, work/life balance, recognition","If contractor - no benefits, team-dependent environment",AbbVie
10,"""Not Supportive""",1.0,Colleagues more helpful than management,Management is not helpful. Company is not organized,AbbVie
11,"""Great company""",5.0,"Great benefits (health, 401(k), work from home, etc)","Still a growing company, but spin off of Abbott",AbbVie
12,"""Overall solid company with good people""",4.0,"Good benefits, casual work environment and hard working team members",Can be very financially driven decision making Some of the old Abbott leadership can be authoritative,AbbVie
13,"""Vice President""",4.0,Great People and meaningful work,Top down culture diminishes value staff can bring,AbbVie
14,"""Good pay but no work life balance""",4.0,"Good pay, PTO, profit sharing, company is generous with donations to the community.","Long hours, weekends and holidays may be required to work.",AbbVie
15,"""Terrible work culture.""",2.0,Overall company benefits are good.,Management style is very bad.,AbbVie
16,"""Great Place To Work""",5.0,"Benefits, Flexibility, Work-Life Balance, CEO",Concerns about voicing thoughts and opinions at times,AbbVie
17,"""Great stability but some things need big changes.""",2.0,"Really hard to get fired, great stability.",Bad life-work balance. Expect too much overtime from you.,AbbVie
18,"""Mix Bag""",3.0,"Lots of benefits, great people to work with","Benefits are to the 'discretion' of managers who try to limit or unallow the use of those benefits. For example maternity leave is a great benefit to have, so long as your able to use it. Same with PTO. Multiple employee s unable to use due to managers decline on several occasions. Lots of managers lacking in basics needed to perform at top level. Especially with anything systems related (Excel and other platforms).",AbbVie
19,"""Great Company""",5.0,"A lot of room to grow, they really care about their employees, and they want you to work full time.",No cons at this time,AbbVie
20,"""BioPharma Startup Atmosphere at a Big Company""",3.0,"Fast paced. Everything changing, lost of opportunities for moves.",Still a lot of legacy culture and attitudes from previous parent company,AbbVie
21,"""Senior Manager""",4.0,"Great environment and culture, decent work life balance",There are some micromanagers and there are slackers. Really depends on the individual experience and department,AbbVie
22,"""Medical Affairs""",4.0,"AbbVie as a company does a great job to promote great culture, employee retention, and great benefits.","However, your team you work with may have a different culture than what AbbVie promotes.",AbbVie
23,"""Sr. Manager""",5.0,I learned the most I have in any other job.,"As with any large company, there's a lot of red tape and politics.",AbbVie
24,"""Excellent mission, toxic environment""",2.0,"Mission, great pay and benefits.","Didn’t learn from leader, she’s had uber turnover in hr.",AbbVie
25,"""Sales Rep""",4.0,Good pay and benefits. Supportive company,A lot of busy administrative work.,AbbVie
26,"""Senior Financial Analyst""",4.0,"work/life balance, innovative therapies to millions of patients globally, smart colleagues, internal mobility is encouraged, profit-sharing, high margin business, free shuttles, subsidized healthy food options, decent vacation/paid time off, top global pharma company with strong financial results/fundamentals and strong therapies/pipeline of medicines in areas of unmet need","Large corporate politics, difficult to move up if not part of a formal ""career development program"" or very well connected with senior leadership (through mentoring), some nepotism exists particularly in career development programs, given organization's size, work can be highly specialized and siloed depending on group/department, only 1 formal performance review per year, very far from downtown Chicago, flexibility to work from home varies by department/group and manager, some of Abbott's legacy culture still remains (if it's not broken don't fix it mentality), innovation isn't encouraged or rewarded equally in all departments, some main buildings lack a gym facility,",AbbVie
27,"""Great company""",4.0,"Great benefits, flexibility and decent pay",Locations are not convenient to people who live outside of SF and San Jose metro areas,AbbVie
28,"""Fine place to work""",4.0,"People are great, a strong emphasis on good culture, great work/life balance, benefits are great.",Salary isn't the highest out there.,AbbVie
29,"""CRA""",4.0,"Culture, progressive, community development and challenging",Too many changes and lack of agility,AbbVie
30,"""N/A""",4.0,It was a good company to work for,There weren't too many cons,AbbVie
31,"""A nice work environment""",4.0,"Nice people, everyone is professional",Slow moving at times; decisions made too quickly,AbbVie
32,"""Receiving""",3.0,"Controlled air, great environment to work in.",The organization could be better. Company was not very informational,AbbVie
33,"""Good company to work for!""",4.0,Great culture; innovative; continues to try to raise the bar on performance.,Can be hierarchical; needs more diverse talent,AbbVie
34,"""Associate Director""",5.0,The work is both challenging and rewarding The company has a culture of development and philanthropy Total compensation is strong,Process orientation can lead to rigidity,AbbVie
35,"""Intern""",4.0,"Company has a patient centric model, Great supportive culture, Great accommodations for interns whose homes are far away (get to live in hotel for the summer, free weekday dinners, free shuttle service), competitive salary","Sometimes felt like my work didn't matter - not sure if they ended up using the results of my project. Not many people get return offers, especially those that do the experimental intern program since those roles have undergraduate interns but you usually need a PhD to work in the department",AbbVie
36,"""New Hire feedback""",5.0,"Team is very nice well staff and structured Package is interesting (401k, BCBS, Pension) Therapy area interesting to work on Flexible with work on site or from home","Hiring process a bit longer than usual, but worth the try!!",AbbVie
37,"""Publications Department""",3.0,Engaged and intelligent team Exciting therapeutic areas,Rigid and process heavy Hierarchical layers,AbbVie
38,"""Global Commercial""",4.0,"Truly global teams, opportunities in future pipeline, great co-workers,","Very hierarchical and heavy on layers of governance, only promote the ‘in’ people, culture and politics are brutal, lots of ego the higher the rank.",AbbVie
39,"""Great company""",5.0,"Great company, many benefits to working here",Work can be a little boring and repetitive but it wasn't too bad,AbbVie
40,"""Awesome place to work""",5.0,"Good benefits, collaborative work culture, maternity and paternity leave, flexible work schedule",Needs to improve on developing internal workers in new skill sets and experiences,AbbVie
41,"""Human Resources""",4.0,- Innovative - Focus on culture and behaviors - Evolving HR tools that enable more agile support of the business - Flexibility,"- HR feels at time like the shoe makers children, but it's improving - Better balance of internal talent movement with external talent hiring - Improve mid level manager bonus targets",AbbVie
42,"""Great company - Experience depends on department""",5.0,"Bar none in the benefits, great vacation policy, better pay, and company does a lot of outreach","Sometimes difficult to move departments, some managers are better than others.",AbbVie
43,"""great company""",5.0,"benefits, very collaborative work environment, and great work life balance",longer commute from the city,AbbVie
44,"""Employee friendly company""",4.0,Good benefits and bonuses. Very flexible with vacation time and sick time. Very employee friendly and good culture at abbvie. Good company and competitive pay.,Semi mandatory yearly goals objectives that are somewhat meaningless to career objectives. Workers should focus on being excellent at there jobs and not on extra political things,AbbVie
45,"""US Commercial Finance""",3.0,great benefits and good location,Too much politics in US commercial,AbbVie
46,"""R&amp;D""",5.0,Working in R&amp;D Discovery can be a wonderful experience. Lots of opportunities to drive forward the science and make an impact to patients' lives.,Career progression can be slow.,AbbVie
47,"""Paralegal""",5.0,"Great benefits, wonderful company",Big company so have to deal with hierarchy,AbbVie
48,"""Project Engineer - R&amp;D""",4.0,"Great benefits, Pension plan, Cash profit sharing, PTO","AbbVie is located in ChicagoLAND not Chicago, be aware of that going in. Operations has a different feel than R&amp;D, naturally, culture changes are needed. The good thing is that the business cares that these changes are made.",AbbVie
49,"""ITDP""",4.0,Strong focus on the end customer,None that I can think of,AbbVie
50,"""Working at AbbVie""",5.0,"Good compensation, including stock, cash profit sharing, competitive salaries and bonus structures, 401K Healthy pipeline with growth opportunities Work/life balance",Depending on the franchise the leadership and culture varies greatly,AbbVie
51,"""Meet the new boss, same as the old boss""",3.0,Trying to build a new culture and delivering strong science in Discovery. Very people focused.,Risk averse and focused on short term performance. Fundamental change can be painful and challenging to deliver with short time horizons.,AbbVie
52,"""Excellent""",5.0,"It's a multicultural, and a all for one company where one is highly respected and appreciated for what they do.","One can not work out of Abbvie culture. If you are not prepare to work hard, than it's not a place for you.",AbbVie
53,"""Good environment""",4.0,Great people to work with. They do somewhat a good job trying to push you to be better and develop.,compensation could be better.,AbbVie
54,"""A great place for development""",5.0,"Open, inclusive culture and unlimited career opportunities.",Some times stressfull due aggressive timeline.,AbbVie
55,"""Great Company""",5.0,"Good Work Life balance, good pay","Far From city center, not accessible by public transit",AbbVie
