,title,rating,pros,cons,company
0,"""Poor management, unrealistic expectations""",2.0,"Great coworkers, good pay, flexible scheduling","Management was always trying to get everyone to work at an impossibly fast rate. Most managers did not seem to care about their workers. Corporate is absolutely terrible, which may play a role in the bad management tendencies.",Albertsons
1,"""Work hard and ye shall receive""",4.0,"Amazing people, helping people, competitive pay, retirement","High stress, may not have the help",Albertsons
2,"""Why you should work for a union job""",3.0,Great pay just takes a long time to top out,Great benefits can move up quickly,Albertsons
3,"""Ok""",2.0,Ok job hateful employees and customers,Racist company racist employees and customers,Albertsons
4,"""It’s ok to work but not getting enough hours""",3.0,It’s good place to practice at Market place pharmacy,"Corporate people run business, cut hours",Albertsons
5,"""Good place to work at""",4.0,"Flexible hours, union benefits, nice co-workers","Bad for your back, can be boring on night shifts",Albertsons
6,"""Can't complain""",4.0,"For a first job, they were friendly and accommodated my schedule. I could build my work schedule around school and switch shifts between coworkers. Can't complain","Felt expendable at times, but such is the position",Albertsons
7,"""good company to work for""",5.0,"friendly people, pleasant work place",none that I can think of,Albertsons
8,"""Worst company to work for""",1.0,it is gainful employment barely,Albertsons employs Sedgwick as their insurance company for on the job injuries. Google Sedgwick and their reviews see for yourself the type of companies Albertsons deals with. Uncontainable!,Albertsons
9,"""Great experience""",3.0,"Team work , positive manager and front end team",Having to really keep up with promotional months like monopoly was always crazy time,Albertsons
10,"""Ehh find somewhere else""",1.0,"Not many, i would search elsewhere",Mismanages employee sicktime and time off,Albertsons
11,"""nightmare""",1.0,"If you want somewhere where they will give you hours, I promise you, you will get them. Other than that there is nothing worth doing here.","Treated like a food slave by customers. Pay is minimum wage. The deli is the toughest department in the entire store yet the pay is the same as any other department. The work is horrible, the worst part is closing where all you are doing is cleaning grease off of things. It's also a dead end job. I saw people who were working there for 17 years going nowhere. Glad I got out in just under a year.",Albertsons
12,"""Meh""",5.0,The customers were the only good thing,"If you missed work, they treated it like it was the end of the world",Albertsons
13,"""Eh""",2.0,Not many positive things to mention,"Not flexible on schedule, terrible pay, management has peaked",Albertsons
14,"""Fun people to work with but the company could be much better""",3.0,"I loved my coworkers, they were so friendly and helpful and honestly made it worth going to work.",The company as a whole is not desirable. They will cut hours and pay you the bare minimum and then yell at you for not doing more.,Albertsons
15,"""Great place to work""",4.0,Good pay and benefits,Too many changes affect business,Albertsons
16,"""Great experience, good management, great team work skills""",5.0,"Gain communication skills, wide variety of customers everyone needs food",Weather conditions grabbing carts,Albertsons
17,"""It was interesting becoming a # instead of a person . They don't care about you only about making the numbers""",3.0,Health insurance good pay union,No life when they say jump you ask how high,Albertsons
18,"""No pay advancement""",3.0,Co-workers were great to work with. Good Training.,"Moving up with more responsibility, did not mean increased pay.",Albertsons
19,"""Horrible""",3.0,Nothing at all. So bad,Everything is pretty much a con.,Albertsons
20,"""Warehouse supervisor""",1.0,Warehouse in Denver pa was close to my home. Only positive!,Worst place I have ever worked!,Albertsons
21,"""The Job""",3.0,-Nice stores typically -decent uniforms -pay is not terrible depending on position -teaches you many things that can be useful other places,-my store is one of the few non union ones which is not good -management is poor -takes a long time to earn vacation or sick time -no real incentives to be the best you can be,Albertsons
22,"""A great place to work, but it is a HUGE company.""",4.0,Great group of people to work with,The company moves Slooooooower than an iceberg,Albertsons
23,"""Highschool Job""",5.0,Great way to learn valuable work skills,Often other employees were washed out or irritating,Albertsons
