,title,rating,pros,cons,company
0,"""Growing in diversity and inclusion""",5.0,American is going in the right direction to improve in diversity and inclusion in management. Flight benefits are of course great to have.,No real cons at this time,American Airlines
1,"""Salary""",5.0,"Flight benefits, Good health care choices",Slow hiring process in general,American Airlines
2,"""Fleet agent""",5.0,Flexible schedule Raises often Get staff,You go by seniority It takes 10 years to top out,American Airlines
3,"""Great""",5.0,Great work environment to be in,No cons to be reported,American Airlines
4,"""Good Company""",4.0,Travel and Health Benefits Schedule Flexibility Great Colleagues,Management Departments Clash and Don't Agree On Things,American Airlines
5,"""Good culture""",4.0,Non- rev travel benefits are great,Low pay and no bonus for analysts,American Airlines
6,"""Customer service""",5.0,Great Customer service is great,No cons everything in this company is great,American Airlines
7,"""Great experience with great benefits.""",4.0,The benefits were great and my job was easy.,Unfair management didnt treat all workers equally.,American Airlines
8,"""Revenue Analyst review""",4.0,Huge travel benefits! Take advantage of them!,None to really speak of.,American Airlines
9,"""Great company, Great benefits""",4.0,"Flight benefits, profit sharing, 401k",Transferring from one station to another can take time.,American Airlines
10,"""Sales Associate Part Time Role""",4.0,"Large company, plenty of benefits",Little room for notice on opportunities,American Airlines
11,"""Strategic leadership and direct oversight of delivering functions of contact center technologies""",4.0,Wide landscape of technology. Work life balance. Continuous improvement culture.,"Constant change, poor leadership. Trust in employees is dwindling.",American Airlines
12,"""Caring  for People on Life's Journey""",3.0,Some of the best people I've ever worked with...,Our tagline is aspirational... we have yet to walk the walk especially with our own employees.,American Airlines
13,"""Exciting  Fun experience and opportunity""",4.0,Great group of people To work with,No set schedule different flight times,American Airlines
14,"""They're okay""",3.0,There are good opportunities for networking,Typical large company attitude. They pick you up and spit you out.,American Airlines
15,"""IT is flailing under the current management""",2.0,"Flight benefits, insurance, 401k match","Terrible WFH policy, remote policy. Wouldn't be so bad except vacation is poor. Outdated technology is abundant. Poor technology and security practices. Poor TDD practices, too many meetings. Contractors are 2nd class citizens.",American Airlines
16,"""Constructive review""",2.0,travel benefits are great of course.,Too bureaucratic. Too many managers.,American Airlines
17,"""Whew!""",3.0,"Loved the benefits, opportunity for advancement/moving to different positions.","Reservations Supervisors are out of touch with what's happening in front lines, unusable FMLA, attendance policy stinks!",American Airlines
18,"""Ok""",3.0,Great travel benefits provided. Opportunity to see the world,Not enough hours provided. No structure,American Airlines
19,"""Diverse Team Low Accountability""",3.0,"diverse team, with a good group of people with various skills. The colleagues made the job the best!",very management heavy with too many meetings and not many opportunities for dynamic sales techniques.,American Airlines
20,"""Flexible""",5.0,Flexible schedule Travel benefits Union,Seniority Can get stuck working nights due to seniority,American Airlines
21,"""alright""",4.0,you get to travel which is great,you are always tired and jetlagged,American Airlines
22,"""Loved working fir American Airlines""",5.0,Great job! Great benefits!,Leaderships and employees not always on same page . Working from home is looked down on.,American Airlines
23,"""Stay away from aadvantage!""",4.0,"American is a great place to work. It’s not an easy company to get into. A lot of us came in at entry level positions and worked our way into happier spaces. Flight benefits are awesome, the culture in MOST departments is very warm and inclusive.","American is a great place to work. It’s not an easy company to get into. A lot of use came in at entry level positions. Customer Inclusion and Loyalty group is often hiring aadvantage reps. Literally apply for ANYTHING else. The department is woefully unorganized. They pay in crap for what you deal with & they absolutely have no interest in supporting you. It’s definitely sink or swim. It’s the only group that forces you to stay with them if they give you a raise. And the cherry on top, the director of the call center has no call center experience. It’s pretty gross.",American Airlines
24,"""Great job!""",4.0,"Flexibility with schedule, earn as much or as little as you want, travel benefits, great insurance","can be exhausting, reserve months (being on-call to the company)",American Airlines
25,"""This airline could be so much better""",2.0,You get to see the world.,Scheduling can be very tough on your body.,American Airlines
26,"""Not a bad place""",4.0,The people and the benefits are great.,Your role is very defined and can get a little tiresome,American Airlines
27,"""Great place to work""",5.0,"Lots of opportunity, great work environment, and great benefits",Pay might not be as competitive in some fields at other companies. New employees only get 2 weeks vacation for the first 5 years,American Airlines
28,"""American Airlines Review""",5.0,American Airlines is a very good airline to work for.,I honestly can't think of any cons,American Airlines
29,"""Hourly wage as a flight attendant beginning""",5.0,Flexible hours and there’s always something different,Not always home but that’s obvious when taking this job,American Airlines
30,"""Great place to work""",5.0,"Flexibility, flight priveladges, friendly enviroment.","In my opinion, there are no cons",American Airlines
31,"""Awesome""",5.0,"Lifestyle, travel and medical benefits, flexibility","Sometimes long days, overall none",American Airlines
32,"""Great benefits, not great pay""",3.0,"Culture and colleagues are great, it makes you come to work every day with a smile. The travel benefits are surreal.","The pay is not that great comparing to other major airlines, profit sharing sucks, we get 1-2% while other airlines get more than 10%. You can only advance in your career if you move to Dallas.",American Airlines
33,"""Great Company""",5.0,Great company to work for,Nothing to comment about company,American Airlines
34,"""Revenue Management""",5.0,"Great benefits - medical, matching 401k, travel",Large corporation - can often times get lost in the numbers,American Airlines
35,"""Awesome""",4.0,Multiple opportunities to gain skills in different areas of the company. Many projects available to work.,Challenging managing some Union team members while meeting your KPI.,American Airlines
36,"""Reservations Agent""",4.0,"Flexible schedules, flight benefits, 4 weeks paid vacation starting day one.","Mandatory overtime, your schedules are seniority based. It can take years to gain seniority because we only hire every few years.",American Airlines
37,"""Eh..""",3.0,"The flight benefits, extra time off and ability to work as little or much as needed is very nice. Part time agents still get health insurance as well.",The pay isn't great. It's almost as though they don't realize they have ADULTS working for them that have ADULT responsibilities.,American Airlines
38,"""N/A""",5.0,Great benefits and pay and flexibility,Shift bids can be annoying,American Airlines
39,"""Overall any airline is just good for their traveling benefits, but not for salary/pay rate""",3.0,Traveling Benefits and some other perks such as Hotel and Rent a Car discounts as well as for tours and many others,"Schedules since everything is based from operational needs. So, too early in the morning 2:45 am start or middle day towards 7 pm at night",American Airlines
40,"""Do not join recruiting department!""",1.0,"Free flights, Good benefits,New campus",Recruiting department is in a mass exodus due to the leadership and how they treat people. Anyone wishing to apply should strongly reconsider. It will be the worst career move anyone could make. New hires are leaving before they even complete a year with the company.,American Airlines
41,"""Horrible Corporate Culture""",1.0,"It's a job, perhaps better than some",Corporate culture since the US / AA merger is much worse. AA is not a great employer and not a great place to work.,American Airlines
42,"""Wrongful termination""",1.0,A consistent check every 2 weeks,You get occurences for even breathing wrong. Flying standby is an absolute joke. Management is horrible from top the bottom. They're the worst at handling FMLA paperwork,American Airlines
43,"""great job but bad coworkers""",4.0,greate hours and amazing places we travel.,"my co-workers that have been there for a long time are lazy and rude and because of the union, they think that they don't have to work hard or at all sometimes because the union takes care of them and will get them their jobs back.",American Airlines
44,"""Flight attendant""",4.0,Flight benefits are the best part,Management doesn’t help too much,American Airlines
45,"""Tough Work""",3.0,"Good pay, meet new people.",Difficult hours and sometimes poor management.,American Airlines
46,"""Excellent""",5.0,Proud to work for American Airlines,None to mention for Cons,American Airlines
47,"""OveallThe  company treats their employes like omnly a cost of doing business and not an assit.""",2.0,great money and 401K matching,"work holidays and weekends, no family life",American Airlines
48,"""Regret to join AA as my employer""",1.0,Ok work culture Standby travel if you r in luck,Wait as standby whole day and go back to hotel High politics culture Poor management team No career growth No promotion No raise Profit share is a joke... leader eats millions and employees get pennies Favoritisms and racism Regret that I joined AA,American Airlines
49,"""looking forward to working here!""",5.0,everyone is so up beat !,as of right now nothing.,American Airlines
50,"""Good company if you're a buttkisser and if you're liked.""",2.0,"Travel benefits, 401k, opportunity to make a career if your boss likes you and if you're a buttkisser.","Opportunity to grow is based on how much your boss likes you, not how competent or experienced you are. CSM's get paid less than what the competition pays the same level job.",American Airlines
51,"""Management needs to learn how to manage""",1.0,"Great Benefits, Pay, Teamwork with employees","Too much political and personal agendas combined with double standards. Senior leadership needs to learn how to manage ""management employees"" and empower your managers to manage their work groups. Too much Micro Management!!!",American Airlines
52,"""Flight attendant experience""",4.0,Traveling the world was amazing,Lack of flexibility with new management made the benefits less appealing,American Airlines
53,"""TMD incapable of managing interview process""",3.0,Travel benefits New and clean hq,HR/Team Member Development team makes so many mistakes and are belligerent. They delay everything and make up excuses,American Airlines
54,"""BusinessAnalyst""",5.0,Nice Culture Great Flight Benefit Intelligent Coworkers,Career Path is pretty limited Innovation,American Airlines
55,"""Great Company""",5.0,Highly professional organization in every way.,Gone from home a lot especially if you commute.,American Airlines
56,"""Great company to work for!! I love my job!""",5.0,Travel Benefits Flexible schedule Great company,I really don’t have any cons about the company,American Airlines
57,"""Good to work for if you have seniority.""",4.0,We have flexible schedules if you have enough people in your work space. It is also fairly easy to get overtime due to the airline being a 24 hour operation.,"If you are just starting out your pay will be very low, so you must basically give up having a life in order to sustain yourself.",American Airlines
58,"""Interviewing Stage""",5.0,flight benefits' employee friendly family free flights,I think the reserve system might be the hardest.,American Airlines
59,"""American Airlines""",4.0,Great travel benefits Friendly management Great hours,High retention rate Some situations are more stressful than others,American Airlines
60,"""American Review""",4.0,"Travel, Diverse Work Group, Flexible Hours","Negative Company Culture, No Room for Growth",American Airlines
61,"""You Must BE Flexible""",5.0,"Travel Perks, Pay, Community. I love my co-workers.",Do not go into this thinking you will have a ton of freedom and you will be able to fly to europe every month. It is a seniority based job but it is worth it.,American Airlines
62,"""Excellent Company, only problem is their Point System""",5.0,"Excellent environment, Great Benefits, Flexible Schedule, Friendly staff. Great Union",No opportunity to grow in the company. Poor Point system punishes you even if you have sick time saved up.,American Airlines
63,"""Okay if you can drown out gossip""",4.0,Health Insurance. Near airport. Flight benefits,24hrs. Schedule goes off seniority. And the current management staff has 10yrs plus of seniority so good luck with getting schedule you like.... Coworker Gossip is non stop,American Airlines
64,"""Good place to work""",4.0,Benefits and culturally diverse.,Low starting pay &amp; schedules based on seniority,American Airlines
65,"""Great Company, Great Experience""",5.0,"As an IT contractor, you're treated as if you were an AA employee. It's a fast-paced, but positive place to work. Collaboration is valued and practiced well here.",A challenge to fill enough resources within some departments.,American Airlines
66,"""Customer Service Agent""",3.0,"Benefits-flight, insurance, 401K Flexibility Union makes it equal and fair",Disconnect between management and the operation; numbers can’t drive everything Personal touch is non-existent Attendance policy not designed to help employees succeed,American Airlines
67,"""Just Save Yourself the Headache and Work Somewhere Else""",2.0,"Flight benefits and Pay, but at a high mental and emotional cost","Literally everything else. Supervisors have no backbones because if they dont fall in line as management Yes Men, they are shown the door. You will do the job of 3 people even if you are Union, due to ALL job descriptions including ""And other tasks as assigned"". There is complete confusion and dischord surrounding how the 2 maintenance unions, accreted people and management work together.",American Airlines
68,"""Team... building""",2.0,"Free flights, love the travel benefits",Team needs to focus on working together and lifting each other up instead of putting each other down.,American Airlines
69,"""Culture is trying to change and if it does will be in the top 100""",4.0,Company is trying to undergo a culture change which will benefit the employees and increase the trust.,Some management between CEO and employees are not on board with the culture.,American Airlines
70,"""Great job to see the world""",3.0,Working with great people,Away from friends and family often,American Airlines
71,"""Co-workers and benefits great - management needs work""",3.0,"Travel Benefits, decent insurance, nice new HDQ, free coffee and tea.","No room for advancement, management doesn’t listen or care",American Airlines
72,"""Flight Service""",3.0,"It was a very conservative airline, and I was very proud of that!",In working in the airline industry for over 15 years you see a lot of changes. Not necessarily all good.,American Airlines
73,"""Great place""",5.0,Great place to work. Great flight benefits.,No cons that I can think.,American Airlines
74,"""Management doesn't follow what they preach""",1.0,"Health insurance, 401K plan, flight benefits","Doesn't pay employees equally. The longer am employee has been employed, the less they make. Lack of work/life balance. You are expected to work till you drop dead. There's diversity on paper, but no inclusion. Toxic middle management who lacks empathy. Senior and executive management doesn't intervene. HR works with management to discredit employees to hide workplace harassment and bullying. If management doesn't like you, they will torture you.",American Airlines
75,"""The corporate culture is focused around working you like an animal.""",1.0,There was nothing good about it.,"Pay, little support from management, VERY competitive and cut throat, rude coworkers. Especially in the first year financial analyst rotation.",American Airlines
76,"""Terrible management""",2.0,Free flight benefits Very flexible schedule,Pay Management plays favoritism,American Airlines
77,"""FA Experience""",3.0,"Flexible scheduling most of the time, pretty good benefits, diverse workgroup","Flight benefits can be tough to use with full flights all the time, reserve minimum pay is not enough to live in majority of airline's bases/hubs, management cares more about making money than the quality of life for front line workers, point system prevents workers from using their accumulated sick time, workers aren't typically rewarded for good work and under appreciated for the amount of time they are on the clock and not getting paid",American Airlines
78,"""Great job""",5.0,great place to work. do it,there are no cons. work here,American Airlines
79,"""Great place to work""",4.0,Flexible Hours and great people,Off shift work changing hours,American Airlines
80,"""Great Perks and Low Stress""",3.0,"Flights, standby but still great Corporate culture Low stress Lots of room move around the company Great work/life balance","Has an old school business mentality Low trust environment Not flexible about work from home Slow to adopt tech Laser focused on revenue and not customer experience, despite saying otherwise Not leading edge Always reacting to competitive changes, never leading Mixed message from leadership about culture and company direction Paid time off is not competitive Everything is governed by committee Everything moves at a glacial pace Little recourse for low performers",American Airlines
81,"""Flight Attendant""",1.0,Flexible schedule. Lots of down time.,Very poor quality of life.,American Airlines
82,"""Love my job""",4.0,Plenty of work or management opportunity choices,Multiple layers of hierarchy,American Airlines
83,"""Great Benefits, Low Pay""",3.0,"Great benefits, and you never take the job home","Inflexible work schedule, low pay",American Airlines
84,"""Staff Assistant""",4.0,"Great place to work, loved the people.",The commute home on the 405 could be difficult,American Airlines
85,"""Really good but stressful on the body""",4.0,Good company Decent pay Lots of breaks Flight Benefits,Sometimes there are lots of work Unorganized sometimes,American Airlines
86,"""Unfortunately Overworked""",4.0,Amazing flight benefits - it was a great way to explore the world!,"I worked for AA in the administration department in PHX &amp; transferred to ORD 2 years ago. This transition was like night &amp; day. When I first started with the company, I had every intention of retiring with them - that is how much I believed in the company’s mission “going for greAAt”. Everyone in PHX that I worked with displayed this mentality &amp; it reflected in a collaborative team work environment. Although the work expected didn’t align with the pay they offer, that aspect didn’t bother me so much since I always felt they offered AMAZING benefits. Unfortunately, the company morale from PHX isn’t consistent with how ORD is run. Fast forward to life at ORD - the only reason why I choose to leave the company. During my short 2 year career in Chicago, I’ve grown to realize how the Administration Management staff didn’t utilize their resources available, nor did they offer any career development/goals. There was no team collaboration, and most importantly no type of support in my current roll within the Admin department. Monthly meetings were cancelled for more than a year, innovational ideas weren’t entertained, nor was there any flexibility with our schedules. Although I was given a position I didn’t even apply for, I thrived in it. Management saw this &amp; continued to delegate more &amp; more tasks making my current workload biased &amp; unreasonable. When I started to feel the “burn out” I asked for assistance. To my surprise, management wouldn’t provide any. I was laughed at &amp; told that “I had everything under control &amp; it didn’t seem like I needed any help”. So I continued to thrive &amp; make the most of everyday. After-all, where could I find another job with such great benefits? Less than a month ago, we had a death in the family. I made the choice to separate from the company when I was told by management that my absences would be counted as unauthorized since I needed more than 3 days to grieve. This wasn’t the culture that I knew to be true at American &amp; choose to no longer subject myself to these type of working conditions. I get this is how most major corporations function, but their motto “going for greAAt” should be instilled within their Management &amp; displayed consistently regardless of which department/HUB they’re from.",American Airlines
87,"""Why would you work for American Airlines""",5.0,Job security Benefits Fun environment,Weather Management is too strict Favoritism No growth in San Jose for ramp Small station,American Airlines
88,"""Learning and Travel""",4.0,"- Great place to start your career and learn and grow your skills, you will be thrown into many interesting analytical problems to solve and you will have many experts who are willing to couch you. - Travel benefits are awesome, you can fly almost anywhere for free as a standby and many have visited most of the US and tens of countries in just few years.","Although you will progress quickly in the start, if you prove your technical skills, you will find later that moving into higher levels becomes much more difficult and takes a long time. there are not a lot of progress options for individual contributors unless you choose to go into management which is very competitive. Several end up leaving. Which lead to the next issue, depending on the department you work at, you might find a huge turnover (For some this might be a pro, I don't think so).",American Airlines
89,"""Great Company""",5.0,"Benefits and Traveling the world free, Any time! And discounts on other Airlines!",Seniority based scheduling,American Airlines
90,"""not what it once was""",2.0,since union pay is better,lack of management appreciation. parker has no clue how to run a company. uprooting 1800+ home based reps because he doesnt likepeople working from home. there is no relocation help from the company....most anyone that has worked for the company for more than 20 yrs is seeking to leave. parker is running the company like he did us air and america west ...right into the ground....glad to be leaving.,American Airlines
91,"""Lots of calls.""",3.0,"Work from home, flight benefits, and knowledge of airport codes.","Low pay, stressful, micro- management, non-stop.",American Airlines
