,title,rating,pros,cons,company
0,"""Pharmacy specialist""",4.0,Great benefits and ok pay,travel time to work is tedious,AmerisourceBergen
1,"""Pay""",5.0,Good pay great benefits and off holidays,Work Sundays and sometimes long days,AmerisourceBergen
2,"""Overall Great Company""",4.0,"Great people to work with and a positive environment. This company has taught me a ton about healthcare, pharmaceuticals and how to sell in a large professional setting.",There tend to be a lot of after hours and weekend emails. Expectations to be available outside normal business hours affects family life.,AmerisourceBergen
3,"""Company is like Family""",5.0,The company treats you like family and makes sure the employees are acknowledged and appreciated,"Honestly, none at all. It was an overall pleasant experience!",AmerisourceBergen
4,"""ok""",3.0,people are really nice and cool,"pay was low, treat you like kindergarterns",AmerisourceBergen
5,"""Good Company""",4.0,Great people and great working atmosphere,Some positions in flux due to integration within parent company. Not the best job security,AmerisourceBergen
6,"""If you work in Inventory look out for the Lead""",2.0,The manger in Inventory is great,The lead in inventory will set up everyone and will talk about everyone. He tries to set up all the other mangers and the people in his own dependent.,AmerisourceBergen
7,"""Great""",5.0,It’s a great company to work for,No problems or issues I have encountered,AmerisourceBergen
8,"""Employment with Amerisource Bergen""",4.0,"Pay, Benefits, work environment",Work location shut down,AmerisourceBergen
9,"""Stay Away""",1.0,"Ok pay, decent benefits, PTO, holidays","AmerisourceBergen-The Lash Group used to be a really good place to work about seven years ago but it has changed so much. The company has ok pay and benefits but that’s really about it. You’re just a number. The training seems proficient until you’re out on your own. They tell you to ask questions but some of the trainers and liaisons will treat you like a nuisance. Everyone learns differently but this type of work isn’t for everybody and that’s ok. However, no matter what they’re going to make you feel like an idiot. The systems malfunction every other day but by some miracle you’re expected to meet and even exceed quota everyday with no errors (impossible). They require too many steps in order to do one simple task. If you make any errors there is no proper feedback provided, you’ll just hear criticisms about yourself among the managers, liaisons and even other benefit reps. Free soda everyday and a free lunch incentive once in a while is not nearly enough to stay in a place that is basically the definition of toxic. Management is incredibly rude and messy. Rumors about employees’ personal lives get spread around, meanwhile there is no confirmation about anything. Regardless they should stop being in people’s business so much, but I guess you can’t help yourself when you’re miserable. One of main liaisons there who deep down believes she’s a manager but it’s laughable because despite the extensive knowledge she has the lack of professionalism and people skills is unfathomable.",AmerisourceBergen
10,"""Bellco Generics a subdivision of Amerisource Bergen. It is a misleading company to both employee and customers.""",1.0,"The base salary is fair considering a salesperson will never be able earn any commissions. It will not last long because more times then not, a salesperson is terminated for not meeting their unattainable goals.",The company is misleading. The position really is more of a telemarketing job. Their customers are treated poorly. Unattainable sales goals.,AmerisourceBergen
11,"""Inside Sales Rep- NY""",1.0,Hourly pay is good. Benefits are good.,"If the job is called smartsource division. RUN. This division is ran by people with no intellectual qualities in communication, industry knowledge, and have seemed to only moved positions around to keep people employed after specific tenures. This division of Amerisourcebergen is a hidden division ran by disconnected leaders that have repeatedly failed blaming sales for their lack of industry intellect.",AmerisourceBergen
12,"""Great opportunity""",5.0,"Amazing opportunity and advancement options , great industry and knowledge",Not any that come to mind,AmerisourceBergen
13,"""Garbage company with shady dealings.""",1.0,"It's a job, blah blah.","If you kiss but, you get perks.",AmerisourceBergen
14,"""Good experince""",5.0,Its a really good company if you're full-employee. They care about their employee and very nice environment to work in. The managers are very friendly and willing to work with you,"Sucks if you're a contractor, no job security always on your toes because you don't know when your last day will come and have to work 4 times as hard if you want to be hired.",AmerisourceBergen
