,company,cons,pros,rating,title
0,Apple,Nothing that sticks out vs other jobs I've had,"Extremely good benefits from healthcare, PTO, and discounts. Very relaxed environment with clearly laid out expectations.",5.0,"""Great Company to work for"""
1,Apple,"There were definitely some good and bad days, but its hard to remember those now :)","I worked as seasonal part-time specialist and while it was hard to manage 2 jobs (I had a full time at the moment too), my team at Apple still made it an unforgettable experience! It's amazing how diverse and inclusive the company is. Being from a different country I felt very welcoming and understood. Some of the pros: - competitive hourly pay; - flexible hours; - employee discount; - fun and very positive environment!",5.0,"""One of the best places I worked at!"""
2,Apple,"ZERO ZERO ZERO work/life balance. Execs have been saying for YEARS that they understand and will make it better. But in actuality, it gets worse every year! It is obviously top management LIP SERVICE because if they meant it, they could fix it tomorrow. They have hundreds of BILLIONS in the bank. If they REALLY cared about employee work/life balance, they could bring aboard the right number of folks to make that issue dissolve. Sick of hearing the lies. Just don't lie about wanting to fix it, when they clearly DON'T care","We work with geniuses - in every department, We create innovative products that thrill our customers and create new product categories - who else can say that?",4.0,"""Challenging, Rewarding,  but ZERO  work/life balance.   Most satisfying ,   most difficult and most  rewarding job ever."""
3,Apple,"The culture varies significantly among teams. Some teams support employees beautifully, while others do not.",Your work is deployed worldwide and it can happen faster than you think. Being detail-oriented is crucial to your performance and happiness here.,5.0,"""Impactful place to work"""
4,Apple,"Tough at times, as in any other retail",Great team and benefits,4.0,"""Decent job"""
5,Apple,"Retail hours, work iLife balance is not as good as it could be,","Benefits package, 401K, stocks, medical insurance",5.0,"""Great place to work"""
6,Apple,"Run very lean and efficient, so team members are stretched to the max. At the time, the store I worked at didn't promote often from within. Instead, many managers were hired from other retail companies when there were qualified internal candidates. Team members tend to be emotionally soft and seek ""safe spaces"". ""Diversity"" only seems to count if you agree with the company's political stances. To express a diverse opinion is to practically ostracize yourself.",High-quality people and in-house training. Pretty good starting wages without having any experience. Pretty great benefits package as well. Awesome health insurance and new-parent leave.,4.0,"""Not Bad for Retail"""
7,Apple,"Retail work environment, which results in dealing with the public in a large capacity. Intense feeling of being treated like a child. No relocation packages for retail employees who wish to transfer. High level of internal politics. A ""blanket pay scale"" that doesn't take into account the specific duties and responsibilities of each job title or employee. No work-from-home benefits or free lunches. No annual bonus for retail employees and a non-commission based salary. Lack of incentives to maintain a high level of performance. Cult-like work environment - constant need to ""drink the cool-aid."" Specific roles within retail do not transfer well to other industries.","Apple Retail gives you the ability to pursue or experience many different jobs and roles. Also, if you're willing to move, you can get a job in any county that has a retail location. Great ""family"" aspect where you can make life-long friends. Apple Retail is a great starter job to fine tune certain competencies and areas of your personal and professional life. Easy work environment with a large support system.",4.0,"""Business Pro - Apple Retail"""
8,Apple,Not a huge amount of upward mobility within the retail environment. Cons are going to be based upon your own perspective and what you make of your own development and experience. You’ll have a great experience if you have a positive attitude 100% of the time.,"Fast pace. Plenty of challenges for personal growth. Learn tons of transferable people skills. The people you work with are incredible. Apple hires brilliant, ambitious, innovative people, that put their people first. No other environment like it.",5.0,"""Great company"""
9,Apple,"Loss of culture over the years as the company grew, definitely helps to be ""in"" with the leaders if you want growth.","Co-workers, discounts, flexibility in schedule",4.0,"""Rosy appearance declined as the company grew"""
10,Apple,Working hours; Limited locations;,Leading edge technonolgy; Flat management hierarchy;,4.0,"""Working at Apple pros and cons"""
11,Apple,"Management is pretty manipulative for the most part. An effective system is set in place within the Apple retail environment that makes it easy to manipulate employees on the ground level into staying for long periods of time. Easy to move up if you are on the good side of leadership, people who move up set a compelling example towards people who want to move up. Solid popularity contest that is extremely beneficial to extroverts and quirky people. Having weekends off isn't possible.",Benefits are okay if you're full-time. Part time employees at the apple store are kind of disposable. The pay is decent considering it is a retail store work environment.,4.0,"""Good for retail but not for long term"""
12,Apple,You become very comfortable and will feel difficult to move out.,"Best place to work, with amazing compensation and benefits",5.0,"""Best place to work"""
13,Apple,Holiday scheduling Not able to be around people.,Great benefits! Pretty flexible hours! Great team!,5.0,"""Some great benefits!"""
14,Apple,no commission gained on in store sales,amazing workplace environment and work life balance,5.0,"""Great company with thorough development and training learned"""
15,Apple,"Not enough vacation time, unfortunately. :-(","Amazing, smart, ultra driven people every place you look. A sea of brilliance where the magic happens. Everyone here is hungry and wants to do great work. We all have our common mission and do what we can to accomplish that. The campus is beautiful and we are fortunate to have shuttles and busses with getting us from one building to another in addition to serving us during commute times. A few local gyms with membership that is more than affordable! We have a few medical centers for Apple employees. There is an optometry, dentist, acupuncturist and massage therapists. Apple is thoughtful about the benefits and continues to evaluate them every year to make sure that the employees are taken care of. Very very very generous with the RSUs and refreshers. I hear about numerous companies in the valley and see a big difference.",5.0,"""Apple Rocks"""
16,Apple,Started seasonal and they waited till the very end to inform us if we the group was staying,"Flexible hours, incredibly good pay, discounts for pretty much everything you can think off and just a fun work environment.",5.0,"""The best job I’ve ever had"""
17,Apple,"Little room for advancement, although this may be changing.",Friendly colleagues and environment. Coming to work isn't bad.,4.0,"""Good Place to Work"""
18,Apple,No advancement to other careers . Schedule conflicts,Good health benefits and perks Nice products and good work environment,4.0,"""Support Advisor"""
19,Apple,Shifting work hours Needing to work holidays,High hourly rate Great management Invested in my those around me Great culture,4.0,"""The best retail place to work"""
20,Apple,Not much room for advancement,Coworkers were always super helpful,4.0,"""Fun Job"""
21,Apple,there really aren't any cons of working here that I can think of,"encouraging environment, flexible hours, perks",5.0,"""Love this job"""
22,Apple,A lot of ambiguity and inconsistency,Great people to work with,4.0,"""Great Starting Job"""
23,Apple,"Time off/schedule flexibility, opportunities for advancement","Great benefits, good pay, work from home",5.0,"""Great Company to Work For"""
