,title,rating,pros,cons,company
0,"""Potential to make a great salary""",5.0,Easy to advance and great benefits,Work a lot with very long hours,Archer Daniels
1,"""Production Oriented""",3.0,"401k matching, several different areas within the company offer many different opportunities","Overloads salary employees, increases work load without compensation, no bonus regardless of well the location preforms",Archer Daniels
2,"""Adm""",2.0,They will hire you for sure,Its a terrible company to be apart of,Archer Daniels
3,"""good people""",3.0,the people you work with,as a female you get nowhere,Archer Daniels
4,"""Overall great place to work""",4.0,"Benefits, overtime opportunities, people, parking.","Safety, communication issues, at will employee",Archer Daniels
5,"""Adm bought out""",1.0,Adm is a great company. But if they buy the company you worked for and “hire” you it’s complete crap!,Management no life do not slip or accidentally hurt yourself or you will be fired,Archer Daniels
6,"""Good play to work but not for your entire career""",4.0,"Ok pay, everyone is very nice.","Not much room to grow, people with connections get the best jobs, most people are overworked and departments are under staffed.",Archer Daniels
7,"""Large company to move with in""",4.0,I like the room to grow and move around if available. I have meet folks that started working at a grain elevator and they are now pushing the grain down the river.,There was a lot of favoritism in the past they still recovering from but they working on changes. Of course the older folks are grumpy about any changes and it is hurting moral in some areas.,Archer Daniels
8,"""job with little advancement""",3.0,"its a job, okay pay","mandatory overtime, no work-life balance, POOR management",Archer Daniels
9,"""Avoid working here""",1.0,Pretty colored hardhat for new guys Great place to learn new stuff by yourself since everyone experienced leaves,"Decent salary but pay doesn't seem great when you figure out how many hours you work. You are also on call 24/7 even when you take a vacation. In the last year they have gotten rid of comp days so you get no benefit of coming in extra even though its required. Management will try to fill your head that they you will be a manager some day, but that just means way more work for a small raise and still on call 24/7.",Archer Daniels
10,"""ADM review""",5.0,Co-workers treat me with respect Hours are great Good work environment,I have no cons,Archer Daniels
11,"""Good place to work""",5.0,High independence Great team of people Able to check out other facilities in the industrial complex,Location isn't great Little guidance for new guys,Archer Daniels
12,"""Big company with many small groups that have their own different agendas""",3.0,The name of the company opens a lot of doors and creates opportunities,"Poor communication. Each group focused on showing profitability despite the profitability of other groups within the company. The result is unnecessary internal competition, extra busy work, and lesser company performance as a whole.",Archer Daniels
13,"""Current Employee""",4.0,"Great benefits, tons of opportunities to move and figure out what you want to do.",You have to stay in 1 position for 18 months before moving again,Archer Daniels
14,"""Good people""",4.0,Great people and environment working with latest technology,"Small team, life work balance kind of micro management",Archer Daniels
15,"""I have mixed feelings""",3.0,"Great people, always plenty of work, freedom to explore what you are passionate about","Work Life balance, offices are as dirty as the plants.",Archer Daniels
16,"""Bottom Line""",2.0,"Cafeteria, coworkers, decent pay and benefits","They only care about the bottom line. If they aren't making the money they want, no job is safe.",Archer Daniels
17,"""Great""",5.0,Great place to work at,None at its great place,Archer Daniels
18,"""Great company - but opportunities not always distributed fair""",4.0,"lots of great benefits, very international, lots of flexibility for a corporate setting","While in some areas opportunities are plenty, other areas progress is not supported as much as could be. While your manager might give you flexibility, colleagues tend to be desk watchers for him/her instead. Very annoying.",Archer Daniels
19,"""Thanks""",1.0,I needed money so it was a good option,Management sucks only way to get ahead is not work hard but kiss butt,Archer Daniels
20,"""Take the good with the bad""",2.0,"Great pay and Benefits, constantly learning new things.",Work atmosphere is becoming very political. Strong work ethic is not recognized.,Archer Daniels
21,"""Rodelle was a small company until ADM acquisition""",4.0,"ADM has several top-level resources. As a large company, ADM focuses on providing shareholders a constant return on their investment","ADM focuses heavily on the bottom line, more than the employee. Large corporation focused on numbers, not the people.",Archer Daniels
22,"""Steady job with good benefits""",4.0,"Excellent pay, weekly paychecks, good medical benefits","Rotating schedule, occasional forced overtime",Archer Daniels
23,"""Great Company""",4.0,"Ability to move vertically, good benefits, good leadership","work life balance, constant change",Archer Daniels
24,"""Would recommend""",4.0,Above average compensation Good benefits,Currently under going workforce restructuring,Archer Daniels
25,"""work life""",5.0,"Good work balance, location, opportunities",to many back and forth with company directions,Archer Daniels
26,"""N""",4.0,N I love it. Ok,Great job great company. Get to work,Archer Daniels
27,"""Over all a great place to work""",5.0,Great pay and great benefits,Vacation time is needed more then a couple days.,Archer Daniels
28,"""There is not loyalty here""",3.0,Little over site great autonomy,Never know if Friday will be your last day,Archer Daniels
29,"""Generalizations""",2.0,"Benefits (for the time being), co-worker bond",Company vision and company policies have no regard for employees.,Archer Daniels
30,"""Good job, long hours""",4.0,Good pay and ability to move up,Very long hours so you are away from home a lot,Archer Daniels
