,company,cons,pros,rating,title
0,AT&T,Business processes are onerous and defy common sense.,"Good training, lots of opportunities for progression, good salary and benefits. They care about their workers.",5.0,"""Good company to work for"""
1,AT&T,Keeping it fresh to avoid burnout.,Flexible schedule when you can meet and exceed targets.,5.0,"""Interesting experience that i'll never forget."""
2,AT&T,"HORRIBLE COMPANY! Constant layoffs! Management has also restricted Telecommuting. Employees used to be able to work from home all the time- now it is limited to 4 times a month. Impossible to find workspace at corporate locations- everything is “drop in” and you need to haul all your stuff into the office daily. Long hours and absolutely NO WORK LIFE BALANCE. Management does not care that you have a life outside of “the Death Star”. Try to leave or work from home with a sick kid, and you get written up! And I am a high level IT professional.",Decent benefits- that’s about it,5.0,"""Horrible"""
3,AT&T,The company regularly goes through surplus scenarios which can result in layoffs. They do provide a lot of resources to help transition to another role or prepare employees for other opportunities.,Employee development is a high priority.,4.0,"""Excellent"""
4,AT&T,Frequent re-organizations. Keep your training and skills up to date. Be assertive about developing new skills. Telecommuting!!,I’ve been there 40 years. They have great benefits and salary,5.0,"""Excellent Company"""
5,AT&T,Can be mentally tiring at times,"Vacation time, pay, benefits",5.0,"""Great company to work for."""
6,AT&T,Mid-level management skills are a little stale.,Expanded my skill set and enjoyed the people I worked with.,4.0,"""Good for my sales career"""
7,AT&T,Not all the sales managers are professional,Well known company with a good history,4.0,"""Good company"""
8,AT&T,"Can be long work days at the beginning as you are building up your sales funnel, but as you become more consistent you basically work your own hours.","Extensive training program. Young talent, encouraged to continue growth throughout the company. Can be very flexible!",5.0,"""Regional Accounts Executive"""
9,AT&T,They are not taking full timem,Company is very good resource,5.0,"""Review"""
10,AT&T,"Usual big company processes, but no worse than other big companies.","Great online training resources both technical and non technical. Although many companies say they don't discriminate based on age, etc. AT&amp;T really doesn't. Upper management is good about communicating company goals and plans. Makes it easier to stay relevant. They are involved in many different fields, so it is possible to move around within the company and try new things.",5.0,"""Big Company with an Entrepreneurial Bent"""
11,AT&T,"Hours, work life balance",Great company great benefits,5.0,"""Sales rep"""
12,AT&T,none that i can think of,great place to work for a living,5.0,"""N/a"""
13,AT&T,work/ life balance. Micro managed,Good pay and benefits. Work vehicle and tools,4.0,"""Good paying job"""
14,AT&T,many downsides - if your in the wrong group - your stuck and plan on getting surplused. everything has a price,discounts on entertainment or improving,4.0,"""if the company were a river"""
15,AT&T,Calls come in one after another. Must type while you are on the call to be ready for the next call to come in,AT &amp; T has great benefits. Great place to work.,4.0,"""Great Benefits"""
16,AT&T,The employee support interaction between departments.,The work flexibility was great.,4.0,"""It was a wonderful company to work for."""
17,AT&T,Needs innovation in the department and Needs Knowledge bases for continue training within the company.,Great Benefits and Pay. Various Systems to learn. Loved SME,4.0,"""Great Company"""
18,AT&T,Merit matters little in compensation decisions,"Work/life balance, diverse workforce and management roles",4.0,"""Excessively staid management. Slow moving."""
19,AT&T,I do not have any cons,"Pay, benefits, leadership, work environment",5.0,"""Solid organization to work for, good benefits, pay and leadership"""
20,AT&T,I don’t have any cons,"Great atmosphere, commission structure is the best I’ve seen it.",5.0,"""Great"""
21,AT&T,Hours are way to long,Pay is pretty darn good,4.0,"""Good pay"""
22,AT&T,-management can sometimes be hard to work with based which company they worked with prior to ATT aquisitions -not a good place if you just want to sit and get a paycheck.,"-great benefits -great programs to further your education -great teams to work with in corporate environment -innovative tech exposure -good for employees that want to be involved in tech, invest in furthering their education for new jobs within the company",4.0,"""Great company to work at if you are looking to grow"""
23,AT&T,No cons after 10 + years of working here.,"Flexible schedule, training, excellent benefits.",5.0,"""Review"""
24,AT&T,no further development in my department,Good benefits and fair pay,5.0,"""Amazing company to work for"""
25,AT&T,"Long hours, technical aspect to sales, corporate structure","Money, Management, Team, company car",4.0,"""Good money alot of work"""
26,AT&T,Sometime you feel like just a number,Great place to learn and work!,4.0,"""Senior Specialist"""
27,AT&T,Part of Union so management was poorly staffed.,Great pay For this area.,4.0,"""Great pay"""
28,AT&T,"Upward Mobility, certain team dynamics","Compensation, Work/Life balance, Pace of work, training and development, culture",5.0,"""AT&amp;T employee review"""
29,AT&T,Setting satellites in house and have some experience sealing i work for refinery's too so i have experience in that industry,I'm a diretv tech i want to grow in live so im looking something better,4.0,"""Technical"""
30,AT&T,If you're in a team thats not motived and have a managers whos isnt involved much its hard to meet goals especially when its slow managers will blame it on you not trying but never around to actually see or hear you offering to every customer.,Not a bad place to work at all great benefits and money only if you can hustle everyday and meet monthly goals. Some days are good some days are bad.,4.0,"""Good job"""
31,AT&T,Your immediate boss often and makes the culture in the organization; get a bad boss and the culture becomes very challenging,Good people to work for and with; great collaboration across teams,4.0,"""Good culture but boss accountability could use improvement"""
32,AT&T,Not enough training More training on new services,Salary and Benefits Fellow employees Great work environment,4.0,"""Fast paced and ever changing!"""
33,AT&T,"A lot of jobs are going to contractors, long term/ retirement may not be possible.","Great work environment, benefits, able promote quickly, tuition assistance and other education benefits , bonus",4.0,"""Going down hill"""
34,AT&T,Nothing that I could think of,Innovative and work from home options,5.0,"""Review"""
35,AT&T,"The truth is sales is an adapt or die profession. Problem is that at some point you can only pivot so much. Decisions are made in such high levels with zero input from front level employees. This is the problem with a company this size. Room for advancement from this position is minimal. There is a clear path, but it is hard to exit the retail side of AT&amp;T once you enter.",The amount of time and traingin given to an individual employee is incredible. Looking back I would not be the sales person I am today with out the fundamentals I learned here. The benefits are more than fair along with compensation for entry level sales.,4.0,"""Great Place to Start a Sale Career"""
36,AT&T,The company is great and incentives are good.,The job is hard. If you are a top performers you will take a pay cut. It's a figure it out kind of job.,5.0,"""Great company"""
37,AT&T,If you want to make any money be prepared to work weekends,If youre looking for a starter sales job AT&amp;T is a great place to start,4.0,"""Rewarding sales job"""
38,AT&T,I don’t have any cons about working for the company,"Pay, Time off, Insurance",5.0,"""Great place to work"""
39,AT&T,have nothing to say about that,good benifit. great working enviroment,5.0,"""great company"""
