,title,rating,pros,cons,company
0,"""Great company""",5.0,great people to work with,long hours and tough environment,Best Buy
1,"""Amazing place to work""",5.0,"Amazing culture, Good pay, Great people",None What so ever here,Best Buy
2,"""Good flexible job""",4.0,"Flexible work schedule, not hard.","Can be boring at times, management isn't the best.",Best Buy
3,"""Great Company""",4.0,Good Company to work for- easy to get promoted if you work hard,work/life balance is hard if you are in management,Best Buy
4,"""Seasonal Customer Experience Specialist""",5.0,Great hours during the holidays.,Focus on meeting sales numbers over customer connection.,Best Buy
5,"""Great job to have""",5.0,"discount, 401k, pto, competitive pay","holiday schedule, spontaneous changes, previous dress code",Best Buy
6,"""Bestbuy""",5.0,Great place to work. Loved it,None. Awesome place to work.,Best Buy
7,"""good but variable""",4.0,"flexible schedules, learn a lot of things",work depends highly on manager,Best Buy
8,"""Great Place to Work""",4.0,fun and friendly staff fun place to work if getting the job done,sometimes the managers are checked out or do not respond,Best Buy
9,"""Could be better, but its great!""",4.0,"Good hours, friendly co-workers, good retail experience.","Communication is not always the best. Management is unwilling to get rid of people that need to be let go, morale suffers. Not always even workloads.",Best Buy
10,"""business development""",5.0,great environment and lots of growth opp,nothing really - everyone is friendly,Best Buy
11,"""Good Company""",5.0,Great Company to work for,I have nothing bad to say,Best Buy
12,"""Good place""",4.0,Good benefits good discount,Retail hours and holidays kill work life balance,Best Buy
13,"""Alright for a retail job""",4.0,-Great for gaining sales experience -Fun products to work around -Decent benefits for full-time employment -Potential bonus -Solid discount,-Tough sales requirements to meet -Unreasonable pressure to get credit card applications -New bonus structure doesn't seem to favor most employees,Best Buy
14,"""Great Company""",4.0,"Culture of store, employees, Benefits, Pay, and you meet some really great customers.",Little to no work life Balance. Development becomes at a standstill after awhile.,Best Buy
15,"""Positive""",4.0,"Youngsters, knowledgeable, easy going atmosphere.",Lacking opportunity. Corporate level disengaged.,Best Buy
16,"""Not bad""",5.0,"Pay is okay, management is fun at my location","The daily grind gets to me, but I'm not a big fan of retail. It's good for retail though",Best Buy
17,"""Great place to work""",5.0,"Positive environment, good pay, great growth opportunity.",There are very few cons.,Best Buy
18,"""Great Company, Great Coworkers""",4.0,"Pay is decent for retail, management at my store was great, most coworkers were really cool","Working every single weekend, lots of grouchy customers who think you're just another slimy sleazy salesman trying to rip them off.",Best Buy
19,"""Fantastic, diverse and progressive culture !""",4.0,"Amazing fun campus, exceptionally ethical, exciting future",10-30% below market pay. Not much internal advancement opportunities,Best Buy
20,"""Overall excellent experience""",4.0,"Training was done very well, company does a good job of preparing you of what is to come. Good environment to work in, tons of internal areas for promotions.","Not much to be honest, it depends on the work ethic. Personally I feel like people who were unhappy at their position were not taking it seriously.",Best Buy
21,"""Best Buy from my eyes""",4.0,Like most large size retail companies working for Best Buy is what you make of it. I have seen a lot of coworkers move up and advance their career.,"Most of the management has an archaic mind set. I'm management you work for me, when I say jump - you jump. There is a lack of management that actively helps to build your skills and to make your work experience better. Have an idea to help improve sales, retention or the over all work experience? Unfortunately reaching out to upper management has proven to be looked down upon. And don't be naive to think they actually care.",Best Buy
22,"""Best Buy""",4.0,"Good people, competitive environment, discount is awesome","Sales goals can be unrealistic, hours are inconsistent.",Best Buy
23,"""Amazing work culture""",5.0,Very helpful and understanding people. They want you to learn and grow as an employee.,Can be unorganized at times but it was rare,Best Buy
24,"""Great Company""",5.0,Had fun while being the best,None known to me currently,Best Buy
25,"""Geek Squad cCA""",5.0,"Great hours, great environment, place","Not Available, everything is good",Best Buy
26,"""A Fair Job""",4.0,Fair minded managers Good support to balance work and life,Scheduling may at times be conflicting Working with third parts or shuttles can interfere with daily workload,Best Buy
27,"""Good for College""",4.0,Discount and people are great.,The supervisors tend to have a powertrip,Best Buy
28,"""Not Paid enough""",4.0,"Great environment and great coworkers. Great time off, and good benefits.",Very lacking in pay for some employees. Managers at my store like to promote kiss ups as well. holidays can be overwhelming.,Best Buy
29,"""Great Place""",4.0,Fun co-workers and environment good discounts,"inconsistent scheduling, some unprofessional employees are not penalized",Best Buy
30,"""You get what you put into it.""",5.0,Great company to work for. Great benefits and the HR experience is top class.,Other than lack of jobs in my field of interest none. A great retail company.,Best Buy
31,"""Sure""",5.0,The environment and the company culture,Hours can sometimes be inconsistent,Best Buy
32,"""Provide expert knowledge on and sell samsung home theater equipment""",4.0,There is bonus potential for each quarter where you can make an additional 10 to 20 percent of your quarterly pay as a bonus. Good workplace culture. Great discounts on products.,Not comission based (some may take this as a pro). Only so much career mobility in a brick and mortar location,Best Buy
33,"""Asset Protection""",4.0,Incredible employee discount was the best.,Tedious job. Receipt verification process mostly pointless.,Best Buy
34,"""Good Experience""",5.0,"Pay, Friendly Management, Relaxed Atmosphere","None, None, None, None, None",Best Buy
35,"""Working at this place""",4.0,The environment and co-worker really felt like family!,"Hours, pay, sometimes rude customers and customer that all ways about a discount on everything",Best Buy
36,"""Great job as long as you have good managers""",4.0,"It's a fun job, great discount, and a good job if you have the right managers.",Some managers make life horrible.,Best Buy
37,"""Great Job""",5.0,-You can move up quickly -Multiple opportunities to change positions,-Overbearing Management Strategies -Flawed Bonus Structure,Best Buy
38,"""Great company outside of holidays""",5.0,"Good pay, manager opportunities, amazing discount and training programs.","Customers are highly entitled and often rude, especially during the holidays. People will try to return things after using it part the return policy and the department employees lose pay when they do.",Best Buy
39,"""Amazing Experience""",5.0,Great management; Great training; Great coworkers,Hours; Some managerial decisions but nothing major,Best Buy
40,"""Solid Company""",4.0,"Great benefits, relaxed atmosphere. If you're willing to work hard and meet goals there are some opportunities for advancement.",Hours can be terrible. Late nights and long weekends,Best Buy
41,"""Computer associate review""",4.0,"Customer engaging, communicative, social, fun environment, cool coworkers.","Flexibility issues, micromanagement, upper management communication issues.",Best Buy
42,"""Easy job, frustrating management""",4.0,"Easy money. Do what you're told, and actually try and you'll be fine.",Micromanaging to sell cards and geek squad membership,Best Buy
43,"""Best Crappy Retail Job you’ll ever work""",4.0,Flexible schedule Competitive pay Amazing store culture,Little to no room for growth Burn out quickly No commission,Best Buy
44,"""Great company""",5.0,The culture in my store was very young and motivated. Great environment,I do not have any cons,Best Buy
45,"""Great Place to Work""",5.0,Always something new to learn. Mess with cool tech. Good pay depending on sales position. Fun to work.,A lot of training at the beginning of hire to train for sales.,Best Buy
46,"""Best Buy Operations""",4.0,Fast paced retailer with rescources,The dumbest SOP related to theft in the business,Best Buy
47,"""Great company fun environment""",4.0,Fun environment. Lost of targets and goals to hit but tons of help to get better ever day,Unfortunately they closed down all stand alone mobile stores,Best Buy
48,"""Awesome""",5.0,Great Place to work yep,None At all really. Liked it,Best Buy
49,"""Entry level sales""",4.0,"Ethical approach to completing customers ""basket"".",credit card sales pitches,Best Buy
50,"""Decent""",4.0,Good beginner job Decent pay,Retail position so you have to deal with unfriendly people at times,Best Buy
51,"""Great Workplace to start out""",5.0,"Discount, pay, benefits, time off","Not enough Recognition, not enough training",Best Buy
