,title,rating,pros,cons,company
0,"""Boeing is a great company to work for""",5.0,Very diverse with deep talent bench and a tremendous breadth of interesting and challenging work.,"Really big, which makes change complicated and sometimes slow.",Boeing
1,"""Boeing OKC""",5.0,Great work environment. Good people. Interesting work. Best aerospace company in the US to work at.,Work and skill sets are very compartmentalized. High performers will get bored quickly while lower performers will find it very comfortable.,Boeing
2,"""Very stable career choice.""",4.0,"Great 401k, healthcare and tuition reimbursement program!","You have to “do your time” to become a manager, normally at least 8 years in the company.",Boeing
3,"""Great Place to Intern!""",5.0,Great benefits. The employees are very nice and respect your time.,Work can get pretty slow at times. Sometimes you have to push to receive projects as an intern.,Boeing
4,"""Great benefits""",5.0,The Benefits are really. good,Small division with limited promotions,Boeing
5,"""Aerospace""",5.0,Best company I ever worked for.,"None, Boeing was great place to work",Boeing
6,"""Great benefits but it is a traditional company""",4.0,"Great work life balance, Great 401k, Interesting work that impacts everyone's life",Need to jump a lot of hoops to get stuff approved,Boeing
7,"""Great Place to work""",5.0,"Well structured, high tech company, lots of opportunity for growth","Big company ,things move slowly and carefully but that's nothing unique to Boeing .its the nature of Aerospace Industry.",Boeing
8,"""LSR job""",5.0,Super awesome great Great job,There are no down sides,Boeing
9,"""Excellent benefits""",5.0,"Excellent benefits, above average salary",No promotion possibilities at my location,Boeing
10,"""Amazing""",4.0,Amazing Company . Amazing People. Love it,There weren't any issues I had,Boeing
11,"""Good Company""",5.0,"40 hr weeks, work life balance, lots of opportunities","Slow paced, old culture, exceeding isn't rewarded",Boeing
12,"""Great first job""",5.0,My manager and team are amazing and I enjoy the work I do .,Seems like it would take a while to get promoted here. Most people have to interview to get to the next level.,Boeing
13,"""Good company""",4.0,lots of benefits and time off,"slow environment, many layers of management",Boeing
14,"""Great work place""",5.0,Abundance of opportunities within the company,Employees are Pigeon holed into groups,Boeing
15,"""""Alright""""",3.0,"Great healthcare, 401k, overall benefits",Monotonous and the concrete flooring would hurt your feet even with proper shoes,Boeing
16,"""Great Company Hindered By Hierarchy""",3.0,Great Work Life balance / Good Benefits / Supportive Career Development / Opportunities for Advancement / Amazing Products,Very Bureaucratic / Hierarchical / Slow to Adapt / Too many non-productive meetings.,Boeing
17,"""Horrible Management""",2.0,"I guess ""work life balance""?","every Engineer group I ever worked in had at least 1/3 of work force not contributing anything because of union, and most of the time, these people not pulling their own weight are senior employees who are getting paid 2 times more then the younger engineer who actually does all the work. Cafeteria is pretty much jail food, it's disgusting how expensive they charge their employee at their own cafeteria.",Boeing
18,"""Great opportunities to learn and grow, stagnating culture""",4.0,"Indredible opportunities to develop as a supply chain professional Visit suppliers and interact with many different supply chain stakeholders Objectively cool products Very fair company in terms of work life balance, huge holiday break",Culture stuck in the past Outdated systems and processed,Boeing
19,"""Former copywriter's opinion""",3.0,Great benefits and solid salaries,Poor management and lack of leadership,Boeing
20,"""Good company with good benefits""",4.0,Great place to work on cool products,Hard to get good engineering experience,Boeing
21,"""Stable and Secure""",4.0,Lots of opportunities to move into your areas of interest Management generally supportive of you directing your career,Knowledge transfer hard to come by Big company slows its self down with processes,Boeing
22,"""Business Analyst""",5.0,Excellent health care and retirement options,Cubicle life is a bit stifling,Boeing
23,"""Schedule is Everythin""",2.0,"Good money, and good people trying to do the right thing.",Union has management by the short hairs - get away with anything. Leadership is completely out of touch with reality. Deadlines drive production - NO MATTER WHAT DELIVER ON TIME.,Boeing
24,"""Stories company where you can work on amazing products with great people""",4.0,Great products and great people,"Some cultural difficulties, lack of accountability for senior leadership",Boeing
25,"""Lots of diverse opportunities and good people""",5.0,"In addition to a competitive compensation package with great benefits, the global reach and ample development opportunities are hard to beat.",Lots of change in leadership.,Boeing
26,"""Not a single satisfied customer""",2.0,High wages 9/80 work weeks Attempt agile development,Job security is diminishing by the minute. Defense side being killed by the Commercial side. Losing customer confidence.,Boeing
27,"""Great company, good work life balance""",4.0,"Good work life balance, a chance to work on interesting real world problems.","Beurocratic work environment, huge company",Boeing
28,"""Terrible work environment for women""",2.0,I don't have a lot of positive things to say,Bad pay and a terrible environment for women,Boeing
29,"""Do your research""",2.0,Fortune 500 experience Professional resources and network Fascinating products and industry,"Bureaucratic and politically-charged work environment. Professional success is (often) based on who you know and who is supporting your career ambitions. Leadership placement/promotions are often based on who is mentoring you or (other non-performance factors) and not merit. Ineffective leadership culture and lack of accountability. Poor performers are often transferred to different areas of the company, as opposed to being managed appropriately, and senior executives consistently exhibit questionable ethics (within and outside of HR) that amplifies a severe lack of transparency. The benefits package has deteriorated over the years. Medical insurance is expensive and the overall offerings are average when compared to other employers.",Boeing
30,"""Exciting, changing, frustrating""",2.0,"Lots of challenges, lots of change","Double standards, none accepting, non equity",Boeing
31,"""Terrible place to work""",2.0,"More stable compared to smaller companies, well known brand, little competition from market","Managers make all decision without consulting the talent, i.e. employees. Management and Unions are at odds and this creates distrust for all. Employees are treated like furniture. Management follows top down military style. Horrible work environment: crowded open cubicles, no parking, noisy, no privacy.",Boeing
32,"""Loved it""",4.0,Great place to work Awesome benefits Family environment Fast paced Talent development,Hard to move up from a mt position,Boeing
33,"""Great place to work""",5.0,great opportunity for placement and management,nothing that I can think of,Boeing
34,"""Good people, poor leaders""",3.0,"A lot of the individual employees, including many managers, are great. Smart, hard working, diligent. The actual workload isn't bad at all, and the pay is pretty good. Big company, so plenty of opportunities for new work/growth from within.",Leadership can often be poor. A general feeling of profits/stock price boosting comes before a lot of other important things that often have incredible long term impact. A general tendency for HR to act like glorified admin assistants and not actually useful partners.,Boeing
35,"""Great company to work for, crappy management makes you hate it""",5.0,"Benefits, OT, Vacation, sick 401k",Management very spiteful. Buddy system for sure.,Boeing
36,"""Decent company""",3.0,"Nice people, and cool tech.","Poor software engineering practices, low funding.",Boeing
37,"""Room to grow""",3.0,"Good work environment, exceptional products","Lower than average salaries and no long term benefits, stock options, pension... etc.",Boeing
38,"""Fun collaborative place to work""",5.0,"Good work life balance, good benefits, interesting work, great team","Management is working against you, performance based incentives are a mystery, a lot of stubborn, outdated ways of doing things",Boeing
39,"""Great - if you're lucky""",4.0,You work on airplanes. Big airplanes. Hands on!,"If you're unlucky, you can get stuck in jobs you don't love.",Boeing
40,"""Scheduling""",4.0,Pay benefits proximity competitiveness workers,Current issues with airplane design.,Boeing
41,"""Great company to work for""",5.0,"Good 401k , health benefits , good ethics and work culture",HR process of getting in can be a little painful,Boeing
42,"""Quality""",5.0,I have extensive experience in Aerospace Quality,Looking for security of the employment of an established company,Boeing
43,"""Good Place!""",4.0,"Company Pride, Stable Job, and Nice Coworkers","Slow Moving, seniority based, and conservative",Boeing
44,"""Great place to start your career""",3.0,*Tuition compensation *Hard to get fired *Lots of opportunity to move around,*Cafeteria reminds me of a gas station *Bureaucracy,Boeing
45,"""Comfortable Work Environment""",4.0,Great Executive leadership and everyone you come across is knowledgeable and have more than likely been with the company 10+ years,Very intensive culture and no windows in the factories,Boeing
46,"""From one debacle to another""",2.0,Office workers usually can get flex time,"Benefits were cut dramatically during my decades there. There is institutionalized discrimination against older workers, done shrewdly enough to pass court tests by targeting high job grades rather than older age workers. The only way to get into those grades is by working your way up, so the higher grades have older people in them. It's a crooked way of dealing with people who have given their lives and careers to build the company.",Boeing
47,"""Boeing overall""",4.0,"Flexible working hours, great management, interesting projects, fantastic coworkers.","Bureaucracy when attempting to move forward with new research, no funds for social events, cost cutting has increased health insurance payments 100% .",Boeing
48,"""Slow but stable""",3.0,Stable work place Great benefits 40 hour weeks,Slow 40 year old technology Change is difficult to push,Boeing
49,"""Typical inside the box thinkers who believe outsourcing is the panacea for profits""",3.0,"Great facility, good location near airport, good employee facilities","Management acts like accountants and lawyers by thinking inside the box focusing on process, not results.",Boeing
50,"""Good job""",4.0,Great pay and benefits,Poor morale. Poor management. Poor atmosphere.,Boeing
51,"""Not getting better""",2.0,30 years ago when I joined Boeing the environment felt like you belonged to the Boeing Family. In certain job codes you can be promoted to senior management in less than 5 years when starting out as a paycode 1.,"The Boeing environment has been deteriorating slowly over the years with reduction in benefits, reduction in keeping high end employees and ethical management behavior. When senior managers get caught, all employees pay in the way of lost bonuses and mandatory training that keeps piling on. Senior managers continue to get six figure bonuses annually no matter how good or bad the company performs. Bad employees cannot get fired Company eliminated paycodes 4, 5 &amp; 6 in a scheme to become more competitive but they kept all of the lousy managers. In certain job codes you can be promoted to senior management in less than 5 years when starting out as a paycode 1, resulting in the continuance of bad management.",Boeing
52,"""Still a good place to work. Confident culture will improve and Max will fly safely.""",5.0,Good safety culture. Many opportunities to learn and/or advance. Good pay and benefits,"Some shops are made to work mandatory overtime, and lots of it. Layoffs and/or strikes happen, although less frequent in recent years.",Boeing
53,"""Engineer""",5.0,Good work place for creativity,Not many that I can think of,Boeing
54,"""The place to work in.""",5.0,"Dream job, fortunate to work in The Boeing Company.",Need to appreciate employees hard work.,Boeing
55,"""Amazing""",5.0,great opportunities for new hires,nothing to share at this moment,Boeing
56,"""Good company""",4.0,Good people and strong culture of technical excellence,"The pay, and the MAX stuff which is hurting a lot of the business",Boeing
57,"""Loved working there, just not the long drive""",3.0,Great local company 2 weeks off at Christmas Great health benefits,Long Drive from home in rush hour,Boeing
58,"""They will throw you out and replace you your just a #""",3.0,Great pay and benefits,Your just a number to them and the union was absolutely zero help because they are in bed with the company. Sad,Boeing
59,"""Great""",5.0,"Great benefits. Great location, great work.",Low pay. Low salary increase and slow process,Boeing
60,"""Great""",5.0,"Great benefits. Great location, great work.",Low pay. Low salary increase and slow process,Boeing
61,"""Still a great company to work at""",3.0,"Benefits, type of assignments, co-workers, current technology, available training",Lack of communication fron s,Boeing
