,Unnamed: 0.1,title,rating,pros,cons,company
0,0,the booking.com experience has no rival,5.0,i chose booking because of the kind of work i would be doing the people that interviewed me which would be the my working colleagues and because of all the booking.com experience described in the material i received. everything is going the way it was described. other than that in booking.com you are valuable. i had a short start and then felt sick serious disease and since then i had ups and downs and my management at booking gave me every opportunity to recover to work on things i was able to due to my condition and so on. i am still under recovery and the company still values me at most providing me help and support beyond expectations.,i cant name a con at this moment. even the con for me which is the fact that all offices is on the city center which is hard to reach by car for most of my colleagues this is a pro because of the multitute of public transportation modals they can use.,Booking.com
1,1,great place to work,5.0,great benefits face pace work environment involved in the community pto is generous fun work environment,honestly no real big cons for the company. overall great company to work for.,Booking.com
2,2,awesome,5.0,first off the atmosphere and diversity is amazing. its an awesome company to work for. the pay is good and quarterly bonuses are a perk. they offer free food a lot and the canteen offers healthy food choices that b.com pays 50 of the price for. they offer monster energy drinks in the canteen and free starbucks coffee. the pto is also very good.,none that i can think off.,Booking.com
3,3,awesome company,5.0,love the work environment its uplifting and great supervisors,it can get hectic sometimes,Booking.com
4,4,salary,5.0,great benefits work environment  team like community,hospitality hours late nights amp weekend shifts,Booking.com
5,5,major issues under the surface,2.0,its not the worst place ive worked. the company has lots of cash and will probably always be a big player in europe although it faces major competitive threats abroad. thinks of itself as a global player but quickly becoming more of a regional one.,while the company claims to be data driven the culture is more consensus and relationship based rather than metrics and performance driven. data is still always part of the conversation but it isnt used intelligently  at least not very often. there is a strict hierarchy with those in hq above all the rest in power and authority  although usually not in intelligence. if you work with hq you will have to spend a lot of time sucking up to your peers and superiors in amsterdam. while the company preaches diversity this exists mostly at the lower levels. at the end of the day its a dutch company and that cultural identity supersedes everything else  even performance and common sense.,Booking.com
6,6,good place to work,4.0,great working environment flexible and productive,i cant think of any cons,Booking.com
7,7,good place to work,4.0,good coworkers and great company culture. plenty of nice perks including trips to amsterdam.,compensation is better at other companies for the same job,Booking.com
8,8,nothing to add,3.0,great values and policies at booking.com,not following the values always,Booking.com
9,9,not bad,3.0,good benefits great team fast pace you learn something new every day,no sick days people that have been for a long time do not accept new ideas,Booking.com
10,10,nice company,4.0,perks benefits parties co workers,bad managers workplace drama all the time,Booking.com
11,11,not a good choice for now,3.0,openminded company culture frequent communication with line managers many projects ongoing at the same time so that you can learn and improve yourself if you are new there,hard to promote the office culture is bit bureaucratic now low benefits and salary compared with the industrial competitors,Booking.com
12,12,customer service guest representative,3.0,fun work environment inclusive and diverse workforce benefits and employee appreciation,the lack of ability to move up the chain when they stressed how easy it was to do so.,Booking.com
13,13,summary,4.0,decent pay fun energetic atmosphere cool diverse coworkers fitness center cafe and game room company parties,usually never hired in as first shift shedule job can very stressful so be prepared and have patience and tolerance,Booking.com
14,14,great company,5.0,had a great leader. development was always on going. it was a challenging job however depending on the tl it will make it less stressed.,limited room for growth. should reconsider on the time they make the employee wait to look for advancement.,Booking.com
15,15,review,3.0,decent health benefits and 401k.,there is not much opportunity for growth.,Booking.com
16,16,traveling company but...be careful,1.0,pto and benefits. lot of vacation time and you can request a day before.,hr is not there to help you. management is no where to be found. you work with a lot of cool people from different backgrounds and culture that make it nice but management is horrible. they think they can buy you with donuts and cupcakes. they want to make you fat.,Booking.com
17,17,decent company,4.0,great development opportunities if you have a good manager. good worklife balance. inclusive work environment.,too much internal promotions even when it makes more sense to hire externally.,Booking.com
18,18,great group of people,4.0,benefits are good people are great.,pay should be more competitive,Booking.com
19,19,great job,5.0,awesome company to work for,must be open to fast paced changes,Booking.com
20,20,great teammates,3.0,you will meet some of the best people i love my teammates that work in my current office as well as other offices around the world that had the opportunity to meet. booking does a great job find,company has changed alot management and culture is not what is use to be.,Booking.com
21,21,great company to work for,5.0,awesome benefits young staff and management great pay  especially nightweekend pay,third shift very strict on attendance,Booking.com
22,22,overall a good place to work,4.0,great team laid back office culture for the most part. trip to amsterdam or elsewhere yearly. ideas are always welcomed and feedback is too for the most part. managers care about your well being. glenn taking over finally getting things moving with flights was great. wouldnt be surprised if we merge with priceline in future.,pay isnt great. were able to manage accounts how you wish now more micromanagement coming into play as company isnt doing as well. but change in marketing strategy is not lower level employees fault. constant change is hard to keep up with. very aggressive travel schedule as well.,Booking.com
23,23,partner executive customer service,3.0,lots of ptos 18 for the year plus any holiday you work given to you beforehand. quarterly bonus 010 good health insurance perks 240 fitness reimbursement and 125 medical checkup incentive fab fridays once a month we are catered a snack night shift incentive 0.25 per hour anual meeting invite to amsterdam by invite only learn about the call center vibe negotiation and think outside the box skills cafeteria has games and massage chairs,despite its growth there arent many opportunities to grow in the company. positions usually open for 15 spots and the office has 650 people. this is a place to work while you transition to something better. it is a deadend job. i recommend to stay a couple of years and then leave with the skills youve obtained. management is basically mini brazil. every team lead manages their team differently. some very strict that give you pressure because they do not know how to lead enforcing their authority and micromanaging without considering the long term effect on agents. others more lenient which is greatly appreciated because you are treated as a human and an adult. networking is important. its who you know you will help you get the promotion. they call it visibility. if you are in the reservations department people will be yelling at you most of the time for something they didnt read. the hotelpartner side is a lot more chill and orientation driven. after time it gets very repetitive therefore boring and can give anxiety. most of the time back to back phone calls.,Booking.com
24,24,constantly changing,4.0,everyone in the office is willing to help and teach you along the way. there is a ton of room for growth and development within the company.,pay could be raised more communication styles could be more professional,Booking.com
25,25,not good environment to work,3.0,great people to work with,not good management system,Booking.com
26,26,great company but you can find better,4.0,the people the office the environment is very motivating and it feel like home. work life balance is good but many companies allow working from home whereas booking does not.,opportunities for promotions are very limited pay is not great.,Booking.com
27,27,working,1.0,the people you work with pto,management team lead hours security hard pressure on kpi,Booking.com
28,28,such a great place to work and the culture is the best,5.0,fast paced great culture and people.,pay is average but still good,Booking.com
29,29,amazing place to work,4.0,amazing schedule benefits and teamwork,nothing to say about the company,Booking.com
30,30,booking.com is a great place to work and develop,5.0,comprehensive benefits package strong training and development programs company who lives by their mission and values at all levels,booking.com base pay may not seem as competitive as other companies however a full review of their benefits package compliments the base pay to a positive and competitive balance.,Booking.com
31,31,great place to work,5.0,fair pay great benefits terrific colleagues. there is room to grow to a certain extent. strong values and they care about their employees here.,be prepared to have some difficult conversations on the phone with customers.,Booking.com
32,32,easy job easy environment.,5.0,really easy job chill management lots of employee support.,changes constantly with no real communication from headquarters.,Booking.com
33,33,good environment for growth,4.0,i work with a lot of capable smart persons who take my skills to the next level.,i dont think there is any.,Booking.com
34,34,dont just dont.,1.0,free fruit sometimes and candy,you love toxic environments heva passion for zero stability and enjoy playing russian roulette with unstable management then booking.com is the perfect place for you to work at. the lack of professionalism and transparency from management is embarrassing . the constant harassing of good employees drives many people to quit the job more often than not while the managers are allowed to get away with everything. they can do whatever they want with your pto and say you missed days when you didnt. the policies are inconsistent and vague things change regularly and employees are never informed and our benefits are either taken away or reduced. our insurance recently went up yet a pay increase is apparently impossible. you can be here for 34 years and your pay wont even increase by a dollar per hour. for a multibillion company their most important employees aka the agents dont get paid a living wage and will have to rely on part time jobs and credit cards to get by while managers and executives fill their pockets.no one really ever knows whats going on people are told to do one thing and then are told to do the exact opposite by management and support staff the system constantly crashes and there is a multitude of bugs on a regular basis. they want you to believe that we are innovative and advanced but are just rolling out things that other companies have been doing for years. they promote healthy living yet the canteen fridges have had black mold and smell terrible on multiple occasions we get food thats already expired or has mold in it and they could care less about the mental health of their employees.nbsp if you want to advance within the company dont even bother. most internal openings already have a name to them and they are opened to others only for legalitynbspreasons. hr will do nothing to favor the employees and instead fall into the high school mentality with management ignoring issues that few are brave enough to report. if you report something anonymously somehow the person youre reporting will find out and retaliation will ensue even though is prohibited. favoritism and bootlicking will get you everywhere. good numbers good behaviors and work ethic will ensure that you are stuck in the same job for years on end and even risk termination.nbspnbsp do yourself and favor and dont bother applying here. this place is not worth it.nbsp,Booking.com
35,35,okay place to work,4.0,free fruits fab friday and all the other events every now and then.,too focused on the numbers that a lot of staff just leave a mess because theyre so in a hurry to move on to the next customer.,Booking.com
36,36,good. too much favoritism,2.0,good environment office  not people. great first job. great teachings that can be applied in personal life situations.,favoritism. managers are able to get away with anything. cs are underappreciated and managers promote people who are suck ups. many many many talent was left unrecognized. people here look like zombies and are literally doing anything to leave. no one can take it anymore here.,Booking.com
37,37,great company culture,5.0,management truly cares. inclusive company culture.,too much emphasis placed on of callsemails rather than customer satisfaction,Booking.com
38,38,good company to work for,4.0,great people all around and fun environment,middle and executive management is not suited or aligned to ceo expectations,Booking.com
