,title,rating,pros,cons,company
0,"""Great team to work with on Dayshift!""",4.0,The environment is comfortable (Temperature controlled warehouse) and the culture is excellent. Everyone tries as much as possible to work as a team.,The pay is not great but the benefits are nice,Cardinal Health
1,"""Dynamic place to contribute""",5.0,"Creative and collaborative environment, face paced, ability to be promoted if perform",Can be stressful. Need to be a face paced multi-tasker,Cardinal Health
2,"""Cardinal""",4.0,"Big company, Good Paid Time Off","Always changing, difficult to move up",Cardinal Health
3,"""Great culture""",5.0,"Great culture PTO, WFH flexibility Opportunities for promotions",Lots of organizational change Not high paying,Cardinal Health
4,"""Great Company""",5.0,Dress for your day = jeans! Mobility Work Life Balance,Seems to be a lot of turn over. Many jobs are being sent out of America.,Cardinal Health
5,"""Great place to work and grow as a leader.""",5.0,Committed to our customers and truly care for our workforce.,Centralized HR leaves folks in the field wanting.,Cardinal Health
6,"""Easy position for those with training""",4.0,"Good pay, good people, good atmosphere, and easy work o",Dreadfully long hours and horrible management team,Cardinal Health
7,"""nice""",5.0,good management and great team,every thing looks good to me,Cardinal Health
8,"""Packing medical supplies""",5.0,Enjoy packing and working in a warehouse,I always been a people person can work with anyone,Cardinal Health
9,"""Overall good experience. Pay is on time always. A lot of work sometimes but you can handle it.""",4.0,Pretty good salary. 401k matching.,Should hire more people to cover workload,Cardinal Health
10,"""Great company to work for""",4.0,"Great company with flexibility, development and empowering employees",Benefits are costly and go up every year,Cardinal Health
11,"""Cardinal is slowly sinking...""",3.0,-PTO is generous upon being hired and after 5 yrs with the company -Gain experience with multiple facets of healthcare and supply chain -Peers and colleagues are supportive and team oriented. -Lean team but high productivity,-Goals and quota are unrealistic year after year. -NO new products or services but growth is expected YOY with little investment to the team or operations -Company is not aligned to customers -Operations is behind and not innovative -Culture is resistant to change and improvement,Cardinal Health
12,"""great until..""",3.0,great time off and training,no room for growth and bad health care plan,Cardinal Health
13,"""Great Place to work""",5.0,"Easy job, great benefits, loved the culture and the possibilities to do community work",Tied down to phone,Cardinal Health
14,"""Great company; but not perfect""",4.0,- work from home 2 days a week - flexible hours -excellent PTO. Starting PTO is 21 days.,-management not the best - poor training - salary is at the lower end of industry,Cardinal Health
15,"""Good benefits, Easy Job, Horrible company""",2.0,Good Pay Easy to grow Fairly easy job,Bad management Very inconsiderate Don’t care about employees unless you’re high status Work overload,Cardinal Health
16,"""Awesome job""",4.0,"12 hours , decent benefits",Hard to get to day shift,Cardinal Health
17,"""Great culture""",5.0,Great culture focused on development. Also provides the opportunity to move around to other business units easily creating a way to explore and grow your professional strengths.,Pay bands are low end of competitive. Technology footprint is below par.,Cardinal Health
18,"""Great Entry Level Program""",4.0,"Lots of opportunity, great starting salary, awesome PTO",really long hours on the warehouse floor but hard work is rewarded,Cardinal Health
19,"""Good Opportunities""",4.0,lateral movement encouraged for experience,big and slow moving. Red tape,Cardinal Health
20,"""Great Company""",4.0,"Work Life Balance is great. Set your on schedule, but you have to produce.",Not much upward mobility. Layoffs every time the company had a bad year.,Cardinal Health
21,"""Great company and culture to be a part of!""",5.0,"Career Advancement, Benefits, Culture, Values","Competitive Pay could improve, stressful",Cardinal Health
22,"""Good company""",3.0,Benefits are better than most local companies,Difficult culture - club kind of environment,Cardinal Health
23,"""Worked as a manufacturing operator for 4 years and a supervisor for 1.""",4.0,"Good benefits, room for upward mobility.",Satellite relationship with main office makes it difficult to network with management.,Cardinal Health
24,"""Same as it ever was""",4.0,ample PTO time good benefits Mike Kaufmann is engaged with community,lack of sharing process information,Cardinal Health
25,"""This was a great company now it’s just a mess""",1.0,"Flexible hours, decent pay, a few good people left","This company has turned into a disorganized mess. They let go so many people they can’t effectively run their business anymore. To make matters worse there’s a complete lack of communication to their customers concerning matters that impact quality of patient care. Once a company that seemed to value their employees, the culture has completely changed and they couldn’t care less.",Cardinal Health
26,"""Great Place to Grow""",4.0,Company really invests in your growth and development,Constant change and reorganization can be overwhelming,Cardinal Health
27,"""Mid Missouri office will ruin your career""",1.0,Do not work for this company at their mid Missouri location.,To many to list. Biggest mistake of my career was to work for this company.,Cardinal Health
28,"""Great Place to work""",4.0,Great teams great leadership innovative,The company is large so things are slow to move there.,Cardinal Health
29,"""Claims analyst. Heavy workload. Unrealistic expectations to get work done.""",3.0,Lots of opportunities for overtime,Management plays favorites and talks down to employees,Cardinal Health
30,"""Heavily Dependent on Team""",3.0,Good high level corporate culture,Lack of professionalism on certain teams,Cardinal Health
31,"""Supply Chain Analyst""",4.0,Good opportunity to learn,Low base salary and no sponsorship for the international employees.,Cardinal Health
32,"""Project Manager""",4.0,Management is very supportive of employees,Would like to have more training at the beginning,Cardinal Health
33,"""Love this Company!""",4.0,"People, career growth and benefits.",Slow to make decisions. Reports are not great.,Cardinal Health
34,"""The employee's  and  management  were very easy to work with""",4.0,"Pay, vacation, the changes, they cared, the pay",They changed some of the way we done things to make it more efficient. Turned machines up. They did want you to work more hrs. Sometimes they didn't do things like they said they were.,Cardinal Health
35,"""Corporate Finance""",3.0,"Interesting business, liked my colleagues, solid benefits and compensation","Poor management has put them in a deep financial hole, and professional work is being outsourced as a result. I understand it, but it is still disappointing to hear zero accountability from executive leadership for the situation this company finds itself in.",Cardinal Health
