,title,rating,pros,cons,company
0,"""Engineering Specialist""",4.0,"Great benefits package, 401k options.",Business travel to mines and other remote industrialized places,Caterpillar
1,"""Project Analysis""",3.0,Work/life balance is great in my location,Worry about layoffs all the time,Caterpillar
2,"""Awesome place to work and learn new things""",3.0,Good benefits people working as a team working with cranes and hoists,Managers and supervisors have their favorites,Caterpillar
3,"""Good Company to work""",4.0,"Great Management,work life balance,good compensation",Downturn possible for every 4 year once,Caterpillar
4,"""Cat intern review""",4.0,Good place to work at,Not much - maybe too little to do,Caterpillar
5,"""Inbound Parts""",3.0,"Fair wage, reimbursement for shoes","No organization, a lot of rumors about sexual misconduct",Caterpillar
6,"""Human Resource  all levels""",3.0,the benifits are very good,the hours are really long,Caterpillar
7,"""Good opportunity""",4.0,Great work life balance focus &amp; compensation,There are inconsistent policies among teams.,Caterpillar
8,"""Decent job with decent pay.""",3.0,Steady 40 hours a week. Union job.,Company is more worried about the all might dollar then its employees.,Caterpillar
9,"""Team Lead""",4.0,"Compensation, bonus, benefits, etc are very good.","Very traditional hierarchical org structure. Certain places have a 1950's factory mentality. Also very difficult to move up. The work environment involves a lot red tape. Have to get through a bunch of ""process"" just to get work done. Global IT has had a ton of layoffs, skeleton crew trying to keep up an archaic infrastructure with duct tape.",Caterpillar
10,"""Great company. Cares for its people""",5.0,Great company. Cares for its people,Being located in Peoria!,Caterpillar
11,"""Not a bad place to work, But our plant is closing""",4.0,Culture and Safety are excellent,The plant is closing at the end of the year,Caterpillar
12,"""Quality inspection""",3.0,"Pay was decent, job satisfaction by actually making a quality product","Management is clueless, upper management makes terrible choices",Caterpillar
13,"""Improvement Needed""",3.0,Global company with various locations,Poor treatment of Administrative staff.,Caterpillar
14,"""No longer a lifelong employer.""",3.0,The people you work with are exceptional. You will not find a more talented group in any other company.,Prone to violent swings in market conditions. Leadership overreacts market cycles. They add capacity after we peak in up cycles and cut capacity after we pass the bottom of down cycles. Continue to squeeze workers with more work and reduction in compensation.,Caterpillar
15,"""Worked here for over 4 years""",1.0,Ability to work over time,"Management sucks, different rules for different people, hostile work environment",Caterpillar
16,"""I  work for a cab company. I do all the repair on cabs at caterpillar.  I also am a welder .""",5.0,Great people . Know a lot of y’all already,A long drive . Try to see where I can help,Caterpillar
17,"""Really good""",4.0,"Working hours, good team and short distance to work",Huge Cyclic environment in business,Caterpillar
18,"""Good""",3.0,Money time off insurance .,Hours slow down time always,Caterpillar
