,title,rating,pros,cons,company
0,"""Toxic and Unsystematic""",2.0,The benefits were decent. Most of my co-workers worked with high integrity.,"Centene has experienced a rapid growth over the past couple of years, a growth that they have continuously been ill-equipped to handle. A very reactive corporation, who is more concerned with climbing the Forbes list than they are with the people who support them. Favoritism and lack of integrity among Management and Leadership. This energy trickles down from the overall practices of Centene, in which pending public lawsuits and violations are pending for the growing organization. No work-life balance and no one truly advocated for the people who had their boots on the ground, engrossed in the day to day. Worked into anxiety, stress, depression, and calls for assistance was dismissed.",Centene
1,"""Fearful Management""",2.0,Benefits and pay comparable to other insurance companies,"Management here one day and gone the next. How does that fear trickle down? It doesn't take a genius to figure it out. Continual acquisition of companies when no one knows A from Z is not a good environment, but you already know.",Centene
2,"""Good Company""",5.0,Great co-workers and supervisor in department. Good insurance.,I really like everything so far,Centene
3,"""Not Impressed""",2.0,Has two additional holidays; Xmas Eve and New Years Eve which most companies do not provide,Lack of communication from leadership. Every department works in silos. Culture is very old school; feels like the 1960's. Not forward thinking; no WFH,Centene
4,"""Best benefits package ever""",5.0,Medical dental and 401K,I dont have anything to say negative about this company,Centene
5,"""Overall a great company""",4.0,Growth. Plenty of opportunity within in the company. If you don't like your department or work it's very easy to transfer to a new department or job. Although the skill requisite might be different.,"Some managers are unproductive making it difficult to work cross-functionally. Depending on the team and department, business fluctuates. Having an unproductive manager in these times can be stressful.",Centene
6,"""Should take better care for Employees""",3.0,"Good leadership and opportunities to grow within the company. However the Employee need to have that self-determination to take the leap. Centene recently developed good benefits like the paid parental leave, though very late in the corporate world among other pro-employee companies in Healthcare.","There is more room to grow for HR in employee retention. The Company is more focused for having appetite on big acquisitions, whereas contributing to Employee 401(k) savings to vesting 100% only when reached 5 year tenure, which is absurd. No Work/Life balance.",Centene
7,"""It's ok""",2.0,Pay is decent for the job type,Very little training Too many computer systems to learn Protocols/work flows change daily,Centene
8,"""Hard to Survive or thrive""",2.0,"Interesting and challenging job, a few opportunities for advancement.","Atmosphere is very toxic, unrealistic demands and a culture of gossip and cliques.",Centene
9,"""keep status quo and self promotion and you will do weel""",2.0,"consistency, cafeteria is great",managment is all about self preservation,Centene
