,title,rating,pros,cons,company
0,"""Great safety culture, much room for efficiency improvements in Finance""",5.0,"World-class oil operations, state-of-the art in some locations","- When crude oil price $/barrel is low, money comes first (not people and good relationships).",Chevron
1,"""Cool company""",4.0,Lots of incentives and perks,Low pay and no advancement for anyone lower then management,Chevron
2,"""Interning at Chevron""",4.0,The job offers high Pay,The company isn't very diverse. Not much development.,Chevron
3,"""As soon as I started looking for a job, I suddenly got a phone call from the owner one day to start immediately""",5.0,"Location & pay, easy to access great worksmanship with managers & other store owners",Getting to knoe you basic working ability skills in performance,Chevron
4,"""Great company!""",5.0,Nice benefits: -401k 8% match - 2% employee contribution - Sign on bonus - relocation bonus - Annual salary increase and bonus - flexible work schedule Great culture and learning environment!,- Work can be non-technical sometimes - Takes a long time for things to get done - Too much comfort can also be negative for your personal growth,Chevron
5,"""Great people but business struggling""",4.0,"Amazing people to work with, everyone wants to develop energy responsibly.",Supply and demand fundamentals have changed and the business is struggling.,Chevron
6,"""great company to work for""",4.0,great company to work for,not alot of time to spend with family,Chevron
7,"""Process Automation Engineer""",5.0,"Great pay, great culture, lots of growth opportunities, ability to travel all over the world. Lots of exposure to different areas of the business, volunteer opportunities, lunch & learns and flexible work schedules.",Very few people give constructive feedback and it takes a long time to make decisions.,Chevron
8,"""Good Company""",5.0,Good company for people in the oil and gas industry. Have a large platform to develop the career.,"Recently, the oil and gas industry is experiencing a downturn.",Chevron
9,"""Overall great package""",4.0,"great benefits, good people, interesting work",Hard to get promotions within ITC,Chevron
10,"""Great company, strong corporate culture and excellent benefits""",5.0,Strong culture in health safety and environmental,Too focus on satisfying short term shareholder return,Chevron
11,"""great""",4.0,It has excellent work culture.,A lot of new company platforms and frameworks to keep up with,Chevron
12,"""Great place to work""",5.0,"Competitive salary, good benefits, great people",None that I can think of,Chevron
13,"""Good pay and benefits""",4.0,great work life balance benefits,annual bonus isn't that great,Chevron
14,"""Nice First Job""",4.0,"Nice place , plenty of work",Watch out for gas fumes,Chevron
15,"""Chevron HES""",2.0,"Pay, benefits, location, work schedule","Company is contracting in size, corporate culture is trying to modernize itself, but faces heavy resistance from personnel with 30 year careers.",Chevron
16,"""Great challenges, but stuffy""",4.0,I was always challenged and had access to the best software,"The corporate atmospher can stifle morale and the ranking system is forced. Management says otherwise, but in practice it is.",Chevron
17,"""Little to no impact on the bottom line.""",3.0,"Work life balance. Decent Pay, decent benefits in the long term.","Very slow and too much process. No impact, no creativity. Procurement at chevron is unfortunately a pure support function to Engineering who make all decisions",Chevron
18,"""Great Company""",5.0,"Work/life balance, Job Collaboration, Culture, Reliability, Relatable","PMP Process, Work Load, Travel",Chevron
19,"""Daily Support Designs Engineer""",4.0,The Work life balance is ideal,There is limited Mobility within the company,Chevron
20,"""Best place to work""",5.0,Great culture Flexible hours Positive atmosphere Competitive pay Great benefits,Select work locations Medium work load,Chevron
21,"""general workforce work life balance is important to executive management""",4.0,good compensation and great benefits,there is a process for everything.,Chevron
22,"""Good job""",4.0,Meeting lots of new people,The pay is a bit low for the position,Chevron
23,"""Great Company, Great Culture""",5.0,Collaborative Environment Diverse and Exciting Culture Numerous Opportunities,None other than Houston traffic :P,Chevron
24,"""Oil and Gas""",4.0,"Benefits, Work Life Balance, 401K","Unstable industry, layoffs, salary higher with independents",Chevron
25,"""Stable, but limited opportunity for personal growth""",4.0,"Raises are consistent, great benefits, excellent work/life balance. Deadlines are usually realistic and projects (in my BU) are adequately staffed. Senior management has a clear and well communicated plan and seems highly competent.","It's difficult/impossible to be allowed ""outside your box"" if you are in certain engineering disciplines. Leadership talks a great game about being able to post for stretch positions internally but they always deny approval when the time comes. If you like to move around to continue learning new things you're likely to get bored.",Chevron
26,"""Amazing company!""",4.0,"Franchise opportunities, company growth, friendly environment",Workplace hazards and late night shifts,Chevron
27,"""Too many processes""",3.0,"Good pay and benefits, vacation and pay leaves are good.",Management cannot make decision and relies on buddy-system too much.,Chevron
28,"""Operator""",3.0,"Good pay, benefits, pension, healthcare.",No work life balance. 500-1000 hours of overtime. Overtime is mandatory,Chevron
29,"""One of the best!""",4.0,Safe place to work. Values diversity &amp; inclusion.,"So much on processes and approvals, which can slowdown the work.",Chevron
30,"""Great Company""",5.0,Great benefits. Competitive pay. Collaboration is fostered. Good work-life balance depending on team. Overall good culture,Cyclical business. May need to change jobs as the market changes,Chevron
31,"""Great company""",4.0,"-Pension -401k employees 2% matched by company 8% -Health, dental, life ins -Family care paid leave -sick leave -stress leave - Baby bonding leave - Great safety culture -paid holidays",- Health and Dental insurance are not competitive as you'd expect freon a fortune 500 company,Chevron
32,"""Good job""",5.0,"Well paid, job security, 12 hour shifts",Traveling out of state,Chevron
33,"""review""",4.0,great pay and great benefits,Management only cares about themselves,Chevron
34,"""Not what it used to be""",1.0,O&amp;G industry pay is good.,"Chevron no longer embodies the culture it used to. Safety and employee satisfaction and retention are not high priorities. Too many stupid cost cutting measures that don’t actually save money, they only make employees lives hard. Work life balance is an afterthought. They already picked out their pets, who are typically the most useless and unethical people they have, for leadership and other career opportunities. The rest of us doing real contributions are treated like garbage and constantly harassed and threatened with unemployment. Unbearably thick layer of useless middle managers and team leads slave drivers forcing us to do waste work.",Chevron
35,"""Great place to work""",5.0,"It was a great place to work, and the remuneration was competitive",Older workforce on average,Chevron
36,"""Good Company""",4.0,Good salary and benefits.,Working in the oil industry leads to ups and downs with hiring/laying off.,Chevron
37,"""Customer service""",5.0,I love meeting new ppl and also seeing Familiar faces we have a lot of regulars that come in there and they always bring a smile to my face,A lot of drama,Chevron
38,"""Good company""",4.0,"Pay, scene, atmosphere, relationships, company legacy","Work load, interview process, no",Chevron
39,"""Amazing Company to Work For""",5.0,The company takes good care of you. People are dedicated and hard working.,"Like in any big organization, the pace of work and career progression is slower than what you would expect in a smaller company",Chevron
40,"""This was one of the worst places I have worked; promises made and broken, training hidden, and disorganized,""",1.0,"Benefits, benefts, security of building, benefits","Micromanaged, no real communication, listen to your employees, not just what a supervisor says",Chevron
41,"""Chevron""",3.0,* money is good * benefits is good,* oil is destroying the environment,Chevron
42,"""Ok job""",2.0,Free food and experience with customers.,No direct deposit. Lack of communication with management,Chevron
43,"""Great Company""",4.0,This company hires top notch people in every department. They have very good subject matter experts. Benefits are amazing. Safety culture is amazing.,"The corporate culture is very competitive. Being a female, it was hard trying to adjust to a predominately male work environment.",Chevron
44,"""Great company""",5.0,"Friendly great manager, flexible hours, store is clean",Have to upsell even to regular customers,Chevron
45,"""Chevron Technologist""",5.0,Good place to work. Lots of opportunity and nice culture.,Things can move slow and middle management is too heavy. Salaries are a bit on the lower side for top performers. Career promotion and salary increases can be very slow.,Chevron
46,"""not good""",4.0,Pay is competitive &amp; generous benefits,Layoffs &amp; no job security,Chevron
47,"""Chill job, low pay""",4.0,Work in a quiet area so very calm... mainly cleaning throughout most of the shift. The manager is very nice and approachable. Register is new so there are hardly technical issues and angry customers.,"Pay is still 12 the hour even though many places pay more. Literally under minimum. The company holds very high standards so they are picky about how everything is done and how well, (like cleanliness and exactly what to say to customers). Little things like this are cons but not terrible.",Chevron
48,"""Easy Job""",4.0,You get excellent experience in customer service and in handling cash.,"There are a lot of difficult people to put up with, especially homeless people.",Chevron
49,"""Chevron is an excellent company to have a career with.""",5.0,Chevron ensures that employees are guided in career direction and gives them opportunities to progress.,Currently Chevron has a shrinking portfolio of projects.,Chevron
50,"""Hard to impossible to move up""",4.0,"I've enjoyed working here and am thankful that Chevron has paid for much of my training and education. Benefits are good and they have done a good job with progressive programs like M.A.R.C that has allowed for employees at all levels to have open, candid and supposedly ""safe"" conversations around bias thinking, non-inclusionary practices, and other adverse type of topics that have historically been swept under the carpet. It's a program that ideally will help with molding a better culture that will eliminate the ""good 'ol boy"" mentality in Oil &amp; Gas industry.","Current internal hiring process/career development programs are not as inclusionary as it could be, specifically within the IT world. Too many ""badly behaving"" managers are being promoted and allowed to continue to bully or mistreat their direct reports. If you're an admin and have a brain and want to get promoted, stay away from the IT groups here.",Chevron
51,"""Mobility""",3.0,"Great place to work with awesome perks, such as an on-campus gym","The culture is a bit odd, very cliquish and a lot of brown-nosing.",Chevron
52,"""Optimize Locally, Work Globally.""",3.0,Starbucks. This is five words.,Local Optimization is rewarded. Local Optimizations + Short-term positions (1-3yrs / system always in flux) + Decisions by Consensus + Layers and Layers of management + Processes over Processes = Complexity and Minimized Traceability and Accountability for bad decsions. IT decisions are NEVER questioned. IT projects are NEVER held accountable in the same manner Core Business is.,Chevron
53,"""Awesome place to work with room to grow""",5.0,"Chevron loves promoting from within, plenty on room to move around in the same company",Must be promoted into salary,Chevron
54,"""Good culture, but slow technical career ladder; operations leadership is the only way.""",3.0,"People, for the most part, are more respectful at Chevron compared to other oil and gas companies at which I've worked. Career trajectories are high if you're willing to go with the flow and move every few years to that next opportunity. Diversity is more valued than many other oil and gas companies. Strong safety culture with ability to stop work. Extroverts go far here.","Technical subject matter expertise is not cultivated from within. Those bringing in technical capability externally will feel underappreciated because managers don't know what good actually looks like. Company is trying to integrate upstream and downstream but won't be successful as long as there is such a huge pay difference between the two. Downstream technical engineering salaries are lower compared to many other downstream players. To advance in downstream, ops management seems like the only way to go. Gotta talk the talk and play the game. Due to performance rankings vs. your peers, you gotta fight your way to be competitive--lot of hey, look at me me me!",Chevron
55,"""Micromanaged/ Advice: Don’t speak up at meetings""",3.0,"Pay, benefits, yearly bonus and at least cost of living raise every year, 9/80 schedule, 401k match, work/life balance ok if you don’t have an on-call position.","Volatile Oil &amp; Gas industry, micromanaged and ranked for your performance by mid level Mgmt who don’t even know how to do your job, if you work hard and are good at what you do you get the slackers’ work as well, have meetings to decide when the next meeting is, want you to hurt working relationships by doing an NLI on your co-worker every month or quarter. And favoritism all over the place. Mgmt will have drinks on the weekends with their pet employees. They say they want you to speak up and give an opinion at meetings, but the people that don’t get laid off every other year when they have massive layoffs during a ROM are the same people who don’t say one word at meetings... or that have drinks with Mgmt on the weekends.",Chevron
56,"""Well Site Manager""",5.0,Excellent benefits and resources. Very team driven. Leadership is always making good decisions.,Work life balance for field employees.,Chevron
57,"""Work hard, get great benefits and pay""",5.0,"Very structured, and great benefits",Aside from wonky customers sometimes everything was great.,Chevron
58,"""It was work""",3.0,"Usually always good amount of hours, gun people to work with at my location","Long hours, worked on all holidays no exceptions, no flexibility with scheduling, management at this location was minor greatest",Chevron
59,"""World Class Leader""",4.0,Great work/life balance Great benefits Very team oriented,Huge company so processes are sometimes slow Pay could be better,Chevron
60,"""Good Company with slow to change management""",4.0,"Salary and Benefits on par with other oil and gas companies, good work like balance, lots of opportunities",Management can be extremely slow to make any decisions. Extremely risk adverse. many times managers will defer decisions to higher levels of management that are clearly in their responsibility.,Chevron
61,"""Not a fan""",1.0,Never short on hours to give employees,Terrible care for employees well being,Chevron
62,"""Chevron review""",3.0,Good pay good people good tips,People are not the nicest,Chevron
63,"""Great place to work""",5.0,It was a phenomenal experience everyone was so helpful and kind.,If any cons were noticed it nothing that you wouldn't see at another company. Its honestly a great place to work,Chevron
64,"""Was okay""",3.0,"Okay pay, decent hours, nice people",No lunch breaks during graveyard shifts. Will terminat contract without notice if you have medical problems.,Chevron
65,"""Good Company""",5.0,Good company and fair to employees,Nothing bad to say about Chevron,Chevron
66,"""Management and scheduling needs fixing""",2.0,"Good worker, schedule was simple","Poor management, work holidays with no extra pay, favoritism among management and employees.",Chevron
67,"""World Class Company""",5.0,Safety is the highest priority.,Promotions can be slow.,Chevron
68,"""Never a dull moment at chevron....""",2.0,-Laid back work environment. -Free fountain drinks during your shift. -Stay busy due to customer frequency.,-Cleaning public restrooms. -Rude Customers. -pay needs to be increased.,Chevron
69,"""Good place to work""",4.0,"Good place to work, the people make the place.",Working in a refinery can be dangerous to personal health and safety.,Chevron
70,"""Great company""",5.0,"great culture, very diverse and lots of opportunity to relocate as long as performance rankings are not below average, annual CIP bonuses are always paid out to employees","might be a little to devoted to office safety and ergonomics, high performers tend to be overloaded and often placed in stretch roles",Chevron
71,"""Comfortable, but Boring""",4.0,"Steady Job, Reliable Paycheck, Enough Work to stay busy for a lifetime",Feels a bit like clocking in and clocking out; large company leaves you to your own devices more often than not - can be quite boring,Chevron
72,"""Great resources and develoment""",4.0,Treat people well Friendly climate Great resources and opps for development,Behind the wheel with rest of oil industry for digital transformation. Making great strides here,Chevron
73,"""Garbage""",1.0,The money and the hourd,The boss is a complete perv and wants you to sleep with him for your job. All of his employees are.,Chevron
74,"""Chevron was good""",3.0,"Great people, work was sometimes interesting and fulfilling. I was able to have a long-term career with one (merged several times) company in a time when most people I knew kept a job for less than 3 years.","Many parts of the company restructure every 18 or so months, so it was always uncertain if you would have a job or what that job might entail. Very long and demanding work days, and some truly terrible bosses were allowed to change things in a whim. Since the bosses were new to their job every 18 months, no consistency of direction, just consistent values and rigorous business and safety practices.",Chevron
75,"""Chevron cashier""",3.0,"Busy, on your feet, always working",Cleaning gas and no breaks unless enough people are working,Chevron
76,"""Cashier""",5.0,Great availability Good pay Weekly pay,No hours Boring days Bad times,Chevron
