,title,rating,pros,cons,company
0,"""Challenged""",2.0,Great medical benefits as well as other non comp benefits,Not very advanced in terms of technology and a lot of duplicate systems make it difficult to make major advances in a technology roadmap.,Cigna
1,"""Cigna review""",2.0,We are able to work from home,"Time off availability - one may have 200 PTO hrs to use, but if you are in a dedicated que there are few CSA's available for calls so Cigna won't allow more then 1 person off a day on the calendar.",Cigna
2,"""A great company but corporate is not for me""",4.0,Gave a lot of opportunities for employees to advance in the company and great education benefits. Has a lot of work at home opportunities and a fun work environment on site.,Worked in a call center environment which can be very draining. Also felt very restricted by company policy and scripts which seemed to interfere with actually connecting with what the customer needs.,Cigna
3,"""Cigna was a decent company, but they don't really think about their employees when they are making big decisions.""",3.0,The local work environment was generally positive and the direct supervisors always tried to be as helpful as they could be to their employees.,The managers and directors right after the supervisor level were not always transparent nor flexible with employees.,Cigna
4,"""Micromanaging""",2.0,Work at home Pay is above average (you'll earn it),"Benefits are high with high deductible, copay and out of pocket costs (Cigna can and should do better) Micromanaging good people into the ground Promotions not based on skill or ability",Cigna
5,"""It was okay.""",3.0,"office atmosphere , benefits , cafeteria .","After doing 2 months of training for medicare PPO plan we kept getting pulled in to do more trainings to do more jobs . only to get paid the exact same and do more work. when I worked at other health insurance companies you would get paid more to do pharmacy (its own animal) , enrollments (commission) , claims &amp; to teach other plans NOT HERE.",Cigna
6,"""Okay""",2.0,"Flexible work schedule, decent PTO",No room to advance or to change career tracks. Been the only person of color on my team for over 5 years. Pay is lower than industry norm. Very high stress.,Cigna
7,"""Customer Service Representative""",5.0,Learning different aspects of the business. Flexibility. Workplace culture. Creative bonuses.,Restricted mobility or room for growth.,Cigna
8,"""program operations manager""",4.0,able to work from home,no career advancement in this position,Cigna
9,"""Good opportunity for behavioral health""",4.0,they have a diverse client population,limited opportunity to transfer to other areas,Cigna
10,"""Good opportunity for behavioral health""",4.0,they have a diverse client population,limited opportunity to transfer to other areas,Cigna
11,"""Great company""",5.0,"Pay, colleagues, upper management, work-life balance, tuition reimbursement",Insurance plans aren't great. Need for more advanced technologies.,Cigna
12,"""TECDP program is great for career development and growth. Allows you to gain experience in different roles.""",5.0,"Work environment is positive, TECDP allows you to experience different roles and opens the door for opportunities within Cigna.",Large companies like Cigna tend to have lots of meetings which can slow progress on individual work.,Cigna
13,"""Overworked""",3.0,Great benefits and commute. Great vacation plans,Overworked. Understaffed. Poor Work/Life Balance,Cigna
14,"""Glad to be gone""",2.0,Work from home Work Life Balance,can be an oppressive work environment,Cigna
15,"""Don’t Let The Positive Reviews Fool You""",1.0,Work at Home. That’s it. PTO WAS generous and given up front but now it is accrued. For a healthcare provider our benefits are terrible.,Massive Layoffs on 2/20/2020. In numerology the number 8 equals new beginnings. That’s what a lot of “former” employees are facing due to the “restructure”. This company has been “restructuring” since 2016! Silently departments have had job eliminations. When a healthcare company lays off nurses there’s a problem. This company is not stable and on the verge of imploding.,Cigna
16,"""Enjoy it here""",5.0,"Flex schedules, pay, management",Medical benefits and difficult to get hired,Cigna
17,"""Flexible""",5.0,I have a wonderful manager.,The company doesn’t have a lot of internal movement. I don’t feel I have a lot of room to grow.,Cigna
18,"""Not valued""",1.0,??? Can’t think of one,"Not valued, hostile environment and negativity among peers. Gossip and favoritism",Cigna
19,"""Work at home is a plus""",4.0,Great management team and ability to work from home,None at this time. Will continue to re-evaluate.,Cigna
20,"""Great Organization""",5.0,I love working for Cigna. This organization works hard for their employees and their members.,"Strict schedule, even for work from home employees.",Cigna
21,"""Great company""",5.0,Awesome flexibility and work life balance,Can be difficult to move to new positions,Cigna
22,"""good company and great opportunity""",4.0,they really prompt learning and caring in the work place,not a lot of opportunity for growth,Cigna
23,"""Best place I ever worked""",5.0,A learning and sharing environment,There are no cons with Cigna,Cigna
24,"""Good Company with Areas to Improve""",4.0,"Good people, mission and vision are solid, strong desire to do good.","Difficult to get an opportunity to move into new roles, need to invest more in managerial skills, political atmosphere.",Cigna
25,"""Not a Bad Company""",3.0,"Lots of opportunity for growth, a lot of streamlined processes","No real training, siloed organization, no annual salary increases.",Cigna
26,"""Great""",5.0,Great standard benefits and work balance,Upper executive management changes,Cigna
27,"""Great culture""",4.0,Awesome culture and great people,Not a major presence in larger cities,Cigna
28,"""Work Life Balance""",5.0,Flexibility and Work life balance,no current cons to report,Cigna
29,"""Worked at Express Scripts, now CIGNA.  Different environment.""",3.0,Work life balance was great.,At every company your boss makes the difference. Get a good one and you are golden. If you don't.... But there are a lot of really good people there. The environment is slow paced.,Cigna
30,"""Interesting""",3.0,Caring employees but leadership is lacking,Culture poor and Leadership sucks,Cigna
31,"""It's a friendly environment but no room to improve""",3.0,Flexible schedules. Supportive management. Improved PTO.,Managers seem to not want you to move up or outside of your unit.,Cigna
32,"""Too many process changes""",3.0,"Good pay, good atmosphere, most employees were nice.","Processes change daily, way too often.",Cigna
33,"""Best Company""",5.0,Everything is good. They look out for employees.,Not much. Maybe Healthcare could be better.,Cigna
34,"""Great Place to Work, Lots of Opportunity""",4.0,"-tons of growth -constantly new challenges, never boring","-company is kind of a mess internally -hard to move up if you aren't a male, all leadership is male",Cigna
35,"""Decent pay""",5.0,You get 8 weeks of training before they put you on the phone,Stressful with having phone calls from upset Customers,Cigna
36,"""Good but not Great""",4.0,The people you work with are great! Good pay and great benefits.,Management and the lack of consideration for their employees.,Cigna
37,"""an awful company to work for""",1.0,"PTO days are OK, allowing WFH","Horrible management, corrupted HR",Cigna
38,"""Great company""",5.0,Great company to work for,Long hours and not enough employees,Cigna
39,"""Quality Company""",4.0,"Solid Leadership, Industry Leader, Work/Life balance",Publicly Traded. Customers not Employees come first.,Cigna
40,"""Good place to work""",5.0,Good place to work in Arizona,No identifiable cons to this workplace.,Cigna
41,"""Case management black hole""",3.0,Good co-workers Good Maternity leave benefits,Hard to get out of Case management once you're in it. Case management under staffed,Cigna
