,title,rating,pros,cons,company
0,"""Great Place to Work""",5.0,Flexibility; collaboration; lots of opportunities,Change management could be better,Cisco
1,"""Great place""",5.0,Was a great place to work,I have no negative comments,Cisco
2,"""Great place for a wonderful career""",5.0,Ability to move between functions. One company/many roles. Respect for the individual and unsurpassed culture of diversity &amp; inclusion,"Not the place for those who are looking for a standard, confirming 9 to 5 job. Great if you are self motivated and comfortable with ambiguity",Cisco
3,"""Great place to work""",5.0,Limitless training and customer focus. Treat you like family vibe.,"Lately, dealing with product quality issues.",Cisco
4,"""Great company""",5.0,Cisco dominates the distribution landscape,There is so much talent it’s hard to advance.,Cisco
5,"""It is a good company""",5.0,It is a good company,Work is not that lively,Cisco
6,"""Great place to work""",4.0,"Flexible schedule, great benefits, cool people","Frequent restructures, workload is consuming",Cisco
7,"""Great management, Great team""",4.0,"Management, team, co workers, duties","no training budget money, far from home in my case",Cisco
8,"""Too many org and strategy changes""",3.0,"Nice colleagues, flex work hours","Constant lay-offs, organizational changes, limited opportunities",Cisco
9,"""Cisco is a great place to work""",5.0,"Positive culture, great benefits, ability to grow at the company",None that come to mind,Cisco
10,"""Good place to learn""",5.0,"WFH, flexible hours, opportunities to rise","too many managers, slow-moving release cycle",Cisco
11,"""Great place to work""",5.0,So many opportunities to learn more about your role and other positions,"Mostly software driven, not ideal if you not very technical or engineer.",Cisco
12,"""Decent employer with a stress on work life balance.""",4.0,Work life balance Can internally switch Day care and Health facilities,growth rate is very slow.,Cisco
13,"""Good environment""",5.0,Great place to work. Nice ppl and good work life balance,Re-org constantly. Lay-off periodically. Less interesting for young ppl,Cisco
14,"""This company needs to improve the way it handles women leaders - now!""",2.0,Opportunities to manage large teams and complex problems. This company does very interesting engineering work.,"Female engineering leaders are consistently discriminated against in this company. I know several woman engineering managers who complain of being over-loaded, under-leveled, and under-paid as compared to their male counterparts in the same org, doing exactly the same work, and sometimes even having a larger team. I know several anecdotes of male senior managers engaging in gender-discriminatory behavior &amp; comments when it comes to compensation, growth, acknowledging achievements, and providing actionable feedback. Instead of supporting women in leadership and encouraging growth, Cisco is consistently burning woman leaders out. Go ahead and count the number of women who are at least one-level skip managers in an engineering team in Cisco. Hint - you may be able to count them on your fingertips.",Cisco
15,"""A Good Work Life Balance""",4.0,"It has good work life balance, multiple platforms to work on. A lots of new feature testing experience can be gained.","Automation needs to be improved, lack of future looking.",Cisco
16,"""So So""",2.0,Big company have varies business units.,Not easy to survive yearly layoff,Cisco
17,"""Good brand name, benefits, working environment, and management systems.""",4.0,"Excellent working environment, good benefits, and good management systems.","Not too much innovation by own houses, but acquisitions.",Cisco
18,"""Low TC""",4.0,Work life balance is good.,TC lower than everyone else in the bay area. No stocks.,Cisco
19,"""Love working here""",5.0,No dearth for technical growth,Could do better with promotions,Cisco
20,"""Love working here""",5.0,No dearth for technical growth,Could do better with promotions,Cisco
21,"""Experience Depends on Management and Team placement""",3.0,"Good Benefits, and they have tuition reimbursement. It's not a totally hectic work environment in my experience PTO and WFH requests are usually granted","Extremely Political. Hard to work when managers are trying to get a one up on each other instead of focusing on goals together. I had trouble finding projects i enjoyed and even when requesting projects and insisting on work I might enjoy, we never given the opportunity.",Cisco
22,"""Cisco ""Get's it!"" when it comes to people and technology""",5.0,++Build technology products that connect and secure the world ++Unrivaled people ++Unrivaled benefits ++Unrivaled perks ++Unrivaled positive culture ++Unrivaled training opportunities ++Unrivaled org-wide personal development opportunities ++Unrivaled community involvement opportunities ++Unrivaled management leadership ++Simply the best of the best,--The public doesn't recognize the impact Cisco has as overtly as some other big tech companies like Microsoft or Google,Cisco
23,"""Excellent workplace""",5.0,Flexible work environment. Great place to learn and grow.,It can get political sometimes.,Cisco
24,"""Fantastic Company with Incredible Sales Org""",5.0,"Good leadership, work life balance, freedom to run your territory the way you want.",Growing pains of new org,Cisco
25,"""Na""",4.0,Gud working in the company,Not that many cons now,Cisco
26,"""Customer Support Engineer (Cisco TAC)""",2.0,"- The bonuses are really good, if you work hard - Not expected to work after it's time to clock out - Weekend/Holiday pay is fantastic. You can earn so much more if you work a lot of weekends - Culture is all about being yourself, so you can be POC or LGBTQ+ and be in a welcome environment - Great benefits for health and dental, onsite medical and therapy - Certification discounts for any Cisco Certifications - Can use up all your PTO straight if you like, some people take a month off at a time - Good place to start for either those getting started in their career, or those that want to get their CCIE in a product. This is the fastest way to learn.","- You only learn the product you're meant to support, rarely the entire solution - No learning resources for the product you're supposed to support on smaller teams/products - Company is excited to promote products, then lay off team members *FOR* that product - Quarterly layoffs, but yearly promotion cycles - Weekend shifts are voluntold to you if you're on a smaller team, and aren't necessarily on a cycle (and you can expect to work every weekend. I just worked 2 months straight with 6/7 day weeks) - Business Unit/Escalation team will withhold information from TAC, which can keep us from being able to do our jobs - Any training will be sales training, and not support training, which means we won't know how to fix/tshoot problems any more than when we started. - The products we support are upsold and underdeveloped. You'll constantly find yourself saying ""that feature isn't supported until a future release, even though the buttons are there and the documentation says how to set it up. Please don't use it as it's not production ready."" - Burnout/turnover is high. It's nonstop when you work for Cisco. Don't expect to take time to study at home unless it's your passion, as everyone was usually too mentally drained at the end of the day. - Any time to study for certifications on smaller teams is impossible due to the sheer amount of work to do. On larger teams you can get time off the queue to study with management approval. Personal Experience: Was strung along for two years about a promotion, contributing to python IC and being the top case taker, but was still told ""I can't promote you yet, even though you're at a starting pay grade. Next cycle, though."" After being told that 3 times, and seeing two layoffs in two quarters, I broke out the resume. Because of all of the above, you'll find yourself working in situations where different levels of upper management will start to have daily calls on how to keep customers from pulling Cisco from their deployment, when in reality the product just wasn't ready to be sold to them.",Cisco
27,"""The best company to work for. Period.""",5.0,"Amazing people, incredible energy from new leadership, and a true teamwork culture.",Some people have been in their jobs a little too long.,Cisco
