,title,rating,pros,cons
0,"""Several areas within Citi, while working on accounts""",5.0,"Benefits, professional growth, training, Networking, shift hours","Mostly phone work, systems  somexx are down, sitting all day"
1,"""Excellent company to move up the ladder.""",4.0,Relaxed for a large financial firm.,Becoming too large. May struggle to communicate well with all regions.
2,"""It's  good place to work""",4.0,"Many benefits such as life insurance, healthy options, and others","Low salary, compared to other companies in the same sector"
3,"""Great job""",5.0,Your schedule is consustant,You can’t pick up more hours after peak season
4,"""Average to good place to work""",4.0,"Good place if you can find ownership and good manager.
Good 401k and health benefit.","Changing company organization might impact you without you knowing it.
Some weekend job.
Rather small starting base salary."
5,"""Seasoned Executive Assistant""",5.0,Great reputation and career advancement,None to offer.. Citi is a wonderful company to work for.
6,"""Good experience low pay""",4.0,Learn a lot to advance to another position elsewhere no room to advance at retail within current position.,Too much pressure relax a bit appreciate your employees
7,"""It's fine I guess.""",2.0,"Flexible work environment. Almost everyone has remote access and works from home at least occasionally. Mobility is very easy, with the latest BYOD technology.","There is a deliberate lack of transparency with respect to downsizing.  It's difficult to engage in meetings without speculating about what the actual agenda might be. VPs within departments are constantly worried, because they're told big changes will occur, but are not told what those changes are or who will be effected."
8,"""Great company""",4.0,"great company, good work life balance",Hard to move up the ladder
9,"""Good for college experience""",5.0,Exposure to client-facing skills and good customer service experience,Hard to climb corporate ladder from a teller position
10,"""VP citi""",3.0,Nice office; high cubes; some people are nice,Long hours; cut backs yearly
11,"""Big company""",3.0,"people are great, but depends on location and direct manager","depends on location again, but benefits not great ... less charity matching for example than other banks"
12,"""Great Culture""",5.0,"Good people, and people are generally paid well as juniors.",regional mobility is just fine.
13,"""Hit or miss""",3.0,"Great benefits, good pay, onsite gym and cafeteria. Decent work life balance.",In the Chief Data Office there are many incompetent managers. The data Quality Controls lead is so afraid of the need Chief Data officer finding out how little value she adds that she will kill process improvements or process overhauls so that they don't find out what a disconnected and inefficient process she has set up.  The morale is terrible and you only advance if you are a favorite and not based on actual skills / accomplishments.
14,"""ok job""",3.0,"good work balance, nice friendly atmosphere.  Great Salad bar.",Not much room for advancement however the culture is good.
15,"""Great pay""",5.0,Citibank has a great 401k match. 6%,"If you get promoted, the salary get increased very little."
16,"""work/life""",4.0,"1. Good salary
2. Best for a woman considering work/life balance",They hire not many applicants per year so there are not many chances to manage young folks.
17,"""Big company, work your way around""",4.0,"Lots of mobility opportunities. Citi really encourages people to cross train and learn other functions as a way of dipping your toes into other waters, so to speak. Of course each department is run differently and each manager has different leadership styles, but with such a huge site and many networking opportunities, you are not doing something right if you aren’t involved in one of the many networking and social groups. This is key to moving ahead in an especially big organization.

Up to a 6% 401K company match, other healthcare discounts through Red Brick

Generally speaking and depending on your area, working remote is not a huge issue.","You can become a number if you don’t speak out and drive your own path. (However, even if your manager is bad there are so many other people to speak to to get direction in your career). The healthcare options are OK. Parking is becoming increasingly a bigger issue due to town of Amherst zoning laws not permitting parking garages."
18,"""Lead Analyst VP""",3.0,"diversity, culture, team work, facilities, benefits","stress, job security, communication, some senior managers are not the best choice for the company"
19,"""Excellent company to work for""",5.0,"professionalism, development, work life balance is superb",Constant lay-off and the best way to get in is through an agency.
20,"""Tampa site is a second class site in a state of decline. No long term opportunities""",2.0,Used to be a great place to work. Morale and productivity have sharply declined.,"Poor leadership, especially at the Tampa site. Cafeteria closed indefinitely due to rodent infestations. Lack of transparency from site leadership. Outdated technology.  Open work spaces very poorly executed. Loud and exceptionally dirty without regular cleaning. Tampa is a  ""second class"" site in a state of decline, and unlikely to offer long-term opportunities."
21,"""Teller""",2.0,A stable job if you get used to it.,Not flexible. Overtime a lot.
22,"""Ok experience from 2015-2018""",4.0,"Large institutional firm that is trying to support it's younger bankers with more resources, less demanding hours",It is still investment banking
23,"""Great Atmosphere""",5.0,Fun People and great location.,Dealing with all the crazy customers
24,"""Good career development""",5.0,"Good career development, people are nice",not top salary level though
25,"""HR is terrible and treats us like slaves""",2.0,"Name recognition, decent respect outside of the US.",Low pay. Managers have to get approval to give salary increases fro HR. HR treats us like slaves. Officially Citi is all about fair pay but in reality they love underpaying folks. Very shameful considering Citi is a signatory of UN Global Compact. Double standard! I would not be surprised if managers get compensated for keeping pay low for their workers.
26,"""Good company, good benefits""",4.0,"Good company , good benefits,","Not lots a programs to better your career, bad systems"
27,"""Stable, but slow paced""",3.0,"Independent work environment, systematic procedures, regular check-ins, close-knit and relaxed environment","Fragmented teams, lots of legacy systems, unresponsive coworkers"
28,"""Be prepared""",2.0,"Great company, benefits, and coworkers",Management is bad. The don't care about work life balance. Be ready to work crazy OT and weekends
