,title,rating,pros,cons,company
0,"""Great place to work!""",5.0,"The Company is making an investment in managers to be better at managing teams and achieving results, as well as becoming a growth company. Leaders have integrity. It's an exciting time to work here!","Like many places, much depends on your team and manager for if you have a positive or negative experience.",Coca Cola
1,"""Laboratory""",5.0,To community service and to developing research,Lack of confidence and lack of ability,Coca Cola
2,"""New Challenges""",4.0,Excellent benefits with great dental,Poor pay and work life balance,Coca Cola
3,"""Great place to work""",5.0,"Great benefits, overtime, generally good people.",Office politics get old real quick,Coca Cola
4,"""Overall Positive Experience with Great Coworkers""",4.0,"I've had the pleasure of having great managers and peers. My current role allows me the flexibility to work a compressed work week where I am off one day every other week, and remote as needed (this varies greatly by role). The Atlanta campus has a lot of great amenities including an onsite doctor, pharmacy, dry cleaner, stores, and coffee shops.","Compensation has never been amazing, but recent changes have made it even harder for employees to reach long term incentives like stock options which are common at similar companies like The Home Depot. Also receiving a raise even for a promotion leaves you with a cap of 15% increase which is not great if you were already low on the comp chart. Also 401k contributions have recently been reduced. The constant restructuring is also very disruptive and stressful.",Coca Cola
5,"""Good company to work for""",4.0,global experience and diverse environment,big company with some inflexibilty,Coca Cola
6,"""Giant company, some brilliant and some disheartening aspects""",4.0,Lots of super smart people. free drinks! Great cafeteria in Atlanta. Uplifting marketing campaigns. Company really does do business in an ethical way. Decent pay and benefits.,"Lots of narcissistic megalomaniacs throughout the management. Disorganized management of people. Make your own way, don't count on career advice or support.",Coca Cola
7,"""Senior logistics coordinator""",3.0,Can be a fun place to work,Layoffs didn't get their best people,Coca Cola
8,"""Two faced Management""",2.0,"Big company, room for advancement",Management plays favorites and corporate company doesn't care about personal life.,Coca Cola
9,"""Very hierarchical""",3.0,Decisions are made if senior leaders agree and fund.,Top down decision making only. No real empowerment of people. It’s talked a lot but the reality is very hierarchical. This is from the top level management and across functions.,Coca Cola
10,"""Part Time Accounting""",5.0,Flexible. Great place to work.,Commute to and from the office.,Coca Cola
11,"""Honesty""",5.0,Leading company always In terms of service delivery,Lack of corporation From colleague and management,Coca Cola
12,"""Good place to work""",4.0,Good pay good benefits easy job not a lot of stress,I was moved around to different shifts 6 times in eight months,Coca Cola
13,"""Very rewarding""",5.0,Good job with good benefits,Keeping up with the changes,Coca Cola
14,"""Great job""",5.0,Great company to work for,No cons because the company is great,Coca Cola
15,"""admin""",5.0,they have extremely great benefits,there are not many cons working here,Coca Cola
16,"""Diversity is Celebrated and Takes Care of Employees""",5.0,"Diverse Atmosphere, Community Focused, Rewards Employeed","Constant Change and Reorganizations (I am open to change, but it's not for everybody), somewhat difficult to make connections across company",Coca Cola
17,"""Worst job I've ever had.""",1.0,You can work as many hours as possible,"Horrible work environment, Supervisors are bullies and not fair.",Coca Cola
18,"""Don't Do It!!!""",1.0,"Free drinks, lots of food options in the cafeteria, happy hour every Thursday.","Everything related to your job itself will suck. Managers are lazy and incompetent. And quite frankly: TOXIC!!! Huge egos, Lack of leadership skills, lack of communication skills, micromanagement, not human. They are like robots. The work load is unorganized and overwhelming. I've been here 4 months and still have no grasp on any one task, but getting dumped on daily with news tasks without any direction or training....it's a hot mess!! Not to mention, I'm spending 80% of my time doing a completely different job than what I was hired to do....AND expected to do the job I was hired to do on top of that. Upper management are all on a high horse and the minute you stand up to their complete ignorance of reality, you will be out. Work life balance, forget it. You will be bombarded with emails from your manager on Sunday afternoon like it's Monday morning. Don't apply here. I'm having major regrets and literally cry myself to sleep for leaving my last job for this chaotic hell hole. THE GRASS AINT GREENER.",Coca Cola
19,"""Just poor Management""",3.0,The wage is decent,They could have better Management!,Coca Cola
20,"""bad""",1.0,"decent insurance, not bad pay",hours/work/bosses were really rough. bosses were not human,Coca Cola
21,"""1 off day""",4.0,"Good benefits, free soda,great pay","Too much overtime, you work holidays",Coca Cola
22,"""Packing labour""",5.0,I like Coca cola,Some ones misuse coa cola carrier vacancies,Coca Cola
23,"""Good company""",4.0,Benefits are very good and reasonable,Constantly moving targets and goals,Coca Cola
24,"""Fun Environment""",3.0,"Good group of people who run the warehouse, room to move up if you ask and work at it.","Some management was corrupt, been there to long, old school style business needs to change.",Coca Cola
25,"""good""",3.0,benefits vacation mileage none done,not many none nope gone,Coca Cola
26,"""Toxic""",2.0,Money and big time company on resume,No work life balance Long Hours Always need to hit a goal,Coca Cola
27,"""Good vacation and health benefits.""",4.0,Good vacation and health benefits.,They seem understaffed at times.,Coca Cola
28,"""Culture of cover ups""",1.0,"Decent benefits, well known brands","Lacking integrity Results expected at any cost, including changing numbers Harassment is common",Coca Cola
29,"""worst hr i have ever seen.""",1.0,"these hr people make so much money and do nothing. they know nothing about a days work and will fire you based on hearsay from some angry. sickening experience, worst on boarding every.. stay the hell away from coke..",worst onboarding ever dont go there seriously run,Coca Cola
30,"""Great Place to Work!""",5.0,Coke is working to instill a growth mindset from the leadership all the way through the organization. I feel like this effort is resulting in a feeling of increased engagement and empowerment throughout the company.,"Coke struggles with many of the same things that many companies of this size deal with. The bigger you are, the harder it is to stay nimble and agile. Not everyone is rowing in the same direction.",Coca Cola
31,"""Learning Experience""",3.0,"Good benefits, always work to be done and stay busy, cross training opportunities, variety of ways to be involved in different aspects of xompany","New plant manager rotation every 5 years but department managers have no time limit on positions, very “this is the way we’ve always done it” attitude across all levels and departments, slow advancement, low annual raises, mandatory overtime for majority of the year",Coca Cola
32,"""Stocker""",1.0,Work on your own,"Chinese overtime, they want you to work 13-15 hour days and pay you half your pay for overtime.",Coca Cola
33,"""Do not recommend taking a salaried position at this location.""",1.0,Financially stable. You will be paid your base salary. It may be possible to transfer from the facility to a corporate position.,"Companies business model is to outsource all packaging operations. Treatment of salaried individuals varies and is generally poor. High turnover. Status quo is protected by marginally qualified individuals, who have no other employment options.",Coca Cola
34,"""Good""",4.0,Pay is decent and plenty hours available,Have to drive your own car and work can be crucial at times,Coca Cola
35,"""Great Company""",5.0,Awesome place to work with good pay and benefits.,Nothing for Cons to say really.,Coca Cola
36,"""Forced to do thisbreview""",4.0,Working with coca cola products,Working over night at coca cola.,Coca Cola
37,"""CCNA Director""",5.0,Discount on all amenities that are negotiated at a company level are passed down to employees,Most promotions are not done internally,Coca Cola
38,"""OK Company""",3.0,Good bonus while plant was still owned,"Lots of hours, not a lot of work life balance",Coca Cola
39,"""Great""",5.0,It is great almost always,But it is also great Most times,Coca Cola
40,"""Great place""",5.0,Work life balance is great,Direction has been changing in the last few years,Coca Cola
41,"""It was what it was""",2.0,-Potential to tele-work is a plus,-No consistency when it came to corrective actions,Coca Cola
42,"""A great company""",4.0,"Competitive salary, yearly bonus, and raises.",Small plant too many people want to move up. Switching shifts for some people.,Coca Cola
43,"""Great company""",5.0,"Strong support, great product, great tools, great senior leaders.",None I’m my opinion,Coca Cola
44,"""Reviews""",5.0,The benefits are great from the company,So much hard work in warehouse/ not paid enough,Coca Cola
45,"""Lots of restructuring""",3.0,"Career advancement, diverse roles and great colleagues","Too much restructuring, still male dominated senior leadership",Coca Cola
46,"""Love this Company""",4.0,Awesome place to work! Great environment!,The only con is Atlanta traffic :-(,Coca Cola
47,"""Great company if you dodge the lay-off bullet""",4.0,"Great company with awesome benefits, paternal leave, exposure, and competitive salaries.",Constant layoffs. Only looking at bottom line.,Coca Cola
48,"""Feed back on working with Cocacola""",5.0,Empowerment Pride to be with the world leader in beverage manufacturing Knowledge updation,did not find any cons to mention,Coca Cola
49,"""Great Company""",5.0,"room for growth, innovative opportunities",Customers expect free product because of the name brand.,Coca Cola
50,"""sales""",4.0,stable company to work with,challenging processes exist at times,Coca Cola
51,"""Wonderful experience fantastic brands and people""",4.0,"Incredible passion to grow the business, fantastic brands and wonderful people",Depending on the position long hours little work life balance,Coca Cola
52,"""Great Culture and Benefits""",4.0,Amazing benefits. Big on team engagement. Encourages overtime but not required,very cliquey if you aren't a part of the cool kids club you were excluded. inconsisten management,Coca Cola
53,"""Great for the right type of person""",3.0,"Coke has unlimited resources and as an employee, you have access to lots of cool jobs and projects. The people are pretty cool overall.","It's like working for the federal government. If you like to be able to make decisions, work autonomously, or make things happen quickly, this is not the culture for you.",Coca Cola
54,"""Bad location""",1.0,Good pay Many hours,Poor management Poor equipment No communication,Coca Cola
55,"""Best Company to work for""",5.0,Takes Care of Employees. Great Benefits. Outstanding reputation,Doesn't always communicate goals and status of projects,Coca Cola
56,"""Great place to work""",5.0,Great people to work with,It’s a back breaking job,Coca Cola
57,"""Good career start company""",3.0,nice floating holiday and flexible day policy,"position can be flat due to what you are doing, 401K is not as good as others",Coca Cola
58,"""good company""",4.0,good management. very helpfull. nice people,none so far. the hours are a little crazy.,Coca Cola
59,"""Driver""",4.0,Great hours and hourly wages,Load management And a busy schedule,Coca Cola
60,"""Organized""",4.0,I enjoyed my job here,"Had a company layoff, but was given lots of notice",Coca Cola
61,"""No better place to work.""",5.0,"The Coca-Cola Company treats everyone like family, no what position you hold.",Only positives when it comes to working at Coke,Coca Cola
62,"""Big company with no growth for employees""",1.0,You get overtime and work a lot of hours,You want have a social life,Coca Cola
63,"""Okay""",2.0,The pay is the only pro.,The cons are everything else.,Coca Cola
64,"""It was alright""",5.0,"great work environment, friendly coworkers",hours can be hard to get sometimes,Coca Cola
65,"""Changing Consumer Demand = Changes in Marketing Strategy""",2.0,"the biggest and best, most recognizable brands in the world with tons of company resources to help build knowledge around what may be coming next in terms of consumer demand",lack of agility to be able to move quickly in market implementation,Coca Cola
66,"""Good Company""",5.0,"Nice people, exposure to latest technology, challenging work, best known brand on Earth, treated me well when I was severed during one of the many layoffs",Constant layoffs can take a toll on morale,Coca Cola
67,"""Superb""",5.0,Was a wonderful ac unit and that felt amazing pouring my coca cola down my mouth and rubby.,Sometimes transporting skids was very difficult sometimes.,Coca Cola
68,"""If you’re looking for a job with advancement,look elsewhere""",1.0,Free fountain drinks and water,Company doesn’t care about their employees,Coca Cola
