,title,rating,pros,cons,company
0,"""All-round great place to work""",5.0,"Great co-workers (respected, hard-working, talented), good pay and wonderful work-life balance",No down side so far,Comcast
1,"""Great Benefits""",4.0,Outstanding Employee Benefits at company,Salary could be more competitive,Comcast
2,"""Working for comcast""",4.0,"no worries about being laid off, consistent schedule.",can be overwhelmed during peak times.,Comcast
3,"""Customer Service / Dispatch""",5.0,Fantastic benefits ! 4/10 Shift,If you have a bad team the job can be hard but other than that its great.,Comcast
4,"""Great company""",5.0,"Company vehicle, pay benefits, 401k",Some managers aren’t good with communicating,Comcast
5,"""Feeling of accomplishment""",4.0,Being able to see direct customer impact of what you work on is a fantastic feeling.,There is the usual red tape and politics as with all jobs.,Comcast
6,"""Empowering Agents""",4.0,Great Opportunity for advancement in rapidly growing ESA division.,There are so many different divisions it's hard to find your true calling and really shine. I recommend getting a foot in the door and never being afraid to explore your options and try to grow.,Comcast
7,"""network""",5.0,Fun to work loved helping business,"can't complain, Coworks some lazy people",Comcast
8,"""Great company as a whole""",5.0,Does a lot for the employees good benefits flexible,Stress. Good money only if you hit sales goals which in my opinion could be lower,Comcast
9,"""Great place to work""",5.0,Good pay and great training,Hard quotas and constant changes to client facing issues.,Comcast
10,"""Comcast""",5.0,Very good benefits at this job,No flexibility in the schedules makes it hard when you have children,Comcast
11,"""Great place to work""",5.0,Good place to work and learn,Have to pay for lunches in their in house cafe - Most large scale tech companies provide this,Comcast
12,"""Great Pay &amp; Benefits, Terrible Culture""",4.0,"The pay &amp; benefits were great. The autonomy and flexibility were also awesome in this role. I loved working for Comcast, but the channel I was in was super toxic, which was really unfortunate.","The director creates a toxic culture, and although multiple complaints were made via local direct leader, HR, Employee Engagement, and Comcast Listens (through Ethics Point) nothing of lasting consequence was ever done. She is still the director and most people are still in fear of losing their jobs at any moment. I am rating the career opportunities low also because the director would not allow anyone in the channel to mentor with anyone outside of the channel. It was difficult to know what was available outside of Xfinity Communities.",Comcast
13,"""Cable""",5.0,Working independently and being able to use a company vehicle,"Work load, customers who are irate",Comcast
14,"""Great place to work""",5.0,"Great benefits - good healthcare options, nice 401K match, many others (free doctor-on-demand, free universal tickets annually, etc.). Brand new office building in a great location. Diverse work place with a lot opportunities to get involved. Flexible start/end time + WFH days (team dependent). Good leadership - lots of experience in management positions. Collaborative, encouraging, team-oriented environment.","Bureaucratic - there are some inefficiencies and redundancies in what is asked of you, but that is somewhat expected in a company as large as Comcast.",Comcast
15,"""Great benefits""",5.0,Great benefits; agile work culture,"Stressful, review/feedback system not upto the mark",Comcast
16,"""Fun place to work""",5.0,"Good culture, collaborative, they listen to their employees and make changes when people speak up. Great 401k match and ESPP as well.",ridiculously expensive insurance / benefits options.,Comcast
17,"""Good place to work""",4.0,"Great benefits, Great pay, Good environment",Working for a huge corporation can be difficult.,Comcast
18,"""I enjoyed worknig for comcast kinda""",3.0,good job paid decent amount,none I enjoyed working for comcast,Comcast
19,"""Great benefits, good culture, but cat-fished""",3.0,Awesome benefits and good pay. People are friendly and helpful. Awesome WLB Great opportunities for learning,Totally was catfished in this job.,Comcast
20,"""Great place to work !""",3.0,"Greats Benefits , vacation days and courtesy service’s.","Needs to have more diversity in Senior leadership roles, better pay and a more robust platform for employees engagement.",Comcast
21,"""Great company!""",5.0,Great company and culture. Always providing lunch at team meetings and snacks.,Pay is not great at all for this position for the amount of work you have to do.,Comcast
22,"""Mediocre job mediocre management great benefits""",3.0,Benefits benefits benefits benefits benefits,Very rigid military style management; management doesn’t listen to front line staff; very top down while they constantly proclaim they listen and change from staff feedback. Also most senior staff are burnt out and have low productivity but are basically immune from firing; also these same old school managers don’t know how to innovate with technology.,Comcast
23,"""Great benefits and not much else""",3.0,"Ability to earn a good commission check if you can learn to sell to angry customers, who are generally in store complaining about their bill being higher than in the past.",Lack of tools to support in the store.,Comcast
24,"""Ok job""",5.0,Great people and good pay,Sometimes boring and slow and loud.,Comcast
25,"""LOVE MY JOB""",5.0,My MANAGER is beyond Awesome! She promotes growth within the company.,Need more flexibility in discounts for family,Comcast
26,"""Great place to work""",3.0,"Great benefits, nice environment, good contrast of startup to corporation.","Still a corporation, so a bit slow moving.",Comcast
27,"""Great environment and leadership""",5.0,"Great management, benefits, pay and incentives. Training was very thorough and you have great support from everyone.",Shifts very and can be an obstacle for a work/life balance,Comcast
28,"""Helps you grow""",5.0,"They take care of their employees with good benefits and decent pay. I also had assistance in moving up. I had learned I got a transfer from residential customer service to NOC in business. Supervisors and managers want you to grow. I had to learn what I needed to know on my own, since it is a higher level position in a different field but supervisors (not even your direct supervisor) help you prepare for it with mock interviews while working. Free cable/internet, benefits/ decent pay. Started at $15 and change. Within 14 months was at $18 before transfer. You cant expect to get a good job without experience and education but if you are willing to learn what you have to learn and put in the effort, you can move up here without it","Although they pay for part of your schooling. I would like to see them cover certifications ( I'm looking to get into more advance IT levels. So ccna, comptia, etc) The worst part of the job is some of the customers that call in expecting you to solve things not related to comcast or billing issues",Comcast
29,"""Best place to work""",5.0,"Great benefits, value work/life balance, discounted services, great leadership, unlimited growth potential","Very busy, aggressive sales goals",Comcast
30,"""Great company""",4.0,Good benefits good pay,Bad time management dont care much about employees,Comcast
31,"""comcast supply chain""",4.0,free cable and free high speed internet,jobs are getting out sourced to contractors,Comcast
32,"""IT Rep""",3.0,Decent pay and room to grow,Lots of work and OT,Comcast
33,"""Good benefits""",4.0,Good 401k match and stock benefits which includes free internet and cable connection services,Not many opportunities for learning,Comcast
34,"""Great local colleagues; poor executive management, NO LOYALTY""",3.0,"Excellent benefits: medical, 401k matching, stock options, tuition reimbursement for limited degrees through specific online school. Discounted cable services. The local people in NM (supervisors and below) are outstanding.","- Executive Management lacks understanding of field operations. They are all about pushing new programs to show corporate office how great they are over other regions but they are not interested in quality or execution of those programs or how they effect field supervisors ability. Always adding more responsibility to supervisors and field employees but not adjusting quota timelines so it makes it impossible to achieve bonus goals. - Company has no loyalty to employees with sonority. You are expendable at anytime and without notice. - HR Department for Mountain West Region of Comcast which is located in Denver and oversees employees in CO, NM, AZ and UT is not looking out for the employees best interests. They are not your advocate; they are not looking for honesty, integrity or transparency; they side with the employee who is part of their inner circle. - Women are not paid equally compared to their male colleagues even though the women employee has more experience and higher education.",Comcast
35,"""Great Place to Work!""",5.0,"Great pay, benefits and flexibility!",Competitive job market - takes some patience getting interviewed/hired.,Comcast
36,"""Good company with great benefits....but broken on the inside""",2.0,"Fabulous benefits. Excellent insurance, beautiful gym, wonderful cafeteria","Tedious work. 70 outbound calls expected a day. Conflicting management messages. ""We'd like you to build relationships with customers"", ""Oh, do that is sixty seconds"". They are sadly more concerned with ""Diversity"" than quality. They count nationality and gender far above qualifications. In the past year 5-10 veterans have left in droves. They don't promote from within. Oh, and even if you make goal, ""Enterprise"" division, which can see into your systems can steal accounts and clients and sales from with no warning. It happened to me three months in a row which cost me my job. I made goal every month, yet another division stole that money for their own purposes and your left coming up short. Don't get me wrong, that also means they take money right out of your paycheck. Three months in a row, I had nearly $400-$500 taken out of my pay.",Comcast
37,"""Bad""",2.0,Nothing good that stands out,Nothing good that stands apart from above,Comcast
38,"""pymnt serv""",4.0,courtesy service and health benefits,competitive wages do not apply to long time employees,Comcast
39,"""Willing to relocate""",4.0,Well experienced enterprise and Micro Service projects,"Big, and complicated architecture structure projects",Comcast
40,"""Avoid at all cost.""",3.0,Nice campus Good pay Good benefits Gym onsite Drove me to my biggest success ... another company,"Some management are dinosaurs and should be kicked out. They have no mission that ties to greater good or community. Just greed. Poor management, senior and mid levels. Bullying and very passive aggressive. No talent rotation programs. Management within the org I supported had been in their positions for years and treated their work like protected turf. Lots of meetings. Too many contractors and agencies which causes brain drain. A bit top down and too many senior level folks got involved in the details which sometimes leads to a lack of development of next generation leaders.",Comcast
41,"""Not bad but not great""",3.0,Stable company and good benefits,Culture of mediocrity and status quo,Comcast
42,"""Great""",5.0,"Pay, benefits, work life balance, environment, people","Only sales company I've ever seen pay on close rate and not unit goals. Lots of mathematical voodoo going on with commission. Also, their internal IT is horrendous. I dont know how IT wipes their butt without getting poop on their face.",Comcast
43,"""Very stressful""",3.0,"Pay was good, insurance was better and I had a company vehicle",Very stressful and sometimes hostile environment,Comcast
44,"""Loved working there""",5.0,Great money and training. Shift bids and commission,"Long training length, customers can be tough",Comcast
45,"""comcasttech""",4.0,good place to work well finishes,changing work environment,Comcast
46,"""Awesome benefits""",3.0,I like the full medical benefits and vacation time there.,"It has been impossible for me to move outside of my department, regardless of the ERGs I have participated in or internal networking I have tried.",Comcast
47,"""Great Company to work for""",5.0,Excellent working conditions and very respectful,Cant tell if there are any,Comcast
48,"""Good""",5.0,"Good pay, benefits and atmosphere","Bad mid level management(supervisors). Also, try to be more aware or accepting of other people’s cultural values",Comcast
49,"""Great Place to Work as Data Scientist""",5.0,"Technical - Lots of Data, Tools and Computing resources to play with. Good benefits when compared to similar companies in Telecom. Very supportive team taking serious considerations to your area of interest and gives importance to your personal growth. Great work/life balance.","Good benefits when compared to Telecom companies but not enough benefits when compared to Tech Companies. Less visibility for Data Scientists. Due to very large nature of company, its hard to see through or communicate with the end users who uses your work, and that's frustrating because it takes away potential information to improve your solutions.",Comcast
50,"""Great company""",4.0,Pay is really good here,Management Needs to improve its systems,Comcast
51,"""Discounts""",3.0,Discounts on their services and products,The atmosphere the work life balance,Comcast
52,"""Okay working experience""",2.0,Pay is great. Benefits are great.,Employee treatment not so great,Comcast
53,"""Good""",2.0,Feels like you’re family with your coworkers,You get 30 minute lunches,Comcast
54,"""Technical Operations Supervisor""",3.0,"Free Service, Great People, Nice leaders and growth.","Working in terrible weather, unreasonable customers, difficult goals",Comcast
55,"""Communications Technician""",4.0,"Great Benefits, Great start off pay, tons of opportunity to move up.",You can have good days and you can have bad days. Long physical work days that can be tedious and tiring.,Comcast
56,"""Great Work Enviorment""",4.0,Friendly Family feeling work environment,Customers can be very challenging,Comcast
57,"""nice company""",3.0,the environment is work freindly,very strict environment needs to be more flexible,Comcast
58,"""Poor employee treatment stay away""",2.0,Benefits pay breaks perks discounts,High school bully mentality of employees,Comcast
59,"""good""",5.0,the pay and the people,areas of operation needs to expand,Comcast
60,"""Great Work enviroment""",5.0,- Great friendly work environment with a great team. - Great benefits.,- Teams are all different; most are great but I heard of some that are terrible. - Pay isn't the best.,Comcast
61,"""If you have no soul, it's a good job.""",2.0,"High pay, good benefits, free cable.","Conflicting company visions, burnout, negative work enviroment",Comcast
62,"""Great Benefits""",4.0,"Benefits, comp, stock share","Changes in leadership, lack of support for new people coming in",Comcast
63,"""Do your research before accepting position""",2.0,Comcast is a great company with cutting edge products. They are a leader in the telecommunication space. It is a good company to get a start if you are coming out of college.,"The market in South Florida is over saturated. The competition internally is overwhelming. The position you accept means a lot, you are able to be stuck in a lower position with limited products,( the bae-1 position). Management is cliquish and rewards only the people that they like. the management needs to be overhauled and replaced in the Sunrise office.",Comcast
64,"""Low Pay""",3.0,"Good flexibility, good culture, perfect location, solid team foundation.",Awful pay for full stack.,Comcast
65,"""Don't waste your time""",3.0,Great benefits. Great pay when you know how to sell. Courtesy services keeps me at the company,Promotions are done off an who you know and not what you know bases. Being an hard worker or college degrees mean absolutely nothing to the company.,Comcast
66,"""Cable Installer""",4.0,"Very thorough training. They provide you with a van and a gas card. They provide you with polo shirts, pants and boots. Comcast has some great benefits. Comcast is a very generous company. Excellent annual bonus. Job security if you show up and do your job. A lot of great coworkers with determination to do excellent work.","Having to do a late installation, if a contractor decides not to do it. Some contractors not doing a thorough job while doing a trouble call or installation. Don’t get me wrong there are a lot of stellar contractors. Dispatch issues when routing jobs along with overbooking jobs for the day. Thus putting too much on the technicians plates.",Comcast
67,"""Great team and great place to work in Philly""",4.0,Compensation is great for full-time employees,Super long interview process for most roles,Comcast
68,"""Good company bad management""",3.0,Good pay and benefits and room for growth,Bad management in some areas,Comcast
69,"""Comcast""",3.0,Great benifits and decent people,Underpaid sliding commissions and reverse discrimination,Comcast
70,"""Great culture""",5.0,Great culture I sometimes forget I’m working retail,"Hours , customers, no security",Comcast
71,"""Great place to work""",4.0,Great benefits. I enjoyed the discount on services. A lot of job opportunities to move within the company.,"Moral is a bit low. You start to feel like a number. They should see things from the perspective of their employees when it comes to processing orders, we know what we are talking about.",Comcast
72,"""Nice entry level sales job""",4.0,"Not that serious, selling cable, internet and other things","Commission is inconsistent, really depends on how many customers come in that month wanting services.",Comcast
73,"""Overall Working Status""",4.0,Flexibility of work and the benefits,Technology wise the company lags behind,Comcast
74,"""Keep looking, your careerprogress will be short lived here""",1.0,Committed and organized trainers make fun,"The business model has a kind of churning effect where new employees are regarded as a source of new business, yet disposible as needed to the benefit of older employees.",Comcast
75,"""Toxic Environment""",1.0,"No Pros, Comcast sucks. software engineer please don't join Comcast.","1&gt; It is toxic environment 2&gt; Anybody can be manager, some people with mental issue are also manager 3&gt; Extremely high work pressure 4&gt; if you don't have family and you just like work, this toxic company is for you, they will force you to work day and night. 5&gt; Please don't join this company, it is worst company I have seen in my 12 years of experience 6&gt; Managers are abusive and eNPS rating is joke. 7&gt; Comcast is a company with high sducidal rate in employee 8&gt; They constantly do mental harassment to employee 9&gt; They are bad bad bad bad! 10&gt; Please think twice before saying yes because of high salary offer, that high salary can take you life as well.",Comcast
76,"""Great workplace""",5.0,Employee autonomy is highly valued and rewarded,"Constant, non time intensive, training videos that aren't relevant to the job",Comcast
77,"""Nice company""",5.0,Very good and work and life balance,"Keep it up,good environment",Comcast
78,"""Great but...""",4.0,"Great benefits, fun place to work","Steady decline in pay over the years, not willing to compete with the streaming",Comcast
79,"""Wonderful Place to Work!""",4.0,"Great benefits, Great people, Lots of space to grow.",Lots of pressure from customers,Comcast
80,"""very good base and commison setup""",4.0,very good benefits free xfinty services,it gets really busy during winter time,Comcast
81,"""Great if you don't have ambitions""",2.0,Good solution. Need more to offer your customers.,Company and management not ready to wear big boy pants. Mainly focused on small business and residential. Sell and move on mentality may work in the said area but not Enterprise.,Comcast
82,"""Horrible management, very underwhelming co-workers""",2.0,Great discounts on most company products &amp; some of the co-workers are pretty cool. The training pay is $16.32/Hr. The work is not physically demanding.,"The actual base pay is $11.16/Hr. Very hostile work environment for those who exhibit professionalism &amp; a desire to move up. You are expected to call every minute you are on the clock unless you're on your 15 or 1-hour break so by the time you're done working at 7pm you are mentally exhausted &amp; have to do the exact same thing all over again the next day, from 10am to 7pm. Managment creates a very unhealthy lifestyle by passing out candy all the time to keep workers ""motivated"", however they act as though they really don't respect you. The customers you call can be extremely rude &amp; the pricing on some of the products makes it virtually impossible to sell to the customers who A) actually pick up the phone &amp; B) are polite enough to talk to you. Extremely female-driven work environment which can make it troublesome for males who make justifiable complaints to human resources.",Comcast
83,"""Bad""",1.0,Okay pay. They pay for the company car,"Long hours, need more breaks",Comcast
