,company,cons,pros,rating,title
0,Costco,Weekends are spent at Costco.,Great benefits package for employees.,5.0,"""Great company to work for."""
1,Costco,"At this warehouse you are required to work 5 days per week, even if you are PT at 24 or so hours. This means lots of 4-5 hour shifts rather than fewer 8 hour shifts which is tough for those who commute a long distance to work or have to cover day care.","Very affordable high quality health insurance benefits even for PT employees. Great for working parents who split up child care and need coverage. The key to succeeding at Costco is to work hard, have a good attitude and be nice to people. It's hard work and fasted paced, you have to be down for that to succeed.",4.0,"""Real Pros and Cons"""
2,Costco,Warehouse management needs a ton of work - heavy presence of favoritism - impersonal &amp; lack of empathy Consistently late breaks and lunches,"Pay is great for retail Great benefits: 401k, free eye-glasses every year, dental &amp; medical insurance, vacation &amp; sick-time accumulated, paid holidays, 1.5x pay on Sundays Fellow co-workers were amazing",4.0,"""Great benefits, poor local management"""
3,Costco,Poor/toxic leadership in some departments with no Checks and balances once upper management reaches a certain level,"Company hires from within, no layoffs (you’re protected as a worker), reward for company loyalty (staying long term), subsidized deli",4.0,"""Great company"""
4,Costco,Hours could be better but sufficient.,Great management from all workers,5.0,"""Excellent"""
5,Costco,"No set schedule, hours vary","Great pay, Great benefits, Positive work environment.",5.0,"""Great Company"""
6,Costco,Low wage. Low wage. Low wage,Safety. Good and clean environment.,5.0,"""Excellent environment. Nice people."""
7,Costco,Bad managers in some locations.,Good salary and awsome benefits. If your GM is good you will love working at the location. Otherwise awsome company to work for.,5.0,"""Member service is job #1"""
8,Costco,the schedule changes and weekend hours,great management and great benefits,4.0,"""loved it!"""
9,Costco,there were no cons working here.,Everything as a Tech especially in retail you can ask for better.,5.0,"""Love it"""
10,Costco,Aside from coworker drama there was not much to complain for the job.,Health benefits and pay are superior to any other part time job.,4.0,"""Benefits outweigh the drama"""
11,Costco,Minimum 25 hrs per week,"Benefits, Career advancement, salary, Holidays, PTO",5.0,"""Great Benefits, Strict Schedules"""
12,Costco,No Vacation time accrual your first year,Costco likes to promote from within,4.0,"""Training program is short but thorough"""
13,Costco,Theres nothing bad about working in the company.,Its a great company the management takes care of you.,5.0,"""great company"""
14,Costco,Management doesn't take responsibility for shortcomings.,Pay and benefits for all employees,4.0,"""Good Company"""
15,Costco,Managers can be bad and customers are not always nice,Good benefits and flexible with school schedule,4.0,"""Great Company"""
16,Costco,"however, supervisors are a little old so you need to remind them to not forget able your break halfway through your shift",Working as a limited part-time worker allowed me to be able to keep a job when i came back home for college break.,4.0,"""Great for college students"""
17,Costco,"A lot of positions require repetitive muscle movement, which can lead to injuries. This can be managed however by switching jobs to a different department, as well as utilizing the physical therapist they have on-site and other great health benefits they provide.","The insurance and 401k benefits are in and of themselves enough to keep this job, even if it paid minimum wage. The great thing is, they pay Extremely well so essentially it feels like a career move with the amount of things they have to offer (which is probably why their turnover rate is in the low single digits).",5.0,"""Without a degree, this is where it's at! Incredible pay, insanely good benefits, and a wide array of opportunities."""
18,Costco,Many older buildings are unionized.,Great benefits. Almost always promotes from within.,5.0,"""Great company to work for"""
19,Costco,The usual. Depends on who you work with.,Here are your five words.,4.0,"""Good company"""
20,Costco,"Managers work typically upwards of 55 hrs per week, but are payed far more than other competitors.","The pay, benefits, 401k and work atmosphere are amazing. They pay far above average, so expect to work harder than the average retailer.",5.0,"""Great Company all around"""
21,Costco,"Home Office is in the middle of nowhere Underpaid per industry standard As mentioned above, almost impossible to get fired, so people slack off and hard-working employees pick up the slack with no compensation for their extra effort.","Job security is great, almost impossible to get let go. Promotes from within almost exclusively, which gives unexperienced individuals opportunities other companies don't. Overall friendly work environment",4.0,"""Great place to work with lots of growth opportunity - Hard working employees suffer"""
22,Costco,Not many cons except maybe the fact that it's such a large company that it's sometimes hard to stand out for your hard work.,"Fact paced, customer service, hands on, wonderful staff, and great benefits!",5.0,"""I'm a hard worker so I enjoyed working in this fast paced environment."""
23,Costco,- Can be pretty hectic on weekends - typically only 5 hour shifts for part timers - Shift times are largely based on seniority with the company,"- Great competitive pay for retail starting at $15 and hour - Complete culture and fairly understanding managers - promote from within, so moving up the ladder is possible if committed - 40lK and Full health care",5.0,"""Working at Costco is overall an above average experience"""
24,Costco,Not a lot of growth if you don’t plan on staying at Costco forever,"Great pay, vacation and benefits",5.0,"""Amazing"""
25,Costco,Some management stuck in their ways.,"Benefits, fast, upbeat, good people",5.0,"""Job is Awesome and accomodating"""
26,Costco,Retail People can suck Not always fun Hours do get cut Can be really busy,Easy Work Fun Great People Great Benefits Treated Fair,4.0,"""How is costo"""
27,Costco,"It is a retail business, this is not for all.","The company is amazing to work for, benefits to employees is well know and for good reason!",4.0,"""Great company"""
28,Costco,"Management is often nasty. I was lucky to have a fair boss Like the borg. The longer you stay the more you become like those that have been there. Unfortunately, that's not a nice or happy person.",Good for people who can't help from being hardworking and quiet Pay Benefits Good products,2.0,"""Resigned and Cynical work environment"""
29,Costco,customers usually out weigh staff,"good company, good pay, good benefits",4.0,"""Costco Optical"""
30,Costco,customers usually out weigh staff,"good company, good pay, good benefits",4.0,"""Costco Optical"""
31,Costco,"Rough schedule. No consistency, even for full time employees. Never have weekends off. In the three departments I’ve worked in I’ve had very little training, you mostly rely on your coworkers to show you how to do your job at Costco.","Good benefits (however don’t use the domestic partner option for health insurance, the taxes will kill you.)",3.0,"""Good culture but schedules are demanding"""
32,Costco,gossip short hours not enough hours boring,benefits yearly raises job growth opportunity,3.0,"""Costco is a good job for entry level people who want to make god monet with no experience"""
33,Costco,Early hours but that's it.,Excellent work culture and pay,5.0,"""Excellent"""
34,Costco,"Having several people change roles as the scheduler was stressful for me because I ended up missing shifts because I was never told about schedule changes. However, I know I should have been more responsible in checking.","They have been accommodating beyond belief. Since I was in college, I was able to pick and choose my schedule, which was conducive to helping me graduate. This is not a job for the faint of heart. It is very hard to get in, but once you're in, you're treated like family and given every opportunity to shine or grow. The people you work with are amazing and if members give you trouble, the supervisors will always hear you out first. If you are going to be a seasonal, all I can tell you is to be mindful of calling customers ""members"", never ever miss a day, and try to ask supervisors of other departments for extra hours! Good luck!",5.0,"""The best job a young adult can ask for"""
35,Costco,Upward mobility within the company is stagnant and based upon seniority.,"The pay and benefits are top tier, even for part time employees.",5.0,"""All around good job"""
36,Costco,Upper management at my warehouse doesn't seem to really care.,Great company to work for. Great benefits and pay.,4.0,"""Everybody loves Costco"""
37,Costco,Hard to achieve a fulltime position in my building. Corporate is hard to get into,Excellent for while I was working in college and needed a flexible schedule Excellent wages,4.0,"""A Great Stepping Stone"""
38,Costco,Hard work 5 days a week even for part-time,Good pay Fast pace work Understanding management,4.0,"""Quick review"""
39,Costco,Constantly understaffed and overworked. Does paying your employees well and giving them benefits mean you can work them ragged and still say you “take care of your employees”?,Great pay and benefits. Hours on the weekend are nice as well with closing at 6pm.,3.0,"""Good pay and benefits, but that’s where it stops."""
40,Costco,"No room for growth, takes a long time to get full time, and can be repetitive.","Good hours, decent pay, time and a half on Sundays.",4.0,"""Decent Job for Starting Out"""
41,Costco,Part-time is mostly 5 hour shifts so it was a drag to commute for short shifts. I would rather have worked 8 hrs and fewer days.,"Great people to work with, at least at my store. I got a lot of exercise working there, I only worked for 2 months, because it was a seasonal position, but I averaged over 20,000 steps per shift and lost 10 lbs. From what I saw there are lots of opportunity to move to different positions and advancement within the store.",5.0,"""Get paid to work out!"""
42,Costco,Management can be the downfall,"Pay and benefits are worth it, and can be a good career full time.",4.0,"""Great stepping stone job"""
43,Costco,Can take a while to go fulltime,"A happy place to work, great benefits",5.0,"""great place"""
44,Costco,Lot of slackers at Costco,Great ppl at Costco company,3.0,"""Man oh man"""
45,Costco,Costco always gets good press on how well paid the employees are. May be the case for warehouse workers but not corporate accounting or finance. Below market value. Also alot of supervisors dont know how to manage people. I have had 5 or 6 different supes and only 2 of them deserved to be there.,Work life balance is ok.,2.0,"""Overrated"""
46,Costco,It's just retail. Of course there is no where to move up. It's no one's dream job so once you're in it's hard to leave so there is full lack of motivation to pursue anything else. That's really it...if you're looking to work in retail pharmacy Costco is the place to be really...,"They pay real well for retail pharmacy, great benifits, up to 5 weeks paid vacation, up to 9 days of paid sick days a year, stock options along with 401k, usually lots of help compared to pharmacies like CVS, decent hours and closed on Sunday",4.0,"""It's a good job"""
47,Costco,Lots of employees and can be difficult to get the right schedule,Friendly work environment with lots of room to grow,4.0,"""Costco Wholesale Front End Employee"""
48,Costco,Too centered on seniority.,Treated well by Corporate. Insurance and benefits. Understanding of employee issues and concerns.,3.0,"""Rewarding work, but stay away if Retail and its way of work is not for you"""
49,Costco,Would like to work from home,"Great company, good benefits",5.0,"""Buyer"""
50,Costco,They consistently extend how long it takes to get a raise. Quality and work ethic have no impact on pay therefore quality workers are punished with more work with no pay. Management at location 662 would rather find someone to watch do a task rather than be a leader and do the task.,"fast paced, dependable and pay is ok.",3.0,"""Potential but Lacking"""
51,Costco,Micro manages late hours too,Good workers good pay and Sunday premium,5.0,"""Good but stressful"""
52,Costco,"not IT efficient, conservative, bad management, no accountability, no encouragement","friendly, staff care, family culture, relex,",4.0,"""Awesome Company"""
53,Costco,"closing shifts, cleaning, time off,","Benefits, memberships, sunday premium, holidays",3.0,"""Okay"""
54,Costco,"Unionized stores definitely make you work hard for your money, and you will definitely want to invest into learning all of the rules, as well as state labor laws. I can only speak from the experiences I share with my coworkers and it seems that, while the corporation may have a lot of great programs and benefits available, there is a lack of leadership at this location, and the management style is very dictatorial and authoritarian.","There is always work to be done, which means there will always be shifts available. Depending on which location you work, there may be plenty of turnovers which can equal opportunities to advance. There are a lot of corporate programs to incentivize employee engagement and community involvement.",2.0,"""Experiences not promising"""
55,Costco,management lets employees dictate the work and the pace. no system in place in the oceanside location,good pay. fast paced. time flies.,2.0,"""soft management"""
56,Costco,"Although the pay was decent for retail pharmacy, it is kind of unfair that pharmacy technicians start at the same pay as cashier when we have to know much more information. Floor management and employees were not welcoming at all to new employees. Lead pharmacy technician and floater pharmacists I worked with were lazy and did not want to bother training me. I agreed to a set schedule during my orientation, but pharmacy manager backtracked later on and gave me a completely different schedule that was not what we agreed with. Majority of the members are very rude and entitled.","The benefits were good. Lunch and 15 minutes breaks. No drive thru pharmacy. Pharmacy department closes early, plus no Sundays and major holidays. Very clean environment. No set high expectations from corporate like other retail pharmacies.",2.0,"""Had high hopes about this company...."""
57,Costco,Short on hours as a part time,"good opportunities, benefits, pay, and happy coworkers",4.0,"""Pretty Good"""
58,Costco,- Management is bad - Customers are rude - Very hard to advance or even get full-time - lots of lazy co workers. - No work/Life Balance,- Good Benefits - good pay,2.0,"""its a mess like every other retail place."""
59,Costco,Takes a long time to move up and get pay increases. Too much weighted on seniority and not enough on previous experience and knowledge.,"Great place to work. Good people, good training and nice culture.",4.0,"""Great place to work"""
60,Costco,Takes a long time to move up and get pay increases. Too much weighted on seniority and not enough on previous experience and knowledge.,"Great place to work. Good people, good training and nice culture.",4.0,"""Great place to work"""
61,Costco,its gone needs to be a true Marketing job,was a good job at one time,3.0,"""No more Marketing"""
62,Costco,"Members shopping weren’t always friendly, or were crabby with the long waiting lines.",I enjoyed the people and definitely the benefits!,5.0,"""Costco Wholesale"""
63,Costco,They milk you until your dry then ask for more. They treat the job like its the best that you will ever be able to get. I worked here while in college and both the associates and the customers acted as if working front line in Costco was the best job anybody could ever have. I just wanted to have something short term until i could get a career. Favorites were often played. I constantly saw employees who started at the same time as me get put on better positions such as membership and food court despite me having more experience in both areas. Position included outside work that was not described when applying or interviewing.,For working in retail the pay is good,1.0,"""Bad experince"""
64,Costco,1. Rude members make your day go down hill 2. Could have your scheduled changed and the reason would be “it’s for the needs of the company” 3. Have to work late hours when you first start off,1. Great employees that become a family 2. Can work and study at the same time (they try to work with your school schedule) 3. Pay is more than minimum wage,5.0,"""Great Employees"""
65,Costco,Bad management they need to work on that,Good benefits and health insurance,3.0,"""Good experience"""
66,Costco,"Often times we were understaffed and had to take on multiple responsibilities, leading to increasingly hungry and angry customers. Along with this the managers would play favorites. I guess my key takeaway is to get the managers to like me rather than work hard!",Most of the team I worked with was very welcoming and willing to help out when they could.,3.0,"""An okay place to work"""
67,Costco,Work every weekend Can be hard to get time off Schedule can vary a lot when you are new,Good pay Time and half on Sundays Work with students and their schedule Fun atmosphere,4.0,"""Take care of their employees"""
68,Costco,"There is not any real training prior to starting the job, at least for the department I'm in. This can be tough for newcomers (and it can lead to a lot of rework for current/long-time employees). Fortunately, my experience at a previous company helped me a lot. The company works with a lot of legacy systems or with software feels like it is still stuck in the 80's or 90's. Management at other locations can be very political in some departments. Regional managers do not always communicate well-enough with each other. One says to do one thing, and the other says to do the complete opposite.","Pay is fair. The more you work, the faster you get a pay raise. Working past 8 hours counts as overtime (pay x 1.5). Sunday pay is also pay x 1.5. Schedules are flexible, especially if you're a student. But remember, it is retail (at least at the warehouse level), so the management's/company's needs come first. Benefits are incredible, even with a part-time position. Instead of elaborating, I'll just say that you would want your company to have the benefits Costco has. When Google was #1 and Costco was #2 on Glassdoor a few years ago, not even Google's benefits were as good as Costco's. ¯\_(ツ)_/¯ I don't know if that's changed for Google. Management is pretty good. There have been three warehouse managers at my location since I started working there. The first one was lazy. The second was very hard-working (now retired). This third one is also hard-working and probably shows more care about the employees than the previous two. So, I'd say each one has been overall better than the last.",4.0,"""Great Company to Start Out With or Even Stay With"""
69,Costco,$500 cap on 401k match,Drop and hook doesn’t get much easier,3.0,"""401k"""
70,Costco,Depends on location as to how busy you will be all the time.,"Good pay for a retail job, $15 an hour. Nice benefits for part time after 6 months",4.0,"""Good pay and benefits"""
71,Costco,No Cons available at Costco Wholesale,"Staff, store , members, benefits, payRate,",5.0,"""Good Job"""
72,Costco,I have no cons about this company.,They take care of you and really care about their employees.,5.0,"""Costco"""
73,Costco,Management Long hours Not for everyone,Insurance 401k Salary Flexibility Room for growth,4.0,"""Costco cashier"""
74,Costco,Hope that you work under good supervision. Heavy manual labor,"Great benefits, mandatory breaks, free memberships",4.0,"""Hard Work, Great Benefits"""
75,Costco,seasonal only could be longer,Good place to work. Management was very respectful and helpful.,4.0,"""Costco"""
76,Costco,Great company overall get your foot in the door and it could be a good career,"Great pay if you stay dedicated. Good benefits, stock, etc",5.0,"""Great company for career growth"""
77,Costco,Unorganized at times Physically and mentally exhausting,Great coworkers Gives great hours to employees Fast paced,4.0,"""Meat wrapper"""
78,Costco,some supervisors could be more kind,"great pay and great co workers, and some great managers true to Costco's morals and principles",5.0,"""work around the store"""
79,Costco,Hard to get full-time. No consistent schedules. Management and corporate office will screw you over pretty badly if you get injured on the job.,"Great pay and benefits. Team-like atmosphere. A lot of work, but easy for the most part.",4.0,"""Great company to work for, unless you get injured"""
80,Costco,I applied for a supervisor position but lost out to a current supervisors spouse that was under qualified.,"Fun job, great people to work with",3.0,"""Fun job"""
81,Costco,No benefits until you reach a certain stage Doesnt make you want to stay,Pay is okay but you're paid hourly,1.0,"""Great place but only if you get to higher positions"""
82,Costco,Where to Start. Costco is very out of touch with Technology and the impact it plays on the modern work place. They try and stick with out dated philosophies that dont translate well and often alienate the skilled workers all while trying to shove the idea of culture down your throat. Skilled IT workers at Headquarters are treated as a burden. You can feel the distaste for them from Craig with how he handles issues. Craig insists on treating everyone like a Warehouse worker regardless of what you actually do for the company. This is great for Warehouse workers and deeming towards people who have developed skills for corporate environments. Often times you have managers in IT that started at the company as a cart pusher and have never had a job out side of Costco. They dont understand what they are doing and create all kinds of issues through out the IT department. You have people in IT who simply dont do their jobs or are so far out of their depths because they have risen through the ranks because of tenure . People who are new to the company are often dismissed and ignored when they try to help fix things. This eventually leads them just stop caring and fall in line with not doing anything. You have other managers and directors (ecomm) who are so full of them selves and are so loud they get what they want regardless of what policies have been put in place to protect the environment. Hence Costcos website went down on Thanskgiving. Its not the best workers that get promoted. Its the ones with the best Connections or the loudest voice. For warehouse worker Costco can be great but if you went to any type of schooling to get into the field you are in. I would avoid Costco. It will suck you in and you will slowly start to loose the skills that are needed to thrive outside of it. Costco has a CIO that no one really sees or knows what he does. VPs talk about how they discuss things with out companies CIOs but Costcos does not. Paul makes a good deal of money yet you can ask dozens of people over in technology and few if any can tell you what he does.,The Health Care is decent.,3.0,"""Costco Doesn't Understand Technology - Stuck in the Past"""
83,Costco,sometimes can be overwhelming,treats their employees very well,5.0,"""n/a"""
84,Costco,No advancement opportunities and obviously prefer men over women for any management positions. Managers were very old-school and border-line toxic in their behaviors. It was not uncommon to be yelled at when the manager was having a bad day.,Direct experience with executives provides the best and most relevant connections with the organization. The location was outstanding and not available to most employees. There was a very small work group so not a lot of office politics.,4.0,"""Not what you would expect"""
85,Costco,Management can be a bit of a problem at times,"Great Company, work life balance",4.0,"""Awesome company with great culture"""
86,Costco,"Extremely early hours or late hours, they will schedule you 7+ days in a row sometimes, very hard on feet and back because of long hours standing on concrete and heavy lifting, must work in any section of the store needing help so it's hard to know what to wear (food court, front end, members center, carts, bakery) because they all require different uniforms, managers were very rude when asked questions, many customers are very picky and stuck up, starting pay is not enough for the amount of work required ($15/hr)","Lots of hours available, friendly coworkers, benefits even for part time (but only once you work 1000+ hours), pay goes up the longer you work there",3.0,"""Lots of work, not that great pay"""
87,Costco,-Unprofessional management -Political when it comes to job advancement -Inadequate training to new employees -Schedule changes frequently -Rules and guidelines change and do not withstand,"-Great benefits -Well paid for the tasks of the job -Flexible with other jobs and schooling -Non-salary doesn't work more than 38 hours a week -Paid holidays, sick time, and vacations",3.0,"""Great company but management needs work"""
88,Costco,Long hours and open weekends,Great pay great benefits great stability,5.0,"""Very busy but very fun"""
89,Costco,Physically demanding and slow to promote due to large part-time pool,Staff were competent and team players,5.0,"""Culture lives up to their mission statement"""
90,Costco,Path for career growth is not laid out for Designers,Great Team Spirit. Excellent co-workers.,4.0,"""Positive Work Environment"""
91,Costco,Health insurance could be better--even at top tier it is still lacking and the dental insurance is a joke. Some supervisors let their 'power' or 'perceived power' go to their heads and there is no accountability.,"Benefits, Work schedule, Pay, Profit Sharing, 401K",3.0,"""Good Company but not as great as it used to be"""
92,Costco,"Extensive work loads, limited opportunities to move up",Flexible schedule great benefits and good environment,5.0,"""Great company"""
93,Costco,My schedule was constantly changing.,The warehouse had great management.,4.0,"""Great company"""
94,Costco,"Takes a long time to get a raise, coworkers are hit or miss, have to stay on your feet the whole shift.","Great hours, friendly management, holiday pay, great benefits.",4.0,"""Costco review"""
95,Costco,"Very lazy management that most of the time will refuse to work hands on with their employees and instead commands everyone what to do even if it isnt helping. You will be worked 7 days in a row most of the time without overtime pay because they use the term ""workweek"" to work around that. Supervisors often get very big headed with their positions and will take advantage of their role by belittling regular employees and abuse their break time. I've noticed a few flirting with young female employees even while being called for on their radio. Kiosk workers, managers and supervisors will walk around staring at their phones but will write up regular employees if this is caught. Costco shows no value for your time and will keep you there working when there is nothing to do, and will demand you stay until you are scheduled even if you've completed your job early. Even worse, part time employees who do not have schedule restrictions must work 5 days a week, meaning that even if you have been scheduled for only 20 hours, you will work 5 days 4 hours a day. I've also been a corporate employee, which was absolutely terrible. Completely rude and cocky buyers, assistant buyers, and managers overall, I've even heard that there are some groups of buyers, assistant buyers, and ICS's who live together and have families throughout buying, so dont expect to find very diverse opinions within buying. Maybe the company cared for its employees at one point, but after seeing managers promoted solely based on who their parents are, seeing managers and employees yelled at and belittled for the slightest reasons such as running out of a product for a few minutes, hearing about managers who have since stepped down because they were forced to work 7 days in a row 45+ hours a week for MONTHS without a day off; and all other things combined in my experience with costco, I believe have lost their way completely. However there are a number of great managers and employees that I've come to really respect, so there are a few still out there trying to improve what others have ruined.","Pay is decent, and sunday overtime is nice. Warehouse keeps you in shape as well which is a bonus.",1.0,"""Great for shopping, terrible for working."""
96,Costco,Understaffed constantly. I was told to work off the clock so that I wouldn't fall into full time hours. Management was irresponsible and clearly sexist.,Decent pay with opportunities for raises if you stick it out. Free costco membership to employees.,2.0,"""Not worth the pay"""
97,Costco,The competitiveness within the administrative end can be a huge commitment as you will need to be working with multiple departments to run the needs of the business.,"The benefits, Competitive wages and a well supported staff",4.0,"""Costco is a very diverse environment with many different opportunities"""
