,company,cons,pros,rating,title
0,CVS Health,"No cons, if you like coming to work that is.",Great work environment If you need any help at all just ask they highly encourage it. Management responds immediately.,5.0,"""Pharmacy service representative"""
1,CVS Health,I haven’t seen anything bad from cvs,I love cvs. Always comes up with new things.,5.0,"""Excellent"""
2,CVS Health,"Work hours were excessive. To be successful hours worked were borderline slavery. While I willingly worked them to be successful, the week you didn't you were immediately behind. Vacations were almost non existent due to constant visitors from corporate stopping in to do reviews. Holiday weeks were paid 4 days regular 1 holiday and you worked all 5. The facade of the stores looking great when these people stop by versus the reality of the business is polarizing. There were always teams of people and excessive expenditures of payroll thrown into stores prior to their visits. While I understood the need to make an appearance, it was always will always be a backwards way off thinking. Company preaches quality of life for their clients while quality of life for their employees is non-existent. As a ""manager"" in your average store you will be ""managing"" a total of one person during your shift, with a total of 10 people at location. Location open hours will exceed total payroll hours ie Sun-Sat 7am-10pm = 15hrs per day x 7 days x 2 people = 210 hrs which excludes the need to have a person unload deliveries that come in during non opened hours. Your budgeted hours will be approximately 208 hrs. I will only mention that during the month of December that there are extended hours for the stores but no budgeted hours to accommodate. Stores are held to strict shrink targets with little to no control over external theft. Remember 2 people at location, if four people enter to steal there is nothing you can do to stop them. These are facts not personal prejudices.","I learned a lot working there as far as how to run a business as well as how to develop a team. I had one of the most successful teams in the company ranking as the top store year over year in two separate markets, one in the Northeast one in the Southeast. I was a paragon winner with the company as well. My most recent DM was very supportive. I genuinely thank them for the opportunity and the knowledge that I acquired while working with them.",5.0,"""15 year manager"""
3,CVS Health,"Pay was very low admin support, health insurance was not the best....at the time the deductibles were very high and coverage was not the best.",Management easy to work with. Very easy system and process to learn and work on.,3.0,"""Nice management &amp; staff"""
4,CVS Health,"short-staffed, busy, stressful and a lot of commitment","Great coworker, flexible schedule and benefits",3.0,"""CVS Pharmacy"""
5,CVS Health,Hours constantly being cut by company leaves salaried employees working 70+ hours a week,"Easy merchandising, fun casual place to work",4.0,"""Not bad, experience depends on district/region management"""
6,CVS Health,Too many modules for a college student,People are fun to work with,3.0,"""Cvs"""
7,CVS Health,"Stress, lack of support staff","Job security, competitive pay, guaranteed hours",3.0,"""Innovative Company, Difficult Market"""
8,CVS Health,"rude customers, poorly staffed, inadequate training opportunities.",AMAZING EXPERIENCE IF YOU WANT A VERY STRESSFUL ENVIRONMENT AND HIGH PRESSURE,4.0,"""GREAT"""
9,CVS Health,pay is not as great,easy job not too hard,3.0,"""okay place"""
10,CVS Health,Under staff No room for advancement,"Employee discount , coworkers were great",3.0,"""Pharmacy tech"""
11,CVS Health,The Pay could be better,Good place to gain experience,3.0,"""."""
12,CVS Health,Long shifts A lot of down time(no busy work),The CVS that i have had the pleasure to work with was very flexible with my hours as a college student Good starting pay Opportunity for growth,5.0,"""GREAT FIRST JOB!"""
13,CVS Health,Company shift from focus on patients to just filling prescriptions.,Hired me with no experience and put me through their training program and paid for my certification exam.,4.0,"""Good Start"""
14,CVS Health,- Can be stressful if you aren't used to fast paced environments,- Excellent camaraderie (depending on which store) - Days go by quickly due to the high octant work environment - Excellent Pharmacists,4.0,"""Fast paced and store dependent"""
15,CVS Health,stressful job and unsteady hours,big company with lots of opportunity,3.0,"""CVS Health"""
16,CVS Health,Expect a lot for time allotted. Keep cutting hours. New manager is super strict. Feel like I'm constantly being watched over.,My boss was very laid back. Everyone there was friendly. Use to be a good place to work. Was left to do my work without constantly being checked up on.,3.0,"""Overall not that bad, they just started cutting hours, and expecting more work without enough time."""
17,CVS Health,None that come to mind.,"Fast-paced, always work to do.",5.0,"""Deadline Driven"""
18,CVS Health,Toxic culture. Place is incredibly siloed and there are varying levels of accountability depending on where you are. Intimidation and fear based leadership is common place. Extremely difficult to get anything done. They dont trust their employees so they require data when common sense and logic should suffice.,"Able to attract new, top tier talent. Get exposed to a lot of different areas of the business and learn a great deal. A good stop for your next job.",3.0,"""Challenging and not in a good way....."""
19,CVS Health,"Over Worked and Short Staffed, Doctor's notes do not qualify as a reason for missing work.",Occasional Overtime. Yearly Raise.,3.0,"""The right store could be a great place to work."""
20,CVS Health,Not good experience if you graduate and get your degree because no one wants to hire you for a internship or assistant work.,I gained a lot of communication skills as well as problem solving skills.,3.0,"""Customer Service"""
21,CVS Health,"Pharmacy can be very high paced. Knowing how to multi task is a must, otherwise you can feel overwhelmed","Flexibility with scheduling, pharmacy teaches you valuable everyday skills. Always room for progression in the company",4.0,"""Great company"""
22,CVS Health,co worker should be fired but isn't,co workers are cool and customers are sometimes cool,3.0,"""its alright"""
23,CVS Health,The company does not provide enough hours to schedule technicians. Unrealistic expectations for hour allowance.,Obtained License through the company,3.0,"""Understaffed"""
24,CVS Health,non stop and understaffed constantly,Non stop so the day flies by quickly,3.0,"""YOU Will be busy"""
25,CVS Health,Constant changes and depending on the department possible no upward movement.,Enjoyed the people I worked with.,4.0,"""Good Company"""
26,CVS Health,Nothing at all! Pretty nice,Great place to work for part time,5.0,"""Not too bad"""
27,CVS Health,"Company only cares about making money, pay is decent but not for the amount of work you're expected to do on less hours. If you're a hard worker you will most likely get stuck doing other people's jobs, along with your own.","Room for advancement and training if you're willing to make the effort, my local store was flexible with my schedule while I was working 2 jobs, the HSA through the insurance was a huge help for dental bills when I only had medical coverage.",3.0,"""CVS Jobs"""
28,CVS Health,Low pay and bad hours,Great environment and long hours,5.0,"""Retail Store Manager experience"""
29,CVS Health,Employees are not always valued,Hours are flexible and dress code is relaxed,3.0,"""Workable position"""
30,CVS Health,Really don’t care about there employees yet the employees are the ones driving there metrics.,Good pay with good benefits,3.0,"""Really depends on who your district and regional manager is."""
31,CVS Health,"Metrics driven expectations based on national contracts ignore local reimbursement and salary requirements Poor communication Poor office culture Constantly changing expectations, soft reprisal on uncommunicated or poorly communicated initiatives contributing to overall feeling of defeatism","High expectations, internal growth, improving benefits",3.0,"""High expectations, low salary"""
32,CVS Health,Too many hours long shifts,Learning enviorment is spot on,3.0,"""Good"""
33,CVS Health,Slow growth in the career,"Good environment, work life balance is good",4.0,"""Fortune 7 company to work"""
34,CVS Health,Lots of work for little pay,Learned a lot of skills and how to work with patients.,4.0,"""Long hours not enough pay"""
35,CVS Health,No cons other than long hours but makes scheduling great,Schedule and salary and working with others,5.0,"""Great"""
36,CVS Health,Pay could be higher but it’s easy,Good people and average pay,5.0,"""Good place"""
37,CVS Health,"There are not enough hours, hours have been cut dramatically. People have to work to survive, I really enjoy this company so looking at other job openings is upsetting.",I love the store I work at and the girls I work with. My manager is in Sandwich and she is awesome.,3.0,"""NEED MORE HOURS PLEASE"""
38,CVS Health,Organization will make changes that affect your money quickly.,Good systems and strong sense of how to do things.,3.0,"""Quick Corporate Changes"""
39,CVS Health,There is nothing I would complain about,Great place to work at and grow,5.0,"""Great"""
40,CVS Health,"way too much of a work load with minimal benefits, if you are full time they will try to cut your hours so you barely make it",lots of patient care experience,3.0,"""okay"""
41,CVS Health,"Company only cares about the bottom line and making money. Seems like little care for the patients, employees, or customers.",The people you work with will likely be amazing and the job is straight forward.,3.0,"""Pays the Bills"""
42,CVS Health,Pay was low and environment between coworkers and management could be hostile at times,"Flexible with my schedule, hands-on training",3.0,"""Decent minimum wage job"""
43,CVS Health,too few hours allowed to operate in todays competitive retail market,good benefits and training programs,3.0,"""Average Company"""
44,CVS Health,expected to know a lot even though you’re new,build a lot of skills that you can use for future,4.0,"""Good for college students"""
45,CVS Health,The increasing use of self-checkouts cuts hours,"Good pay for ""minimum wage""",5.0,"""Great job to have while going to school!"""
46,CVS Health,"scheduling is handled by the Phamacist, and can be sporadic at times","Easy to work here, everyone is of similar mindset",5.0,"""Great Place to work at!"""
47,CVS Health,"There is constant pressure to meet timed metrics even when you may have customers waiting in front of you to be helped. Additionally, we are often understaffed which means even less face time with customers that we really want to help.","There are a variety of locations to work at across my city, and I know there are opportunities to change store if I were to move.",3.0,"""New Pharmacist Review"""
48,CVS Health,"Benefits not great Given a lot of tasks to do (besides filling/verifying), but not enough staff. Corporate cuts too much hours",Work schedule not so bad,3.0,"""CVS Pharmacist"""
49,CVS Health,Frequent training quizzes and modules,Great workplace environment Employee discount Flexible hours for part time,5.0,"""Great Place To Work"""
50,CVS Health,There was no cons at all.,The pros of it was good environment to work in and the bosses were fantastic.,5.0,"""My experience working in CVS was Excellent."""
51,CVS Health,Not too favorable working conditions .Mandatory weekend work,Great pay. Friendly people. Centralized location,3.0,"""Good pay in NJ."""
52,CVS Health,Not enough help Understaff Culture Values Hours are always decreasing,Benefits Health insurance 401 k Discounts Most co-workers care,2.0,"""review"""
53,CVS Health,Lack of resources. You are solely responsible for making up the gaps as a store manager. Hours are constantly taken away while workload either remains the same or increases. Stress is an understatement.,Bonuses can be pretty decent depending on the size of your store.,2.0,"""Not worth the stress"""
54,CVS Health,No room for growth within the company unless you are in Pharmacy school.,Friendly coworkers. Working directly with supervisors daily. Lots of learning about drugs and symptoms.,3.0,"""No growth."""
55,CVS Health,politics raises and promotions are not based on personal performance,creative smart people decent salary and benefits,3.0,"""strategy and innovation for pharmacy"""
56,CVS Health,Pay is not competitive compared to other chain pharmacies I.e walgreens,"Good for interns, inexperienced pharmacy techs",3.0,"""Good company, not the best pay"""
57,CVS Health,They push everyone so hard that moral is low and employees are at each other’s necks.,"Hours where great , money was ok.",3.0,"""Stressful"""
58,CVS Health,Very busy Rushed Not the best people to work with,Easy to pick up hours,2.0,"""Stressful"""
59,CVS Health,"Nobody will show you what to do Management doesn't believe in calling out, even with a doctor note",Always something to do The customers are much nicer than I had at my old job The discount is decent,2.0,"""An alright place to work"""
60,CVS Health,Work life balance. Most pharmacies drain your front store payroll because they can’t get their act together,It’s retail. Not much different from other retailers,2.0,"""Get ready for no life"""
61,CVS Health,advancement - starting wages -,Great off time -- good schedules -- always find a job,4.0,"""Good Company"""
62,CVS Health,Turnover of staff makes it hard sometimes,Good place to work for lots of opportunities,5.0,"""Great culture"""
63,CVS Health,Lies lies lies. Promise things and never deliver! No appreciation for your work.,Great insurance only because store is union.,4.0,"""Terrible management"""
64,CVS Health,"- It is all a buisness, do not really care about patients",- I was trained under some amazing pharmacists,5.0,"""It was good experience"""
65,CVS Health,I said consider your location because the store I had people were just running in with guns all crazy legit every other day for diapers. Other than that your store should be normal unless you are in Vegas lol. Wish they had security inside the store.,All you really have to do is have a good eye for reading yellow price tags and putting them in the correct departments that you are assigned for your shift. Stack candies in the front (easy),5.0,"""Overall Good {but consider the location }"""
66,CVS Health,No time to properly train the staff. Budget cuts that lead to surmountable complaints & errors,Benefits are competitive for the market,2.0,"""Unappreciated"""
67,CVS Health,"The company itself gives no incentives to grow. I started off making more than the minimum wage (because I was a pharmacy technician too as well as a front store cashier) but ever since the minimum wage went up, I only made minimum wage.",My store manager is amazing and will praise me whenever I do something well. She also works well with my schedule and is very understanding.,3.0,"""My store manager is great but the company doesn't have much benefits."""
68,CVS Health,"not enough hours, even if you want to go to other stores poor communication, would be scheduled multiple shifts at the same start time",nice starting pay ability to work at other stores,3.0,"""poor communication all around"""
69,CVS Health,retail pharmacy - see NYT article about chain pharmacies.,Some great people to work with depending on location,2.0,"""Stressful"""
70,CVS Health,I don’t think there are any.,It’s very calm and slow and will go at a pace for me to start off at.,4.0,"""It was good."""
71,CVS Health,The hours for pharmacists and support staff were cut to the bare minimum,The best part of this job is the maximum of a 10 minute commute to work.,4.0,"""The job was that of Retail Pharmacist."""
72,CVS Health,Do not miss work for any reason. They do not take doctor notes or any type of excuse. You will be ineligible quick for any advancements or pay raises if you miss work. The pay is not very good either.,If you work hard and show up then you will be recognized and appreciated.,5.0,"""Great compnay with opportunity to advance"""
73,CVS Health,"Breaks, pay, management, co workers, policy","Benefits, discounts, customers, paid time off, interesting",3.0,"""Dreadful"""
74,CVS Health,Hours and help. Not much room for growth,Benefits vacation pay raises annually,3.0,"""NA"""
75,CVS Health,-Lots of stress on customer service -Lots of stress on getting Carepass -High expectations,-Good place to grow -Meet new people -Good environment,3.0,"""Place for Growth"""
76,CVS Health,Do more with less that leads to mistakes.,great benefits and competitive pay,2.0,"""NewYork Times Cont."""
77,CVS Health,None - all good in CVS Health,Good Company to work for,4.0,"""Nice"""
78,CVS Health,Workload was very heavy at times,Good company and benefits,4.0,"""Good but heavy workload"""
79,CVS Health,Starting Low pay definitely try to negotiate.,"Benefits, PTO, and easy job If you don't have a college degree. I believe it is a great long term career option. The pay will get better the longer you stay.",4.0,"""Good career option"""
80,CVS Health,Corporate constantly lowers the demand hours for front store and pharmacy but tend to give more work to do. Carepass is a great program but the way they push it down the coworkers backs to push it is ridiculous. One of the stores I worked in the managers just sit in the office while giving other employees demands to get the work done.,"Health benefits, paid holidays, floating holidays, sick days, can find hours in other stores.",4.0,"""Corporate isn't the greatest"""
81,CVS Health,Business side of company sometimes not qualified to make appropriate decisions as there are many cancelled projects,Great people to work with,3.0,"""Large company with many different groups"""
82,CVS Health,Minimal training before being on your own. Little to no guidance on specifics required to get started. 12 hour shifts common.,Approachable staff. Simple interview process. Computer system mostly easy to use after being taught basics.,3.0,"""Minimal training before running pharmacy alone"""
83,CVS Health,It is non stop for an 11 hour shift. There are never enough employees.,You feel really good when you’d actually get done the crazy amount of stuff management wants you to get done,2.0,"""Way to much work, not enough people"""
84,CVS Health,- Not very sophisticated training. Felt lost for months there until suddenly I didn't - Customers frequently blamed me for issues that the pharmacists could have easily handled... but didn't,- It was honestly so easy.,4.0,"""I liked it"""
85,CVS Health,Not a lot of information or direction for upward mobility,Great people. Great benefits. Good pay.,4.0,"""Quality Analyst"""
86,CVS Health,"Long hours, work holidays, and weekends",Great company to work for,4.0,"""Store Manager"""
