,title,rating,pros,cons,company
0,"""Great to work!!!""",5.0,"Company genuinely cares about their employees. Pay scale is good and year end profit sharing is GREAT! Flexible schedule if you are part-time, fantastic flight privileges, tight community of co-workers and good support from management. I like non-traditional hours so that's a pro for me. Lots of career opportunities if you are willing to relocate.","Schedules are not traditional 9-5 hours, often have to work weekends and holidays. Getting a good schedule comes with seniority. Newbies may have to work early mornings or closing shift.",Delta Airlines
1,"""Good job""",5.0,Easy work great company,Management wasn’t all that good,Delta Airlines
2,"""Awesome""",5.0,I love working here. The benefits are great as well!,"Seniority based for everything. If you work harder than someone else for a promotion, it won’t matter since they’ve worked there longer or are older than you.",Delta Airlines
3,"""Fantastic Place to Work""",5.0,"Company culture (people genuinely care about each other), benefits, tremendous career growth opportunities",Delta has made me a far better person; I have nothing negative to say about the company.,Delta Airlines
4,"""Delta""",5.0,Great Benefits Travel benefits Good Pay Paid time off Holiday pay,Work holidays and different schedules.,Delta Airlines
5,"""Atlanta ramp agent""",5.0,It’s the best airlines to work for,Working in the cold,Delta Airlines
6,"""good""",5.0,really understanding of my time,late hours and early mornings,Delta Airlines
7,"""amazing airline""",5.0,non unionized workgroup enables open communication,there are none. best company to work for,Delta Airlines
8,"""Customer service agent""",5.0,Great company to work for. They value their employees by treating them fairly and offering them profit sharing.,Shift work. Which is a major part of working for an airline. You miss holidays but on the flip side you can swap your days with your coworkers.,Delta Airlines
9,"""Good company to work for.""",4.0,"Decent salary, flight benefits and good team environment",Management are cruel and cut throat at times,Delta Airlines
10,"""Awesome place to be""",5.0,Flexibility getting time off by swapping shifts with ease,Too much sitting which really gets to you,Delta Airlines
11,"""Great""",4.0,"Opportunity to travel the world, pay and benefits",Alot of traveling and not a union,Delta Airlines
12,"""Great company unless you work in IT in Minneapolis""",3.0,"Delta is an excellent company overall. They treat their employees very well. They are a good global citizen, Ed is a fantastic CEO. Benefits are great. 401k match is hard to beat. Flight benefits are, mostly, truly wonderful and impossible to put a value on.",If you are working in ATL at the GO - world class headquarters and you’ll have a lot of events around the campus. Not so much up in MSP. If by chance you end up finding a job posting for IT (rare as Delta relies HEAVILY on contractors) and one in MSP (even rarer) - welcome back to 1985! The work is interesting but you will end up carrying dead weight (people that should have retired 10 years ago) if you want to make your job tolerable. It will be interesting to see what happens to this office in 10 years’ time when just about the entire building has retired.,Delta Airlines
13,"""4 years in and I plan to stick with Delta for as long as possible""",4.0,Profit sharing Coworkers Competitive pay Travel perks and benefits for yourself and immediate family,Management can be up and down. I’ve had overall great managers.,Delta Airlines
14,"""Improving employee relations throughout company.""",3.0,Pay is industry standard or better.,Still working through old culture.,Delta Airlines
15,"""It's  a great company to work for but horrible managers""",3.0,Awesome Profit Sharing! Great travel benefits,I was in the call center as a Customer Experience Specialist and the i just feel like the pay was extremely low for the job. Your constantly taking calls and not enough break time. The managers in Cincinnati were mean and unsupportive.,Delta Airlines
16,"""Great Company""",5.0,Benefits! Flight benefits are amazing. Delta treats their employees great!,Schedule is not the best in the beginning.,Delta Airlines
17,"""Great opportunity for summer job""",4.0,Flight benefits are really great,"Shift selection, management is clueless and disorganized",Delta Airlines
18,"""The Job""",5.0,It’s a great job to work for them,The schedule is tight &amp; conflicts sometimes,Delta Airlines
19,"""Ready reserve""",5.0,Meet a lot of people,Can’t work too much if you’re a RR,Delta Airlines
20,"""Customer service agent""",5.0,Great company! Many opportunities. Travel benefits are great.,Must be flexible with irregular operations,Delta Airlines
21,"""Joining now, you most likely won't get health insurance, workman's comp, paid sick days & other benefits for a long time""",3.0,"Decent pay, flexibility, and flight benefits","Challenging work environment, long hours, physically demanding. If you are a ready reserve agent you will not get health insurance, workman's compensation, paid sick days, and a lower pay cap than the benefited employees. Benefited employees are not exclusively leadership positions, most are working alongside the ready reserve employees. Delta is slowly getting rid of benefited employees, when a benefited employee is fired, or retires, or leaves the company Delta will not hire more benefited employees, they will hire ready reserve employees, for every 4 benefited employees that leaves, Delta will replace them with 4 ready reserve employees, or maybe 3 ready reserve and promote one ready reserve employee from within. To move up quicker you will probably need to relocate. In 2015 on average it took 4 to 5 years to become benefited. It now might take 7 years. Delta gives the airport managers too much power with very little oversight. They have been incredibly hypocritical when it comes to firing an employee, or promotion. I will say that there were a a number of employees I loved working with.",Delta Airlines
22,"""Best place to work bar none""",5.0,After being with several Airlines through a merger I wound up at Delta. It was like a breath of freash air. They genuinely care about their people which is the history of the company.,I can't think of an y except that they lag in IT. They were always behind the times when it came to IT.,Delta Airlines
23,"""GREAT JOB. FUN LOCATION. RARELY DULL MOMENT""",5.0,Traveling. 6% 40lk. Profit Sharing. Career Advancement. Cool management. Parking. Discount at airports. Discounts at DUTYFREE. Can call time out at any point. Good uniform allowance. Many groups to join. Job Guidance.,YES. Everyone doesn't have the same work ethics..,Delta Airlines
24,"""Good xareer""",5.0,Flight benefits and well paid,Scheduling Issues were a constant battle,Delta Airlines
25,"""Awesome company to build a career, wonderful environment""",5.0,"Great environment, nice leadership, wonderful team",no cons at this time,Delta Airlines
26,"""Great airline to work with""",4.0,Stationed in New York and very well looked after when lay overs in other states or countries,Hard to climb the ladder,Delta Airlines
27,"""Too much Agency""",3.0,"As a creative, we get to work on an incredible global brand.",Most of the design is led by agencies. Trying to bring more in-house.,Delta Airlines
28,"""Great Company to work for""",5.0,Good to their employees Work with great people Work from Home options,None that I can think of,Delta Airlines
29,"""Appreciated and respected""",5.0,"A great company with a positive outlook, culture, benefits and respect.",Long duty days during IROPs.,Delta Airlines
30,"""Great before merger""",2.0,Pay and benefits were ok,Company culture changed for the worse,Delta Airlines
31,"""Best Company to Work For - Employee Friendly""",5.0,"Employee Friendly Work Culture, Work Life Balanced",Commute is too long for most people,Delta Airlines
32,"""Overworked - Under Paid""",3.0,"Flight benefits, work from home, health benefits, profit sharing (if you put in overtime)",The home work-life balance is horrible. Some managers are unqualified to be managers.,Delta Airlines
33,"""Good Job for Traveling""",4.0,Stand-By Flights and was able to travel,None cons about job. I took the job looking to travel,Delta Airlines
