,title,rating,pros,cons,company
0,"""Great work environment plenty of time for home life""",5.0,"Pay , home life balance, less stressful","Not much overtime, tight with budget",Enterprise Products
1,"""Great place to work""",5.0,Career advancement Great Benefits So much to learn Great coworkers,Nothing comes to mind. I hope it stays this way!,Enterprise Products
2,"""Career growth opportunities abound""",4.0,Great leadership. Management cares about hour career path as long as you do. Competitive comp and bennys.,Management expectations not clearly defined in some areas.,Enterprise Products
3,"""Great Company!!!""",5.0,"Benefits, Salary, Retirement, ""Family"" atmosphere, and Schedule",Really none. Independent work with employees always willing to help.,Enterprise Products
4,"""Lot of inbreeding within the company.""",1.0,None that I can think of.,More than I can possibly type.,Enterprise Products
5,"""would not recommend""",2.0,"pay was generous, they seem to have a lucrative business model","No training, no back-up (forget about ever taking a day off), my supervisor was never helpful in resolving anything, pointed me in the wrong direction anytime I reached out for assistance and never helped me with my goals, Enterprise is ""self-insured"" - make sure you understand what that means before you plan on depending on their coverage",Enterprise Products
6,"""Ok company""",3.0,Great pay for what it is,Good ole boy system,Enterprise Products
7,"""Great Opportunities!""",5.0,"Lots of learning and growth opportunities, great pay and benefits.",nothing! company is great and fantastic,Enterprise Products
8,"""Excellent work environment""",3.0,Competitive salaries and benefits. Manageable work schedule,Non that I can think of,Enterprise Products
9,"""Old school culture with opportunity for career growth""",3.0,"Quick career growth for driven individuals, 401k match 5%, 3 weeks vacation/sick days, half day Fridays",no formal review process or structured training,Enterprise Products
10,"""Great company""",5.0,"Awesome experience, training, and benefits",Long work hours are to be expected,Enterprise Products
11,"""The most unorganized crap shoot of a company that I've ever had the displeasure of working for.""",2.0,They have an excellent benefits package.,There are way too many to actually list.,Enterprise Products
12,"""Career Development is Lacking""",4.0,Good pay and excellent benefits.,"Depending on what department you work in, work life balance may suffer. Additionally, the PTO isn't great.",Enterprise Products
13,"""Great company, glad to be with an industry leader that is still growing.""",5.0,"The training here is the absolute best I've seen. It gives me confidence in myself and those working around me. If you have a desire to move up or learn new skills Enterprise will help you along the way. Culture at my facility is awesome in all aspects comradery, safety, integrity, leadership and so on. Insurance is good for the most part but lacking in a couple areas.",The vision insurance coverage could be a lot better. No bonus incentive for hourly employees.,Enterprise Products
14,"""Great Culture, life work balance""",5.0,Great working environment and benefit,Great working space and collegue,Enterprise Products
15,"""good company, okay pay""",3.0,Stable company Good management Central location Long term growth,low pay no paternity leave no gym,Enterprise Products
16,"""Fast paced. Always changing. Travel. Cape required.""",5.0,"A lot depends on the job title, good 401k match, profit sharing, bonus, stock.","You need to love what you do, if you love your craft you will do fine. If you're not driven in what you do, it can be a soul sucking experience.",Enterprise Products
17,"""Energy Industry was booming here they would not have 7 employees""",1.0,"Pay decent, benefits are good. Its a little better then not working","Management is terrible! Worked for other companies this place is the worst, at least in San Juan basin area. Good ole boys club. They dont listen. You are nothing but a tool. Merit based raises dont exist. No accountability at all. Every manager is just a ""Yes Man"". Worst energy company I have ever worked at.",Enterprise Products
18,"""Decent company, old school mentality""",3.0,"Flextime, 401k match, Bonus, People",Below average pay raises. No promotion unless old people retire. Younger talent is overlooked. In order to move up you need to sit in that chair for years. Managers don't know the work employee puts in.,Enterprise Products
19,"""Each team has their own culture""",4.0,"Great culture in certain groups. No micro managing &amp; work life balance good... disclaimer - it has everything to do with the team you work for. Strong company, lots of intelligent &amp; kind people.",No real appreciation for employees from upper management &amp; no defined path to growth.,Enterprise Products
20,"""Corrosion Technician""",4.0,Great benefits and salary always have a decent raise.,Not willing to promote or relocate after 6 years.,Enterprise Products
21,"""Great company""",5.0,Promote hard work and great values,This is also a pro but very traditional,Enterprise Products
22,"""Great Company""",4.0,Good Benefits Easy to work with,Leadership is not experienced,Enterprise Products
23,"""Work environment""",2.0,Nice people to work with,Low pay are expected here,Enterprise Products
24,"""Analyst""",5.0,The work environment was great. Everyone was helpful.,"There were no cons, just work hard!",Enterprise Products
25,"""Enterprise Products""",4.0,Great benefits. Good people. Great company.,Long wait time for things to get approved or completed.,Enterprise Products
26,"""Pipeline Controller""",4.0,Good company with good pay and benefits,Hard to move from Pipeline Control,Enterprise Products
27,"""Poor Work Culture and advancement opportunities""",3.0,Great benefits with flex hours (come in early or late as long as you are within a window and get all your hours); Fully Vested after 3 years with up to 6% match on 401K and starting out with 3 weeks PTO.,"Very political atmosphere with open workspaces and shared desks. There is no privacy and you get the feeling you are a employee number and not part of the company. Also, they do not participate in the 9/80 work schedule like most O&amp;G Houston companies (for commuters you still have to come every Friday for 5 hours {normally longer because you never get to leave at 5 hours}).",Enterprise Products
28,"""Project Manager""",5.0,This is a great place to work.,There are no Cons to this company that I can think of.,Enterprise Products
29,"""Good company to work for, a lot to learn within the organization.""",4.0,"Good pay and benefits such as 401K, insurance, health, dental and more.","A lot of favoritism, political, competitive within.",Enterprise Products
30,"""High stress. Lots of pressure. Fast paced. Always changing.""",2.0,Good salary. Good benefits. Great experience in oil and gas.,Small office. Difficult work. Long hours.,Enterprise Products
31,"""measurement tech""",4.0,big company lots of good employees,hard to advance career and move up,Enterprise Products
32,"""typical midstream""",2.0,"insurance is very good, they provide transportation to facilities.","pay is below market, weak management, very intimidated supervision. Afraid to speak up. no pension, cheap match on 401K",Enterprise Products
33,"""Good Company""",4.0,Good Company to work for. Great benefits and coworkers.,"No bonuses, but good pay",Enterprise Products
34,"""Great Company""",5.0,great culture and benefits. good pay,limited career progression in functional areas,Enterprise Products
