,title,rating,pros,cons,company
0,"""Awesome place to work!""",5.0,"Great location, benefits, and awesome people","computers, 2014 and still working with XP",Exelon
1,"""Look elsewhere""",2.0,Benefits are very good. I worked with some of the most talented people I've ever met.,"Company is WAY too political. Unless you live in Baltimore, don't bother applying in IT. Hard work does NOT lead to advancement",Exelon
2,"""HR Genealist""",5.0,"Getting more experience in Private Co., and Change Industry",Opportunities to diversity population and fair salaries,Exelon
3,"""It was very educational as well as enhancing in my skills and talents.""",4.0,The people as well as the wealth of experience you obtain.,I would like to return back to the company.,Exelon
4,"""Exelon""",3.0,"Great benefits, good pay, and their are career opportunities especially engineers","I think Exelon is good company to many politics, and need to work on developing their people. Need work life balance",Exelon
5,"""Wholesale Trader""",2.0,High compensation for the area,Entity has become hierarchical and creativity is being suppressed,Exelon
6,"""Multi-billion dollar corporation with several lines of business""",4.0,"Great pay, good exposure to several lines of business.","Slow advancement, 12-15 years for a manager",Exelon
7,"""Nuclear Station Operator working at various sites throughout the company""",3.0,Tremendous training and preparation for the position. Qualifications don't lead to the next position.,"Too much regulatory oversight. Not much room for improvement, like working for the federal government.",Exelon
8,"""Great job security with a fortune 500 company and competitive benefits""",4.0,"For incoming new grad engineers, Exelon has a good rotation program. New grad hires get to move to a different department each month for 6 months. At the end of the rotations, your manager will ask what your top 3 preferred departments are. They will try to place you in one of these if there are openings and managers approve. Many engineering degree grads who are not electrical engineers do not think to apply to Exelon. However, electric power concepts are not difficult to pick up and many engineering tasks at the company can be learned on the job. They will hire people with industrial, manufacturing, civil, and mechanical engineering degrees for any engineering position out of school. I even know of someone being hired for an engineering position who had a mathematics degree. Don't get too comfy in your first job with the company. After 2 years in your first position, management generally ""recommends"" that you move to a different department. Exelon likes its employees to get an understanding of the company's various functions. Benefits include 401k with 5% match, employe stock purchase, BCBS PPO or BCBS High deductible HSA plan (HSA contribution of $500 per year HSA balances can be invested as well), Vision Plan, Aetna Dental plan. Bonuses for new hires are targeted for 7% of base salary depending on business unit performance, it can be higher or lower than that.","If you work in one of Exelon's utilities like PECO or ComEd then you are subject to work what is called Storm Duty. When you are on storm duty you are basically on call. If a severe storm or outage occurs during your storm duty you are called in to perform whatever function the company sees fit to assist in the restoration of service. This could be ""wire watching"" for downed wires, making reservations for field crews at hotels, dispatching field crews, etc. When you are called for storm duty you are expected to report in to your predetermined location within 1 hour. There are different storm teams that rotate duties throughout the year.",Exelon
9,"""Ok place to work, an over-emphasis on ""diversity""""",3.0,"Good co-workers, good manager, most strive for success for themselves and their peers. I would promote the workplace to friends to work at and say that it would be good place to be","Too much high end politics, too much ""diversity"" being pushed down and promoted instead of going for the better product/servicer/employee.",Exelon
10,"""Mix of utilities and commodities""",4.0,"Good assets and operation track record, conservative financial management (most of the time)","Too many meetings, sometimes decisions are not economic based",Exelon
11,"""Lots of changes because my company just merged with them.""",3.0,There is some job security.,"Not much. But with the merger, we are expected to make changes in a very short period of time even though the speed of change may run counter to the progress of the organization experiencing the change.",Exelon
12,"""Good steady company, perfect for life long employment""",3.0,good people to work with,No very dynamic work environment,Exelon
