,title,rating,pros,cons,company
0,phenenomal career opportunity,5.0,environment work people benefits industry,long move from hometown nc,Exxon Mobil
1,great company that supports employees,5.0,great starting pay and benefits.,very bureaucratic and slow to adapt to change.,Exxon Mobil
2,great place to work,5.0,benefits are great  insurance pension and 401k,the ranking system needs to be modified.,Exxon Mobil
3,administration assistant,5.0,great benefits work life balance positive company,i cant really name any cons. overall great company,Exxon Mobil
4,part time job as a student,4.0,flexible hours for students looking for part time jobs,quite a lot of heavy lifting involved,Exxon Mobil
5,pretty good job,5.0,great for moms. works with your everyday schedual.,co worker drama. laziness. fast paced work enviroment,Exxon Mobil
6,great company for a career,5.0,pay benefits offices pension 401k match,commodity prices fluctuate so company performance can swing wildly,Exxon Mobil
7,traditional company that values its employees,5.0,traditional benefits one of the rare remaining companies left still providing pension,corporate america takes longer to get things done,Exxon Mobil
8,decent management  best employees,4.0,flexible schedule good pay  fast paced,understaffed understaffed understaffed understaffed  understaffed,Exxon Mobil
9,solid company,3.0,global company excellent benefits great people,no transparency in performance evaluation and job reassignment,Exxon Mobil
10,worst company i have ever worked at,1.0,nothing good really a typical big and old company with last generation people. some good nice coworkers but would pretend they didnt know you after you leave.,wicked culture will tell youwe want you to stay and hire another coworker then lay you off. then you would finally connect the dots for all the things they had done. incredibly ignorant and think oil and gas will be in the lead forever. they think they are the best and different in design product and business. but the coal industry once thought they were different look at them now. and look at the speed of the ev industry. the world might still need the oil in the next 30 years but its still not the future.,Exxon Mobil
11,great company,4.0,great benefits great work life balance. great coworkers.,there are no cons in which im aware.,Exxon Mobil
12,racist company,1.0,pay is very good. lots of ot,they dont hire blacks or hispanics. good ole boy system,Exxon Mobil
13,great place to work,4.0,good people who mostly seem happy to work here high safety focus to make sure injuries are not a common occurrence plenty of mobility options and growth opportunity lots of paid training opportunities great pay and benefits,large company bureaucracy makes it difficult to complete work sometimes expect a lot of their engineers which can lead to over worked long hours somewhat randomundefined career paths most plant locations are in undesirable cities,Exxon Mobil
14,i wish someone had told me...,1.0,salary thats all i can say,micro management bullying you cant apply for the next job when you are ready they rank you and pit you against each other managements bad behaviors are not only tolerated but defended. its the worst decision i ever made to accept a job here. i wish someone had told me all of this before i relocated for this nightmare.,Exxon Mobil
15,i enjoyed my job there and was sad to leave.,4.0,i enjoyed this job. i had to leave because i moved.,i worked hard to organize things but it didnt seem like they wanted organization.,Exxon Mobil
16,i experienced a great work environment  varies across the entire company,5.0,great worklife balance highly intelligent and friendly coworkers great pay,somewhat oldfashioned as a company and obsessed with strict processes. i have had only great experiences but have heard of others having negative experiences. luckily you move around a lot from team to team so if you have issues with a given supervisor you will not work with himher for long,Exxon Mobil
17,exxonmobil,5.0,great people challenging work wonderful salary and benefits,internal politics can be disruptive,Exxon Mobil
18,good for learning but slow moving and stale,4.0,pay is great and management is flexible and understands families,work is stale and not very impactful.,Exxon Mobil
19,reflection of experience,2.0,stability pay company continues to expand retirement optionsui,work life balance is obsolete. trainingdevelopment for employees is lacking structure. work environment. lack of innovation in multiple departments.,Exxon Mobil
20,not for everyone aka only for risk adverse engineers,1.0,virtually unlimited ammo  to execute. resilient group of people during crisis. basically impossible to be fired. yearly salary increase. fat pension if you resist,to experienced hires dont apply. the rating system is built so that only who starts after college can advance in their career. the atmosphere is mostly passive aggressive with a sprinkle of backstabbing. the companys vision is fast follower basically if you have ideas go elsewhere. everything is a project and the bureaucracy is unbelievable it doesnt matter if you did something new you must follow the process. its a dinosaur stuck in a 70s80s way of doing things.,Exxon Mobil
21,3 years at mobile,4.0,meet new people enjoy regular customers,customers who dont fallow rules then get mad at you.,Exxon Mobil
22,crap,2.0,easy work people are usually nice no scheduled break so whenever you have time you can smoke or eat,management out of the 7 of us at my location 4 were arrested during their shift including my manager,Exxon Mobil
23,can you handle the politics,3.0,pay as a researcher is excellent. that is the only thing that keeps people here. you know where this is going... good flexible hours benefits etc. with some stigma attached. highly recommended for those who want a job where they can coast with high pay and little likelihood of being fired. lowstress job after a few years. good opportunities for shifting to management role if desired. plenty of rotationaltravel opportunities. lots of career paths to choose from. plenty of smart people to work with and around. plenty of interesting projects to work on.,the management at clinton nj has essentially commandeered the ranking system as a method of lining their own pockets and rewarding their political allies. your rank at the rampd headquarters is mostly just a measure of your political success. i had to see it for many years to finally believe it. the quality of the engineering work and innovation you do is irrelevant to your rank as long as it meets basic requirements. as a researcher with a phd this may cause depression after some number of years but you will get over it exxon is a topdown company with strong managerial control. the topdown approach to research prioritization produces awkward results. be prepared to work on programsprojects which appear totally pointless to you and your colleagues. micromanagement is very common as managers were once engineers themselves. no method of underlings to review supervisor performance. it is a oneway street.,Exxon Mobil
24,change is needed.... mostly in management,2.0,good pay great benefits some genius people work there. emit is a nightmare but in other departments i had friends have quite positive experiences.,i would never recommend any of my computer science minded friends to work here. the work received was fun and challenging but the management structure at xom is atrocious. i definitely left work unhappy more than i did happy and my friends in the company were basically the only reason i made it as long as i did. management is largely untechnical... yet hold a lot of your technical career in their hands. management is also full of extremely unfriendly and unmotivated individuals many just care about climbing the corporate ladder. the job roles you are given probably wont line up with your skill set or your desired skill set.,Exxon Mobil
25,phenenomal career opportunity,5.0,environment work people benefits industry,long move from hometown nc,Exxon Mobil
26,great job and wonderful company,5.0,great benefits work culture and learning environment,more work hours and stress,Exxon Mobil
27,no innovation or future.,1.0,benefits and salaries. vacation time.,poorly run company. have zero interest in new development in most areas of operations. have sold most of their facilities and started zero new ones in the gulf of mexico,Exxon Mobil
28,toxic work culture zero worklife balance,1.0,great benefits pension plan insurance salary.,there are a lot of people willing to do whatever it takes to get ahead in the ranking system. this leads to a work culture that doesnt foster teamwork but rather a me first everything else second attitude. supervisors rarely care about how their employees are doing just another hassle to deal with.,Exxon Mobil
29,not ideal,2.0,good benefits dental plan allows cleaning 4 times a year.,people work less but complain more. managers only care about complaints to rate employees. too much politics... managers dont really spend time to develop employees only spend time to make themselves look good in front of senior managers.,Exxon Mobil
30,great amazing love my job.,5.0,futher your career in supervisor level.,not alot to say was my goal for 18 years to work there.,Exxon Mobil
31,field engineer,5.0,great pay great people flexible work schedules.,difficult work competitive work place.,Exxon Mobil
32,great job,5.0,everything overtime money money money,nothing at all a great job,Exxon Mobil
33,management acts as tyrant  health risksshift work not worth it,2.0,good pay great parental personal leave 8 weeks paid time off great benefits,no room for career advancement management is tyrants you are viewed as a monkey with a wrench,Exxon Mobil
34,downstream culture needs some work,3.0,great pay flexible workplace opportunities to learn,no consistency for management lack of training for new supervisors management stuck in old ways of thinking,Exxon Mobil
35,great pay... at a price,3.0,great benefits and compensation opportunity to travel globally state of the art campus,work life balance massive disparity between the younger and older employees,Exxon Mobil
36,great employees and customers whod come.,3.0,very nice employees accurate rules and pay,bad boss. wouldnt often complain but no acknowledgment of minor incidents.,Exxon Mobil
37,great company to work for prioritizes work life balance and growth,4.0,good pay good work good life in general. wonderful company to work for.,process oriented company can be tedious to follow,Exxon Mobil
38,good job,3.0,stable and steady offers a pension and great 401k match.,very proceduralized not innovative flat to negative industry outlook,Exxon Mobil
