,title,rating,pros,cons,company
0,"""Great company!""",5.0,- awesome tooling and technology - state of the art offices and facilities - great food! - awesome perks,not much cons at this point,Facebook
1,"""Pretty good for a leading tech company""",4.0,Great Workspace Benefits are through the roof Loving the atmosphere,Long work weeks at times There's really not many cons,Facebook
2,"""I had high expectations, and they were exceeded""",5.0,"* The work matters. FB is a large part of the internet and there are significant opportunities to make an impact. * Inspiring team, with many smart, humble people who are happy to connect. * Engineering led culture encourages direct communication and taking smart risks.","* It's a large company, so you need to be okay in an environment that has process and hierarchy. * People communicate frequently, so there's a lot of sometimes competing ideas and direction.",Facebook
3,"""Great company to work for.""",5.0,High job satisfaction with high impact projects.,Poor Work/life balance due to high performance.,Facebook
4,"""Good experience""",5.0,This is an excellent place to learn,This is a terrible place to make mistakes,Facebook
5,"""FB makes you feel very valued both as a person and as an employee.""",5.0,"Great resources to be successful personally and professionally, very transparent culture, organized and efficient dissemination of important information. Benefits, food, and career growth are phenomenal as well.",It would be nice to have more than 1 work from home day a week as needed.,Facebook
6,"""Non-workaholics beware""",3.0,"Free food. Pay is good. Friendly people (faked sometimes but not backstabbing in my experience) Free gadgets from vending machines No real owners on code so in theory you can make changes to any team's codebase (it can backfire, though)","Up or out culture: if you don't get promoted to certain level in a set time, you're just fired. Poor work-life balance due to the up or out culture. If more seniors in your team are workaholics, you are compared against them harshly. Oncall infra can be nightmare inducing. Again, you must really love your what you do and your team if you want to be happy here. It's difficult to move to another team if you get a Meets Most rating in a half. HR won't help you since it's a hard rule (I think it was updated to 2 halves recently).",Facebook
7,"""workplace""",3.0,"good environment, salary, great culture and coworkers",not work and life balance at all,Facebook
8,"""Working full time as a SWE at Facebook""",5.0,- Great Perks - You can easily transition from teams - Quick development process,- XFN is usually blocking sometimes - some teams lack diversity in terms of gender,Facebook
9,"""Even better than these reviews tell""",5.0,"- Impact: the work you do has massive impact. As someone with a background in digital media, my professional work has long felt unimportant, unfulfilling, and mundane. Now I get to solve some of the world's most important and complex challenges. The global impact of my day-to-day job fulfills me. - People: I work alongside the smartest, most diverse group of individuals I've ever encountered. I learn so much every day. - Perks: The benefits, compensation, and perks are overwhelming (in the best way possible.)","FB has become a political hot topic. When you work here, you'll hear opinions from family members and friends. Thanksgiving dinner can get awkward.",Facebook
10,"""Awesome Place To Work""",5.0,"transparency, valued, supported, fast paced, interesting",have not found any cons yet.,Facebook
11,"""Stepping Stone""",2.0,- Great benefits - Opportunities to learn new technical skills - Impressive architecture and developer tools - Looks great on a résumé,"- Performance evaluations (PSCs): We talked about PSCs year-round, and it felt like every little thing I did (positive or negative) would show up on a PSC. Employees are technically assessed on many aspects of performance, but the only one my manager focused on was lines of code. - Competitive culture: Constantly talking about PSCs meant everyone on the team was afraid of any appearance that they did something wrong, which created a culture of blaming others and never admitting mistakes. Managers either stayed out of it or made it worse. - Workload: My tech lead set deadlines that were too aggressive and didn’t listen when my teammates and I pushed back, so we were constantly behind schedule. Working late at night and on the weekends consistently was required just to remain a few months behind schedule. - Asking for Help: Several members of my team had to ask for help writing code many times per day. Most of their questions could be quickly solved by typing a few words into a search bar and looking at the first result, but they still asked another engineer any time they encountered something they didn’t already know how to do. They would intentionally not ask managers and avoid asking for help while managers were within earshot.",Facebook
12,"""Good company to work""",4.0,Dynamic and fast paced work environment,"Very busy, management expects a lot",Facebook
13,"""Facebook jobs aren't just in CA!""",5.0,"Excellent culture- inclusive, open, transparent, fun. Growing with a purpose- company mission, values, and pillars drive decision making and are frequently referred back to. Flat in a good way- positions/titles/experiences very rarely get in the way of impactful, intelligent conversations and decision making.","You have to embrace the company's desire to maintain a ""start-up"" mentality even 15 years, 10s of thousands of employees, and multiple billions in revenue...it can be a little startling but provides a lot of opportunity to provide impact!",Facebook
14,"""Good but boring""",3.0,Great neighborhood and great energy,Too much work and too much politics,Facebook
15,"""Challenging, Engaging, Amazing""",5.0,"Smart, engaged, talented and passionate people. Love that even though the company is almost 50K employees the mission driven vibe still exists. Recruiting is valued and respected. Lots of resources and technology.",A lot of process. Hours can be long. Metrics are a bit unrealistic. Heavy focus on performance reviews that take a lot of time away from doing the actual work.,Facebook
16,"""Toxic culture""",2.0,"Good salary, great benefits, good brand to have in your resume","Toxic culture. Poorly designed performance reviews that lead to a competitive environment and people working towards getting a better assessment, not building better products.",Facebook
17,"""Great""",4.0,- Autonomy - Lots of challenges on the engineering side - Lot of flexibility to change teams or area of focus,- Public opinion in recent year about big tech in general,Facebook
18,"""Seemingly exciting but mid management is composed of a bunch of kids""",3.0,"pay is good, perks are good and it looks good on your resume",multiple groups working on the same thing competing with each other for recognition. mid management is extremely inexperienced and immature.,Facebook
19,"""Nice perks and salary""",5.0,nice perks and salary and nice people,too much work and sometimes miscommunication happens,Facebook
20,"""Good and the Bad. It really depends on your team""",3.0,"Facebook has a lot of Pro's but it really depends on the team you land on and the internal politics that surround that particular unit. That is no different than any other company but it can be night and day here. Generally here are the Pros - People: Majority of the other Facebookers are of high quality and surrounding yourself with other smart people can only up your own game. - Benefits: Positive package here overall. They take care of your health, make some life task much easier and try to make life more comfortable. - Technology: Innovative mindset is a big plus but recent years have been more mirror moves with competition to gain an advantage. Good move but for those that want to break the glass into new frontiers, you got to pick the right team. Impact: The opportunity is there for you to embrace.",Generally here are the Cons: - People / Culture: There is a small minority of leftist that can be loud and push activist agenda's that are in your face. While my own goals can align (leftist) I don't like their approach. This is just society creeping into the corporate world and is seen across Tech in general. It can be toxic and extremely disrespectful. You might find more of this at Facebook due to the nature of the product. Imagine the rest... Pick your team wisely. - Weak Leadership: Lot of new leaders... Experienced leaders may not have much experience with trouble shooting negative situations and come in with a bias. Another point here is the number of Re-Orgs. You might experience multiple changes within a quarter / half and this can drag on for years. - Negative news cycle ... it can be draining but it should be a wake up call to further innovate for a product for today. However... this news cycle is long... I mean looooooong and can be intense at times.,Facebook
21,"""Used to code""",3.0,The games available at the HQ,The amount of damn coding man jeez,Facebook
22,"""Good people""",4.0,People are nice. Well compensated,Too big to feel impact,Facebook
23,"""Meh, it pays the bills""",3.0,Good food perks I guess,Facebook is the worst thing to happen to humanity since smallpox,Facebook
24,"""Best place to work by far""",5.0,"Surrounded by high quality talent, sharp focus on business and social impact, great work-life balance, competitive compensation, best-in-class benefits and company perks. Hard to overstate how refreshing it is to work at a company that has such a vibrant and open company culture. Leadership, and the company as a whole, has a strong vision for making positive social impact, despite what you might read in the news. Easy to be motivated to make impact at a company whose core values reflect that notion.","Fast growth means it is easy to get lost, and it can be hard to find your place in the organization.",Facebook
25,"""Great company""",5.0,"Medical Insurance, 401K, flexible work time",No much as I can tell,Facebook
26,"""Great care for employees, lots of benefits""",5.0,"Freedom, free food, services and benefits, convenient internal tools and standardized solutions for any internal actions.","Isolation from other teams, too few global events, LOTS of visitors, coffee machines are awful, pumpkin creams are out.",Facebook
27,"""by far the best company PERIOD""",5.0,"So many things to learn, its not easy, but the work teaches you so many things that at the end you turn out to be a better engineer / manager. This is a great place to actually learn in life.","you are working with the smartest folks in the world, it gets a bit competitive and you cannot slack.",Facebook
28,"""Great place to work and build career""",4.0,"Great policies, perks, benefits and mission.",IC leveling can be stagnant,Facebook
29,"""If you're going to work in Corporate America, Facebook is the best company to work for.""",5.0,"Pay, Perks, Benefits, People, and Culture are amazing. As well as the wealth of opportunities to make impact.","Not nearly as process oriented as traditional companies. However, this creates ample opportunity to improve by leveraging the expertise of talented hires.",Facebook
30,"""Great place to work and build career""",4.0,"Great policies, perks, benefits and mission.",IC leveling can be stagnant,Facebook
