,title,rating,pros,cons,company
0,"""Best benefits, forward thinking environment, fun to work at""",5.0,Fannie is always trying to improve. There are many opportunities for education and self-improvement. Salaries are good and the benefits are unbeatable.,Limited locations. You must be near Washington DC if you're a technical employee.,Fannie Mae
1,"""Excellent""",5.0,"Excellent experience, good pay/bonus, work/life balance, 8% company match for 401k (100% up to 6% plus the company adds an additional 2% on top of that)","Tough to move up sometimes (especially into Director/VP roles) because of such low attrition at the company. Can be discouraging but the pay, benefits, and overall depth of experience outweigh this con.",Fannie Mae
2,"""Great Place to Work""",5.0,"Amazing benefits and a super professional, well run company. Cutting edge on technology front. Easy to move within the company.","Bureaucracy, too many layers. Workload could get out of control in some departments while other departments seem like are lounging around all year.",Fannie Mae
3,"""Senior Project Manager""",3.0,company pay company benefits (health and medical),"REO department is a different world from NSO area. It is almost like it was 2 different companies because the challenges and environments were different. I would have never left the NSO area. Also promotions, office politics and management issues are serious issue across the board especially in REO.",Fannie Mae
4,"""An unknown future""",3.0,Well compensated relative to the market.,"Highly political environment, don't be fooled by your first impression.",Fannie Mae
5,"""Solid experience""",4.0,"Work life balance, pay, new office",too much management and unnecessary meetings,Fannie Mae
6,"""It's a Manage-up Culture""",3.0,"Good pay and benefit, great office","Horrible organizational management. Roles are unclear, departments overlap and people are focused on looking good",Fannie Mae
7,"""Great Company""",5.0,"Great pay, great benefits, great work life balance and great office location. The work that you do is truly impactful.",Nothing major as of yet.,Fannie Mae
8,"""Great company""",5.0,I enjoyed my time at the company. It was very friendly,Nothing really. It was an amazing organization.,Fannie Mae
9,"""Fun and dynamic environment""",4.0,Top talent and challenging work,Lots of industry churn and change,Fannie Mae
10,"""Improving but still work to do""",4.0,"Good benefits package including vacation, sick leave and 401 match. Leadership working to change some of the old ways has company improving slowly but surely.",Micromanagement and old-guard still getting in the way of innovation and real progress. “Flexible work” options aren’t really flexible - maybe a day here or there but leadership frowns upon working from home or remotely.,Fannie Mae
11,"""Evolving, but at slow pace""",3.0,Good benefits. Nice pay. Work life balance.,"Too segregated teams. A lot of manual labor, not enough automation",Fannie Mae
12,"""good company""",3.0,benefits work life balance pay,politics too many managers no promotions,Fannie Mae
13,"""Fannie Mae is a great place to build a career.""",5.0,"Meaningful work, great colleagues, opportunities to learn and grow. Career mobility is a real draw.",None to add at this time,Fannie Mae
14,"""Excellant""",5.0,"Great place to work, solid leadership",There are none at this time,Fannie Mae
15,"""Overall great org""",4.0,"Benefits, PTO and location in DC","No real development structure, poor management, very political once an employee",Fannie Mae
