,title,rating,pros,cons,company
0,"""Great job""",5.0,"Nice environment and every is friendly, weekly pay",I don’t know if they give you the option to go to day shift,Fedex
1,"""great place to work""",5.0,great coworkers and management is awesome,very low pay with little consideration for increase,Fedex
2,"""Great company""",5.0,"Advancement, Benefits, pay, diversity, culture",No cons that I’ve ever thought of,Fedex
3,"""great company, leadership needed in mid-level management""",4.0,"Good benefits, good internal collaboration","Post sales support weak. Pressures from ""soft global economy"" hurting US but really lingering TNT integration issues.",Fedex
4,"""Fulfilling job""",4.0,"Great benefits, good brand, great people Good brand... Great people",Long hours Not diverse Pricing is a huge issue,Fedex
5,"""Nice""",5.0,Great place to work at,I couldn't find any cons,Fedex
6,"""Fast pace , but well organized""",5.0,Safe and friendly atmospherem with the big responsibility,Do you have to be fit it’s a hard heavy demanding job,Fedex
7,"""fed ex""",5.0,good place to work for,i don’t know love it here,Fedex
8,"""Great""",5.0,Hours not enough for the market,Money not enough for the market,Fedex
9,"""Work was not worth the pay""",3.0,Flexible hours and decent benifits,Low pay for work required,Fedex
10,"""Work was not worth the pay""",3.0,Flexible hours and decent benifits,Low pay for work required,Fedex
11,"""Controlling""",3.0,The people here are amazing.,"In ten years u only receive the annual 1-3 percent raises as a gen x single woman I live paycheck to paycheck. The beauty of the job was freedom and room to breathe. They now micromanage u to death and monitor your every move. So if u have a headache at 5 pm and want to enter your calls the next day. Forget it they will hound u to a point that the lack of financial improvement is no longer tolerable. Also, sent my director an email how I made another operating company at the company another 100k that I don’t get credit for and he ignored me. As a woman u r treated less than because u r not part of the boys club. Now this is just my region. Everywhere else I feel woman r respected. No one cares if u closed a 5 mil account net rev because that was yesterday. No one ever recognizes what u do however it is noted to go somewhere else if u don’t like it.",Fedex
12,"""Good place to work""",5.0,Good work environment and culture,"Less Vacation, more premium for Health insurance",Fedex
13,"""Great Company""",4.0,This company has great benefits,I have no cons about this company,Fedex
14,"""Package handler""",5.0,Fedex is a Good company,Few hours most of the time slow,Fedex
15,"""Great Place to work""",5.0,Great managers fair but good demanding,over worked exceptions are very great,Fedex
16,"""FedEx jobs""",4.0,Great insurance for a part time job,Need more hours not enough,Fedex
17,"""50/50""",3.0,Keeps you in a shape and fit,Not enough money for the amount of physical work you put in,Fedex
18,"""Great benefits and culture, lacking growth opportunity.""",4.0,"Stability, Benefits, culture, work life balance.","Difficult to make bonus, micro managing, not much incentive to sell.",Fedex
19,"""Great company to work for""",5.0,Good salary and benefits. Stable company,There are no great con's that I can thinks of,Fedex
20,"""Driver""",4.0,okay job to work at,leave out late morning and get back late,Fedex
21,"""Fedex freight""",3.0,Decent pay and Monday though Friday holidays off,Cut times are very strict gets stressful,Fedex
22,"""Fed ex""",4.0,Not long hours good for college students or to have as a second job for extra money,Waking up extremely early in the morning,Fedex
23,"""The core is sinking""",2.0,"401k, benefits (although medical getting bad)","Strong assets not appreciated, the lazy incompetent are going no where.",Fedex
24,"""ok but could be much better""",3.0,"decent hours, although they were not always consistent","instead of hiring more people, they increased current workers work loads, which at time could be too much for one person. And the [ay was not that great for the amount of work you had to do.",Fedex
25,"""Cool place to work""",5.0,everything is good here no problem,no cons at the moment,Fedex
26,"""Decent Job Weird Hours""",4.0,Pay is good for starting out. Very forgiving for being late and works with you well.,2 hours or shorter shifts. Rarely got over 10 hours a week. Long commute made it not worth it.,Fedex
27,"""Good benefits""",3.0,"Good benefits, structure, proven successful company","Split shift hours, seniority based vacation planned at beginning of year, yearly raises were about 3%",Fedex
28,"""accounting support staff""",5.0,career opportuniities are posted internallly,advancement relies on hiring panel consensis,Fedex
29,"""Questionable practices""",2.0,Got to help customers make their project ideas into reality!!,Constantly forced to skip lunch,Fedex
30,"""Good Company""",5.0,"ability to move up, Great benifits","Long Hours, cold warehouse, dangerous",Fedex
31,"""Fortune 500""",4.0,Decent pay and benefits,Below competitors salaries and no Union,Fedex
32,"""Cat and mouse""",3.0,The pay is decent The insurance is awesome,Stay part time to long. Sometimes only17 hours a week . Kinda hard to pay bills like this,Fedex
