,company,cons,pros,rating,title
0,Ford,Due to the nature of the program you get an experience for a variety of management and some are better than others.,The Ford College Graduate Program fosters engineering expertise for new engineers and allows for a look into the various engineering disciplines within an organization.,5.0,"""Great Place to work and Program builds engineering experience"""
1,Ford,"I had a positive experience at Ford - I think it is important to be a more innovative, however, to compete with other car brands, such as Tesla.",Great management team - company truly cares about its employees.,5.0,"""Financial Analyst at Ford Motor Company"""
2,Ford,less opportunity to network with other associates,"good work life balance, adopt latest technology",4.0,"""Good company"""
3,Ford,Small bonus and too many projects. Supervisor has limited hour availability for support,Family culture and flexible hours,4.0,"""Review"""
4,Ford,May hacer better sales results only if,Great place to work in America,5.0,"""Good company, people, results, learning, culture"""
5,Ford,"Very top down management, not willing to listen to new ideas and business plans.",Awesome people and a great way to start your career,4.0,"""Good company to work for"""
6,Ford,Big company and good offering. Much chanse to do so and give my skills which more companies not much focus on that ....,Good pay and good benefits. I hope stay 20 years with one company to get buil up my skills,5.0,"""Truck"""
7,Ford,Automotive is a feast or famine industry,Great company to work for gets better every year family oriented,5.0,"""Product consultant sales representative vehicle liaison"""
8,Ford,-Accommodation near the workplace is difficult.,-There are many events to help you improve your career. -Great benefits for the employees,4.0,"""A great place to start off your career and build network"""
9,Ford,Too many levels of management,Good pay and good benefits,4.0,"""Working at Ford"""
10,Ford,Bet the bank litigation harder to win,Transparency in compensation and metrics for success,5.0,"""Very focused on bettering legal acumen and biz development"""
11,Ford,Not a good work to life balance you work about 70 hours a week,"Easy going workplace, great discounts on cars, flexible hours",5.0,"""Sales sales sales"""
12,Ford,"Long hours, understaffed. They pay well but expect alot","Good pay, keeps you in time with company",4.0,"""Schuler press utility"""
13,Ford,"You're just a number at Ford, they literally rank every single person against each other in their department for your annual review. You become a dot on a ranking matrix rather than just get helpful feedback and advice. Honestly it was pretty dehumanizing and the culture was pretty cutthroat. I was pressured into starting my masters degree in engineering because everyone else was doing it, and I hated it - which made me feel less than worthy. It also felt like all the jobs I was given were worthless projects and busywork, I never felt like I had the ability to make a contribution to the company. Also, my department always bragged about work/life balance, but they had people who would regularly work 60-80 hour weeks EVERY week.","The benefits are amazing, and the pay is great.",3.0,"""First Job Out of College"""
14,Ford,"no communication, not that good of pay","friendly environment, flexible with your time",3.0,"""okay job"""
15,Ford,"I wish there were fitness rooms in all facilities, especially for desk jobs","Excellent benefits/salary, relaxed but professional work environment",4.0,"""Great environment"""
16,Ford,lack of training in many of their processes,benefits start immediately for family,3.0,"""engineer"""
17,Ford,High scrutiny from media and critics,"Once you’re in, you can go everywhere",4.0,"""Opportunities everywhere if you know where to look"""
18,Ford,Little opportunity to move around the organization,"Family-friendly, overall great place to work",5.0,"""PM"""
19,Ford,No future opportunity and growth. Management stifles your ability to grow. Very 1960's esque management style.,Close knit working teams. Young staff.,2.0,"""Ford"""
20,Ford,"Their staff is just like their cars, UNRELIABLE Their car battery die in testing, regularly before the cars even get released :) :) :) how this happens still baffles me Everyone uses RXJava to complicate the simplest of tasks. 1+1 !=2 at this company, it needs 50 observables, 8 completable, 16 polling calls to their back end, and a useless third party company like arian Lazy Indians all over the company, you know what that means... Funniest thing is Ford/Lincoln staff don't even buy Ford/Lincoln cars. Hence why their quality is so poor; nobody cares Architects are dinosaurs have no knowledge of modern practices They force you to attend their events, and force you to pay for their meals at those events. Trust me, NO isn't an answer that would suffice with cheap persistent people. Some people at Ford would do anything to be included in any inner circle. (They have no character or morals) Learn to mind your business. Usual office gossip and politics, just. in different languages The number of useless meetings you attend as an engineer is exponential You have to work with people who have the worst hygiene on earth!!!!!!!! (I should have been more serious with my Tesla application)",Pair programming is implemented Kitchen staff was always nice The good tech people help you out with getting up to speed at times Some teams have a good amount of work to keep you busy Theirs a food club Theirs a gym in the basement You get to test your code on some of the latest devices Daily standup happens everyday at 9am,2.0,"""A joke of a conglomerate"""
21,Ford,Due to the nature of the program you get an experience for a variety of management and some are better than others.,The Ford College Graduate Program fosters engineering expertise for new engineers and allows for a look into the various engineering disciplines within an organization.,5.0,"""Great Place to work and Program builds engineering experience"""
22,Ford,Bogged down in excessive paperwork/procedures,Plenty of resources and information,3.0,"""Training issue"""
23,Ford,None Cones for the company,very great working environment and you can learn a lot,5.0,"""love it"""
24,Ford,Some are worse than others,Every manager is different,3.0,"""Variety bag"""
25,Ford,"Some hierarchy and slow processes, but can be managed","Very helpful people, great salary, opportunities to grow.",5.0,"""Friendly people; Great Salary for low cost area"""
26,Ford,Open-concept floorplan in latest office updates.,"Flexible work schedule. Good pay, good vacation days. Exciting work",5.0,"""Good Company to Work For"""
27,Ford,"Could not move within departments due to understaffing, could not get tuition reimbursement in my department, hiring manager did not specify how long ""relocation"" would be for launch programs. Really not ""travel"" for work, was relocated for year or more and failed to tell anyone that was being hired that.","Great products you can be proud of, lots of training availalbe",3.0,"""Great products, not invested in employees success or challenging status quo"""
28,Ford,none at all great company,hours culture work life balance,5.0,"""great"""
29,Ford,"Need to ask permission to apply for on-line job postings. Manage by intimidation. Closed minded. If you do a great job, you are going nowhere (They say your too valuable to move you on). Suffer from not invented here(or by me if you are in management) syndrome. If you have great ideas and the data to support them, definitely look elsewhere!",Good pay. Decent work schedule.,2.0,"""Great pay. So-so benefits.  Terrible company culture."""
30,Ford,There are frequent droughts where there is not a significant amount of work to do,The work that I do is fun and involved to do with my coworkers,4.0,"""Solid Work-Slow Pipeline"""
31,Ford,dirty and loud workplace no work-life balance,weekly paycheck lots of overtime union job,3.0,"""Chicago assembly plant"""
32,Ford,"Trend is down, not that good for young people.","Life work balance, salary is enough for MI",3.0,"""Stable, life work balance well."""
33,Ford,"Limited Local opportunities locally, require geographic changes.",Opportunities for growth company wide,3.0,"""NA"""
34,Ford,"For job seekers, do not apply for/join any Engineering group at Ford that calls itself ""Strategy"" or ""Planning"". They do not do anything that is remotely strategic neither do they do anything other than busy work.",Good salary but it comes at a very high emotional cost.,1.0,"""Everyone is a strategist"""
35,Ford,The CEO does not have a clear and logical vision and he does not understand the business.,"Great people, exciting products, lots of opportunity",3.0,"""Good Company"""
36,Ford,Some grouping within department based on race and age,Project focused Cooperative teams Yearly bonuses Cultural events Community work,2.0,"""Experience at Ford"""
37,Ford,Turnover in management makes life more difficult than it needs to be. Too many tools and systems that don't work well with each other.,"Holidays, work/life balance, pay and benefits",4.0,"""Decent place to work with good benefits"""
38,Ford,Very strict/fast paced Productivity requirements very difficult to meet,Good pay/benefits Great management Thorough training,4.0,"""Good place to work if you can handle fast paced labor."""
39,Ford,Boring. Your ideas are not heard.,Decent wages for area.,3.0,"""Company Lacks Vision"""
40,Ford,No leadership or career development,Good money at a big company,2.0,"""I feel wasted"""
41,Ford,Going through too much legislature for design approval,"Good work-life balance, Great benefits",5.0,"""Good place to learn and start off"""
42,Ford,Lack of communication and some dishonesty.,"Encourages educational opportunities as well as accountability, acceptance, and responsibility.",4.0,"""Educational, friendly, helpful, and all around a desirable job."""
43,Ford,Useless management. No growth. Not good engineers. Lots of bueracracy.,Lot of freetime to do anything,1.0,"""Boring workplace"""
44,Ford,A lot of the managment for all about themselves and how far they could make it in the industry. Not so much about helping each other and being Team players.,Working here was a true blessing and I recieved so much experience in a lot of different ways to help further my career.,4.0,"""Its all here"""
45,Ford,None that I can think of,Easy job to do Good Starting pay,4.0,"""Great work environment"""
46,Ford,Salaried Benefits have been stripped to high deductible health insurance plans,Pay; Training; Colleague; Experience and,3.0,"""Grateful for the experience; but glad I have moved on"""
47,Ford,Non. All experiences have proven to be beneficial to my personal and professional goals,To lead all employees to a common goal,4.0,"""Great Professional experience"""
48,Ford,There were none when I worked at this company,They had great benefits and flexible hours,5.0,"""Good job"""
49,Ford,Overtime is not aways consistent. Drama filled environment at times,Good money when the company has product. Profit sharing and sign on bonuses are good,3.0,"""Ford motor company"""
50,Ford,"Poor management above, lazy, no focus on the bigger picture","Good job, decent perks",4.0,"""Was fun while it lasted"""
51,Ford,- Dearborn is a little cold in Winter,-Good life work balance. - High salary. - Nice colleague.,5.0,"""Great intern experience"""
52,Ford,Bureaucracy and red tape everywhere prevents good decision making. Clear bias towards young females in an effort to offset sexism of the past,Salary was fairly competitive for MI,2.0,"""Classic archaic fortune 500"""
53,Ford,Management will sometimes stop career growth to protect their headcount.,Excellent benefits package and 401k match.,4.0,"""Former employee"""
54,Ford,"Limited in locations (mostly all are in Michigan), takes a long time to move up in company","Good benefits, good insurance options, decent paid time off",4.0,"""Good Benefits"""
55,Ford,Difficult to find a particular spot to settle down. Everything moves very slowly at such a large company,"Good hours, never felt particularly overwhelmed by what was required of me. Exposure to variety of fields as needed.",4.0,"""Pleasant, but not very Efficient"""
56,Ford,Often requires over time to be worked,"Good pay, good atmosphere, excellent benefits",5.0,"""Good company"""
