,title,rating,pros,cons,company
0,"""Database Engineer - Oracle DBA""",5.0,Outstanding work/family balance policy and facilities.,Very large corporate structure and you need to learn to navigate.,General Electric
1,"""Area Sales Manager""",2.0,"Opportunities, continuing education, 401K and diversity","'Clickish', no front line authority, too many layers",General Electric
2,"""Production Assembly""",3.0,"Easy, jobs are simplified almost too much.","Dirty, gets tedious and boring",General Electric
3,"""Material Planer""",3.0,Good benefits as medical insurance if free for workers alone,Low salaries for planer position 30k,General Electric
4,"""Designer""",1.0,"Flexible time off, not much more.",Reduced benefits but layoffs are a HUGE concern now.,General Electric
5,"""Best days behind""",3.0,Exposure to senior leadership and travel to international locations,"There is a good old boys club mentality, and very difficult to get traction with any creative ideas",General Electric
6,"""Depends on who you are""",3.0,"Generous vacation allowance, good benefits, friendly people","Cliques, departments treated differently, not very good benefits for hourly workers",General Electric
7,"""Collaborative environment driven by purpose""",5.0,Smart people ...who enjoy working together Committed to the industry and mission of the business Giving back to their communities is a strong value Culture with purpose and heart,need to simplify more and take risk on people who can grow faster,General Electric
8,"""Salary freeze""",1.0,"If you enjoy constant threats, this is the place for you! Our facility has a great group of individuals and GE is running it into the ground.","salary freeze, horrible benefits, delayed 401k contribution, reduce bonus plans, focus on top level management and shareholders, heavy workload, constant threat and don’t know if you’ll be employed tomorrow.",General Electric
9,"""GE Global Operations Properties""",4.0,Fast paced work environment that leverages technology and provides great compensation.,"Financial shortfalls are forcing major transition, and layoffs in the company. Benefits are mediocre for such a large company.",General Electric
10,"""Customer Serivce""",4.0,great pay and great people,didnt have anything bad to say,General Electric
11,"""GE""",3.0,"it's a good company - long and great history, diversified industries and businesses, the company provides tons of free technology and career training. Good benefits, etc. it attracted many telnet professional to work for it.","it's facing a huge finance challenge due to the past company's grows plan and strategies. it's in its down side. cut's investments, work forces, locations, etc. not recommend to go with it at this moment",General Electric
12,"""Sales""",5.0,Iconic company that is essential to the world in so many ways. Rich culture and long history of innovation over its 125+ year history.,"Company is going through some stress right now, but new CEO leadership is inspiring confidence that the right moves are being made to keep GE in a leadership position and around for another 125 years.",General Electric
13,"""Engineer""",1.0,Great colleagues and employee collaboration,Company host lost it's direction and employees face many concerns with the future.,General Electric
14,"""Good experience, good finance training""",4.0,Coursework coupled with work experience was very useful to understand corporate finance focus and needs. Great training.,Business is very verticalized by function. Difficult to pivot out of finance if you don't want to stay in that function.,General Electric
15,"""GE""",4.0,There can be many opportunities,The size of company can be a detractor,General Electric
16,"""Neutral place to work""",3.0,Good Benefits and opportunities to grow your career.,You are just a number to this company and currently there is a lot of change. Only time will tell if they weather the storm. Long hours.,General Electric
17,"""Analyst""",4.0,Hard working employees and good people to work with everyday.,Company stock is not doing so well.,General Electric
18,"""ge""",3.0,nice people and nice space,too controlling and not enough pay,General Electric
19,"""sa""",5.0,good company to work for,tough hours can be long,General Electric
20,"""Black belt""",5.0,"Motivating, excellence, high pressure, cutting edge","Individualistic, growth, too much pressure, wrong SBU.",General Electric
21,"""Ops""",5.0,Great culture and leadership,Can’t think of one,General Electric
22,"""Knoxville Office- Environmental Office closes""",1.0,Large Company going to be around for a long time,"They buy and sell divisions. Today you may be a company that GE purchased, and is integrating into their portfolio and tomorrow you may be sold off, or shut down.",General Electric
23,"""FP&A Manager""",4.0,Solid financial governance as well as function demands respect,Beaucraric environment. Many layers,General Electric
24,"""good company""",3.0,the breakfast is good here,lots of new college kids running the show,General Electric
25,"""Patent Attorney""",3.0,Colleagues are very collegial. The working conditions were decent. Direct Management cared about the employees.,"Management sucked. As you can see from the stock price, Management was reactive to the stock market. They were not leaders, but followers.",General Electric
26,"""Land of Broken Promises""",1.0,Employees and coworkers are great! The disconnect is between upper management and everyone else.,Major disconnects between management and employees. rapid unprepared change. No direction.,General Electric
27,"""First job out of college""",5.0,"I finished college and Ge is my first gig. Awesome people, culture plus team in my office. Can learn and have learned so much right out of school. Resources are there.",Would like more detailed vision and knowing how what I m working on brings in money for the company. I am worried a bit currently about our vision but that’s only short term.,General Electric
28,"""Good Mentorship""",4.0,"Inspiring mentor, and you can learn very fast here","hierarchy, lack of effective communication",General Electric
29,"""Project Manager""",4.0,Being a part of something big. Good benefits. Smart people.,Organizational upheavals. Bureaucracy. Slow moving.,General Electric
30,"""Material Handler""",4.0,"Good people to work with, like family. The day goes by fast due to fast pace operation.",Always wondering when it will all come to an end!,General Electric
31,"""Entry level""",3.0,"creative, innovative, great company culture, and the flexibility","health insurance, pay, location assignments",General Electric
32,"""Good work life balance""",4.0,"Work life balance, Global work environment,","Recent layoffs, short term decisions to meet quarterly numbers",General Electric
33,"""Good Place to Work""",5.0,there is non pros I can say,Very good place to work,General Electric
34,"""Sr product staff mgr""",4.0,Good and solid organization to work,I have no negative view on GE,General Electric
35,"""working environment""",4.0,nice working environment with helpful people,You have an edge over external candidates,General Electric
36,"""vp""",5.0,great firm to work at,a bit bureaucratic and lethargic,General Electric
