,company,cons,pros,rating,title
0,General Motors,Occasionally has long hours depending on issues or upcoming design reviews,This role provides a lot of great experiences for future jobs Provides exposure and opportunities to progress within the company,4.0,"""Demanding Role w/ Endless Opportunities"""
1,General Motors,Experience can differ drastically depending on which team you are on.,"Good Work Life Balance, Decent Pay.",5.0,"""Good Work Life Balance"""
2,General Motors,"Big company, large organization to navigate.",Safety at the center of its values.,4.0,"""Great Company"""
3,General Motors,Hard working within teams. Management is a bit iffy.,Employee discounts. Normal work hours. Not too much stress,4.0,"""It was great."""
4,General Motors,"Lots of red tape, managers can be tough to contact","Always busy, good sense of job security",4.0,"""Overall good position"""
5,General Motors,Middle management is a weight that drags down progress,Higher than average pay. Benefits and paid vacation is next to none.,4.0,"""Fine for a first job"""
6,General Motors,Base salary can be higher according to education and years of experience,"Great environment to work, very good benefits, personal development",4.0,"""Great Company, Pay can be higher"""
7,General Motors,Management can be terrible at times.,Great job and great pay. The job is easy and simple.,5.0,"""Benefits"""
8,General Motors,Too much freedom with very little true deadlines.,"Good salary, low stress, lots of freedom.",4.0,"""Easy job"""
9,General Motors,Cultures change deep within business units and movement can be difficult at times.,Benefits and compensation are great! There has been a sense of stability even in a tough market. If you are a dedicated worker who has the ability to work cross functionally you will excel.,4.0,"""GM Has been a good place to work"""
10,General Motors,Lots of organizational change makes it hard to build relationships,"Lots of benefits, flexible schedules",4.0,"""It's a good company overall"""
11,General Motors,Sometimes work is repetitive and redundant.,Interesting and Innovative work. Creative atmosphere.,4.0,"""Descent Company"""
12,General Motors,"Things that normal tech companies may provide for their employees (snacks, coffee, etc.) are not provided","Benefits are great, culture is definitely improving, work life balance is great",4.0,"""I like working at GM"""
13,General Motors,High pressure environment in Finance,Complex global company Hyper competitive industry,4.0,"""Great learning environment"""
14,General Motors,Traveling distance from Home2 Factory. The distance I travel is two and a half to three hours one way. Have not been able to transfer closer to my home looking for employment opportunity closer,Good working environment good morale safe working procedures and great training,4.0,"""Easily framed eager with a positive working personality"""
15,General Motors,I cannot think of any,Good people who are easy to relate to.,4.0,"""Good place to start your career"""
16,General Motors,Managers are not good at all,Work culture is great and no micromanagement,3.0,"""Associate software engineer"""
17,General Motors,Location in the cold weather,"Work on future products, along designers and engineers",5.0,"""Integration Design Engineer"""
18,General Motors,First exposure to the corporate setting. A bit difficult to realize the simple dos and don'ts,I love my team in the digital space. Not the easiest to move up in but worth it,5.0,"""Great place"""
19,General Motors,I do not see any cons .,"Flexible time, great pay",5.0,"""Great Place"""
20,General Motors,I do not see any cons .,"Flexible time, great pay",5.0,"""Great Place"""
21,General Motors,Good old boy system is as strong as ever. Poor performance doesn't matter if you're a legacy hire. Opportunities are much different person to person depending on your manager. Different rules for promotion depending on if they want you in the job or not.,"Good wages, good training, safe environment.",3.0,"""Good Job but treatment is average"""
22,General Motors,A LOT of corporate required training.,Location. Working Environment. Flexibility.,5.0,"""Extremely Flexible and Friendly Environment"""
23,General Motors,"not that bad, would go back","Overall good, would do again",3.0,"""Good job, keep as long as you can"""
24,General Motors,"No Talent retention program , low starting salaries , Poor management ( at least in my area )",Good work life balance,3.0,"""Great place to start dont stay if you want to grow"""
25,General Motors,Good luck not being a temp forever,"Easy work for the most part, good benefits even for temps.",3.0,"""Easy work for the most part, but you'll be a temp forever"""
26,General Motors,hard work in general motors,decent work in general motors,5.0,"""decent work"""
27,General Motors,"The biggest result from GM’s Transformation is the return of the “frozen middle”. Everyone is afraid...to miss a metric, to raise an issue, to challenge an unrealistic target. If doesn’t get you to your goal, you don’t spend one ounce of energy on it. There are many small issues at the working level that fall into this category. And they won’t stay small for long. The middle refuses to acknowledge or deal with these issues. Exec leadership is blissfully unaware and charging full speed ahead with Transformation.","Can be a great place to work, if you’re on the right team. Great pay &amp; good benefits.",2.0,"""Been down this road before..."""
28,General Motors,Stress. Long hours. Lots of training.,Decent income for a non college graduate.,4.0,"""Mostly a good gig"""
29,General Motors,I hope this contract can be renew again,Focus on the deliverable product and give us reasonable time to come up with the product,5.0,"""Good Experience To Working with R&amp;D team"""
30,General Motors,"low company morale unclear job duties unclear and unsatisfactory hours ""dangles the carrot"" low opportunity for advancement",calendar holidays decent pay job accessibility medical plan dental plan,2.0,"""flex temp"""
31,General Motors,"Antiquated tools. For such a large company, we are still doing a lot of work manually which should be done by some kind of analytical tool. Hard to move into different positions unless you know somebody.",Benefits are great. Holiday shut down w/o having to use vacation time is a great benefit. Car discounts are pretty good.,4.0,"""Good Resume Add"""
32,General Motors,The culture is all about short term gains. Management is cutt throat. They are still reorganizing and letting go of good talent.,Wages are competitive and profit sharing is nice,2.0,"""Company has changed for the worse"""
33,General Motors,Easy to get lost Development lifecycles move slowly (could be a pro if that's what you like),Great opportunities for growth and development Great focus on work life balance,5.0,"""Great experience working for General Motors"""
34,General Motors,health coverage for domestic partners,great benefits and competitive pay,5.0,"""Does BCBS allow unmarried people living together to be added to heath insurance policy"""
35,General Motors,Raises and promotions were non existent. Their review system is not fair.,"I had a good time working for GM. The work was fun, the coworkers were great.",4.0,"""Good place to work, saw the writing on the wall"""
36,General Motors,Advancement path not always clear. Diluted Talent,Good pay and benefits Vacation Days,4.0,"""Steady and Secure"""
37,General Motors,Having to work after hours,Great benefits. Great pay. Plenty of advancement opportunities.,4.0,"""Shouldn’t have left"""
38,General Motors,"A lot of talk about IT innovation, but the results are quite disappointing. Too much time spent on meetings and political games.",Good benefits. Good work/Life balance,2.0,"""Political games instead of IT innovation"""
39,General Motors,Not good to employees at all,The People were really nice,3.0,"""Learned alot about the company"""
40,General Motors,Not good to employees at all,The People were really nice,3.0,"""Learned alot about the company"""
41,General Motors,No cons that I can think,Good work environment. Good culture,5.0,"""Good"""
