,title,rating,pros,cons,company
0,"""Love this company""",5.0,"Everything about this company from the actual work, the 401K, health insurance is outstanding. I have been blessed with great workers, managers and friends here.",It is a contracting company and the stress of not knowing when your contract will actually end is rough.,General Dynamics
1,"""Not bad to work for""",4.0,"Good benefits, learned great skills",Difficult to report problems with coworkers to HR,General Dynamics
2,"""Got to love IT""",5.0,"Get to travel, they have very good employee support, whether is be with your in-line supervisor or HR. Plus continuing education.",In my current employment I can't think of any Cons.,General Dynamics
3,"""Above Average""",4.0,Decent salary and benefits packages available.,Typical disorganization and waste that's found in most large corporations.,General Dynamics
4,"""Great Company for Young Talent""",4.0,Great place to work! Highly diverse and great place for young talent to start their career.,Still undergoing change while companies merge,General Dynamics
5,"""Not terrible""",3.0,"Great coworkers, flexible schedule, and good benefits.",Disassociated from corporate and lack of upper management change.,General Dynamics
6,"""Great Company""",5.0,"This is a great company to work for, and allows for flexibility when needed.",None to share really. The company is great. Since GDIT took over CSRA the benefits and vacation time has been cut though for low level employees and health care costs also went up.,General Dynamics
7,"""GDIT is genuinely cares for the employees.""",5.0,"GDIT seems to truly care about people in that in a short time I have been here I have been offered soft skills Training, Certification Training, Growth opportunities, Conference attendance as well as time to work and think innovatively.",Some of the support elements are not quite as good as I am used to for example the help desk.,General Dynamics
8,"""Good Company""",4.0,Great Company with opportunities to grow,"Company is so big, getting opportunities is a little difficult.",General Dynamics
9,"""Great place to work but very fast pace""",4.0,The company had great perks like giving employers laptops and workers were able to have personal time off.,Lay offs and turn around rate is too high. Employees are not as motivated to do the job they are assigned to do.,General Dynamics
10,"""Sys Admin""",4.0,good work environment; great hours,No issues; would have stayed if not moving out of area,General Dynamics
11,"""Decent Company""",3.0,"Contracts mean potentially higher salaries, remote work","Contracts come and go, best to start on a new 5 yr contract if possible",General Dynamics
12,"""Too Big to deal with Day To Day Problems.""",2.0,Decent pay. Hands off for the most part.,"No chance to review errant supervisors. Management does not stick up for employees. Recruiting funnel is totally non-responsive. I applied for an internal position that I qualified for, never heard anything at all. Butts in Seats management.",General Dynamics
13,"""Great benefits. Bad management.""",3.0,Good benefits. Telework. Great coworkers.,Bad management. Expectations were always shifting.,General Dynamics
14,"""Good company""",3.0,Plenty of opportunity To advance,Very large company - not personal,General Dynamics
15,"""M&amp;A""",3.0,Broad scope of government contracts,Merger mismanaged due to corporate culture conflicts,General Dynamics
16,"""Management isn't the best""",3.0,The employees are friendly and nice to be around,"Management, at times, is slow at getting things done.",General Dynamics
17,"""A big company that needs to deal with some big problems""",3.0,"At it's best, there are a wide range of opportunities and serious efforts are generally rewarded well. Benefits are generally competitive, but we'll need to keep an eye on them.",The acquisition of CSRA is still shaking up the organization. The 2020 benefits plan severely hurt many of the lower-paid former CSRA staff. The benefits conversion over the turn of the year had more problems that it should have and was exacerbated by poor to nonexistent communications from HR. This is the reason I currently can't recommend GDIT for employment.,General Dynamics
18,"""Not Too Shaby""",3.0,"Subjective: What are you qualifications? Are your looking for DoD contracting, or are you looking at the organization directly? (I am DoD contracting). -As a DoD contractor I got: --A cushy Baltimore/DC pay check to meet E4 pay after separation with A+, Sec+, had to get MTA, and some service desk experience (explained) that supported the Army (INSCOM). (SUBJECTIVE) --Found a qualified job in Alabama that got me closer to home (+k moving allowance to find my now home)","Lack of company driven deposits on employees. All training for information technology (IT) was designed, gained, insisted on you staying longer on the contract or with GDIT on a basis(?) -This makes sense because they invested in keeping people. (Maybe management, or your direct line supervisors) --Still, they do not have the same investment because of the contracting revolving door.",General Dynamics
19,"""Positive Experience""",4.0,"Great 401K match, great leave",Insurance is pretty expensive; some management issues,General Dynamics
20,"""GDIT - Could be better, Could be worse""",2.0,I worked with some good people. Direct management was good. Salary was just okay.,"Worked here for almost 20 years, showed loyalty and in the end none was returned.",General Dynamics
21,"""Toxic Environment""",2.0,The specific contract I was on was incredibly rewarding. GDIT holds so very many contracts there are tons of opportunities to get your foot in the door.,"No real opportunity for growth. Lack of competitive salaries. Lack of comprehension that employees are not military. Hostile, toxic, and, unprofessional work environment. Local management is untrustworthy, more senior managers have a track record of lying to workforce and pressuring them out when they are reminded of statements made.",General Dynamics
22,"""Enjoy my overall experience with the company.""",4.0,Good company overall. All depends on your department.,All depends on your department and your persepctive.,General Dynamics
23,"""Typical  Contracting Company""",3.0,"Good People, Work to Life balance, can learn alot.","Low pay, sometimes very unorganized for such a prestigious company.",General Dynamics
24,"""GDIT management needs a better understanding of what happens in operations.""",2.0,An opportunity to help people and to learn about Medicare and the Affordable Health Care systems.,Too bureaucratic. Managers and higher ups weren't always the best qualified people.,General Dynamics
25,"""Good employer""",4.0,Our team is allowed to telework and it's great!,Government contract jobs aren't very stable. Contracts are always expiring and the possibility of being unemployed always looms large.,General Dynamics
26,"""Good team but low pay and bad benefits""",3.0,"I'm not sure how the overall structure of GDIT compares, but my teams is rather small and does not really interact with the rest of the company. My team is great, with lots of interesting people who are willing to help out. Overall a decent place to work out of university, but would not recommend putting a stop to the job hunt for too long after starting. 401k is good if you are able to put in a solid chunk of your paycheck.","Below market pay and bad benefits (except the 401k). Education benefits are a joke, and it honestly shocks me that a company of this size and prestige cares so little about the younger section of their workforce. Healthcare plans are either expensive or garbage. Transportation benefits, which I've always been offered in large cities, are non-existent.",General Dynamics
27,"""Organization Is Key...""",4.0,"Make your own schedule, room to grow, there is bonus pay.",Job is forever updating and new terms are always being placed on your employment. Cases can go on for some time. Not for unorganized people.,General Dynamics
28,"""Okay Company""",2.0,Several contracts so work is there.,"Lack of support from upper management. Conflicting views from upper management, compensation is not competitive. Benefits are not all that good. Contracts are bid on to win and not the actual effort it takes to complete the job or resources.",General Dynamics
29,"""Hmmm""",4.0,It was a good company,A lot of demands but not enough help or support,General Dynamics
30,"""Solid Company""",4.0,A good amount of internal job opportunities.,"When you are on client site, you feel very detached from the company.",General Dynamics
31,"""Review""",3.0,Good work environment. Better for Junior to Mid level,"Small market, low compensation, tight control of bench time",General Dynamics
32,"""On a downhill trend""",2.0,"Big company, generally able to find a new contract","General Dynamics has multiple subsidiaries, most of which sell hardware (planes, submarines, tanks, etc.). Hardware is great revenue, but small profit. GDIT sells expertise, which is lower revenue but higher profit. So, GDIT supplies cash to the rest of GD. What does this mean? It means that GDIT's focus is on saving money. For example: - annual raises are below inflation rate - severe cutbacks to health insurance choices...most employees were given a choice of (at most) two providers, many only had one choice. - health insurance: much higher premiums than before, much more limited pharmacy benefits - performance bonuses were cut without explanation - internal help desk has a permanent ""wait times are longer than usual"" message...tickets are closed without every contacting the user, etc. - they slashed tuition reimbursement by over half, with no explanation - the company no longer reimburses for certifications, has to come out of projects (even though proposals demand certs) Most places you look within the company, cost cutting is having a significant negative impact. For solution architects, the growth strategy is 'bid everything', but they haven't hired enough SAs to support, so we routinely are doing 50-60 hour weeks, burning everyone out. Plus, when they interview experienced SAs, they won't pay market rate, so we end up focused only on growing from within, so have a few experienced SAs and multiple inexperienced SAs. Lastly, apparently there were too many discussions of complaints on the internal enterprise social media, so they're shutting it down.",General Dynamics
33,"""Background checks""",1.0,Great benefits and health care,Unreliable management that do not care about employees.,General Dynamics
34,"""It's Ok""",3.0,Salary/wage can be competitive depending on the contract. Benefits 401k / medical &amp; dental are alright.,Job security and retention: You never know when a contract will go away and may find yourself half way around the world with 30 days to find a new position and very little help from within to relocate.,General Dynamics
35,"""Horrible place to work""",1.0,No pro's-ripped off PTO due to shutdown forcing everyone into no PTO for a year.,"way to big -could care less about their employees, all the care about is there contracts with the feds.",General Dynamics
36,"""Good pay, great benefits, great flexibility""",5.0,"Very competitive compensation packages and lots of opportunity in many different fields of IT all over the country. Good medical, better than most contracting companies, 4% 401k match, yearly HSA contribution, stock options, tuition assistance, great internal career transfer program, about two weeks PTO per year (accrued throughout the year) plus paid holidays","As with most govt. contracting, contracts can come to an end with no notice. Luckily the internal mobility program is fantastic and there is a ton of room to move around within the company.",General Dynamics
37,"""Unprofessional and Toxic""",1.0,Team members are great and make working enjoyable.,"Unprofessional management, sexual harassment, unequal treatment and favoritism, lack of transperency and dishonesty, no room for growth, micromanagement",General Dynamics
38,"""Great place to learn new things""",4.0,Was given the ability to learn new things,Working environment could have been better,General Dynamics
39,"""Co-worker tried to attack me, management did nothing.""",1.0,"Job was challenging and enjoyable, and employees feel like they are making a real difference in the field.","My co-worker tried to punch me when he disagreed with what I said. Fortunately, a colleague grabbed his arm and pulled it back. Management didn’t care. I was afraid to stay there, especially when I found out that he had tried to attack another woman at a meeting and nothing was done about it.",General Dynamics
40,"""Great Opportunities but big pond""",4.0,The customers are wide and diverse and it is easy to carve out a career with them provided youre on good contracts.,"There are many employees, its hard not to get lost in the shuffle",General Dynamics
41,"""Good Place to work""",3.0,"Great benefits, staff and support",Big company and may seem like a number,General Dynamics
