,title,rating,pros,cons,company
0,"""Huge amount off opportunities to explore your self.""",4.0,You get good exposure to the business as there are no dedicated BAs.,poor work-life balance. More operational tasks and legacy systems.,Goldman Sachs
1,"""TMT Group -- Worst Culture but Great Training Ground""",4.0,- Fantastic training ground and exposure to a wide variety of companies - Great exit opportunities,- Worst culture of any of the IBD groups - Worst work life balance of any of the groups,Goldman Sachs
2,"""Great Company to work for""",4.0,"Benefits, Salary, and relationship with manager",They don't value employee that much,Goldman Sachs
3,"""Salt Lake City -Risk Senior Analyst""",3.0,Work -life balance; Professional communication,low salary starting salary was 48000; long hours - it requires at least 9 hours of work and you usually finish after 10 hrs,Goldman Sachs
4,"""Great place to work""",5.0,Extremely smart and motivated people who strive to be the best,Have to work hard to stand out and accelerate,Goldman Sachs
5,"""Smart people but little loyalty""",3.0,Work with smart people. Pay is competitive,They were not helpful when I changed careers even though my performance reviews were excellent,Goldman Sachs
6,"""Good enviroment""",4.0,Good pay And good learning,StressFul but worth it for the pay,Goldman Sachs
7,"""Be better""",3.0,-Good pay -Fair vacation/sick time -collaborative teams,"-outdated technology/systems -little wfh opportunities -office culture is boring - no events, free food, team bonding",Goldman Sachs
8,"""Good learning experience""",3.0,Very smart individuals to work with.,Definitely overworked. Not a good work life balance.,Goldman Sachs
9,"""Great place to work and grow""",5.0,"Smart, focused , driven work environment, great place to work",need to find work life balance,Goldman Sachs
10,"""Goldman Sachs Analyst""",4.0,Pretty good colleagues to work with,Work can become boring,Goldman Sachs
11,"""My experience""",3.0,"Great people, smart and working to improve themselves","Little ownership when issues arise, hard work not often recognized or rewarded",Goldman Sachs
12,"""good""",4.0,big company and nice people,not tech advanced and politics,Goldman Sachs
13,"""Great Company, Hard Work""",4.0,"Great culture for the industry, a lot of opportunities, world class facilities and resources","Extremely hard driving culture to the point of being unreasonable, juniors not incentivized to stay on with company",Goldman Sachs
