,title,rating,pros,cons,company
0,"""Customer Service Representative""",5.0,They really care about their employees and are very flexible to your needs if you want to work part time to go back to school or if you have problems going on in your life.,Moving up is hard and controlled by another department.,Home Depot
1,"""Great Place to Work""",5.0,"Loved working at HD, great people, I learned a lot!","I have no cons, it was a great experience.",Home Depot
2,"""Good company""",5.0,The company has good benefits,The company could have more intern opportunities,Home Depot
3,"""Job Salary""",5.0,"They have great benefits, tuition reimbursement",it can become stressful with customers,Home Depot
4,"""Good Start""",4.0,Only you are limited to what you want to do. Advancement is available at all levels of work.,Pay is horrible for what is expected. They are not competitive in pay.,Home Depot
5,"""Great Part-Time Job""",4.0,Very good work environment,Extremely long work days mnh,Home Depot
6,"""Great job with great people.""",5.0,Good place to work. Reccomend,Nothing really bad to say.,Home Depot
7,"""Good Company""",5.0,Great people Management listens Flexable work schedule,Pay is ok Can have long hours during certain times of the year,Home Depot
8,"""Orange Blooded""",5.0,Love this Company. Too many pros to list!,I've been here over 10 years and can't think of one.,Home Depot
9,"""Good job""",5.0,They really care about their employees,None that I can think of,Home Depot
10,"""Friendly staff""",5.0,Home Depot was a great place to get experience. Every associate it friendly and kind.,Management need to stop making preferences from associates to associates.,Home Depot
11,"""Cashier""",4.0,Good environment Flexible hours Gain knowledge Good pay Friendly,Short staffed Hot in summer Cold in winter Sometimes it’s just you by yourself,Home Depot
12,"""easy job""",4.0,easy flexible stress free fun student,rude customers boring at times,Home Depot
13,"""Company Cares""",4.0,"Good benefits, Best vision plan",It’s retail so it includes Nights and weekends,Home Depot
14,"""Great employees""",5.0,Employees are always nice and helpful. Truly a team effort. There’s always something to do.,Retail is retail and it can suck sometimes due to customers.,Home Depot
15,"""Good starter Job""",5.0,Hours Work environment Incentive Co/workers,Pay Managers Working outside on the cold or summer,Home Depot
16,"""Great Job""",4.0,"Good trainers, nice environment to work",terrible communication from high ups and managers,Home Depot
17,"""Good""",4.0,"tuition reimbursement, good hours, experience",crusty old men objectifying you,Home Depot
18,"""Great Company""",4.0,Nice working environment great culture,Fellow employees act like teenagers,Home Depot
19,"""Great company to work for""",5.0,"Great managers, good chance for advancement in the company, and the employees are very nice",There is none so far,Home Depot
20,"""Great place to work""",5.0,"Training is very good, many good people work there. Very knowledgeable and professional.",Morale is sometimes low. Some associates milk the clock by avoiding work.,Home Depot
21,"""Laid back. Easy. Nice to work during night.""",5.0,Good atmosphere. Nice people to work with.,None. Sometimes the job could get boring,Home Depot
22,"""Great Company-""",5.0,Core Values are strong. Good Benefits. Great company,Long Hours. Management holds no associates accountable for actions. Can be cliquey.,Home Depot
23,"""Decent part-time job""",4.0,-Good exercise -Not as micromanaged as other positions in the store -Receive tips from the customer's sometimes,-Very physically demanding -Technically not allowed to take tips,Home Depot
