,title,rating,pros,cons,company
0,"""Nice Org""",5.0,learning environment good work life balance,"nothing in particular, everything seems fine",HP
1,"""A fun place to work""",4.0,"The people, the problems you get to work on, and the good work-life balance.","Project scope can change quite frequently, depending on the market and financials. Products can be pushed up, pushed out, or canceled often.",HP
2,"""Senior Marketing position""",3.0,"Stability, environment, benefits, people, dynamic work","Lack of strategy, senior management,",HP
3,"""Lead ME with experience in all aspects of product development from initial concept to manufacturing release""",2.0,It is a very supportive environment where you can safety learn from your failures,"It is very shareholder focused, thus, driving short term decisions",HP
4,"""The utmost collegial company with pros & cons, but overall a great company""",5.0,"1. Culture: Extremely collegial, very little politics and the political people get weeded out (much more so than half a dozen other Fortune 500s for whom I’ve worked) 2. International: Substantial international exposure opportunities to work with, or live in 3. Employee Development: Invest significantly in employees (e.g., Stanford program) 4. Pay: Decent salary (though not on high side in Silicon Valley, stock units should be higher Valley) 5. Career Path Opportunity Coming: Big opportunity coming to rise ranks given heavy generational weighting towards Boomers and a huge gap in Gen X’ers to manage the company when the Boomers retire (although they all seem to be hanging on longer than expected) 6. Management Team: I was almost always impressed by the calm, intelligent, non-arrogant nature of the Executives...the jerks got weeded out pretty quickly","1. Title Deflation: many people are doing the work of one level above their title given how many business units under business units there are across company 2. Limited Career Path in Short Term (for Gen X’ers): until the top heavy Boomers really start leaving, but then there will be a huge vacuum of talent missing 3. Mgmt. by Committee: Occasional downside of collegial culture, too many meetings to make decisions by committee 4. Late Cycle Industries/No Growth: Print is the money maker and it’s on a secular decline that 3D printing can’t make up for quick enough, and PCs can’t cover from a margin POV...it’s gonna take time to ever become a growth company again",HP
5,"""Great company, values and business culture.""",4.0,"Love all the teams I’ve worked closely with over the years. I grew up in the tech industry starting out of college with HP so have a lot of respect, admiration and love for the company.",Large company with complex processes which make it impossible to turn on a dime. That’s to be expected from any Fortune 1000+ company.,HP
6,"""it's a great place to work""",5.0,Interesting people and diverse culture,Can be pretty demanding at times,HP
7,"""Good money, Great tools, Fun projects""",3.0,Generally filled with well-intentioned people and a great opportunity to work with a huge brand.,"Internal politics, Expensive insurance, Constant lay-offs",HP
8,"""Loved working at HP""",4.0,I loved the people and the flexibility provided by management in regard to working remotely from home. More companies should consider this. I gave them more hours due to the fact I wasn't having to commute an hour each way. This saved me money on gas and wardrobe and their trust made me even more committed to them.,Massive layoffs and job elimination.,HP
9,"""HP Inc""",4.0,"Treats Employees well, no grinding","Slightly Old School, red tape",HP
10,"""Work Environment""",4.0,A lot to learn around here and have to be very social,Things move very slowly around and changes don't occur as quick as people would like sometimes,HP
11,"""Unclear what the future holds""",3.0,"Smart coworkers, good compensation packages, and an empowered environment",Serious business issues in a declining market,HP
12,"""Good place to work""",3.0,"Passionate employees, good benefits and good workplace.","Too big, not a clear vision, can get lost in the shuffle of managers",HP
13,"""Great Place to Work""",4.0,"Employee-friendly, super-leadership, didn't encounter micro management",Not the best of infrastructure among it's peers,HP
14,"""Stressful""",2.0,"Good benefits, flexible work hours","The company is always changing, management is always changing, very challenging to feel successful. If you want culture... don't come to HP. You won't find any.",HP
15,"""Great for some extra cash on the side""",4.0,Flexibility. You can set your own schedule,Not many hours available unless you can pick up multiple locations,HP
16,"""Great culture, friendly co-workers""",5.0,- Awesome work culture. Very inclusive and friendly coworkers. - By far the best work-life balance I've ever encountered - Decent pay - Everyone wants you to succeed,- Benefits are just OK compared to other tech and fortune 100 companies. - Highly competitive and mature industry - Lots of cost cutting,HP
17,"""Good People, Poor Management""",3.0,"Good team mates, Good Benefits",Management runs employees too hard,HP
18,"""Lots of changes - still trying to find their footing""",3.0,Peers are great to work with,Business is mature and profitability is a challenge. The culture has definitely changed over the years,HP
19,"""Firm Fixed Glass Ceiling - Old Boys Network still locked in""",2.0,Can make good money if you work the system from a sales perspective. Most of your peers will become lifelong friends.,"Significant glass ceiling. They will fight you if you significantly over achieve comp. Toxic work space. Operations teams worry more about following contractual terms to a t, rather than understanding and working customer needs. Customer sat matters. Finally, internal cost structures are ridiculous, creating competitive contract pricing is stuck in HP Infrastructure of the 90's.",HP
20,"""Love HPI""",5.0,great team to work with,hard to sustain at salary,HP
21,"""NA""",3.0,Good overall to wik for,Fair hiring practices were just ok,HP
22,"""Great People!  Great Products!  Great Leadership""",5.0,HP always puts its customers first. If something isn't right HP finds a way to make it right. My job is based on performance and I've ALWAYS been treated by HP leadership and my manager.,You must invest the time to meet the right people and cultivate the right relationships. If you do you'll absolutely be succesful.,HP
23,"""Amazing company and benefits""",5.0,Great work environment to grow.,No cons at all with HP.,HP
24,"""great place to work and develop your skills""",4.0,"big company with lots of opportunities to learn in different areas, excellent benefits, great work-life balance","stagnant industry, constant layoffs, not the best pay",HP
25,"""good place to work""",5.0,good incentives with very good salary,huge workload with partners and customers,HP
26,"""Very good work experience.""",5.0,"Flexible working hours, great work environment, supportive management, opportunity to diversify work experience.",Very flexible and requires a level of self-discipline,HP
27,"""Ok..""",3.0,You can make money! Good benefits.,Environment can be toxic.,HP
28,"""HPI no longer the company it used to be""",3.0,"Good benefits, work/life balance and co-workers",Bad management no longer supporting the HP way,HP
29,"""Old tech company. Besides 3D it’s all incremental innovation to survive the commodity business model""",3.0,"Flex working hours, learning opportunities","Stagnant growth, low benefits. Poor health care and 401k matches compared to other tech companies.",HP
30,"""Great place to work""",4.0,Work-life management is good 401k matching fair Employees are great in their roles,Software tools are outdated Big company involves a lot of players to make decisions,HP
31,"""Great company for slackers""",3.0,"Relaxed culture, nice people, stable business","Slow growth, roadblocks, lack of innovation",HP
32,"""Awesome""",5.0,Great place to work at,Bad place to leave work,HP
33,"""Great career""",4.0,Great company with a global presence and opportunity to learn and grow.,Strategy muddled and not consistent enough to build new lines of business.,HP
34,"""I had a good 25 year run at HP.""",4.0,I learned alot working for a truly global company.,Working for such a large company it was inevitable that the company would correspondingly make a lot of changes.,HP
35,"""Application""",4.0,"very nice, the recruiter and the interviewer","process took very long, about 2 months",HP
36,"""Declining in San Diego""",4.0,Flexible work hours and varied work,HP in San Diego is growing smaller in each year,HP
37,"""Be ready for constant change""",4.0,"Benefits, range of opportunities within the company, ability to work across the globe if you have the chops.","Constant change, continued ongoing restructuring can be disorienting.",HP
38,"""Good Place to Work""",5.0,"Good Culture, good pay and benefits",Nothing to note at this time,HP
39,"""Great company to work for""",4.0,Great company and great Employees very customer focused,No major Cons at this time,HP
40,"""HP""",5.0,"HP is a fantastic company to work for. They truly care about both their employees and their employees loved ones. They are great about working around school schedules, doctors appointments, personal days off.",currently going through it right now as a company,HP
41,"""On the decline""",3.0,-Flexible work hours -Great people -Highly skilled engineers,-Schedule driven rather than quality -Current situation (2019) is very unstable and uncertain.,HP
42,"""Experience dependent on direct manager / unknown future for HP""",4.0,"Dion did a good job, no opinion on new CEO.","Declining market, going through org changes to plan for future....15% layoffs for new CEO is a bold move.",HP
43,"""Great company moving in the right direction""",4.0,Business work life is very well balanced,The best way to move up the pay scale is jumping between jobs,HP
44,"""Good company culture""",3.0,"Good company culture, Flexible working hours","Job insecurity, hard to get promoted",HP
45,"""Great company to work for""",4.0,"- Great coworkers who are smart, hard-working, friendly - Good perks that come with a big company: college tuition reimbursement, onsite gym &amp; workout classes, onsite volleyball court &amp; soccer field (these might have gotten taken down though) occasional free lunches, etc. - Generally pretty good retention--lot of mentors/people to learn from","- Older company that was downsizing a lot--over the ~2 years I was there, I saw the physical campus shrink in size to be 1/3 of the original size. - Having company stock doesn't mean very much",HP
46,"""Meh - 2 and half stars at best""",2.0,+ Great people in IC roles + Management consists of mostly good people and relatively transparent + Minimal bureaucracy + Nice offices and flexibility w/ remote work,"- watch your back if you are over 50 - watch your back if you are a US-based employee - salaries are not competitive - minimal opportunities for advancement, if you are based in US - awful products to get behind; this company will become as relevant as Acer in the next 10 years.",HP
47,"""Good workplace""",5.0,Great company to work for,Training is less than expected,HP
48,"""Reinventing or just hanging on?""",2.0,Easy work Highly predictable and repeatable work Great quality of life,Management is in denial of business outlook and leadership is risk adverse.,HP
49,"""Inside Account Manager""",5.0,1. Great Work-Life Balance 2. Improved internal career advancement opportunity 3. Collaborative culture,"1. Dismal investments in people development - specifically around new employee onboarding experience (completely inconsistent based on which team and/or organization you end up in) 2. Competitive pay - From a tech company perspective, HP is more of a GE t rather than your Googles and FB. Market competitiveness for pay is at mid-low range rather than the top of the industry.",HP
50,"""Was Ok""",3.0,For the most part the people were nice to work with,Upper management started getting to micromanagement,HP
51,"""OEM""",5.0,"Great People, Great Product, Great Everything",None to offer at this point.,HP
52,"""Good company""",5.0,"Independency, company vehicle, generous benefit package.",Currently going through many changes.,HP
53,"""A fun workplace full of smart people""",4.0,"The people are fun to work with. The work is interesting for a mechanical engineer. If you are early to mid career, there are many experienced people who can help you to become a much better engineer.",It suffers from some extra bureaucracy from the fact that teams are spread out all over the world and because manufacturing is out-sourced to a separate company.,HP
54,"""WAS a great company, too many questionable practices""",3.0,"Colleagues, benefits, flexibility, meaningful, reputation","Politics, unsavory leaders, unethical behavior, bureaucratic processes",HP
55,"""good company""",5.0,great people and good culture,no bonus and not growing,HP
56,"""Amazing company to work with""",5.0,"No dress code, company focuses on career development, travel is optional in most positions, company closes Christmas week giving extra vacation days",Outsourced labor makes it difficult to gain an entry level position in the US,HP
57,"""No career opportunities. Contractor position. Only PM and higher jobs are good. No career improvement.""",1.0,- None for contractors that don't aspire to become managers.,- Upper management does not consider current group for new positions. - Highly political. Must look good to be hired. Not merit based at all. - Preferential status is given to people. Family hiring common. Ethnicity preferential hiring common. - Lots of overseas commitment. Night meetings are a must for perm hires.,HP
58,"""Morale""",5.0,"Great place to work, many opportunities, and encouraged development.",Limited locations and not seeming to grow.,HP
59,"""A good company. Not a great company""",3.0,Open to flexible/remote employment (but less so now than in the past) Not a dog-eat-dog environment. Ethical and cares about hearing the voice of the worker.,"No stock unless you're a manger - does nothing to retain top talent. Stingy company. Squeak when you walk budgets. Even travel is rare. They always want to hear your voice, but nothing ever seems to change.",HP
60,"""Continuing to Struggle""",3.0,Foundations of the HP culture make it a good place to work...if you're working for a long-time HP manager Work-life balance is still good,"Slow to adapt to changing market dynamics Continuous reorganizations, downsizing exercises, etc",HP
61,"""Unfocused bureaucracy""",3.0,Good process and procedures for development and company culture. Benefits are solid in all aspects,Company was trying to find its focus while in the midst of years-long restructuring and executive missteps and scandals.,HP
62,"""Great place to build a resume""",4.0,They pay well. Huge focus on Integrity. Working at a Fortune 50 company teaches you things,"Many 30 year employees are bitter about 'how it was'. Huge company = lots of bureaucracy. Truth is, though, much of it is needed. It's hard but it's reality.",HP
