,title,rating,pros,cons,company
0,"""Great company culture that is a pioneer in cutting-edge innovative healthcare insurance and delivery.""",4.0,Inclusive and diverse corporate culture that consistently promotes from within the company.,Company has gone through numerous reduction in force initiatives decreasing job stability.,Humana
1,"""Great Opportunities, If You Know What to Look For""",4.0,"The company is an industry leader in diversity, employee satisfaction, and member level care.","Many departments are run on few staff with large workloads. Automation isn't where it should be, which in turn makes the workload more burdensome.",Humana
2,"""High Paying Case Management Job""",5.0,"high pay, decent benefits, lots of team building activities","Inflexible schedule, some travel, frequent changes to hierarchy",Humana
3,"""Its a Big Company!""",4.0,Its a huge company so it has a lot of perks! They have some really cool benefits. You can earn lots of free stuff with your medical benefits for being healthy!,"Again its a big company so sometimes moving up can be hard unless you really get in with the right person. I was there for 6 years and seen several people advance because they became best friends with a Supervisor or Manager to move up. I am not the kind of person to make fake friends to move up. So I was left behind many times because I was not part of the ""In Crowd""",Humana
4,"""Good people; good place to work.""",4.0,"On the sales side, the company offers its captive agents a base salary plus commissions and a full array of benefits. Agents work from home.","I don't have any cons. For a large corporation, the company overall supports its workforce well. Personally, I ran into a conflict regarding my retirement benefits.",Humana
5,"""Careful""",2.0,Easy work but will take a lot of calls ....,You will take a lot of calls as CS Dept does not know what they are doing....low pay position and many times they are outsourced from other countries. ... Right Hand DOES NOT KNOW What The Left Hand Is Doing Scenario. ...,Humana
6,"""Great benefits/not a lot of oppertunity for promotion""",4.0,"Work from home, great PTO, and retirement matching",very difficult to move up in the company,Humana
7,"""Great Company to work for""",5.0,"Well being, associate driven, mission focused",I have no negative things to say about this company.,Humana
8,"""Work Life Balance""",4.0,"Want a company that exemplifies work life balance, that's Humana. Plenty of PTO, great benefit options and decent pay.",Promotions are few and far between. If you don't meet every required qualification and 90 percent of the preferred qualifications you probably will get overlooked for an interview.,Humana
9,"""Primary Care Sales Associate""",5.0,"Corporate Setting, Great Managers, Great Trainning",Lots of Laid offs happening,Humana
10,"""Healthcare, building physician network""",4.0,"Flexible hours, Training, Friendly environment",Heavy work load Fast paste environment,Humana
11,"""Okay job if you don't need insurance""",3.0,"Potential to work at home, a fair amount of time off, most leaders display high level of emotional intelligence. Great 401k-if you can afford to pay into it.","Time off only during off peak season which can last 3-5 months. Terrible ""error"" merit system (you make a mistake and it stays on file 6 months-this should be shorter). The health insurance is the worst I've ever had in my life. I pay only a single digit percent toward 401k, next deduction is my health insurance, family, only high deductible plans available, after deductions, last year I averaged only SIXTY PERCENT of my take-home pay. An average of 40 percent went to taxes, insurance and my tiny 401k contribution. To top it off, I STILL had thousands of dollars in medical bills to pay. Company contributes SOME toward the HSA HOWEVER you have to jump though ENDLESS hoops using a ridiculous, non-functional and completely not IT supported app to track your physical activity and biometrics and there's A LOT they simply won't give you credit for. If the app messes up and doesn't credit you points for activities, they just shrug and say welp, sorry. You never can recover the lost points. Back to the job, the call center aspect is probably a slightly better atmosphere than many call centers and my department has few restrictions on call metrics so that helps with the stress level.",Humana
