,title,rating,pros,cons,company
0,"""Awesome""",5.0,"Challenging position, very good pay and benefits, gym on site, great wfh options,",this is a very self service oriented place. IT support needs serious improvement.,Intel
1,"""Solid good place to work, but not without its faults""",5.0,"Good pay, stable, and they want you to succeed at your job. Great benefits (401k, health insurance is actually *good* and you have options for cheap vs my last 5 employers). Safety first and always in actual practice. A place where innovation is encouraged and known/calculated risks are taken. The sky is the limit for what we do, and that's recognized in day to day conversations. There is an effort for more teamwork in small workgroups and people really do try to appreciate different backgrounds. Going above and beyond is recognized often, and seems to be rewarded.","It isn't a different planet, and you still get employees in who are more trouble than anything, and slackers. People who very obviously need to get fired tend to be there a very long time before they are sent off, even when their problems are gratuitous. Management is not living and breathing the in-factory environment, and is a little (not a lot) disconnected, but they are responsive. Hand-tools are a godawful mess. The recent reorganization has made things messy, which can be very very frustrating sometimes, but that isn't attributed to your own personal failing. Hard to get into engineering positions without a Masters or PhD.",Intel
2,"""Wonderful company - great projects and great people""",5.0,A company that truly cares,Sometimes you feel there is too much bureaucracy,Intel
3,"""Great company to work for""",5.0,Friendly environment and smart people,Very competitive and each employee own their own career,Intel
4,"""Fun company""",4.0,Good people and benefits. Values safety and environment impact,"No pure engineering, bad training program",Intel
5,"""Subcontract Manager""",4.0,Opportunity for mobility and changing roles,Constant reorganization’s and leadership changes,Intel
6,"""Intel has great culture""",5.0,Great culture. Smart people. Great ecosystem builder,Can sometimes get in their own way. Management can sometimes cling to old ways of doing things.,Intel
7,"""good life work balance""",4.0,bad food and too many people has nothing to do,easy work and good life work balance,Intel
8,"""Good work environment""",5.0,Great work culture and a good place to start with for a new grad,Pay is lesser compared to other similar employers,Intel
9,"""Great Place to Work""",5.0,"Work-life balance, Flexibility to move internally","Too many re-orgs, complicated hierarchy",Intel
10,"""Dream Job""",5.0,Love the work environment since I've been here.,None yet. I'm new. I will repost if this changes.,Intel
11,"""Poor work-life balance""",2.0,"Extremely demanding place to work, but it's great experience for a first job out of grad school. Above average compensation for early career, although raises don't keep pace. Excellent benefits.",Can't be overstated--poor work-life balance. Poor opportunities for advancement. Aggressive and combative culture. Work day monopolized by useless meetings. Ineffective/tyrannical leadership from top to bottom in PTD.,Intel
12,"""Good pay - poor growth opportunities""",4.0,The pay was pretty good (great bonuses and stock benefits),The skills I've learned were very specific to Intel tools and methodologies - not very applicable to working at other companies.,Intel
13,"""Good company""",4.0,Work-life balance Great people to work,Hard to be promoted when working on a remote site Too many layoffs within past years,Intel
14,"""Intel Review..""",4.0,"1) Amazing benefits and flexible hours 2) Very smart, fun, and motivated people 3) Great work processes, training, and documentation 4) Employee ideas are appreciated and tons of opportunity to change 5) Very innovative",1) Brutal political culture which is very competitive 2) Kill or be killed the higher up the chain you go,Intel
15,"""OK""",3.0,A good 401k and deferred-compensation profit-sharing plan,Annual review process is cumbersome,Intel
16,"""Great place to work!""",5.0,"Great workplace, flexible schedule and friendly management.",Hard to move around if you dont have a car,Intel
17,"""pretty good place to work""",4.0,"CWW, profit sharing bonuses, stock purchase plan, free coffee/tea/soda/fruit.",Perks not as good as some other tech companies,Intel
18,"""System Engineer""",5.0,Great place to work.Lots of opportunities.,None.It's the best place to work,Intel
19,"""Great work life balance, good benefits decent pay""",5.0,8-5 5 days a week for the most part with the occasional travel,"Not market leading pay or benefits, but I believe still in teh top 10%",Intel
20,"""My Few Cents""",4.0,Good Work &amp; Life Balance,Job Security. Business Unit budget to be reviewed every year to decide the headcounts for the following year. Slow Career Growth.,Intel
21,"""Working at Intel""",4.0,Good work life balance Opportunities to work in different groups and field Many volunteer opportunities,Process is more important than Results. Parking is a hassle. Stock compensation not that good compare to industry.,Intel
22,"""Analog Designer""",3.0,- Amazing place - Good benefit - Good opportunity to grow,- Low base salary - Some group do micromanagement,Intel
23,"""Good Experience""",5.0,"Laid back, no dress code","Sometimes too slow, can be boring",Intel
24,"""Verification Design Engineer""",5.0,Working with UVM and OVM.,Takes time to ramp up.,Intel
25,"""No consideration for fair treatment""",2.0,Good parking and short commute time,No consideration for benefits or perks regardless of tenure,Intel
26,"""Review""",2.0,Good total compensation and pay,"Difficult to advance career, get promoted",Intel
27,"""physical design engineer in microprocessor company""",4.0,competitive salary and fair work life balance,career paths are limited and not industry standard,Intel
28,"""Okay for a good career start""",3.0,"Attractive pay, good benefits, has okay work life balance, for a new grad it provides excellent opportunity to break into the HW industry","Staying for too long greatly diminishes your skillset; as your skills gradually becomes too Intel specific, and are not competitive with rest of industry. Lots of talented and smart engineers leave Intel to FAANG, and UM doesn't backfills the shortage of teammates, so everyone else needs to do 2x amount of work.",Intel
29,"""Great place to work if you love to work hard""",5.0,Good benefits and work environment. Little perks everywhere. Kids to work day. Lots of learning opportunity,Extremely demanding and you have to be ready to give 150% of your time to keep your job sustainable. Some nepotism and bias is always in the back ground everywhere.,Intel
30,"""Great First Internship""",5.0,Great pay and free sodas/drinks.,The project I'm working is not that interesting.,Intel
31,"""Good benefit package""",4.0,"Great leading technology, learning new stuff everyday",Too much bureaucracy and Internal Competition between different business divisions.,Intel
32,"""Great Comp""",5.0,growth company to work for,"lot of people, no free food",Intel
33,"""Green badge worker""",5.0,I work as a GB at Intel for 8 months now and I am enjoying it.Great Blue badge people I met and people I work with are amazing.,need to work extra in order to get promotion or promoted.,Intel
34,"""Great pay for rough hours and dealing with mindless management""",4.0,- Great Pay - Good amount of time off - Easy Job,"- Can feel stuck - Night shift hours are terrible, 12 hour shifts",Intel
35,"""Verification at Intel""",4.0,Good woke life balance and work culture,Very big company and progress takes time,Intel
36,"""Great at exactly one thing""",4.0,Remarkably good processes for designing and building IA-based product.,"The corporate structure, processes and procedures that are great for building IA-based product make it impossible to do anything else well.",Intel
