,title,rating,pros,cons,company
0,"""Great Experience and Company Culture""",5.0,"Great experience and pay for students. Flexible work hours. Valuable work that is more than just ""intern"" work. People encourage each other to succeed. Deere sticks to its values.",Large company can be a pro and con.,John Deere
1,"""Great Company""",5.0,World Class processes and flexible schedule,Slow Promotions and average pay rates,John Deere
2,"""World Wide Metrics Review""",5.0,It’s an ever growing company creating and developing talent in employees and products.,Downsizing due to the AG business decline. Eliminating jobs.,John Deere
3,"""Excellent""",5.0,Really enjoyed my time with Deere. Well paying and lots of opportunities,Conservative Clmpany that misses opportunities at times to succeed,John Deere
4,"""Great Company""",5.0,Very helpful company culture. Competitive pay. Good PTO Plan.,Most locations are in the midwest.,John Deere
5,"""Great place to work""",5.0,Great place and Great people to work with,"Location, most jobs in IT are located in the USA Midwest.",John Deere
6,"""Great""",5.0,Good benefits (at the time) and smart managers.,Work-life balance could be challenging. Heard that they've nerfed the benefits since I left.,John Deere
7,"""Good employer""",5.0,"Surrounded by good people, challenging work, focus on delivering value to the customer,",Sometimes high stress and emphasis on lowering cost.,John Deere
8,"""access to data""",5.0,a great community for young workers,a far drive away,John Deere
9,"""Great start to a career.""",5.0,"Incredibly understanding and flexible with hours and time off while I was still a student and in school. Gave me plenty of agency as an employee, started my transition from student to full-time worker","Office can be dull/boring, maybe best described as a cubicle farm. Also had a hard time finding projects that I could help with. But you get out what you put in.",John Deere
10,"""One of the best!""",5.0,"Culture, incredible people, work/life balance, benefits, opportunities","VERY large organization, can be difficult to enable changes",John Deere
11,"""Culture is changing""",3.0,Trying to meet the 5 word minimum. No positive things to say currently.,"Benefits are being cut, culture is becoming very combative. Mostly they aren't posting jobs externally, but don't apply until the market settles down and hopefully John May is no longer CEO.",John Deere
12,"""Good company with some downsides""",4.0,"Good company, great co-workers, excellent benefits",Strong union that can be hard to deal with. Offices on the shop floor were in horrible condition. Stressful environment without a lot of support. Quad Cities locations are not ideal.,John Deere
13,"""SMDP""",5.0,"salary &amp; benefits, career opportunties",Can work long hours every week,John Deere
14,"""The best company I could've started my professional life with!""",5.0,Great company to work for. I have fun at work and am constantly challenged to grow and pursue new projects that take my interests into consideration.,No major cons that I can think of.,John Deere
15,"""Love it""",5.0,Good pay and challenging projects Very flexible,Not really any cons. Maybe the onboarding,John Deere
16,"""Great company""",5.0,The people and the environment,Temperature I’n the buildings during the summer,John Deere
17,"""Conflicting interests, difficult to get anything done""",3.0,Low expectations. Relaxed work environment. a,It takes years to get things done. Lots of infighting and competing interests make it difficult to get limited resources required to make changes.,John Deere
18,"""Okay""",3.0,The pay was pretty good,Some supervisors are terrible. Need to clear out bad ones,John Deere
19,"""Engineer""",5.0,"Innovative environment, strong leadership, many opportunities for growth",No cons as long as I’ve been here,John Deere
20,"""Decent Entry Level Opportunity""",3.0,- Ability to brainstorm freely on projects - Great Pay - Helpful management,- Not the most exciting projects - Bad location - Inability to work from home,John Deere
21,"""Layouts""",5.0,"Good people, environment, work culture",Not that I can think of,John Deere
22,"""A wannabe tech company""",1.0,- Benefits were good but the 401k and bonus structure have started to get slashed - Next to impossible to get fired - Helping feed the world is a solid mission,"- Leadership at the director level is lost - Lots of micromanagement from directors - Constant reorgs are the norm - Getting anything significant done takes significantly longer than it would at a real tech company - Because it is impossible to get fired there is no shortage of disruptive individuals - Lots of gossiping and backstabbing even at the director level - Communication between departments is non-existent - Very stingy with money resulting in not having the best hardware/software or company events unless you work outside the USA - IT is a joke can take months to get software and hardware you need to do your job - IT Security is extremely strict which also limits software options as well as eating up resources on your machine for real-time virus scanning - While still an industry leader Deere no longer innovates, instead they take a reactive approach - No consistency in year end reviews every manager follows their own criteria resulting in confusion and frustration",John Deere
23,"""Not sure""",5.0,Awesome company to work for!,Pay could be higher a bit,John Deere
24,"""The Deere was hit by a large truck!""",1.0,They have a Midwest Mindset and Intelligence for Business. The ignorant employees get promoted and the hard workers leave after time.,"Corn and Pig, all you can eat!",John Deere
25,"""Amazing Experience!""",5.0,- Great experience in business communications - Learn how a global company like Deere operates - Great people to work for - Wonderful benefits - Management treats employees well,- Very conservative way of getting things done. Change/innovation in the workplace is harder to come by. - Too process oriented,John Deere
26,"""SPECIALIZED OPERATIONS, QUALITY &amp; CONTINUOUS IMPROVEMENT SKILL SET""",5.0,"Training, Opporunity, Teamwork, Pride in what you build.",Being laid off 4 months a year.,John Deere
27,"""Great company to work for with amazing people""",5.0,The people are so nice and respectful. Classic midwest nice attitude. So much opportunity for pay raises by switching groups and amazing bonus’s at the end of the year. Usually 5k-10k If you’ve worked a full year. 1 and 1/2 weeks off for Christmas and new years due to factory shutdown.,It’s not sunny California in the midwest.,John Deere
28,"""Great stable company""",4.0,Very stable work environment to work in,Long hours Supervisors making decision on processes they don't need to use themselves.,John Deere
29,"""Consistent, intentional erosion of benefits""",1.0,If you have a good manager then sky is the limit.,Almost no good managers. Well not good at investing in their people. Good at providing politically correct reports up the ladder. Good at re-assigning failures down the ladder. The worst part about the cut benefits is they act like we`re too stupid to notice. No integrity. Every promise from management gets broken. Managers regularly lie on performance reviews. Almost 10 straight years of record profits but comp and benefits are constantly being slashed.,John Deere
30,"""Excellent room for growth""",5.0,"Advancement opportunities, good insurance, good pay","a lot of overtime, long hours.",John Deere
31,"""It could have been better""",2.0,Lots of over time on-season,Instant lay off in the off season. Low pay. No mentor ship. Flimsy training system. Not much care for the customers.,John Deere
32,"""People company rep on the decline""",3.0,"Solid product, active in the community.","Dedication to long standing (and in good standing) employees seeems to be going by the wayside. Good if you are a new hire out of college, would not recommend for mid-career hires.",John Deere
33,"""Urbandale engineer - watch out for the 'select few'""",4.0,"Lots of good people Lots of good engineers, managers, and admin staff If you enjoy Ag, lots of fun","Those precious few - the 'I know it alls' Sometimes, not always, mgmt. is afraid to push back against the perceived 'halo' engineers If in a bad group, good luck",John Deere
34,"""Great Company &amp; Coworkers - Terrible Management""",3.0,Good pay and excellent benefits. Coworkers created a great atmosphere,Management was terrible and micromanages everything. I completed tasks and projects on time and in the same format as prior employee in my position and my supervisor completed prior tasks and projects. But yet nothing met my supervisor criteria. Provided no feedback on how I can improve either. Would simply to me prepare and present the information in the most logical way and then would micro-criticize every detail the tasks I completed.,John Deere
35,"""Struggling to modernize and very political""",3.0,Great people to work with.,Struggling with how to transform their business. Digital transformation is a challenge. The company is beholden to the stockholder at the price of their employees.,John Deere
36,"""Used to be a great place to work""",2.0,"Good work life balance, interesting work",Top heavy. Bonus and 401k is being reduced while too management ( director and above pay grade) continues to take in millions from restricted stock options (seriously millions).,John Deere
37,"""Good company to work for""",4.0,"The company itself is great, great benefits and 401k match",Behind the times on other policies like working remotely,John Deere
38,"""Slashing Benefits""",1.0,"- Deere pays $15,000 in tuition reimbursement for graduate degrees for salary employees","- Company just issued voluntary separation package for a huge percentage of the company, with no plan to replace people who left - Bonuses are slashed for 2020 and 2021, but bonuses for leadership haven't been touched. (Literally, they're getting millions of dollars in stock options, while we're seeing bonuses slashed by 5-15k). - Never feel like my job is secure or the company values me as an employee - IT is embarrassingly slow to respond to growing needs - Company surveys employees on satisfaction and then literally does nothing with feedback - 401k contributions have been slashed - Health insurance coverage is awful - Been on a hiring freeze since last year",John Deere
39,"""Formerly good company, in quick decline""",1.0,"Huge commitment to community, our customers (and used to be committed to their employees).","Currently in a major transformation of massive workforce reduction, in both wage and salary, also working aggressively toward flattening top management. Offered several voluntary separation programs toward salaried employees this past year. Handled the IT organization reorganization very poorly, people are stressed out daily whether they would have jobs. Changed bonus structure of employees and 401 (k) benefit without any information to the managers or employees. Directors and high level managers still maintain their high pay while the workers bonus structure is changed dramatically.",John Deere
40,"""Great Company, Decent Benefits, Lots of Opportunities for Personal Development""",5.0,"Salary, Exposure to various products and processes, good personal development",High variance in work-life balance in different facilities.,John Deere
