,title,rating,pros,cons,company
0,"""Great working environment, company with true community giving values.""",5.0,"Supervisors give you all the support you may need, you are also appreciated for all you do. Great computer system for pharmacy.",Access to each intranet system requires passcode every time and frequently if not used in minutes,Kroger
1,"""Kroger""",5.0,"Friendly workers, Flexible hours, and Good pay.",I haven't really focused on any cons. Kroger is great.,Kroger
2,"""Great Company""",5.0,Management always worked with my busy school schedule to give me hours when I needed them and allowed me to go on an educational leave of absence when my workload at school was too much.,Management gets moved around frequently.,Kroger
3,"""Not bad for what it is""",3.0,Environment is better than the competitors such as Walmart which is reinforced through team bonding.,Upper level management micros departments that they have little knowledge of how actual operation works.,Kroger
4,"""Great company poor culture""",3.0,really great people &amp; friends,"leadership is an issue, buyers run the place, and the management is reactive. They have no plan.",Kroger
5,"""Decent job, very little room to grow""",3.0,"Unionized, meaning consistent breaks, overtime for shifts longer than 8 hours, and raises every so often.","Very little room for advancement. Seniority rules all, and I knew many people who had been there for quite a long time still working on the floor making very little.",Kroger
6,"""Lots of Visibility and appreciation""",3.0,Lot of visibility if you are talented. Very approachable mid level managers. Work life balance.,"Behemoth teams , tough to coordinate.",Kroger
7,"""Assistant Buyer""",4.0,Great training and program. Fun work,"Stressful, overworked, company is not hitting numbers",Kroger
8,"""Pretty good""",4.0,They have good management and are willing to listen to their team,Not respected by many customers on the floor,Kroger
9,"""Krogers Sucks and managers are the dang Devil.""",3.0,Available hours and plenty of ot available.,Management are bullies and very uneducated,Kroger
10,"""Proud to work at Kroger""",4.0,friendly people-pay-insurance-opportunities to move up,not enough overtime somes times,Kroger
11,"""Good company""",4.0,Good benefits Understanding managers Some good coworkers,Teenagers in management Gossip They're a little harsh sometimes,Kroger
12,"""Great Opportunity""",5.0,You will enjoy working there.,Not having a positive attitude.,Kroger
13,"""Thank you""",5.0,Really nice people who are fun to work with,Can be boring at times. Especially night shift,Kroger
14,"""Management Take-Over""",3.0,Good wages union paid holidays,Don't do as they say push you out(old union contracts)then say they will write letters if recommendation and say not hireable,Kroger
15,"""Great for a first job""",4.0,Easy work. Steady hours and great opportunities if willing.,Management - depends on who.,Kroger
16,"""Best retail place to work""",4.0,Good upper pharmacy management teams,No help Too much work load with not enough help.,Kroger
17,"""7 years""",4.0,It’s a good place to work,There is nothing to change,Kroger
18,"""Okay Place""",4.0,Great part time job overall.,Long hours if want to make ends meat.,Kroger
19,"""Hard work, sometimes greatly rewarding, uneven work life balance""",3.0,Sometimes very rewarding. Some great people there. Compensation was decent.,"Terrible work life balance. Sometimes good if you worked for a fair boss, but those were rare. Upward movement was supposed to be available for all but definite geographical discrimination was in place kept those who weren’t seen everyday in their place.",Kroger
20,"""Recommend""",4.0,"Paid Weekly, Fair Pay Wage ,",Little Hours &amp; Understaffed,Kroger
21,"""Decent part-time job""",3.0,Discount on Kroger brand items. Laid back atmosphere.,"High turnover. Long time employees can be crotchety. When unloading product, it can be hard on your body.",Kroger
22,"""Good""",3.0,"Flexible scheduling, good pay, fast pace, the day really seems to fly by","pushed way to hard by stressed out management. not given enough hours complete tasks in department. compensation depends on job, department leads are paid well, regular clerks not so much.",Kroger
23,"""Ehh""",3.0,Flexible with students working around classes,Not enough pay for what you do,Kroger
24,"""A decent place to work""",4.0,Team oriented workplace. Always striving to achieve efficiency and productivity.,Benefits could be better.,Kroger
25,"""Nice first job""",4.0,"Flexible hours, tuition reimbursement, and educational leave of absence. Comfortable work environment and amazing employee atmosphere.","Constant management changes, lack of consistency when it comes to management.",Kroger
26,"""great""",5.0,fast paced that was fun,low earning that was not fun,Kroger
27,"""Okay place to start working""",3.0,Lots of hours and employee discount,management not always supportive (depending on the store),Kroger
28,"""A good time""",3.0,Great associates to work with,Don't let the people who come to your department and do walk-throughs trick you into thinking they care about you,Kroger
29,"""Representative""",3.0,"Schedule flexibility, coworkers and Starbucks (depending on location)","Management can be way to rude, hours can be cut, supervisors sometimes won’t be there",Kroger
30,"""Great job, great people, bad pay""",3.0,"Paid Weekly, Great People, Store Discount, etc.","Retail scheduling (not set), pay is poor,",Kroger
31,"""Good benefits""",3.0,"Good benefits, nice co-workers, air conditioning, nice customers, Union job.","Retail hours stink! Must work nights, weekends, holidays. Short staffed, mediocre pay",Kroger
32,"""Great company""",4.0,You will unknowingly get top notch management training---I didn't realize this until I went to B school.,Grocery has small margins so Kroger runs a tight ship which makes it hard for upward mobility- but not impossible. Most CEOs started as bag clerks,Kroger
33,"""Custodian""",3.0,Got to run around the store and basically do your own thing.,Most of management is not nice,Kroger
34,"""Customer Service""",4.0,same schedule every week 30 min break,Management did not listen to employee regards,Kroger
35,"""Kroger Experience""",4.0,Great management and very good hands on training,Not much of a downfall,Kroger
36,"""It’s a Job""",4.0,Union. Easy to move up/ cross train different departments,High turnover rate. Always short staffed.,Kroger
37,"""Eh""",4.0,"Consistent workload, you pretty much always know what to expect","It's a cashier job, so it was super boring.",Kroger
38,"""Great place to work""",5.0,"Teamwork, caring, collaboration, employee friendly","No advancement, no advancement, pay",Kroger
39,"""Great company""",5.0,"Great people, salaries, benefits, and culture. Very stable organization.","If your career did not start in the store, it’s kind of hard to navigate into other roles in the company.",Kroger
40,"""It was a good position and I met a lot of great people""",4.0,Great place to work with a lot of great people and customers.,I can't think of any cons.,Kroger
41,"""Understaffed""",4.0,I had fun coworkers and good pay,"Department was missing a staff member we should have had, which meant a lot of overworking.",Kroger
42,"""Great for students""",5.0,"If you’re a good employee, you’ll be treated well.","The union, UFCW, does nothing but force management to retain bad employees.",Kroger
43,"""Mediocre entry level dead end job.""",3.0,"Flexible hours, Nice co-workers, Sense of community.",Low pay. Managed by seniors in high school. Rare Raises. Incompetent management.,Kroger
44,"""It’s""",4.0,It’s a cool job to work at,Some customers can be rude,Kroger
45,"""Lot of Work, Lot of Demands, Lot of Stress, Not a Lot of Pay for It""",3.0,"Great team environment. Store, district, and divisional management are all very helpful and supportive.","Lots of hours and stress. Sundays are soul crushing to put it mildly. Salaried so when you take into account the hours I work, I make less than minimum wage to run a department that does $100 K a week in sales and has 30 employees.",Kroger
46,"""Hard job, but great team""",4.0,"Great boss, flexible, great experience","Rude customers, hard job, not great pay",Kroger
47,"""Good Company with Great Benefits""",4.0,"Good company with that works with your schedule especially if you're part time. In the Delta region, it h as some of the best benefits you can get in a job. Paid weekly .","Front end lead means a lot of hard grunt work. I'm currently having to do about 3 different jobs at the same time, Guest Care, Supervise and Self-Checkout. If you can manage multiple positions at once and can deal with customers yelling at you in a calm and professional manner than this job is good for you. If you can't than expect to absolutely hate it. Raises also come very slowly. Average $00.10 every 6 months after being topped out. Horrendous but only manageable due to the group employee health plan which only costs $17 a week for full coverage.",Kroger
