,title,rating,pros,cons,company
0,"""Good""",3.0,"Good benefits, lots of opportunity",Management team could use improvement,Liberty Mutual
1,"""Its a alright job for a call center""",3.0,always having contest which is great,it's a sales job do your job and you'll do fine.,Liberty Mutual
2,"""Not great""",3.0,"Can make great money, they pay for your exams and they pay you while you study.","Very clicky, even though it’s a “team” you are all hoping to get sales in the same territory.",Liberty Mutual
3,"""Heavy workload""",1.0,Some peers are great; others will throw you under the bus.,"Everything else...workload too high, constant changes, unattainable metrics, too many meetings.",Liberty Mutual
4,"""Benefits""",4.0,Great benefits package and flexibility.,No longer offer PPO.,Liberty Mutual
5,"""Good stepping stone to agent""",4.0,Extremely good in house training,No bonuses or chance for commission if outselling,Liberty Mutual
6,"""Assistan""",4.0,This is a reputable company,The company is ok and ok,Liberty Mutual
7,"""Concise, academic and steady""",4.0,Strong compensation and benefits; industry career path,Stifling to innovation; not as diverse as it should be,Liberty Mutual
8,"""Great""",5.0,Really care about there workers,Wish base pay was a little higher,Liberty Mutual
9,"""Call Center""",3.0,Salary and benefits were excellent,Call Center required being tied to desk unless given time off for breaks and lunches. No employee input when these were scheduled.,Liberty Mutual
10,"""Most of What You'd Expect from a Corporate Job""",3.0,Pension plan (not great but exists!) and ability to work from home at least 1 day per week for many roles,Dysfunctional corporate politics and preference is given to outside candidates over internal candidates for promotions and transfers. Bad health insurance coverage and not competitive time off (19 days per year including sick days and excluding holidays). No compensation for commuting to Boston office.,Liberty Mutual
11,"""Solid old school company LM""",3.0,"Work life balance, promo opportunities, secure company","Old fashioned and stuck in their ways, terrible health benefits, behind the times on maternity/paternity leaves, too many reorganizations",Liberty Mutual
12,"""Good pay, long hours""",4.0,"Great Benefits, salary, and people.",Long work hours and managers only seemed to care about how to advance themselves.,Liberty Mutual
13,"""Going downhill""",3.0,Love the people I worked with,"Large corporate atmosphere, difficult to move up",Liberty Mutual
14,"""Good company""",4.0,Flexibility Able to sell through multiple companies,Lower residual income than other companies,Liberty Mutual
15,"""Great place to learn about insurance and sells""",4.0,Great training and managers,Salary decreases with time,Liberty Mutual
16,"""Good overall""",4.0,"Good compensation and benefits, a lot of opportunities, focus on employee development and diversity, flexible work arrangements",Traditional hierarchical corporate culture that may not be the most exciting work environment for everyone,Liberty Mutual
17,"""Ok place to work but you must be a hunter who feeds yourself""",2.0,Great internal employee support but that's all.,Money and leads are hard to get,Liberty Mutual
18,"""Good Company""",4.0,Good work life balance. Good resources to support career growth as a young consultant. Great people who look to support you.,Technology and systems are behind.,Liberty Mutual
19,"""Love working here""",4.0,The culture &amp; environment. Employees are really valued,There is often a lack of transparency with changes,Liberty Mutual
20,"""Great culture &amp; team-players with a sharp learning curve for those coming from outside insurance""",5.0,"Loved all the individual team members and bosses that I worked with on a daily basis. We have a team mentality - if there's a problem, I'm not alone and we have a way to fix the claim situation. Excited to see that high performance is recognized and rewarded. Monthly, quarterly, and annual awards are nothing to belittle - they are impressive when attained!","The sharp learning curve comes from learning the trade, the words, the desired process, and the technology. Once I hit my stride in the 5th month as an adjuster, I was out in front.",Liberty Mutual
21,"""Claims Rep""",1.0,There are no pros at all,"This company thinks their employees are “non-vital” to the company and laid everyone off in the New Castle, PA location",Liberty Mutual
22,"""Proceed with caution""",5.0,"- Amazing benefits health, eye, and dental - Almost four weeks of vacation time usable without having to work a year -Flexible office hours 7am-5pm only need to work 7.5 hours a day -Amazing Manager/Staff support","- The job is overwhelming and unforgiving - The claim volume is volatile and inconsistent - You deal with people over the phone who don't understand the claims process and are upset about the fact they've been in an accident. - It's almost impossible not to bring the stress home with you - The parties involved in these claims are demanding and you have to mediate all of it - You are held accountable for all parts of the claim. When an appraiser, or repair shop drops the ball you will be the first to hear about it and the first to blame.",Liberty Mutual
23,"""Not the company they used to be""",2.0,They talk the talk about being a company that cares about people (employees),They too often don't walk the walk.,Liberty Mutual
24,"""Good company bad work life balance""",4.0,Benefits such as paid time off and work from home,Work life balance you will work a lot Of hours,Liberty Mutual
25,"""Liberty Mutual is an  average company, good starting point in your career""",3.0,"great time off, somewhat competitive salary, not a micromanaged company",impossible to grow within company unless you know someone,Liberty Mutual
26,"""Good job""",3.0,work from home and flex time,high inventory and on phone a lot,Liberty Mutual
27,"""Culture good, stressful work, favoritism""",3.0,Company is socially supportive of equal rights and diversity in the workplace. Great place for LGBTQUIA and minorities to feel welcome. Work from home options. Good amount of vacation.,"The work is stressful that is for all claims roles, but some of the metrics and procedures make it even more difficult. The work is not exceptionally hard, but there is a lot of it and it is easy to feel burnt out. The company has a few deceptive practices when it comes to promoting including having a certain person in mind for a role and posting a job announcement and letting others apply knowing they are going to pick the one person. Not alot of opportunity.",Liberty Mutual
28,"""Amazing Career""",5.0,"Great pay, management really cares and they are like family, easy to move up within the company, get a work laptop, flexible hours. Everything about the company is amazing",None at all. It was the best job ever. I had to leave due to child birth complications.,Liberty Mutual
29,"""Great place for work but very stressful""",3.0,"The co-workers, management and overall the culture at Liberty Mutual is amazing. Everyone is so kind and willing to help you. The benefits are great too. Happy hours, game days, fun contests",The never ending work is very stressful If you take a vacation you come back to everything escalated which then affect your metrics Unattainable metrics! Many employees taking stress leave and the turn over is very high Claim reassignment are the worst!,Liberty Mutual
30,"""Great place to work in I.T.""",5.0,"Liberty takes care of their employees and offers a lot of flexibility for I.T. employees. Flexible schedule, casual dress. There are opportunities to advance in your career.","Since it's a huge company, there's a lot of bureaucracy.",Liberty Mutual
31,"""Great company""",5.0,This company treats their employees very well. It has been a while since I’ve worked their but I was employed their 10 years! It’s just that kind of company.,It is very difficult to move up the ladder unless you are in sales or near one of their cell cebter hubs. I applied to many claims positions over that 10 years but was always turned down despite all my knowledge and experience. I had a great reputation as an employee but could not get out of the bubble I was in.,Liberty Mutual
32,"""All about metrics/very draining environment""",2.0,"Great benefits, good time off options","Management puts such an emphasis on metrics that you feel like just a number here. All rewards feel like bribes to get better numbers -- they don't really care about good customer service, just about getting the customer off the phone within 6 minutes. It's a disheartening and often depressing place to work.",Liberty Mutual
33,"""Worst professional experience of my life""",1.0,"A paycheck. A lot of the people in the lower levels are passionate and care very deeply about their work. There are good people there, but the culture there raises the bad ones up.","Short-sighted management who have zero people skills and no understanding of what it means to be a leader. Easily the most toxic environment I've ever been in. Constant reorgs, which leads to a general sense of shellshock.",Liberty Mutual
