,title,rating,pros,cons,company
0,"""Good Large Company""",4.0,"Opportunity to work on really interesting projects with a wide range of product lines and business units Good work environment, a lot of people tend to stay for a long time","One of the best parts of LM is the different business areas (space/aero/etc) all being under one company, but the corporation doesn't seem to leverage learnings effectively across business areas - causing some inefficiencies. Different business areas feel like they are completely different companies sometimes.",Lockheed Martin
1,"""Competitive Salaries""",4.0,Flexible work schedules and positive culture,Must be willing to relocate for better opportunities,Lockheed Martin
2,"""Good Place To Work""",4.0,"Good benefits, competitive salary offers, flexible work environment","Culture believes that senior management is out of touch, low satisfaction in year to year raises and promotions",Lockheed Martin
3,"""Good Benefits""",4.0,"Good Benefits, multiple programs to work","Poor health benefits, will underpay long term employees",Lockheed Martin
4,"""good company""",5.0,"nice employees, nice systems, and nice coffee","long hours, strict management, difficult upward mobility",Lockheed Martin
5,"""Premier Defense Company""",5.0,"Great aerospace and defense company. Inclusive environment. Long, stable contracts in many cases.",Sometimes overly bureaucratic and slow moving.,Lockheed Martin
6,"""Not a bad gig if you can pass the investigation""",4.0,Average pay good benefits normal steady work,Corporate culture and high turnover must be able to pass the test basically,Lockheed Martin
7,"""A great learning experience but lacks ability to understand customer needs and adapt to best engineering practices.""",3.0,Well respected Decent benefits Good retirement plan Large corporation,Overworking Poor engineering practices Poor culture Poor work life balance,Lockheed Martin
8,"""Ups and downs, but generally a constant flow of mostly interesting work.""",3.0,"Interesting work, smart people, little to no overtime required.",Arcane management approach to employees working remotely,Lockheed Martin
9,"""Good Place with Good People""",4.0,"Large enough to continue growth, great training opportunities","High Deductible, cost of health care",Lockheed Martin
10,"""Ok""",3.0,Seem to try and provide a more stable work environment,Health care is expensive and high deductible Management is coerced into giving a certain percentage of unsatisfactory ratings whether warranted or not. Demoralizing environment.,Lockheed Martin
11,"""Greaty pay and benefits""",3.0,Salaries are higher than they should be to be honest. The bonuses they added 2 years ago are great! 401k matching with an automtaic 6% right off the bat and HSA contributions/capability. Medical insurance is pretty bad now.,Most IT managers where I work are not up to par. They are managers grown within the LM system and offer no innovation or guidance. They are merely there to do performance reviews and approve change requests. They believe you don't need to be technical to lead technical people. To that I say you may as well have 0 technology knowledge and hire my Mom or Dad who have led way more people than these managers have led.,Lockheed Martin
12,"""review""",3.0,flexible schedule and moderate pay,high pressure and constant direction shifting,Lockheed Martin
13,"""Great company overall""",5.0,"Competitive pay, flexible work options and schedule, amazing 401k.",Complex organizational structure makes day to day operations challenging l,Lockheed Martin
14,"""Probably not worth your time""",2.0,"The benefits are competitive, and the company name looks good on a resume.","Terrible management. Very much a culture of tribal knowledge. If you think this is a good career move, think about how desperate you really are.",Lockheed Martin
15,"""PC corporate juggernaut""",3.0,Flexible work schedule and 401k matching,Politically correct nonsense shoved down your throat.,Lockheed Martin
