,title,rating,pros,cons,company
0,"""Great for Students and Retirees""",4.0,They will work with your schedule if you are in school and they pay is better than average.,Sometimes your hours are cut during the off season,Lowe's
1,"""Very good job""",4.0,"Good hourly pay, flexibility, good benefits","Corporate scheduling, messy management, potentially hazardous work conditions.",Lowe's
2,"""Asset Protection""",4.0,Time off to spend with family,Advancement opportunities are not there,Lowe's
3,"""It was a great experience""",4.0,I met new people everyday and the daily interactions were great!,Fulfilling duties above pay grade,Lowe's
4,"""Great work enviornment""",4.0,Strong sense of team unity Flexible work assignments - no two days were the same,"Slow days can be tedious, working only on re-stocking shelves",Lowe's
5,"""Great""",5.0,Very detailed uniqueness and fun,No down sizes great work,Lowe's
6,"""FSA review position no longer exists""",4.0,Was left to do my work with little supervision and there was always something to fix or clean. Most of the management was respectful and helpful if possible. Pay and benefits were decent and the mon-fri 6am-3pm was an amazing schedule for retail work no weekends.,Got laid of with zero warning. Some managers took advantage of thier position and treated people horribly and I am a paratrooper and was infantry and have thick skin and they went above and beyond to assert thier dominance over you. It was mostly just cleaning up after employees who had no respect for other peoples hard work.,Lowe's
7,"""Lumber CSA""",4.0,sometimes good people to work with,Pay could be better. Need A better interview process. Hard workers don't get promoted or rewarded. Managers don't give feed back.,Lowe's
8,"""Good place for a student""",5.0,Lot of hours in season,Not too much hours off season,Lowe's
9,"""Kitchen and bath designer""",5.0,Desk and sales floor work. Design software training with no previous experience,"A lot of company wide changes, high demands/tasking",Lowe's
10,"""Lowe’s 2020.""",5.0,"I know what I need to accomplish, there may be interruptions, but that is ok. I get to help Customers find what they are looking for. We get to discuss options and their projects. I was given the opportunity to learn how to drive a forklift.","I am an older individual. I don’t have downsides. Look forward, find a way, pitch in, help out and the time flies by.",Lowe's
11,"""Favorite retail job I ever worked at""",5.0,"Decent pay, friendly coworkers, smooth workday",It was hard to get full time and also hours are all over the place,Lowe's
12,"""Excellent""",5.0,Plenty of hours to work there,Hours not guaranteed to work there,Lowe's
