,title,rating,pros,cons,company
0,"""Great""",5.0,Alignment with great opportunity and people,Better view of management styles,McKesson
1,"""Great Company""",5.0,Overall good company to work for,Really can not think of any,McKesson
2,"""Good company, but Pharma...""",4.0,HR has solid policies Smart workforce,"Pharma CEO overpaid arrogance (why can’t they be like Costco CEO...oh yea, arrogance/ego/millionaire lifestyle)",McKesson
3,"""More pros than cons""",4.0,"Set schedule, weekends and holidays off, not open late, lots of growth and advancement opportunities.","Lack of notice sometimes for information, client based, and changing contracts can cause quick changes.",McKesson
4,"""Great company""",4.0,Generous PTO Healthcare Benefits are the best in the industry Lower level management tend to listen to their employess,There is a disconnect between upper level and lower level management Networking and opportunities for advancement is challenging because there are too many satellite locations,McKesson
5,"""Best company, work-life balance""",5.0,"I've been with the company for only less than a year, but quickly realize it's one of the best places to work for. - Management constantly want feedback from employees - Work from home on Fridays, and other days of the week too when needed (fantastic work-life balance) - Very high ethnical company, all new employees required ethnical trainings. - Approachable management and team decision making. - Fantastic co-workers (very smart and friendly) - A lot of people stay with the company for a long time (some as long as 30+ years.) - Very mature company, and therefore, mature/responsible company, great culture too.",Of course there are cons: - Cheap coffee machines - Free food only on Mondays (and there're no snacks),McKesson
6,"""Great company to work for""",4.0,Good benefits at the company,Very large and bureaucratic,McKesson
7,"""Not bad for a call center""",3.0,Free Coffee. Great opportunity for entry-level.,Rigid call center structure.,McKesson
8,"""Excellent Co.""",5.0,"Good people, pleasant office environment.",Micromanagement By too many of the Sr. Management,McKesson
9,"""Great place is you are passionate about healthcare""",5.0,solid company big company - easy to move around,company politics do play in,McKesson
10,"""Great company to work for""",5.0,"Of course it depends on your department/manager but work/life balance, good laid back culture. Fair pay.",Constant changes at the top but some have not been bad.,McKesson
11,"""Clueless leadership""",2.0,Good benefits. Pay is good.,"The leaders are clueless, like talking to a wall. They don’t resolve any issues. A lot of talk about working as a team but it’s everyone for themselves. Employees are not trained enough to fully know what they’re doing, so nothing gets resolved. You get issues thrown at you that have nothing to do with your job. No work life balance.",McKesson
12,"""Enrollment agent""",5.0,Love my schedule and the opportunity,Held after shift ends do to lack off efficiency of the company,McKesson
13,"""no title at all cuz I was able to even fill out the application field""",2.0,No Pros because you won't be able to get through the application to do anyting,The main thing I cannot stand about submitting applications online because when you make your profile and then you put down your password every single time that you put down your password it never accept it and I always use over 8 characters always use of capital within the password or a numeral any other still say it was still going to set my password and I can't even get into the system unit make the applications,McKesson
14,"""Run for the Hills""",2.0,Great atmosphere and working conditions,"Corporate giant with eye on the bottom line at all times, forget the employee and work-life-balance",McKesson
15,"""Great team, great culture, easy job and good pay""",5.0,"Culture, my team is the reason I love working here",Call center setting lends itself to some constrictions.,McKesson
16,"""Fun company""",5.0,Freedom and flexibility. Ability to contribute to project. Job growth with learning tools,"For a healthcare company, medical is not that great as compare to my previous employer.",McKesson
17,"""Good job""",4.0,Good pay and lots of hours,Some of the people there weren't the greatest but that's everywhere. Not alot of places to move up to .,McKesson
18,"""Best Company for growth""",5.0,"Great opportunities for mentoring, they do evaluate your work and compensate accordingly.",is hard to understand the corporate structure.,McKesson
19,"""You get out what you put in.""",3.0,Solid company very cool people.,No training or real guidance when you first start.,McKesson
20,"""It is just okay""",2.0,"Flexibility to work from home. Flexible hours. I was fortunate to grow in my career by speaking up, and showcasing my accomplishments.","Unfortunately, to have to speak up and ask for a promotion instead of being recognized and given a due promotion is just reflective of McKesson's culture. McKesson does not provide career growth in a consistent, systematic way which means that employees feel de-motivated and overworked. In addition, my business unit had a lot of turnover, and a toxic work environment with an unbelievable amount of gossip and politics.",McKesson
21,"""Awesome""",5.0,Great place to do purposeful work Competitive benefits Leadership that cares,Difficult if not impossible to earn a promotion,McKesson
22,"""Pretty Good Place to Work""",4.0,Work atmosphere Work environment Team spirit Modern tech,Management is not open to change. Very little flexibility,McKesson
23,"""Senior Manager""",5.0,Great place to work. Great people. Great environment,None! Great pay. Benefits. People are great!,McKesson
24,"""Great Benefits""",4.0,"Benefits, people, flexible work schedule",Constant restructure led to dropped initiatives,McKesson
25,"""Analyst""",5.0,Good work Good Management and Good Team,Complex legacy system in place to fix,McKesson
26,"""Not enough work hours""",4.0,Coworkers. Good customers. Weekends off.,Not enough work hours at my location,McKesson
27,"""Great place to work""",5.0,Great place to work. I am excited to go to work every day.,Big company it takes effort to stay aligned. By and large McKesson does,McKesson
28,"""Software Engineering Internship""",2.0,The environment was welcoming and getting to know and experience office life was good,"Many of the projects were not well formed and as a result did not have much to do. Also, some projects used different technologies than what they were marked as.",McKesson
29,"""Fair""",3.0,Flexible and low stress environment.,Compensation below market and very little empowerment.,McKesson
