,title,rating,pros,cons,company
0,"""Great place to work""",5.0,Most employees stay at the comp6for many years and don't leave because of the great work environment.,Hard to work through the red tape to get new processes started,Merck
1,"""Positive Experience""",5.0,This company does quite meaningful work,The drug industry is rather unstable,Merck
2,"""Amazing place to work""",5.0,Extremely supportive and friendly people,I could not find any flaws,Merck
3,"""Enjoyable experience""",5.0,Good products and good people,Job security but it's industry thing,Merck
4,"""Great company""",5.0,"Company has purpose, great people and great place to work",Management is slow to implement new ideas that would help with efficiency and overall ease of getting work completed,Merck
5,"""Good company to work for""",4.0,Great benefits. Pension plan. Great products.,Territories are very big. They keep downsizing,Merck
6,"""Pharmaceutical""",4.0,Great benefits and great colleagues.,Stock shares are no longer offered as an incentive,Merck
7,"""Great Place""",4.0,"Great place to work at, great benefits",Promotion is a pain in the butt,Merck
8,"""Great people, career, and company!""",5.0,"Merck values its employees and tells them so in many ways. Lots of very smart and dedicated people at Merck. Work can be intense, but in a good and satisfying way. Always lots to be done. Professionally very stimulating/challenging environment. Great benefits! Insustry norm on payroll. Good employee retention. Best company I've ever worked for...wish I'd found this position 20 years ago.",Many approval levels can slow progress but company has an active program to speed-up workflow processes.,Merck
9,"""Good Career""",4.0,"benefits and pay, a lot of freedom",silly reports and busy work,Merck
10,"""Great Company That Hires Smart People""",5.0,"I've worked with some of the smartest, creative people at Merck.","Work, as always, gets busy and demand is great.",Merck
11,"""Critical Care Sales Representative""",4.0,"Company car, great benefits","Constant layoffs, no primary care pipeline or focus",Merck
12,"""management""",3.0,Longevity of managers can get to know them,low salary for employees. Raises are seldom,Merck
13,"""Merck is a great company to work for!""",5.0,"Diversity, culture, fun work environment",Training could be a little better!,Merck
14,"""Great customers. Not great management""",3.0,The people and customers are great,Very little recognition for employees,Merck
15,"""Senior Specialist""",4.0,Good benefits and compensation,A culture of silos,Merck
16,"""Great""",5.0,People are very nice to work with,There are no downsides that I can think of,Merck
17,"""QA""",4.0,All pros no cons great company,no cons to be listed,Merck
18,"""Horrible managers""",2.0,"Interesting research opportunities, some.great peers to work with",Some very incompetent managers who can't even communicate in English,Merck
19,"""Great, just shrinking fast""",3.0,Culture people products ethics values,Career stability new products coming out in primary care sector,Merck
20,"""Sales""",5.0,"Good benefits, products, work life balance",Pipeline looks poor Culture is low Micro management Rewards Personal,Merck
21,"""Great company to work for.""",4.0,"Excellent pay, benefits and work life balance.","Really none, but you have to play the game for advancement.",Merck
22,"""Best pharma in Jordan , A huge learning .""",5.0,"Huge learning feild, Professional experience",Lead by perception/salary is minimum,Merck
23,"""Good company""",3.0,good people to work with,Middle management needs communication improvement,Merck
24,"""Average and overrates""",1.0,Their MRL area has very knowledgeable people,"Red tape, favoritism, nepotism run rampant here.",Merck
25,"""GREAT!""",5.0,Good Employee Benefits Positive Work Env't,No Cons are currently applicable,Merck
26,"""Great company""",3.0,Culture and Solid portfolio of products,Vary by function and management structure,Merck
27,"""Good but Not Great""",3.0,Good place to learn and grow skills. Willingness to bring in folks from local affiliates to learn at HQ.,Promotion driven by Sponsorship- Culture of “who you know rather than what you know”.,Merck
28,"""Good place to work""",4.0,Decent benefits—great to start career with,Career development is not as easy to navigate...baggage of a big company,Merck
29,"""Great company - big company""",4.0,"So many amazingly smart people, willing to share their knowledge. There is a strong focus throughout the company on the ultimate user of our products - the patients. Large size means lots of resources to do many good things, including making treatments for some terrible diseases. CEO Ken Frazier is a truly inspirational leader!",Extensive hiring at Merck Research Labs in 2018 means many departments are fully staffed and promotion has become quite rare. Large size also means the tendency to add multiple (multiple!) layers of governance in pursuit of a perfect decision every time.,Merck
30,"""Great Entry Level Position""",3.0,Great Environment for growth within the company,Shifts can be a deal breaker for some. 12 hr 2-2-3 to stations,Merck
31,"""Great company - big company""",4.0,"So many amazingly smart people, willing to share their knowledge. There is a strong focus throughout the company on the ultimate user of our products - the patients. Large size means lots of resources to do many good things, including making treatments for some terrible diseases. CEO Ken Frazier is a truly inspirational leader!",Extensive hiring at Merck Research Labs in 2018 means many departments are fully staffed and promotion has become quite rare. Large size also means the tendency to add multiple (multiple!) layers of governance in pursuit of a perfect decision every time.,Merck
32,"""Okay place to work""",3.0,Great coworkers and work location.,Upper management seemed disconnected from local plant issues.,Merck
33,"""Great benefits, but work environment varies with department""",3.0,"Competitive salary, good healthcare benefits, opportunity for overtime.",Your experience is entirely dependent on management and coworkers. In one department I excelled and enjoyed working with my coworkers and management. I was then transferred to another department that needed the help and became incredibly unhappy due to coworkers and management that turned a blind eye to the things that were going wrong or people cutting corners.,Merck
34,"""Used to be a great company for which to work...""",4.0,Good pay and benefits for a rural area.,Can't believe a word from upper management.,Merck
35,"""Good Research Focused company""",5.0,"Research focused, innovative company. Strong pipeline",Usual drawbacks of companies that grow large,Merck
36,"""Good starting out""",4.0,Not a high pressured job,not enough pay to live in bigger cities such as Bay Area or Los Angeles,Merck
37,"""Very competitive  - you learn a lot""",4.0,"Very competitive place, you learn a lot","As long as you know how to manage time (work/life balance), I don't have anything negative",Merck
38,"""Great company""",5.0,"Great company with great culture. Currently going through a lot of changes, so a lot of moving parts. Changes are implemented with a view into the future. A lot of focus on the oncology franchise.","As changes are implemented, some jobs were illuminated. While it’s unfortunate, I feel that all pharma goes through restructure every couple of years, so it’s nothing that is specific to only Merck.",Merck
39,"""Mother Merck!""",4.0,"Overall, people are really nice and professional there. They promote work life balance and allows you to work remotely two days a week in most departments. Good benefits and they even have pension. CEO is a strong leader and genuine.",Sometimes too conservative and slow to make decisions. Dirty politics need to be played in order to get to the top and get recognized. Hard to move around within the companies unless you are in young age.,Merck
40,"""Good place to work""",4.0,"A great company, rewards efforts, encourages new ideas","Risk averse, too many layers of hierarchy",Merck
41,"""Toxic Work Environment""",2.0,"If you like cut-throat competition and back-stabbing, this is the place for you. The reputation of the company in the industry is great, but not much else.","Due to years and years of layoffs and contstant restructuring -- all in the name of saving money - everyone is on edge and worried for their own job. Lots of extremely catty women and insecure men jockeying to keep their positions before the next re-org. Truly a toxis environment. Leaders leaving left and right all because they would rather cut people than reduvce costs in other ways. Merck believes it's reputation is so great that they don't have to pay people as well as other companies because people want to work there so badly. Once hired, people quickly have regrets.",Merck
42,"""Good company to work for!""",4.0,"Work from home arrangements depend on what group your in. I’m allowed twice a week. Managers are very supportive of movement and advancement of career within the company. Working environment is good and the people I work with are great. Pay could be better, but for me there are more pros that offset that so it’s not as much of an issue. Bonuses have been good since the company has been doing very well.",Medical benefits used to be much better. Pay isn’t great for the experience and level. Other companies pay a lot more.,Merck
43,"""Stable company""",3.0,"Stable, steady, company with nice people",Comp could be better and work could be more interesting,Merck
44,"""Great Company with amazing benefits""",5.0,Rewarded for hard work and ability to manage your own career and future,Work life balance is not always the best,Merck
45,"""Excellent Place to Work""",5.0,- flexible work hours - supportive upper management,- you don’t see work colleagues often,Merck
46,"""Decent""",4.0,Good benefits and good job prospects to choose from,Overworked for the compensation. Everything is complicated,Merck
47,"""Good company but hard to climb ladder""",3.0,"Great pipeline, especially in Oncology",Too much networking emphasis. People promoted based on who they know and not their skills or merit,Merck
48,"""Great place to work with a noble mission""",4.0,"Talented, intelligent workforce. Great work environment. A noble mission undertaken in a way that values ethics. Excellent compensation and benefits.","Job security (reorganizatoins every few years), Too much outsourcing leads to a ""brain drain"" replaced by contractors. Too few women in executive leadership.",Merck
49,"""What's left of the mighty Merck""",2.0,"Great people, most laid off or left.",Nothing to sell and no pipeline. Oncology/Keytruda division has too many reps with no access.,Merck
50,"""Great company to work for""",4.0,"Great Culture, opportunity to grow, great benefits","Moderate compensation, large company hard to initiate change",Merck
51,"""Great Company""",5.0,Lots of freedom to explore new ideas,Very corporate HR department. Long hiring process,Merck
