,title,rating,pros,cons,company
0,"""need more pay""",4.0,good jobs and prestigious but needs more pay,"needs more pay, pays market but this is not a ""market' company...it's a top 3 bank.",Morgan Stanley
1,"""Good for Career Start, Bad for Career Growth""",3.0,"World Class Organization, Learning Opportunities, Culture","Bureaucracy, Unmet Promises, Promotion Process, Lack of Transparency",Morgan Stanley
2,"""Good working environment, motivated employee""",5.0,"If you work hard at the right division, you get decent rewards","High pressure, intensive work, some times hard to balance work and life.",Morgan Stanley
3,"""Good Firm, Good Culture""",5.0,Allow you to be a Culture Carrier of firm Very flat global organization Very client focused organization,No issues with the firm,Morgan Stanley
4,"""great time at this company""",5.0,even better poeple worked there,"super hard labor, like a siberian gulag",Morgan Stanley
5,"""Branch Wealth Management Office""",5.0,"There are some really smart people, open to helping you and good career opportunities.",In a branch wealth management office if you're not one of the top producers there isn't much focus on you. There wasn't great training or a focus on younger employees.,Morgan Stanley
6,"""Great Opportunity""",5.0,Flexibility with endless upside potential,Build a book of business from scratch is very challenging,Morgan Stanley
7,"""great company""",4.0,"i spend a long time there including in different regions, different teams across both technology and business unit. good mobility inside the firm if you are talented, lot of opportunities in different teams and regions, and relatively easy to move between teams and regions.","it's a big company so bureaucracy sometimes come into play, for example promotion process can be political.",Morgan Stanley
8,"""Ridiculous workload""",3.0,Decent pay and bonuses. Challenging work and intelligent co-workers. Respectable work environment.,"No assistant for a senior risk manager. Firehose of emails, conference calls, projects, time sensitive matters, constant emergencies. Manager roles in Branches are spread very thin. Doesn't allow for proper quality of work on many occasions. Difficult to meet deadlines without spending a lot of overtime. This role requires extensive travel which also cuts into the workload. Never ending, brutal, daily, ongoing cycle. It's fun for awhile but the charm definitely wears off. Work/life balance non-existent.",Morgan Stanley
9,"""Good Ideas but bad execution""",3.0,Firm is very flexible with time and work location.,Talent evaluation is shockingly painful.,Morgan Stanley
10,"""Okay""",4.0,It is a Prestigious Company,working hours can be tiring,Morgan Stanley
11,"""Good""",3.0,It is a Nice environment,it requires extensive Long hours,Morgan Stanley
12,"""Love working here!""",5.0,Great benefits. Supporting managers. No micromanaging. Great culture,Haven’t seen any cons yet.,Morgan Stanley
13,"""Flexibility""",4.0,Good working environment and flexibility,Lack of support for mobility,Morgan Stanley
14,"""good start of career""",4.0,street standard pay Competitive package for juniors good exposure Gym,not easy to switch team,Morgan Stanley
15,"""Good company""",3.0,Good pay and good office environment,Lot to learn in short period of time,Morgan Stanley
16,"""Good investment bank for fresh graduates.""",4.0,"Smart people. Depending on group you are in, some projects can be interesting.","This is a investment bank. Technologist, are treated secondary to business users.",Morgan Stanley
17,"""Looks great on a resume""",3.0,"Great perks for FTEs, such as free passes to National Aquarium, Maryland Zoo, etc., plus other perks throughout the year - I got 2 free tickets to the Kennedy Krieger holiday festival. Hours are very team-dependent - I work in trade support and work 9-10 hours per day - but the overtime is nice.","Pay is far lower than equivalent firms, so people with a lot of experience in finance go to other firms and great employees leave quickly to get paid more. People typically have too little experience, so clients and other brokers complain often about MS, which is humiliating if you care about your work. Employee morale is pretty low. There's a LOT of bureaucratic red-tape to work through in getting anything done because of different teams' responsibilities, which slows down our trade processing.",Morgan Stanley
18,"""Solid Introduction into Finance at Large Company""",4.0,Better culture compared to competition.,Pay less than average for similar positions in my location. Workload increasing in operations in effort to reduce costs with less workers.,Morgan Stanley
19,"""Not what it used to be""",4.0,Good Work life balance. Great people. Used to be top technical talent,No longer interested in retaining top talent. Moving IT out of NYC.,Morgan Stanley
20,"""Good Experience""",4.0,"Culture, mentorship and the team oriented environment",Not a lot of mobility,Morgan Stanley
21,"""Great Company""",5.0,They have a great company culture,They rarely give employees a part time option,Morgan Stanley
22,"""Good company to work for.""",4.0,Benefits are a good reason to work.,Workload can be a bit much at times.,Morgan Stanley
23,"""okay until it's not""",3.0,For the most part people are friendly and collaborative,constant layoffs and management keep the 'wrong' people based on personal relationships,Morgan Stanley
24,"""Underpaid""",2.0,Great people on the teams.,Underpaid and under appreciated by management.,Morgan Stanley
25,"""Morgan Stanley is a great company to work for""",4.0,It's diversified and have a lot of opportunities,I haven't come across any cons worth mentioning,Morgan Stanley
26,"""Good experience and would recommend""",4.0,"Good culture, enjoyed the people I worked with","Not the best hours, shifts are assigned",Morgan Stanley
27,"""Good culture""",3.0,"Friendly people, good management team",Slow to change. Legacy system,Morgan Stanley
28,"""FAA- Tough to make it""",3.0,Uncapped upside and very entrepreneurial,You are on your own,Morgan Stanley
29,"""Manager""",5.0,Culture at MS is very good,Compensation can be worked upon,Morgan Stanley
30,"""Morgan Stanley Operations Analyst""",4.0,Great PTO policy. Internal mobility opportunities,Promotion constraints based on time at the firm,Morgan Stanley
31,"""Big brand with corporate politics""",3.0,"A large company, lots of opportunities",a typical corporate culture where there are lots of ladders and politics,Morgan Stanley
32,"""Former marketing sales employee morgab""",3.0,Good pay Good bonuses Good work life balances,"Management isn’t the greatest, a lot to improve",Morgan Stanley
33,"""Excellent company, great benefits, smart employees""",5.0,"Morgan Stanley has an outstanding employee benefits program. There is an on-site gym in New York, and tons of sponsored perks (museum entries etc).",It's still a bonus-oriented culture and bonuses can vary greatly from year to year.,Morgan Stanley
34,"""Fmla and disability retialiation""",2.0,"You are not micromanaged, engagements, pay, vacation, volunteer yearly","If you use FMLA, short or long term disability, they will get rid of you, or not hire you permanent or give you a bad review to fire you.",Morgan Stanley
35,"""Decent company culture""",3.0,"Great pay, benefits, work perks, shops","Politics, stressful work environment, needs better management",Morgan Stanley
36,"""Average""",3.0,"Fun people to work with, flexible work schedule, vacation time is great.","Low pay, not much room for growth, high turnover.",Morgan Stanley
37,"""Good company and nice people""",4.0,"Good compensation, office, people, technology, work life balance","restructuring, growth opportunities, red tape, meetings, cost of living",Morgan Stanley
38,"""Decent, but too much required overtime""",4.0,"I get to work with great people (I love my team), there is a variety of work, lots of opportunities to work overtime, good benefits (I get 20 days PTO, 7 sick days, and 9 holidays).","There is very little work/life balance. I know some people who worked over 300 hours of overtime, and it's pretty much expected that you'll get at least 200 hours of overtime. 10+ hours of overtime are expected for months at a time. Too many people are hired as contract workers, but are never converted to full time so a lot of effort and resources are wasted training people who don't stick around.",Morgan Stanley
39,"""Lots of opportunities""",4.0,Able to move around many different roles Good trust in employees,Too many management changes at the time with little justification,Morgan Stanley
40,"""Please just don’t do it""",1.0,Large firm and well known,"The company is so bad at marketing it’s sad. It won’t get with the times. Cold calling and direct mail does not work. Seminars do not work. Nobody wants to talk to a Financial Advisor unless they have a CFP and have been in the biz for 20 years. Even then, they won’t want to talk. There’s no way a new financial advisor can meet Morgan Stanley’s sales targets, I don’t care how good of a salesman you “think” you are. Just don’t do this job, especially if you have a family. you are destined to be miserable.",Morgan Stanley
41,"""Great culture, low pay""",4.0,"Great culture, build talent pipeline",compensation is not competitive at all,Morgan Stanley
42,"""Know where your path wants to lead you""",4.0,"If you know that being a financial adviser is your path, you'll find the grueling program to be rewarding. However, if you're not sure, you'll probably find better mobility in other jobs. Good training.","Hours can be long, depending on team and their traditions. Limited internal and external mobility. Limited learning opportunities post certification studies.",Morgan Stanley
43,"""Account Review Unit""",2.0,"If you only have your FINRA 7 and 66 you can get your series 9 and 10. Mostly good coworkers. Good entry level principal work, mainly mindless work. Flexibility, not micro managed as far as breaks. Immediate managers care, even if other managers don’t.","Recruiters will lie to you about work from home. There is no work from home. Dishonest policies. Sweat shop mentality, understaffed so you will do the work of two people. Training non existent, policies change without communication. Opinions not valued, even though inexperienced leadership doesn’t understand the work. Monotonous work that rarely utilizes your licenses. Pay raises not fair, bad employees and top performers treated the same. At best this role is a place to get your licenses and move on as there is very little career advancement.",Morgan Stanley
44,"""Fast Paced Collaborative Environment""",3.0,Learning New Things Forever Evolving Opportunity “to do”,Rapidly Changing Organization is Hard to Predict,Morgan Stanley
45,"""Good brand name, terrible work-life balance""",1.0,"Good brand name, opportunity to work with smart people","Management does not care about employees, lots of layoffs in beginning of year to avoid paying out bonuses",Morgan Stanley
46,"""Highly Institutional Training Ground""",5.0,"Experience is group by group, but I had an excellent experience there with a very collaborative team.","Given the size of the institution, there is necessarily some bureaucracy.",Morgan Stanley
47,"""Business development""",3.0,Laid back People Put clients first Internal resources Facilities,Too many politics impacting advancement,Morgan Stanley
48,"""FAA""",4.0,Great corporate training program there,Old school mentality at branch,Morgan Stanley
49,"""Great company. Great people. Great benefits.""",5.0,"People, benefits and values. Felt very supported by upper management",Work life balance. Disorganized sometimes,Morgan Stanley
50,"""Good Place to Work, Probably Not As High Paying as Other Banks""",4.0,"Good Place to Work, Deal Flow, Team, etc.","Not as High Paying as Other Banks, Lack of Balance",Morgan Stanley
51,"""Good Company""",4.0,Great reputation good people No micromanaging,Very Political Bad lead generation structure,Morgan Stanley
52,"""good""",4.0,"Work Life Balance, good evniroment",Low Salary and not good for talent,Morgan Stanley
53,"""Great Place to Work""",4.0,Room for Mobility Great net Work,Promotions do not come with high pay raises,Morgan Stanley
54,"""Morgan Stanley""",3.0,The opportunity to progress career.,Compensation for those who are promoted from within is competitive to the external job market.,Morgan Stanley
55,"""Great company""",5.0,The culture is great. It's collaborative and supportive.,"As with every big firm, there can be politics.",Morgan Stanley
56,"""Good company to work for""",4.0,Good salaries and professional atmosphere.,"Too traditional office setting. Have to come everyday and sit on the same place. No cafeteria, gyms, or anything and formal dresscode.",Morgan Stanley
57,"""Just avoid it""",1.0,"None really, that I could find",Lays off people without any reasons,Morgan Stanley
58,"""Great job overall.""",4.0,Great team and very undertstanding.,Lots of dialing and a competitive work enviroment.,Morgan Stanley
59,"""Record Profits, Stiffs Staff on Bonuses""",3.0,"Great culture, colleagues, smart people",Huge hit to morale in virtually eliminating bonuses in record earning year,Morgan Stanley
60,"""Morgan Stanley""",5.0,"Good benefits, nice management, learning opportunities for younger staff",Internal mobility requires you to have been in your current role for 18 months,Morgan Stanley
61,"""Changing culture""",3.0,Competitive compensation and great technologists to work with throughout the organization,Slow moving / process heavy bureaucracy and risk adverse culture make getting basic work done a challenge,Morgan Stanley
62,"""Used to be a nice place to work""",3.0,Talented and smart people to work with.,The company doesn't care about its employees and proves it through compensation.,Morgan Stanley
63,"""Embrace the Grind""",3.0,Salary matches other IB and bonus varies due to department deal performance,"Consulting has higher initial salary, perks, and industry switch opportunities if you know you won't stay in finance",Morgan Stanley
64,"""Great training and great work environment""",4.0,"good pay, benefits, good people","yearly layoffs, little career path",Morgan Stanley
65,"""Decent treatment somewhat deteriorating lately""",3.0,Mostly above average quality people and healthy atmosphere.,Unrealistic expectations from various reorgs and agile like initiatives.,Morgan Stanley
66,"""Dont care about young advisors""",2.0,Good pay if successful,dont care about young advisors,Morgan Stanley
67,"""Review""",4.0,Old-fashion with rules and guidelines,The culture of employees’ professionalism,Morgan Stanley
68,"""Working at MS Finance""",3.0,Nothing that stands out in MS,Currently firing and laying off finance employees. Favoritism is in play.,Morgan Stanley
69,"""Run away while you can""",1.0,Some old guard is still there so one could learn a lot of classic technology solutions.,"There was a layoff in December when NY IT lost around 5%. Management openly stated that they wanted to reduce NY IT headcount by 25%. Same management now says ""not this year"", but probably lying. The Company had the best earnings ever but cut my bonus by third after ""exceeded expectations"" review. My guess others are way worse. Many mission critical projects are loosing the best engineers. One day - soon - something serious breaks that would put the company survival on the table. Upper management either has no idea how bad the situation really is or does not care. Run.",Morgan Stanley
70,"""Good employer""",4.0,Many Good benefits in place,Supervisors skills need to be improved,Morgan Stanley
71,"""Morgan Slavery""",1.0,Nice facility but that's about it.,You can call this place Morgan Slavery. That's about the extent to which they care about their employees. The people that work here are like robots and expecting all others to be the same by coming in and just working. Terrible work atmosphere. Worked as an intern doing audit work although my title was business analyst while getting paid $16 an hour. Got let go cause I had to miss work a few times cause my son was sick.,Morgan Stanley
72,"""Good place to work, if you happen to land a goodmanager""",3.0,"Good pay, Opportunities to move internally","Knee-jerk job eliminations/layoffs, Lengthy recruitment process",Morgan Stanley
73,"""Great opportunity to learn a lot of skills!""",5.0,"Great boss, was able to work with others and learn new skills",Sometimes things were difficult but mostly not bad.,Morgan Stanley
74,"""solid""",4.0,pay resume culture and the team supporting you,hours absolutely no work life balance,Morgan Stanley
75,"""Large Dedicated Group of Professionals""",5.0,Large Dedicated Group of Professionals,Same as other very large organizations.,Morgan Stanley
76,"""Wonderful experience""",5.0,"Very collaborative work culture and smart, thoughtful colleagues",Times Square location is not ideal,Morgan Stanley
77,"""Morgan Stanley Mutual Fund Processor""",4.0,"40 hours a week, never had to stay late. They offered to pay to allow to me to take the Series 7 licensing exam.",Financial Advisers can be extremely rude on the phone and minimal room for growth.,Morgan Stanley
78,"""Great Experience""",4.0,"Competitive pay and benefits with peer institutions Extremely intelligent and skilled co-workers Management makes a real effort to support work-life balance I can't speak for other managers/teams, but I love the MD that I'm reporting to and the team that I'm on Strong industry name recognition","Confusing RIF decisions given the firm's performance, and poor internal communication about rationales While benefits such as healthcare are industry competitive, the costs are still very high for what you get Weak 401k investment selection (broad range of funds, but all with ridiculously high expense ratios even on the index funds) No consideration that most employees are not the typical MS client (no breaks on the absurdly high $10.95 online commissions, very little access to no load funds with respectable expense ratios, no discounts on advisory fees)",Morgan Stanley
79,"""MS feedback""",3.0,WORK-LIFE BALANCE collaborative team members colloidal work environment,non-stop deadlines too many meetings ruthless corporate culture,Morgan Stanley
80,"""Company is great, culture has gotten not great""",4.0,"Innovation is welcomed, extremely diverse",The culture is work 27/7/365. Expect zero work/life balance. Don't die because they'll expect you at work the next day. High turnover.,Morgan Stanley
81,"""Pay sucks but good brand name""",3.0,People who work there are great,Pay is not good at all,Morgan Stanley
82,"""Very smart and driven technology teams""",4.0,Flexible office hours. Modern revamped office,"Inexperienced management, no formal direction",Morgan Stanley
83,"""Internship""",5.0,"Great experience, people, and projects",Unfortunately there is no free food,Morgan Stanley
84,"""Love working at Morgan Stanley""",5.0,Great company and great atmosphere,I don't have any cons,Morgan Stanley
85,"""Operations""",3.0,"People, work location, benefits, and time off","Work life balance, and low salary",Morgan Stanley
86,"""Greedy CEO""",2.0,Nice name to put on resume,"Very greedy upper management, constantly cutting costs and compensation to enrich themselves.",Morgan Stanley
87,"""Stay Away, Especially from GFC""",1.0,"You can wear jeans in the Baltimore office. Oh, and they do allow you to volunteer once a year and still get paid for the day.","This is the most oppressive workplace I have ever worked at - GFC is insanely political and there is absolutely 0 chance for promotion. I have been employed here for three years as entry-level, busting my butt and have not been promoted. The worst part is they have no logical reason. Also, you hardly get a raise, if you even get a raise at all. The management teams are like cliques and you need to do as you're told and not ask any questions at all that they don't like. I can't speak to the other departments within this firm, but as far as Global Financial Crimes goes - stay away.",Morgan Stanley
88,"""MS investment banking job review""",4.0,"Good money, interesting projects at times","Bad hours, unreasonable people to work for",Morgan Stanley
89,"""Nice Environment""",5.0,"Nice Environment, Good benefit,Good work life balance",Lack of training program for new hire,Morgan Stanley
90,"""Associate""",2.0,Compensation and benefits are very good.,Massive layoffs. There were 1500 people laid off in 2019,Morgan Stanley
91,"""It's an OK place to work with ridiculous bogies!""",2.0,The name brand is great and the girls working the cage were very helpful.,Management sets ridiculous bogies that are unrealistic to attain in the short amount of time they give. If you don't meet the financial bogies you get fired. Some managers are very aggressive with the FA's. They will almost always want you to hand over client money to third party money managers.,Morgan Stanley
92,"""Mediocre""",4.0,Got a lot of insight into the wealth management industry.,"No finance work, lots of cold calling.",Morgan Stanley
93,"""Good company with old technologies""",3.0,Good package and work-life balance.,Lack of cutting edge technologies/tools.,Morgan Stanley
94,"""Very Techie, but Management is MIA""",2.0,Staff is incredibly technical and compensation is above average. Good position for junior people and TAs who like in-the-weeds technical work and coding.,"Middle and senior management are mostly long-tenured techies with no 21st century IT management skills. No strategy, vision, or leadership. Major technologies are old (10+), proprietary, over-engineered and geeky amateurish. Out-of-box thinking is discouraged and viewed as a ""threat"". Professional hires with more real-world experience should avoid Morgan - they'll be frustrated by the lack of management sophistication and the absence of leadership and direction.",Morgan Stanley
95,"""Beware""",2.0,"Good Name, impressive resume, learned a lot",Stupid people. Entitled. Way too many ivy league that have no business being in banking.,Morgan Stanley
96,"""Difficult culture, despite many's belief otherwise""",2.0,Amazing benefits (as long as you know how to use the special perks!),"The culture still has remnants of another era - high competition, cutthroat managers, etc.",Morgan Stanley
97,"""A great place to work""",4.0,Overall a great place to work. Coworkers are professional and respectful. Less bureaucratic than other places.,Collaboration across regions are not smooth.,Morgan Stanley
98,"""Underwhelming""",3.0,Great training before your start date,Very old-fashioned ways of thinking,Morgan Stanley
99,"""The Critical Issue is the Absence of Leaders""",2.0,"Compensation, benefits, vacation days, unlimited sick, museum passes","There is ZERO leadership training. Upper management is filled with unqualified ""managers"" who should not be in leaderships roles just because they are more experienced. ""Managers"" have an absence of any sort of innate leadership qualities. Just because you can play the game, does NOT mean you should be a coach. &nbsp; They act like you do not understand, belittle your opinions, don't acknowledge your ideas, use your past to avoid their present wrongdoings and inject fear in you to conform to them . Teams consistently suffer from burnout, no one provides direction , people are constantly complaining about how unhappy they are everyday.",Morgan Stanley
100,"""Great place to start career""",5.0,Highly intelligent people / interesting work,There is a decent amount of bureaucracy,Morgan Stanley
101,"""Great company""",4.0,Great culture and atmopshere. Provides good work life balance for ops role,The people can be lazy,Morgan Stanley
102,"""Advisory with sales""",4.0,good culture and expectations are not too high,Monotonous at some points and not as much support from service and operations as there should be,Morgan Stanley
103,"""Good company to build up your career""",3.0,"Ample of opportunities if you can manage to find it, there is internal mobility",Frequent company reorganization may be a distraction/ frustration to some,Morgan Stanley
104,"""Politics""",3.0,Pay is more than it should be.,Leadership are all lifers playing politics with each other without any incentive to support their teams or understand the technology on which they are dependent. Management is excited about technical/digital buzzwords but so out of touch they hired a branding firm to revamp their website rendering it useless for the intended purpose of finding investment research.,Morgan Stanley
105,"""Credit risk""",5.0,Working on transactions without working investment banking hours,Tons of mismanagement and paper work make the job tedious,Morgan Stanley
106,"""Strong leadership""",5.0,Ceo has done a great job adapting Morgan Stanley for the post-crisis environment,Would love to have better food!,Morgan Stanley
107,"""Good environment, less than competitive salary""",4.0,"Great people, great environment, lots of diversity",Promotions have no compensation. No bonuses. Less than cost of living yearly increases. Refusal to negotiate pay.,Morgan Stanley
108,"""&amp; Years Working at Morgan Stanley""",5.0,Clean working environment. All very professional people to work with.,Working through a partner instead a direct report for MS.,Morgan Stanley
109,"""Highly political organization""",2.0,"Strong brand name, technology, client network","limited mobility among departments, large number of senior management people with no commercial contribution trying to justify their role, reliance on junior and inexperience personal to perform senior functions, politics.",Morgan Stanley
110,"""Great People, Interesting Work, Slow Advancement""",4.0,"I was paid a competitive salary and for the most part I really liked the people with whom I worked with the exception of my managers. With only a couple of exceptions over my 16 year career there, I consistently had poor managers who rarely had my back and seemed to be out for themselves. There was no meaningful feedback, no spirit of collaboration or team. But the company treated me well and I generally looked forward to going to work.","As noted in my Pros, I generally lacked trust in my immediate managers, they largely seemed to be looking out for themselves and not enabling or empowering their teams. It was also hard to advance and get promoted as it required advocacy of your direct manager. Seemed to be more a popularity contest than merit-based.",Morgan Stanley
111,"""Good training""",4.0,good pay and training for employees,slow processing times during hiring phase,Morgan Stanley
112,"""Breakdown of the structure at the MSVA(Morgan Stanley Virtual Advisory Center)""",2.0,-20+ days of PTO -A lot of flexibility with your schedule,"- Managers here are hit or miss I’m saying that on the basis that most of us have had every single manager here due to disorganization and restructuring. Some managers really want to see you grow while others don’t mind letting you sit in your role until you burn out and leave. - A lot of disorganization and misinformation, a lot of having to lie to clients because the firm doesn’t want you to tell them why something is being done to their account. - I would go on but I rather give advice. If you’re considering working here as a licensed agent and you’re unlicensed, my advice would be to come in and study really hard every day because if you don’t pass your test you’re pretty much fired I’ve seen this done with over 20+ employees. So study really hard and get licensed and then once you’re licensed I would start looking for another place to work. If you are licensed I would avoid this place all together. Take my advice however you want.",Morgan Stanley
113,"""Great place to learn and gain experience""",4.0,"Caters to their employees, believes Diversity and Inclusion, encourages mobility within the firm.",Does not use current systems.,Morgan Stanley
114,"""Strong brand name, weak structure for promotions/raises""",3.0,"Strong brand name, 401K match, good health benefits","Somewhat group specific, but path upwards is not clear, attending happy hours etc is weighed heavier than your actual contribution to the firm, promotions/raises reflect that",Morgan Stanley
115,"""Good to work""",4.0,Genuis and lot of learning space,NO fancy technology. Team work are not obvious,Morgan Stanley
