,title,rating,pros,cons,company
0,"""Great""",5.0,Love this company- great career opportunities,None at all- it’s great,Nationwide
1,"""Good company with good reputation in the industry.""",4.0,"Good Pay, Average Benefits, Liberal Vacation Time-Off.",Many political circles to navigate for promotion,Nationwide
2,"""It’s a good company but..""",4.0,"Technology forward, parental leave, good pay","Low opportunities for advancement, externals get more preference",Nationwide
3,"""Great place to work""",5.0,"Experience, Balance, Benefits, Management, Training","Pay, Corporate structure, Career advancement",Nationwide
4,"""Adjust properly homeowner claims""",4.0,Great benefits. They care about their employees.,Staffing issue. We are always understaffed,Nationwide
5,"""Great Company to work for""",4.0,"Very friendly environment, lots of opportunities for commissions.",Not too many opportunities for professional advancement.,Nationwide
6,"""Great Culture and People""",5.0,Nationwide has a great culture and if you work hard you will be rewarded. The size of the company provides opportunity to gain experience in many different areas. Nationwide takes great care of their employees offering robust benefits.,Just like any company there are cons. I would say the large size also can make it difficult to make a name for yourself outside of your current area if you are interested in learning something new. But this is a small thing in comparison with all of the good.,Nationwide
7,"""Good""",4.0,"Good foot in the door place. Friendly, non stressful work environment.",Pay is pretty low.,Nationwide
8,"""Good company to work for if  you are in one of the regional offices""",3.0,"Very fluid company. If you want to be in a constant state of change, you will love this company.",No consistency in underwriting or procedure,Nationwide
9,"""Depends on the supervisor. Hope you get a good one.""",3.0,"Decent, steady pay. Friendly coworkers. Cafeteria downstairs.","Micromanagy management. Fake care for employees everything is about profit. Will train you in multiple systems but will not provide raises for increased work load. Raise only when every single specific metric met. Everything, EVERYTHING, you do, every second of every hour, is monitored.",Nationwide
10,"""Great company to grow with in Columbus""",3.0,Great engagement and communication. Work flexibility is great.,Culture has changed to being more about production than quality compared to prior years.,Nationwide
11,"""Customer service""",4.0,The schedule was always flexible,One of the cons was the salary,Nationwide
12,"""Great culture and benefits""",5.0,"Culture was great, benefits were great, management was supportive","Tended to only invest in the Ohio locations, and are continuing to slim down other campuses.",Nationwide
13,"""Unstable job security""",3.0,Financially sound company. Great people to work with. Excellent brand.,Very unstable environment. Layoffs have been continuous for at least the last 5 years. Company does not utilize their own talent management system to retain top talent.,Nationwide
14,"""Just Started""",5.0,"Great benefits, good pay for entry level, great company and office culture","Long interview process, but worth the wait.",Nationwide
15,"""Overall decent but room for improvement""",3.0,"Easy going and slow paced environment. Could also be a con when trying to implement change that would positively impact the company. Very aware of work life balance, which is the best thing about their culture. Training opportunities is probably the best in the area.",Security department seems to be behind where the rest of the company is maturity wise. Still going through constant reorgs with a lot of management not having a background in the space.,Nationwide
16,"""Sales Sales Sales""",4.0,"It’s a small office environment, the group becomes like family. The better you become at sales the higher earning potential.",Management is dependent on your success so they are like eagle eyes at all times.,Nationwide
17,"""Stay Away""",1.0,Got to work with some great colleagues,Agency Owner was a thief,Nationwide
18,"""Great company""",5.0,Great company for those that can sell,None. Very good to work for,Nationwide
19,"""Money before customers""",2.0,"Nationwide allows employee to work remotely up to three days a week, which reduces the stress of commuting everyday. There is access to a two story gym in both the Des Moines and Columbus campuses.","Over the last year, Nationwide has gone from a customer service driven company to a money is all that matters mindset. The room for advancement within the company has become very difficult within the last year. Bonuses were once a year, and very minimal for associates. Merit increases are less than the inflation rate, which has caused leaders to suggest to associates to leave the company and return so they can have the ability to re-negotiate their salary.",Nationwide
20,"""Great Company""",4.0,Really love the culture and great people,Career growth is all about who you know,Nationwide
