,title,rating,pros,cons,company
0,"""Nike Farmington Review""",5.0,Work environment is like a second home. Coworkers and managers are caring and helpful.,I don't have any cons for this job.,Nike
1,"""NIKE is a lifestyle. It’s fast , it changes , it challenges you . So be ready !!""",5.0,Good pay in comparison to others . Good benefits,"There is always a mountain of work , which can be good and bad .",Nike
2,"""Great part time job""",5.0,"Culture was great, discount was amazing",pay was not the highest,Nike
3,"""Great company to work for""",4.0,work life balance amazing people lots of perks good benefits,the analytics group if fractured with lots of 'in' fighting,Nike
4,"""Great company to work with great benefits""",5.0,"Great benefits, some of the best I have had anywhere I worked. Retirement, stock options, Clothing - Great Brand - Shoes - Meet great people - Work in the community","You can end up just a number, they are also a very very politically correct company.",Nike
5,"""Overall great place to work""",4.0,"Friendly people, decent work / life balance.",Moving up in the company can be hard and take a lot of time.,Nike
6,"""Back of house""",4.0,Great discount and work environment,No room to move up in company.,Nike
7,"""Great place to work""",5.0,Excellent culture and beautiful work environment.,Layoffs can happen unexpectedly in any department.,Nike
8,"""athlete""",4.0,The people and work environment and being able to go out and do community service. Very fun place to work.,There are no cons. Everything was great.,Nike
9,"""Amazing Job""",5.0,Great working environment. The company really cares for its employee.,Very competitive in moving up in the company.,Nike
10,"""Good Job""",4.0,"Good Discount, Great Co Workers Keeps You Entertained","Low Wages, Inconsistent Scheduling and Hours",Nike
11,"""Nike Rocks""",5.0,Good management and great benefits,Not much that I can really think about,Nike
12,"""Awesome""",5.0,It is a family-like environment. The management is very understanding and helpful.,well.... the normal struggles of retail,Nike
13,"""Summer associate""",4.0,Flexible shifts chance of promotion,long shifts long hours,Nike
14,"""Fun retail environment""",4.0,It is a fun retail environment,Sometimes understaffed and lack of communication between management and employees,Nike
15,"""Neanderthal Micromanagement""",5.0,Employee Store is a blast,"Calls in the middle of the night, loss of sleep, scowly faced managers",Nike
16,"""Part time athlete""",5.0,I am a people person,Great benefits and great pay,Nike
17,"""Good as long as you're ""In Favor""""",3.0,"An incredibly creative and educational place to work. You learn so many business and communication skills, while managing the coolest projects in the world. These are certainly covet-worthy jobs. Great benefits and perks.","Game of Thrones is real, and it is called Nike. This company is extremely bureaucratic, with too many hoops to jump through for any decision. If you're not part of the favored group, you're made to less than - Indespensible, of no value on your own, and like you should be happy to just have a job. Over the years it became more of a popularity contest vs spotlighting real talent. Work/life balance is extremely poor. Great internal culture is talked about, but not carried through by team leaders.",Nike
18,"""Best company to work for""",5.0,75k people organization constantly innovating and killing it,Portland can feel remote from major hubs,Nike
19,"""Great surroundings""",4.0,Good managers Easy schedule changes Great environment and coworkers,Low pay Short breaks Lazy managers,Nike
20,"""Not Worth It.""",2.0,You get the employee discount ( 50% off ),"You only get paid minimum, You don't get very many opportunities to advance in the company, It's very competitive, You get treated like children, Managers Micromanage you all day. The managers swear that their employees are #1 to them but we're not.",Nike
21,"""Decent Retail Job""",3.0,Pros are that they do emphasize on bringing premium service to the consumer. Direct deposit every 2 weeks and they pay your training that they refer to as RTC or Rookie Training Camp as well as any training or store meeting which is pretty early hours. You'll love coming to work to see your co-workers and some consumers make your day when you're able to talk to them on slow days. Management can definitely improve on deferring from favoritism and only picking on those who are not. They can also work on having the leads actually contribute to the sales floor and not just micromanage or walking around ordering people to do minimal tasks they're capable of. They're big on receiving feedback referred to as pulse shout outs which are then read out loud the following day so make sure you make an effort to give good service and get recognized by the consumer filling that survey out. They also do tend to use gift cards and food or additions to the break room as incentives to win contests such as being the store that sells the most gift cards during holiday season or who can keep up perfect attendance meaning punch in on time and be on the floor ready on time. This is a great job for students and people who are hesitant on retail because I found this retail job to be less strenuous than what I heard most retail jobs are and a decent pay. You get to say you work for NIKE which is a great accomplishment seeing their applications and interview hiring process is competitive.,"Again, favoritism plays a big role depending on which store you are at. As much as they emphasize on premium service, they are always either out of sizes or don't sell the merchandise consumers come in. You'll get reprimanded by the coaches or leads if you come in with dirty sneakers, not the right uniform or if you're not in the zone you're assigned. Really hard to grow and stand out in retail if you want to grow within the company. Again, it's about favoritism over professionalism in some stores. Seems to be more geared towards sneaker culture and folks who want to use their employee discount to get some new sneakers and less on the sports/athlete environment.",Nike
22,"""Nike Dallas NorthPark""",5.0,"Really fun, high energy work environment.",Hourly / Annual wage is a little low.,Nike
23,"""Prepare to drink the Koolaid""",3.0,Ability to grow; fairly good pay; great vacation benefits (although you don't get to use them),"Sycophancy is a requirement for long-term success. Incompetent leaders; favoritism; long hours; no loyalty to employees; culture of arrogance; ageism is rampant except in upper management, where old-boy's network is entrenched; ""dive and catch"" superstars are rewarded at the expense of dependable workers, even when they create the emergencies they solve at the last second.",Nike
24,"""Very fun and exciting place to work""",5.0,"Fun atmosphere, good deals, flexible scheduling",On your feet a lot,Nike
25,"""Great""",5.0,The discount was great to have,The hours were too long,Nike
26,"""Nike was a great experience""",4.0,Culture and brand name were great for me.,Managers are heavily biased towards particular employees and gave them more leeway.,Nike
27,""".""",4.0,Positive work environment and fun job,Too structured/closed towards new talent with previous work experience,Nike
28,"""Direct""",5.0,"Friendly environment, and welcoming culture. flexible with scheduke","standing all day, retail pay is never good.",Nike
29,"""A Great Company, that doesn't pay well but has many perks.""",4.0,"Great Atmosphere, Great Discounts and knowledge.","Every employee starts as seasonal and then the staff decides if you get ""Kept"" after your 90 day probationary period. There is limited opportunity for lateral growth within the brand.",Nike
30,"""Nike Part Time Sales Associate""",4.0,"Awesome coworkers and discount, it's a really cool company with an interesting background. Nike does a lot for the community, and their program with children is so fun and just awesome in general.","Understaffed, sometimes expect you to do way more than you should be, cliquey management",Nike
31,"""Company Values""",5.0,I love the work ethics that surrounds the company’s values. It begins with the history and continues through all locations to this day.,There honestly aren’t any cons associated with this company.,Nike
32,"""Great company""",4.0,Great discounts and benefits.,Long shifts for part time position.,Nike
33,"""I was an ETW through a third-party employer.""",3.0,Salary. Experience. Network. Some perks.,Commute was bad. Department I worked for had very poor leadership and poor communication. Too many unproductive meetings. Leadership was unorganized and overstretches.,Nike
34,"""Good job if in school""",3.0,"Diversity, Coworkers, Benefits, Can be fun, Culture","Management, Scheduling, Under Staff, Lack of communication,",Nike
35,"""awesome""",5.0,"great management , great staff, comfortable environment",nothing bad to say about this company,Nike
