,title,rating,pros,cons,company
0,"""Great Environment""",5.0,Work Life Balance Travel Perks Benefits are competitive Great corporate culture,A little clique-y They don't share their pay with each other which I feel could turn the corporation unintentionally toward a pay gap,PepsiCo
1,"""Good benefits and culture, slow-going work""",4.0,The benefits and work from home options are good,"The work seems to be very slow-moving, the company is mostly older people",PepsiCo
2,"""Great Pay""",5.0,Great talent in organization to drive business,"Not many , work hard good company",PepsiCo
3,"""Great company""",5.0,Good compensation and act like an owner mentality.,Long hours sometimes and some micromanage,PepsiCo
4,"""Good place""",5.0,Really good pay here I like it,A lot of hours and no breaks,PepsiCo
5,"""Long Hours""",4.0,Flexible hours and leadership experience is given quickly,"Long hours, on call at all times , major holidays must be worked with no additional compensation",PepsiCo
6,"""Good Place To Work""",4.0,Good Company to work for,None really besides possible forced OT.,PepsiCo
7,"""best job""",4.0,pretty cool place to work,i haven't had any problems,PepsiCo
8,"""Lacking direction""",4.0,"Good benefits, family oriented company","Not receptive to change, leadership does not change for years on end",PepsiCo
9,"""Warehouse Supervisor""",3.0,"Money, Room for advancement, ability to transfer locations","Long Hours, difficult working with employees",PepsiCo
10,"""Solid Company""",4.0,"Culture, decent benefits, some schedule flexibility depending on role","cross-functional exposure, developmental opportunities, personal development support, HR",PepsiCo
11,"""Great job""",3.0,Good pay and benefits,Management Treat long term employees better,PepsiCo
12,"""Overall good""",3.0,"Pay, Flexibility, upward mobility, benefits","Stress, hours, management, facility, recognition",PepsiCo
13,"""Working at pepsico""",5.0,"pay, benefits, the people you work with","possible long hours, no personal vehicle",PepsiCo
14,"""Back-breaking work, beware""",3.0,Can rack up a lot of overtime and some days will be easy,Sometimes you will have 12 -14 hour days and still not be able to finish your daily work,PepsiCo
15,"""good place""",4.0,good all around job and company to work for,nothing to think of at the moment,PepsiCo
16,"""Decent money""",3.0,Home every night and decent money. Since the New plant manager has taken over things are starting to look better.,"Most management shows favoritism, the harder you work the more work you get. The only time things run smoothly is when the higher-ups come in town and everyone starts doing what they're supposed to do. Until they get rid of the good old boy club., there is no moving up.",PepsiCo
17,"""Good Company""",4.0,Product line was competitive in the market.,Work life balance was tough. Structure of sales team to merch team made accountability tough to enforce.,PepsiCo
18,"""Not a bad place to work good pay""",4.0,Pay is good lots of overtime,Lots of hours depending on department and seniority,PepsiCo
19,"""Great Place""",5.0,Great place to begin your career,none that I can think of,PepsiCo
20,"""Great company to work for""",5.0,"Compensation, nice folks, etc, plenty of work hours available, allowed to work independently as an adult...",Lots of work hours if that is a bad thing for you.,PepsiCo
21,"""Great people, but politics and opportunities prevent growth""",3.0,"The people at this company are some of the kindest, supportive, and most cooperative people that I have ever had the pleasure of working with. Everyone is always looking to make things work better and solve problems.","HR here is very difficult to work with. Any time it comes to compensation or promotions, the company tries to have as little interaction with the employee as possible. You are essentially told your salary with no room to negotiate. Rules are put into place to keep you at a role for certain periods of time however, these rules are unevenly enforced and allow certain people to advance faster than others.",PepsiCo
22,"""Great Company""",5.0,Great place to work and grow,There was not a lot of cons,PepsiCo
23,"""Great place""",5.0,Great people. And good benefits,Not many cons. Pretty flexible,PepsiCo
24,"""Good Job""",5.0,"Good Pay, Good People, Good Opportunity",Union Style Structure Without Union.,PepsiCo
25,"""Best company ever""",5.0,Everything has been wonderful highly suggest,Nothing has occurred so far,PepsiCo
26,"""Merchandiser""",1.0,Good pay and benefits along with low supervision of management,Employees aren’t treated equally and tend to pick favorites for promotions along with outside hires,PepsiCo
27,"""Great place""",5.0,Great place and outstanding environment,Nothing negative that comes to mind,PepsiCo
28,"""Good company, lacks future direction""",5.0,"Good pay, good benefits, challenging work",Constant reorganization in North America,PepsiCo
29,"""Good Humans, Good Work""",4.0,"Challenging work, interesting work, collaborative, good colleagues, good work/life balance, ability to telecommute a fair amount",difficult to move up to higher management. paltry raises.,PepsiCo
30,"""General Labor/ Building Maintenance""",5.0,Great culture and fair treatment to it’s employees.,Opportunity for advancement into an administration position,PepsiCo
31,"""Terrible""",1.0,Good pay,They dont care about you Worked for 5+ years and new mgmt comes in and fires me,PepsiCo
32,"""Get to learn a lot from this company""",4.0,Make a lot of money,You will get mandated alot,PepsiCo
33,"""Great company with upward mobility""",5.0,"Upward mobility, creative excellence, positive culture, no one treats each other different no matter your level, solid work life balance","A little too top heavy, jobs begin to thin out at Director",PepsiCo
34,"""Great Company to work for.""",5.0,Nice people and environment. Work Life Balance.,Promotional opportunities are less than desirable.,PepsiCo
35,"""Overall, good place to work.""",3.0,"Good place to work, good people.","Better pay, more opportunity for growth.",PepsiCo
36,"""Admin assistant""",3.0,Some assistants have flexible schedules ...you can negotiate a decent salary.,"Company does not treat admin roles or any L2, L3, L4, L5 roles as significant. No growth or development. Basically you are insignificant and irrelevant, not considered part of the team. If you have skills, look elsewhere as their year end rating process is not for the lower levels, especially admins.",PepsiCo
37,"""Great company for the right person - NO work/life balance""",3.0,"Great benefits and perks, corporate campus is beautiful, work is challenging and exciting.",Absolutely NO work life balance. You are expected to be in the office at least 10 hours a day (when you arent traveling) and you will be looked at cross-eyed if you actually leave at 5 (regardless of what time you came in). And dont even think about taking advantage of 1/2 day fridays in the summer.,PepsiCo
38,"""Worked in Plano Tax Dept. Horrible Team and enviornment.""",1.0,"Great benefits, good overall PepsiCo culture",Very micro managed team environment. Your hard work will not get appreciated by your manager and upper management. You will stuck in your role for years without promotion.,PepsiCo
39,"""Good Work Environment Good Team""",4.0,Good Team that promoted growth at all times.,Minimal work life balance.,PepsiCo
40,"""Lots of physical work""",3.0,Weekly pay 2 days off per week (Either friday/Saturday or Sunday/Monday),Long hours Early start times (4am or 5am) Very physical 1 week of PTO after 6 months,PepsiCo
41,"""Great Company to Work With""",5.0,Above the average Salary and performance bonus,"On my site, management need new people to bring new ideas",PepsiCo
42,"""No career here for IT people""",2.0,"Flexible working schedule and location, great people.",IT has been totally or nearly outsources; impossible to work with imbeciles; layoffs every year,PepsiCo
43,"""Relatively new, going well""",4.0,"Flexibility, rotational, strong culture is present",Pay is probably slightly below market,PepsiCo
44,"""Its what you make it""",4.0,Home everyday. Decent pay. Take care of their employees,Hard work. Can be long hours,PepsiCo
45,"""Great company with good benefits and perks""",5.0,"Good management, great schedule with weekends off, good commission structure",Long hours during holiday weeks,PepsiCo
46,"""management ruined my life""",2.0,"Great company. learn alot of how to be great at sales, as well as how to be a territory sales manager, too.","pay declined every single year. personally, my tsm didnt do his job. He ran the business like the mafia ""keep it in house"" Any issues you have with your merchandiser, they will never be addressed due to the TSM- this is not speaking of all tsms, just my experience. I would advise anyone, to never trust anyone! Do your job, take pictures . Deal with some down right nasty customers. They will treat you bad, some store mgmt memebers get too big of a head, and treat you like trash! A lot of stress managing a route, and keeping customers happy",PepsiCo
47,"""Long hours, weekends, and lack luster support""",2.0,Pay and benefits are good The expectations are low Lots of opportunity to advance,"Large portion of employees seem to not care If you're new, you will be on an off-shift with a lack of support People pass their problems onto others constantly instead of owning them Union employees are very protected, and implementing change is unheard of",PepsiCo
48,"""High likelihood of working an off-shift and the weekend""",2.0,They offer competitive pay and benefits. You start with 3 weeks of vacation.,There is a terrible lack of work-life balance. You'll likely work an off-shift for multiple years as well as be required to work a weekend rotation.,PepsiCo
49,"""Company Culture""",3.0,"Smart people, challenging roles allow for learning &amp; development.",Lacking team culture and work/life balance doesn't exist.,PepsiCo
50,"""Millennials Dream""",2.0,"If you’re in the program, results don’t count. Average is the new excellent. You can move on before the results come in, never having to be accountable. Every thing about the company is window dressing.",This company subscribes to the theory of chaos creates a competitive workplace. Blame lies with whomever is subservient.,PepsiCo
51,"""OK company""",4.0,Flexible working hours and friendly coworkers.,"Not so great pay, and heavy workload.",PepsiCo
52,"""Boring Job""",3.0,"Working on your own, some freedom to do what you need to do that make sense for your route. Done early in the day.","Waiting on late deliveries. Having to write orders 48hrs out. Company never meets with employees one on one to discuss, their performance, aspirations or paths to new positions within the company. Higher up jobs are filled from college intern positions not from current employees.",PepsiCo
53,"""No work/life balance AT ALL""",1.0,"Okay starting wage, benefits are good and affordable","Work life balance, upper management",PepsiCo
54,"""Sales Representative""",5.0,Great work environment PTO Nurse on staff,Very hectic at times,PepsiCo
55,"""Company is always going through restructuring""",2.0,Very good work and days off benefits. Good insurance. Average benefits.,Company has off shored many of their jobs to India.,PepsiCo
56,"""go for it""",4.0,Competitive pay rate for this line of work,long hours of work. Personal time needs to be sacrificed.,PepsiCo
57,"""Great Company""",4.0,"Career growth, if willing to relocate",Growth depending on who will sponsor you. If you do not have a person who will help you move up you will not be promoted,PepsiCo
58,"""It's a great place to earn good money.""",4.0,"Great pay, job security, will help you get in shape","Very little upward mobility, equal pay for unequal work",PepsiCo
59,"""...""",5.0,Work/Life Balance and Opportunity for growth,Under compensated for the variety and complexity of responsibilities,PepsiCo
60,"""Great place to work""",5.0,Great work atmosphere. Enjoyed working for Pepsi,None There are no cons,PepsiCo
61,"""General manager""",4.0,Good benefits and flexible,"pay is low for the job title, management is sometimes unreal",PepsiCo
62,"""Pros""",5.0,Flexible hours and Monday through Friday,Have to deal with customers daily,PepsiCo
63,"""Good Benefits + Experience""",4.0,"Strong resume builder, as there are plenty of ways to get promoted. Teaches you customer relationship building.",People are not held responsible for their actions. Hard to make a lot of $$.,PepsiCo
64,"""Not the place to work if you have experience""",3.0,Corporate lifestyle. They preach work/life balance but there isn’t much time for that.,Up at 430am get home after 6pm. Working some weekends and holidays. No work/life balance whatsoever.,PepsiCo
65,"""Great place to grow your career""",4.0,"Competitive salaries, great benefits, flexible schedules for most teams",Long hours required to stay ahead of job demands,PepsiCo
66,"""I was terminated for violating a company policy that had never been updated, after I was told that I did nothing wrong.""",1.0,"As long as you don’t have a life or any other obligations outside of work, then it’s a decent place to work.","Forced to come in four hours early and/or stay four hours over, mandatory. Forced to work 80+ hours per week. Huge lack of communication in every department.",PepsiCo
67,"""Great place to work""",4.0,Place has good benefits and takes care if it’s people.,"Somewhat regular management turnover, other employees with less perspective on what a ‘hard’ job cause some drama",PepsiCo
68,"""My salary at Pepsico""",5.0,Great benefits and salary. The people are also very nice.,Very demanding work. High pressure environment.,PepsiCo
69,"""Not a place to grow""",1.0,A check every week. Paid holidays,Insurance cost too high for the pay. Cost Over 100.00 a week for benefits so your net pay is too low.,PepsiCo
70,"""Overall feel""",4.0,work on projects more independently.,Need to be flexible with your time.,PepsiCo
71,"""Good""",4.0,"Great people, good hours and family environment",Managers cared for themselves,PepsiCo
