,title,rating,pros,cons,company
0,"""Great Opportunity""",5.0,"Work/Life Balance, Career path development",They closed our office location,Pfizer
1,"""Great OTC brands""",4.0,Great company with nice benefits,Large company many layers,Pfizer
2,"""Toxic culture""",3.0,"Good facilities, flexibility, benefits and paycheck.","Too much politics and no results. Commitments that never happens and no one is accountable at the end. Only if project is a success, everyone wants a piece of steak. In the meantime, you are alone. Everything relies on external contractors that keeps recycling.",Pfizer
3,"""Good company""",4.0,Good benefits and good people,Big corporation so things can take time.,Pfizer
4,"""Great Company""",4.0,"I&amp;I division has a great culture, the company offers wonderful benefits and compensation is improving.",pipeline is a few years before new products,Pfizer
5,"""Loved working here!""",5.0,"Highly recommend. Great work life balance and employee perks. Room for growth! Clean environment, up to date systems, plenty of staff to support projects, realistic expectations. Only reason I left was due to relocation.",Nepotism is obvious at times,Pfizer
6,"""Pfizer is a great company to work for""",4.0,Flexibility. Family oriented. Room for growth,Down sizing. Growth opportunity training,Pfizer
7,"""Good place, nice people""",4.0,"Community, culture, flexibility for working hours","pay isn't that great, expensive area to live in",Pfizer
8,"""Really enjoyed this internship- Learned a lot!""",5.0,Felt very valued at the company and that they were really investing their time in you. Provided a lot of activities for the interns. Overall great summer internship!,Just need to take initiative and let your managers know you want to be challenged,Pfizer
9,"""Pfizer Enzymology""",5.0,Great collaborative environment is the general work culture,Some are very competitive within Enzymology,Pfizer
10,"""People""",4.0,Nice people to work with,Frequent reorganization. Unclear strategy of current upper management.,Pfizer
11,"""Manager""",3.0,Allows for ideal Work life balance,Salary policy allows for immense salary discrepancies among people in same job with same responsibilities,Pfizer
12,"""Amazing company to work for but tends to have slightly lower salaries/pay raises than other pharma companies""",5.0,401k match + lump sum Great people and products Amazing maternity leave,Very hard to substantially raise pay. pay is lower than other pharma companies,Pfizer
13,"""Predictable Schedule, Good Benefits""",4.0,"Decent team dynamic, good benefits (salary, 401k, healthcare, PTO, bonus, flexible scheduling)","Slow moving, very siloed, lack of vertical/horizontal mobility",Pfizer
14,"""Great  place to grow""",4.0,"Flexible schedule, room for growth","Micromanaged by department head, a lot of work",Pfizer
15,"""Great company and""",5.0,"Compensation, hard work is rewarded","None, work life balance could be better at times",Pfizer
16,"""Formerly Wyeth. Bought by Pfizer. Left when office closed in 2006.""",5.0,Interesting. Learning experience. Great people.,Heavy work loads for everyone. Very high stress work environment.,Pfizer
17,"""Wonderful Company, Okay Location""",4.0,-Strong and growing culture -Helpful people,-Bureaucracy is rampant -Management is overburdened,Pfizer
18,"""Independent worker""",4.0,"Team player, organized and independent",They will eliminate positions and leave employees out of work after a long working history. No loyalty.,Pfizer
19,"""Tons of great training""",4.0,They provide you with best in class and virtual training.,Lay offs are always part of this career. Territories seem to change and expand a lot.,Pfizer
20,"""Great people to work with""",4.0,"great co-workers, excellent pay and benefits,","slow to promote, expensive locations to live in",Pfizer
21,"""Meh""",3.0,Pay. Benefits. Future opportunities. Prestige.,"""Silo""/non-cohesive departments. Inefficient work environment.",Pfizer
22,"""Great environment, great people""",4.0,"Great people, good opportunities, large company","Favoritism, not enough promotions for hard workers",Pfizer
23,"""Excellent place to work""",4.0,Pfizer is a large and diverse research driven company. There are always new projects to work on and lots of opportunities.,Working at a large company can feel like you're just another ant in the anthill. The salary also seems to be lower than competitors although there is increased job security.,Pfizer
24,"""Data Science Manager""",5.0,Very Flexible Awesome benefits Great Work Life balance,Few people are technical so it's hard to share ideas in Data Science A lot of meetings A lot of regulations to keep in mind to get things done,Pfizer
25,"""Encourage mediocrity""",3.0,Job security. Pfizer is a big name for your resume,They don’t pay for nor care about performance. They are paying for a nationwide loud and repetitive message to docs by a ton of reps. They don’t need performers,Pfizer
26,"""Great place to learn""",4.0,Benefits and ability to move up,Sometimes overly large company atmosphere makes getting important tasks done on time a challenge,Pfizer
27,"""Great Company to work for""",5.0,Great leadership with great vision,difficult to come up with any,Pfizer
28,"""Great Place to work""",5.0,Great work/life balance and work from home,Very political when interviewing for jobs,Pfizer
29,"""Great company great pay""",5.0,"great pay, company car, tons of other perks","tough quota, and career advancement is based on how you rank against your peers which do not have the same quotas or territories",Pfizer
30,"""Good Company""",4.0,Good Benefits Start with 3 Weeks Vacation Friendly Colleagues Dedicated Team,Long hours for salaried employees,Pfizer
31,"""Nice place to work""",4.0,"Benefits, salary, vacation time off",Restructure and reorg every two years,Pfizer
32,"""Exciting mission and challenging work!""",5.0,"Benefits, work life balance, growth opportunities, leadership support, engaging work",Nothing that I can think of right now.,Pfizer
33,"""Project Manager""",4.0,Great health plan and benefits. Excellent work environment. Strong Quality and EHS culture.,Hard to get promotions and salary increases even with increased responsibility. Not so easy to get things done.,Pfizer
34,"""Salary""",4.0,"Great training, superior products, smart hard working teammates",Slower decision making and communications process,Pfizer
35,"""Part time work from home""",5.0,"Continual development programs, rewarded for team interaction, and communication between all levels of management.",Inability to work more from home.,Pfizer
36,"""All Talk No Action""",1.0,Outsiders view working for Pfizer as a good thing.,Low interest in supporting new ideas despite a non-stop insistence on innovation. Many instances of internal politics and bickering killing valid and useful projects. Total lack of trust given or deserved at all levels.,Pfizer
37,"""Lean and Mean""",3.0,"Good people, good total reward package","Hard to navigate, no road map up",Pfizer
38,"""Great place to work""",4.0,Great overall atmosphere. Management is very flexible and cares for the employees.,Not always at the cutting edge of technology. Too many reorganizations.,Pfizer
39,"""Very Good Company""",4.0,"Excellent benefits, co-workers and culture","New CEO and ELT are making huge changes. Not sure if they will be the right changes for Pfizer, but time will tell.",Pfizer
40,"""Fire your bad managers!""",4.0,Exciting Science takes place here!,"Managers/ Leaders conducts favoritism, racism without any fear or shame! They assign the high profile activities to their favorites regardless of their ability or work ethics. I was eager to learn new technologies all the time but I would be told by my manager that I don't have experience, hence, I can not work on that. But before my eyes I would see that the opportunities are going to pretty looking white girls/ boys regardless their experience or expertise! But my manager never saw a need for me to have experience with menial, tedious works! Also, I knew one very smart colored scientist would develop challenging methods and the author names would be assigned to the whites!",Pfizer
41,"""Great job""",5.0,"Excellent benefits, good management, gained further skills",Occasional long hours but not on a regular basis,Pfizer
