,title,rating,pros,cons,company
0,"""Amazing company""",5.0,Great company with hard working people. Opportunities to grow within the company are always there if you’re willing to continue to learn.,Sometimes timelines are very demanding .,Phillips 66
1,"""Great Place""",5.0,"People, pay, culture, challenges",The only challenge was long Hours,Phillips 66
2,"""Well Paid for Laid Back Work""",5.0,The pay and bonus structure is hard to beat.,It is a traditional company at the end of the day.,Phillips 66
3,"""Antiquated""",3.0,"Operates lean, good co-workers, ok benefits.","Most managers don't have working spouses so company is not very family friendly. If your kid is sick you take a vacation day. Yet, salaried people are required to respond to emergencies 24/7 without pay as well as being on call for work support 24/7. You may support an incident in the middle of the night or weekend with a 8-12 hour window without compensation. There's a few jobs that senior employees can do outside of Corp HQ but those opportunities are only provided a few select key males. Males seem to be promoted more readily than females with similar skill sets. Also, although there are more and more female employees in technical roles I won't share my job title or location. I can easily figure out who posted review for other locations since there aren't that many females in Tech roles.",Phillips 66
4,"""Job""",5.0,"Great benefits, safe work environment",None that I can think of,Phillips 66
5,"""Terrible - Mgmnt is even worse""",1.0,It paid the bills . It was great ...... 20 years ago . Now ..... not so much !,Where do i begin ? Lots of hours to work . Work life balance is horrendous . Management . Instead of advancing they promote people who never even worked in that craft . Backstabbers around every corner .,Phillips 66
6,"""Great employer""",4.0,"Very friendly, reasonable manager. She was very understanding and made work enjoyable",Super busy on weekends could use a third employee for a few hours,Phillips 66
7,"""Good Place to work !""",5.0,"pay, benefits, people, culture, rotation","Mid-level Supervisors, Interacting with those in the Corporate office, seems like everyone is trying to be the smartest in the room",Phillips 66
8,"""Commercial Experience""",4.0,"Amazing headquarters, one of the most established trading presences on the block, assets in many different regions, resources","Conflicting cultural ideals, phasing out of the old mindset of siloed operations and groups, collaboration moves at a slow pace, zero sum game mindset, one of the lowest base pays out there",Phillips 66
9,"""Good Company""",5.0,Great Benefits High Pay Excellent Training,work/life balance days off are scarce,Phillips 66
10,"""Good start""",5.0,"Compensation packages are exceptional. Base salaries may not be on par with Google, but additional benefits add up fast. Bonuses are usually 10% and often better, up to 25% of base. Stock options (Restricted Stock Units, or RSUs) are awarded twice a year (the target varies, but so long as the company is doing well, the target is usually exceeded). The company offers a dollar-for-dollar match on 401k contributions worth up to 6% of your base salary, which is outrageously high for the private sector. And on top of that, P66 has the white rhino of private sector benefits: a pension, and it vests after just 3 years at the company. Additionally, that pension plan includes more stock options, called ""Success Shares"" that are dropped into your retirement account based on the overall performance of the business. Altogether, these financial benefits can easily be valued at 50% of your base salary, and the longer you stay, the better it gets. With the exception of refineries in New Jersey and California, most offices and facilities are in relatively low-tax, low-cost-of-living locations (especially HQ in Texas, a state with no personal income tax). Since the company is situated in the ""midstream"" (pipelines) and ""downstream"" (refineries, retail) segments of the energy industry, its stock price isn't heavily dependent on the price of oil; it's a company that takes oil &amp; gas in, and then sends it back out as a new product, taking a relatively consistent margin all the time. This protects the firm's value - and therefore the value of your RSUs - against most market volatility. Yes, the company loves to talk up its employee-centric culture. But they back that up by comping people fairly well. It's the kind of chatter that I've heard before at other places, but it always sounded hollow when your sole benefit was something like a 2% match on 401k.","Limited vacation time (usually 10 days), but the company does have 10 dedicated holidays (Christmas, etc). Also, some jobs are eligible for the ""19/30"" program, which gives you an extra day off each moth so long as you work 8.5 hours per day (instead of 8 - up to you if you'd want to do that in any given month).",Phillips 66
11,"""Maintenance Engineer""",5.0,"Great Pay, Job Security, Hard Working Culture, Safety Oriented, Tons of opportunity for Field Experience, Tons of Opportunities for Learning, Tons of great management career paths available","40+ Hours Normal, lots of engineering and management personnel turnover, 45min from Starbucks, not as many engineering subject matter expert paths available as management paths",Phillips 66
12,"""Cashier""",5.0,Good atmosphere Great service best team,Services Gas pumps team work,Phillips 66
13,"""Good, solid company""",4.0,"Team-oriented environment, friendly, nice people.",Technology and culture stuck in the 90s,Phillips 66
14,"""Fantastic Company; Invaluable Experience""",5.0,"Managers are personable, approachable, and knowledgeable. They share anything they can to help you learn and be successful. They treat you as if you’re a full time employee and a part of their team. They invest in you and your learning and growth. Doesn’t get much better than this.",None. The internship was fantastic.,Phillips 66
15,"""Great company to work for!""",4.0,"Benefits are robust and competitive; gorgeous HQ building with many amenities, employees are warm and supportive, strong vision from CEO and executive leadership; very strong safety culture","risk adverse culture, still prevalent presence around ""old O&amp;G leadership mentality""",Phillips 66
16,"""Big company, big problems""",3.0,A huge player in the market place means P66 offers tons of opportunity to learn and be exposed to the industry.,The company is going through a digital transformation and company moral is being drained,Phillips 66
17,"""Great place""",5.0,"Great company, great benefits and cultural","Not much overtime, restricted call outs",Phillips 66
18,"""They seems like a great company""",4.0,-Veterans of the field are taking the time to train me in a way that is very comprehensive. Great turnover so far.,-Working around hot machinery can suck.,Phillips 66
19,"""Great benefits!""",3.0,Great benefits package. One of the few employers still offering a pension.,"Going through a major ERP transformation and the project management, planning and training has been poor. Rotations are not always timely.",Phillips 66
20,"""Awesome Company""",5.0,Great Benefits and Great Pay,Working shift work can be tough on your health and family.,Phillips 66
21,"""Low wages""",2.0,Good for part time job.,Over worked and under paid.,Phillips 66
22,"""Glad to be Retired!""",3.0,"Pay Benefits ""While Employed"" Good People in the Field to work with!","Very Poor Retiree Medical Benefits, If Any after retirement. ($3400/month for Retiree Med Insurance for family) Outsourced Benefit Management",Phillips 66
23,"""Always expanding""",5.0,The growth of midstream is really impressive,So far there have been no drawbacks,Phillips 66
24,"""Overall, great compensation, great team, poor company culture""",3.0,Network team is wonderful Great people Learned a lot,The company culture overall is declining People are getting overworked People are leaving like crazy,Phillips 66
25,"""8 person team""",3.0,exciting work - technical environment. division worked as a team,very political environment and the team players don't always have your back,Phillips 66
26,"""Okay Place to work at""",3.0,Great pay to start off,A lot of stuff to learn in a short time,Phillips 66
27,"""it was a job""",3.0,it paid. never got robbed,it was working as a gas station. the places down the street got robbed.,Phillips 66
28,"""Sometimes............""",2.0,The Pay Scale is very good,Management could work with the workers more,Phillips 66
29,"""Amazing company, amazing opportunities""",5.0,"Well-defined culture that's marked by a willingness to get the job the done, not letting co-workers down and safety. The hands down, best medical insurance plan ever. Awesome benefits - especially 401k match",Slow to incorporate new technology. Salary doesn't look great on paper you need to look at the comprehensive benefits package to get the full picture of compensation.,Phillips 66
30,"""Perfect job if you can handle some stress""",5.0,"Benefits are great, compensation is area-leading","Rotating shifts, work can be stressful",Phillips 66
31,"""Excellent Benefits, Family Feeling""",5.0,"Some of the best people I've had the opportunity to work with! Not to mention an excellent 401k, Pension, health, etc.",Lots of changes going on through the company,Phillips 66
32,"""Good benefits""",1.0,None not a fan at all,Having 9/80 long hours,Phillips 66
33,"""Stepping Stone To Greatness""",1.0,Getting to go home at the end of the day. New Showcase building in the middle of west chase.,"Silo'd managing ensures that once you are in Operations, you are there to stay. They hire outside to promote to try to stay fresh which is a literal ""ticket to ride"" for turnover. Nobody wants to stay at an organization that doesn't respect career longevity and promote from within. This practice of pigeon-holing Midstream Operations employees has plagued this organization for decades. They bring in managers that are destitute, they even have BP guys there who were fired over Deepwater. The place is a joke when it comes to honoring commitment. They give you plaques and certificates but then turn around and hire outside. That’s not how business works. So this is a great place to do 5 years and then leave for “the bigs”. Until they get serious about promoting the right way, they will continue to be middle-of-the-road in the Petroleum age.",Phillips 66
34,"""Great place to work, but if you are a great employee and stay there too long they might just lay you off.""",3.0,I loved working there. Great upper management and people. I worked my hind end off and got promoted for it.,"I worked my hind end off and got promoted for it. As usual, some bean-counters came in and thought the company could save some money if they laid off about 15 percent of the work-force.",Phillips 66
35,"""Can't complete with Bay Area wages""",2.0,19/30 schedule 401k matching Good internship program,High intensity work compensation is not hour for hour Can't compete with Silicon Valley benefits and compensation,Phillips 66
36,"""Great people""",4.0,"Great people, If you were willing to move, there are lots of opportunities for promotion. Lots of responsibility and interesting work.","As in any company, some supervisors are better/easier to work for than others and are more or less supportive. The company is currently rolling out an initiative focused on leadership behavior.",Phillips 66
37,"""good job""",4.0,"well led, CEO knows what he doing",some minor log jams when it comes to advancement,Phillips 66
38,"""Process Operator""",3.0,"Pay, 401k, vacation, bonus, pension","Management, constant changes, shift work, 12hr days, forced overtime",Phillips 66
39,"""Current Help Desk Agent for Phillips 66""",4.0,"Great benefits like pension, excellent health insurance, many opportunities for advancement, and good salaries.",Very political which can make advancement difficult; people get burnt out answering calls which consistently have the same resolution; the helpdesk is manned 24/7 so working overnight is possible.,Phillips 66
40,"""Good pay and opportunities""",4.0,"- higher than average salary for the industry - great benefits, including pension plan - exposure to all levels of plant leadership - multiple locations to fit any lifestyle",- some departments can be toxic depending on location,Phillips 66
41,"""Change is scary, but often necessary""",4.0,Going through massive digital transformation - tons of opportunities for motivated employees to evolve their career and land far ahead of where they'd otherwise be. Right now it is possible to have a notable impact as even a individual contributor.,Transformations are tough. There are people used to the status quo that refuse to adapt. The company is also a big ship with a large turning radius. Old tendencies like consensus building for even the smallest of decisions are hard for the organization to shake off and impede progress. Uncertain where the company's culture/values where land on the other side of the transformation.,Phillips 66
42,"""Amazing company""",5.0,Great company with hard working people. Opportunities to grow within the company are always there if you’re willing to continue to learn.,Sometimes timelines are very demanding .,Phillips 66
43,"""Great learning experience and great people!""",4.0,"- Great people! Most people are high-performing, driven individuals who are willing to go out of their way to help you. - Great learning experience. The company invests a lot of time and money in helping new hires learn the technical information they need to succeed. - Great benefits!",- Overloaded with too many projects - Position can be very demanding,Phillips 66
44,"""great company, great place to work,""",5.0,"great salary, great benefits, bonus, team are very close,safety","spend more time with co workers than family, a lot of procedures",Phillips 66
45,"""Management  at p 66 horrible""",2.0,Great benefits retirement and pension,Management is totally disconnected from workers and whats really going on in field,Phillips 66
46,"""Enjoyable place to work and learn""",4.0,"Great culture, good work/life balance. Lots of opportunities to learn and continue to grow","Management doesn't listen to employee suggestions very well, and there are issues with work distribution.",Phillips 66
47,"""It a great company""",4.0,"Benefits, pension , matching 401k, wages",Control room manager makes job tougher than it needs to be.,Phillips 66
48,"""Great place to work""",5.0,Pay and benefits were good but have been better.,Overtime is mandatory most of the time.,Phillips 66
49,"""Great company""",5.0,"Pay, benefits, bonus, safety culture",Occasional long hours due to turn arounds,Phillips 66
50,"""Great stocks""",3.0,"Great stock sharing, free meals often","Average compensation, nepeotism of course",Phillips 66
