,title,rating,pros,cons,company
0,"""Good Place to work""",5.0,Most of the People here are Great.,"Level-ism, if a person at a higher level is Positive or Negative about you or your work, then it is True for Most. But, there are some, who will make certain the truth is known.",Proctor & Gamble
1,"""Good benefits and compensation, but competitive pressure to overwork yourself""",4.0,"salary, benefits, flexible vacation and work arrangement options","competitive, limited promotion over career",Proctor & Gamble
2,"""When you have the right manager - GREAT COMPANY""",3.0,Great culture overall Great pay &amp; benefits,Older managers set in their ways and unwilling to rock the boat to welcome new ideas to embrace efficiency.,Proctor & Gamble
3,"""Great Company for a Career""",5.0,Clear path to growth which is great,Could make the assignments bit more challenging,Proctor & Gamble
4,"""very good place""",4.0,very goop place to work,There is no cons at the place,Proctor & Gamble
5,"""Union is a joke""",2.0,No pros for the Oral Care site,"Union at Oral Care hurts the site. The beauty care site didn’t have a union and has better benefits, wages and hours. You are a robot at work.",Proctor & Gamble
6,"""Amazing people, amazing company""",5.0,-Truly amazing people -Great employee retention -Clear career planning -Good compensation,"-Expected to move a lot if in sales -As with any big company, it's hard to feel like your daily job moves the needle",Proctor & Gamble
7,"""Spent 3 years applying to company, 3.5 years working for company and quit.""",3.0,"Security of P&amp;G umbrella, stable company, can relocate within company, given a lot of autonomy.","Slow to innovate (slower than competitors), locations are typical very rural, terrible work life balance, band curve compensation with no financial incentives till 7-10 years in the company and terrible hiring experience.",Proctor & Gamble
8,"""It’s an okay place to work at, but I don’t see a future there.""",3.0,"It’s okay place to work, if you’re interested in looking at and inspecting packages all day. It can be boring at time, but the great part about this place is that everyone seem to be really nice.","Working as a temp... you only make $7.90. I get that the job is bare minimum when it comes down to work, for 12 hours? Yeah, the pay could definitely be better.",Proctor & Gamble
9,"""Great Company""",5.0,Very professional work ethic in all aspects,"Very by the book work ethic, no bending in any way",Proctor & Gamble
10,"""Great company to work for""",4.0,"Great to learn, different experiences across business units. Overall positive work environment. Fair compensation.","Few levels so takes many years 5-10 to get a promotion. Not a lot of HR involvement to manage performance, very discretionary based.",Proctor & Gamble
