,title,rating,pros,cons,company
0,"""Customer Service Analyst - Awesome job!""",5.0,"Everyone here is so nice, and is more than willing to help you. I had 6 weeks of sometimes intense, classroom setting training and it was so great to start out and be apart of a job that actually cares. They very much rely on values here, which is so awesome. I love it here. The work/life balance is good too.","It can be tough at times, but you have all of your resources there for you.",Progressive
1,"""Amazing company""",5.0,Support and opportunities are endless for everyone,Because the company puts such Emphasis on diversity some employees take advantage of that.,Progressive
2,"""The progressive way""",4.0,"The pay is above par, the benefits are great, and the gain share at the end of the year is the icing on the PRG cake... the company is all about inclusiveness and the flexibility they have with scheduling options is beyond impeccable.","Working from home can get rough at times, my supervisor wasn’t very warm or approachable. I personally think he was put in that position hastily as he is not a people person and that is something you need to be when your whole team is virtual. If it wasn’t from the lack of support from him I would probably still be there.",Progressive
3,"""Great Company""",4.0,Progressive really cares about helping their employees succeed. It's very easy and welcomed to move up in the company. A lot intelligent folks. Great bonuses.,"Lacks competitive pay and is located in Cleveland, OH",Progressive
4,"""Great work-life balance""",5.0,Strictly remote other than appearances. Very easy going with personal appointments or engagements. Caseload is manageable.,No say in who your assistants are. If you don’t love insurance defense it gets very boring.,Progressive
5,"""Metric based""",4.0,"Work, life, balance is pretty good",Workload is extremely high and not measured appropriately,Progressive
6,"""Good place to work""",4.0,"Culture, upward mobility, good management",Pay is less than competitors,Progressive
7,"""There's Progress @ Progressive""",5.0,Great environment to grow from entry level to leadership. The company welcomes team member input and utilizes it regularly. Flexible schedule. Competitive earning and benefits package.,sometimes leadership may push for excellence and it feel as though theyre cornering you.,Progressive
8,"""Great place to work""",5.0,Great benefits and good salary. Plus you can work from home eventually. Training program is good also.,Not very many cons. Love working here.,Progressive
9,"""Okay company if you get a good manager""",3.0,Great company great benefits Gain share bonuses nice,"Poor management, they put people in management who have no idea what their doing and if you try to move to a different position they will stop you. There is no work life balance. If you get assigned to work a Saturday you will never get off of it and Saturdays are extremely understaffed",Progressive
10,"""BI""",2.0,They have Great pay and benefits.,"Overworked, high expectations, Little time",Progressive
11,"""Great culture""",4.0,Great people and good work life balance,Difficult to advance due to company size,Progressive
12,"""Ok""",3.0,Supportive work culture &amp; good benefits,Really hard core sales environment.,Progressive
13,"""Claims Process""",5.0,Diversity and Inclusion. Challenging work environment,Promotional opportunities are not there.,Progressive
14,"""Good place""",4.0,Really liked working here. They are able to help move you along in your sales career.,Very high pace and you have to be willing to adjust on the fly.,Progressive
15,"""GMAC""",3.0,"Good training, teaches basics in Insurance industry","Bad leadership, management in sales department wasn’t very good",Progressive
16,"""Pretty Good Place to work""",4.0,Great Salary and Bonuses. Good place if you can work independently.,Very high volume environment. Some people can't handle that kind of stress.,Progressive
17,"""Good company - work life not for me""",3.0,Company cares about their employees and invests in their training and well being. Plenty of room for advancement if you enjoy working in claims and are interested in moving up the ladder.,"The nature of working claims in and of itself. You are dealing with people who are not happy with anything that you do for them. Insureds will tell you it's not their fault for an accident and lie. Claimants will demand you pay for their damages and lie. Customers don't know their own insurance policy in general. I left because of dealing with customers. This is no fault of Progressives just the nature of the job. Progressive is growing at a very high rate and the workload can be very demanding. They are hiring to meet the demand ,however, during peak season we were averaging about 8 claims a day - if you had to stay late there's no overtime because it's a salaried position. Essentially, the job is a lot of angry people calling you and thinking that they deserve the world. You are on the phone 90% of the day getting statements and ""investigating"" an accident or returning claimants messages that call you non-stop because they think they're not at fault. Overall, employees either love or hate the job.",Progressive
18,"""Claims Culture""",3.0,"End of the year gain share, and work perks","Claims is a sink or swim department. Very stressful, long hours and unrealistic metrics",Progressive
19,"""Great place to work""",5.0,Great place to work in Progressive,Salary could be better in Progressive,Progressive
20,"""Great beggning into the insurance indurstry.""",4.0,"Training at Progressive Insurance Tampa/Riverview location was impressive to say the least. Trainers where very entertaining, helpful and yet still very professional and helped create a great culture for the class. To my surprise, the majority of the class, myself included, had never worked at a call center before. The first week we hit the floors, 3 people from my class size of 12 left the job. Myself, coming from the food industry, I was pretty much okay with anything that didn't involve tips or commission. This job will provide you with a great culture, decent pay depending on your perspective/budget, flexible schedule and room for change after a year on the job or so. With that said, it's still a inbound call center, and Progressive thinks they have cracked the code to the customer wallet so you WILL have to follow their method, now called the progressive ""philosophy"". Some people where fine with it, others quit because of it, either way its a great beginning. It's insurance sales, so it will become very boring very quick, and when there is down time, you have nothing to do. If your cool with that, enjoy a great career with Progressive!",Read review above it includes both pros and cons,Progressive
21,"""Great culture""",4.0,great culture. great opportunities great senior management,benefits are okay. earned time paid off,Progressive
22,"""good company for a first job""",4.0,Good benefit and good people,Bad location and limited opportunities for career advancement,Progressive
23,"""A lot of work""",3.0,Great pay and a nice bonus. Very flexible,This company will over work you. No work life balance and is number driven.,Progressive
24,"""claims""",5.0,"Good pay, time off, weekends are rotating","busy, stressful, angry costumers, lots to do",Progressive
25,"""Claims handler""",2.0,"Decent pay, work from home","Managers are clueless, reps have to train themselves",Progressive
26,"""Awesome Company To Work For""",5.0,"Flexible schedule, competitive pay, growth opportunities",Number of vacation days earned per month,Progressive
27,"""Good starting point""",3.0,Great training. Coworkers make it enjoyable.,Crazy workload. Nepotism can be a problem.,Progressive
28,"""favoritism""",1.0,Good pay for it being a call center,"If you dont have a family and your single, this is the place for you",Progressive
29,"""Culture is every""",4.0,Lots of opportunities Manageable work load Awesome co workers,Pay needs to be re-evaluated,Progressive
30,"""Heavy workload""",3.0,"Benefits, pay, gainshare bonus, work schedule, culture","Heavy workload, stress, no breaks",Progressive
31,"""Application""",3.0,Good company to work for,Lots of people applying for one position,Progressive
32,"""A good job but needs major tweaks""",3.0,Ability to work two days from home is nice. Schedule has a little bit of flexibility if you need to come in late or leave early for occasional appointment. Gainshare is great bonus.,"This company has become so cheap to them point where it is rather shocking. Everyday we have more important features needed to do our job taken away from us, all so the company can save a buck. Office chairs are broken and there is a year waiting list for a new one which is insane. Workload is becoming impossible but yet all they do, in order to save money, is shift the workload around, so then a different department gets swamped. That or they come up with small ridiculous things for the cp to do which still fails to address volume. The way we are taught to negotiate claims is not realistic. If we have the authority to settle something, let us settle it. Management and supervisors desperately need to realize that they are NOT the ones that are on the phone and home constantly back and forth with these attorneys. It's a classic example of things looking much easier than they are.",Progressive
33,"""Medical Rep""",3.0,"Work from home options, no micro management , good bonuses","Getting a promotion can be difficult. They don’t care how well you perform on the job , it’s all about if you can interview well. Nepotism exist! Supervisors have no leadership experience, you work over 40 hrs per week without extra pay! People constantly go on leave due to the stress of the job. If you miss one day or get sick you will be behind. Management waits till you’re drowning in claims to step up.",Progressive
34,"""Company has the right outlook, just needs to be executed""",4.0,"Tuition reimbursement, PTO, Access to training classes, CEO is taking company in right direction. Gain share program is nice.",A lack of technical expertise with individuals. Dead wood and unmotivated employees. Due to bureaucracy of the company often times projects take much longer than they should. Also often times employees that want to work and make a difference for the company cannot do you millions of policies that prevent the person from doing their job efficiently. Not enough automation is being used or is this being pushed by management. Getting promoted can take a while even when an employee is well qualified. Also there tend to be several people who abuse the PTO policy and are not disciplined for this. Excessive absences translate into low productivity.,Progressive
35,"""To be very honest""",3.0,The staff are friendly and generally all get along well,Not much work and personal life balance it’s very challenging to keep up with the demand of the job and day to day responsibilities.,Progressive
36,"""Never boring and challenging while helping people""",4.0,"Progressive is extremely open minded and accepting of everyone. Core values and objectives are actually strived for. Enthusiasm at the top trickles down. Lots of flexibility. Work from home options available which means, little to no stressful traffic. The day goes by extremely quickly to the point where you often say, ""where did the time go?"" Mentally stimulating.","It's a team environment in a stressful role. Helping customers in the claims environment is challenging at times. There can be a lot of ""call outs"" from peers. This role is not for the weak minded or the sensitive. You're helping people in their stressful situations- daily. So if there's a weak link in the chain on your team-it's often burdened out to the stronger links. And if you're not able to multitask efficiently- this role is not for you. Sedentary at times depending what your title is.",Progressive
37,"""Great Benefits""",3.0,"Staggered hours, health and dental insurance",Open most days like day after Thanksgiving,Progressive
38,"""CSR""",3.0,Great atmosphere to be in,I need something different for myself,Progressive
39,"""Great benefits and pay, but still a high volume call center""",3.0,"***Read this review if you have time, it is pretty long. *** Great 401k match at 6%, affordable insurance packages and additional employee related benefits, affordable in-site gym, full service cafeteria are some of the amenities. Gainshare (8%+ of your earned salary for just being an employee if the company profits) Easily accessible supervisors and offline time for personal or professional development are available. Lots of company sponsored lunches. Working from home available for certain positions. Once you leave work, you leave work. You do not take anything home with you.","Behind all the smiling faces and internal support, this is still a high volume call center. I will admit, they will try to make you feel that it isn't so during training, and you may even believe it, but don't. You can expect to take up to 80 calls per day. Imagine a job where a ""slow"" day is waiting 4 or 5 minutes before you get your next call, THAT'S how busy it is on a regular basis. If you have been trained to handle specialty policies, expect no downtime. To survive Progressive, you MUST like people or have a VERY high stress tolerance. Many systems and practices are very outdated in comparison to the rest of the insurance world. It seems that every week we have to do something manually or inform the customer that we're unable to fulfill their request (in real time) because of some system issue. Progressive also does not train their agents so expect to correct a lot of mistakes, most of which end up costing the policy owner more money and you get to be the one chosen to have that conversation with them. Attendance point system is a joke. Full day absences and tardies both count as a full point, and you may only have 5 within a year before you start to receive warnings or disciplinary action. A simple ""documented conversation"" may bar you from advancement. HR does not really help if you need accommodations. Your voice does not matter in the HR world unless you are complaining about another employee. If you want any kind of accommodation; whether it be ergonomic or to save yourself from their ridiculous attendance policy, you need either an ADA form or FMLA (which you must be employed for a year or longer, and they may approve or deny at their discretion). Doctors notes don't matter. They still use STAR for career advancement to current employees.",Progressive
40,"""Great company / Tough Job""",3.0,flexible hours good benefits great atmosphere great career development,high stress quick learning curve gets overwhelming at times,Progressive
41,"""WORKLOAD""",2.0,"culture, work enviroment, coworkers, pay","work load, schedule, management, micromanaging",Progressive
42,"""Really liked it""",4.0,"Friendly, Diverse, Understanding, Nice, Professional","Reviews, Schedules, Desks, software, supervisors",Progressive
43,"""High turnover""",3.0,"Good benefits, great training and great pay",Typical call center structure with scripting,Progressive
