,title,rating,pros,cons,company
0,"""Great place""",5.0,Awesome work environment and great leads,Very flexible with time an you can do whatever,Prudential
1,"""Director, Compliance""",4.0,"benefits, work environment, colleagues, work location flexibility.",currently restructuring with unknown ultimate end state.,Prudential
2,"""Trade Operations""",4.0,Good Pay Opportunity to move up Good People Good Work Life Balance,Same thing everyday Can be very political High pressure low reward structure to job Some excellent mangers and some terrible ones,Prudential
3,"""Customer Service Representative""",5.0,There is nothing negative about this company.,They treated their employees fairly with respect.,Prudential
4,"""Decent place to work""",4.0,Great Culture - the people are genuinely nice work life balance is a plus Manager Support - managers actively try to support you Mentally Challenging - Actuarial work can prove to be a good brain work out Work has impact - you can see immediate results of your work in the business unit,Inefficiency - the infrastructure is outdated. Tech resources are lacking Communications - cross team development not there Learning Opportunities - nonexistent. Having so many actuaries and analyst you would think continuous education is a forefront.,Prudential
5,"""a great company""",5.0,good company with good payment and good reputation,may be very busy at sometimes,Prudential
6,"""Financial Advisor""",1.0,"Commission based - more you produce, more you get paid",On your own so you better be prepared,Prudential
7,"""Short review""",4.0,Great people to work with. Great benefits package.,Not enough guidance on company direction and strategy from senior management. Very limited career progression opportunities.,Prudential
8,"""Basic Review""",3.0,"Good benefits, flexibility, open architecture","Micromanagement, communication vs. expectations, compensation rates",Prudential
9,"""Satisfactory""",3.0,"To be part of a great Company who has turned Newark around. Great reputation, they are moral and ethical. Met some great people.","No work life balance, old management who have never experienced anything outside of Prudential. Older management needs to be retrained to keep up with the modern times.",Prudential
10,"""Analyst""",2.0,The work life balance is great. Other things are not as clear. PGIM is the crown jewel.,The office is in newaek but demands NYC skillset,Prudential
11,"""CLO Analyst""",4.0,Great work-life balance if you have kids or going back to school. Also help pay for school,Difficult to move from operations to investment roles.,Prudential
12,"""This Corporate Department is run by a maniac.""",1.0,Great people. Interesting business model.,"Horribly managed corporate division run by a maniac know-it-all who has a bunch of ""yes-men"" on the senior leadership team . He get's Prudential resources and sells a good story but cannot lead and cannot deliver. Waiting for his to explode.",Prudential
13,"""You must pay them  if you leave your job as an Advisor- rip off alert.""",1.0,I met some good people almost all have moved on to better jobs.,"Want to be an Advisor say no to this company, they send you an invoice after you leave. I am a 22 year veteran in the industry, I worked for this firm for 16 months the last 4-5 seeking a new situation. If you want to learn the business not here, if you have experience, do it anywhere but here. I produced, followed the rules, was promised management within 6 months with the kind of resume I had I was told that management would be an absolute in 6 months. The old bait and switch occurred, I got there and I produced as asked and exceeded the expectation, when I asked when would l I be moving to a managers role they changed the criteria and rules. I continued to produce and expand my practice. I trained every new person because the managers hire and abandon people, they have a ridiculous recruitment goal and no real incentive to develop their hires. I am mentoring/training people and continued producing very well. Despite the company mantra. “life pays the bills” meaning life insurance I was working on some life insurance and annuity cases but a lot of investment business which takes about 10 times longer to get done because they are not and will never be investment oriented as a firm. They only put in a CRM in 2016 because the DOL ruling forced their hand, they put in the most rudimentary version of Salesforce in place and expected all of us to stop production to enter clients, they could have hired data entry people for this at $12 an hour. This company has more ways to prevent you from doing business such as endless mandatory meetings, requests for data entry, endless training's in which they bring in someone who pontificates for 75 minutes and has not produced in years. Managers that are doing unscrupulous replacement of life insurance policies to produce commission for their hires and then they just stop that faucet flow after a few cases and leave them to call upon over worked brutalized clients that have had 5 Advisors in 3 years. Or they have them calling friends and family to buy insurance. Most of the managers that I met had so many issues/complaints on FINRA Broker Check you should never let them see your clients some even had assault and sexual assault reported on the criminal section of their FINRA File. Now here is the fun part, I decide I cannot work in the environment and I decide to leave, I am still producing because I have to get paid (this is all commission), I finally give notice and have smartly planned to have only $2800 left in my draw account. I am told that I would have to wait FOURTEEN WEEKS after my last day to receive my final paycheck. I am not happy but I wait, well 15 weeks go by and I call payroll to be told that I misunderstood, I will get a letter that is mailed after FOURTEEN WEEKS telling me what my paycheck would be and then I will get it on the next payroll date. I wait and the letter arrives 16 weeks after my last day. AND…. It tells me I owe Prudential $1958.22. There is a redacted statement explaining the inflow and charge backs for any advanced payment on commission that I had after I left the company. Funny thing is not one thing matched the spreadsheet that I produced for myself before I gave notice, not even close to the numbers I had, I called payroll and asked them if I sent them a blank piece of paper and it said, “send me $1958.22” would they send me a check? They said no, of course not, I asked them why they expected anyone to do just that? I had to ask four times for them to give me a deeper explanation and you would think they were giving me the launch codes for the nuclear arsenal. The information was still not enough to understand how I owed them money. I tried to reason with them and then I get a call from a law firm in Arizona trying to collect on me. So, my legal coverage at my new job is not fighting them for me, they also had to ask 7 times to get the contract they were reading because nowhere in the contract that I had did this little nugget appear and we still can’t find it because they refuse to send the document. So how do I owe them money and how did this happen? These slick managers call the clients tell them they have to see them, tell they that you left and they need new paper work signed. They get the cases assigned to… you guessed it some new hire that needs the commission to fulfill their obligation to get hired on contract. How do I know this? Someone that I am friends with in my old office was told this by a new hire who got other peoples cases. In my entire working life of over 35 years I have never ever been asked to pay for the privilege of working for a company. Especially a company that does not give me a paycheck, it is all commission, there is no expense reimbursement so all your gasoline, tolls and wear and tear on your car is your bill to carry. You can write it off however, you know that will never recoup all of the out of pocket. The benefits are so-so and expensive. In year two they throw you into a 1099 contract, you are entitled to benefits, 401(k) and they pay FICA but you are responsible for your own taxes. I saw 75-year-old agents still working there because they could not retire. Just the other day one of the young people that I mentored called me, he received a $300 invoice in the mail for his short 9 month stay at Prudential. They troll the internet, college campuses and job fairs, do not fall in the trap or you will go broke and owe them money in the end.",Prudential
14,"""Great Place to Work""",4.0,"Great culture, people, many opportunities","None, lower comp than other firms",Prudential
15,"""Financial Adviser Representative""",3.0,"Independent Contractor, Freedom with schedule.","Defined Income, lack of defined salary",Prudential
16,"""Mother Pru.  What's not to love?""",3.0,"Great benefits, flexibility to work from home and depending upon the group, most of the people are delightful.","Lack of communication by management and human resources, long hours, unrealistic work loads, and corporate greed.",Prudential
17,"""Good work life balance""",3.0,Good work life balance for sales people,None that I can think of at this time,Prudential
18,"""Good""",5.0,They are quite good at what they do,They are quite bad at other things,Prudential
19,"""Advisory""",5.0,"Work life balance is great! My manager and team are awesome, and the main reason why I love working here. There's a lot to know in this job but the fact that I can offer products and services from multiple companies (not just prudential) creates definite credibility with my clients.","Because there's so much information that has to be mastered to perform in this job, it can be challenging at times. Technology and products are changing constantly so you have to stay on top of that which can be time consuming. Also while some systems are new others are from a by gone era.",Prudential
20,"""all thumbs down""",1.0,absolutely nothing positive about this place,people strive to be mediocre office decor and management from 60s,Prudential
21,"""Marketing Associate""",4.0,Flex schedule & variety of responsibilities.,High turnover. People don't stay in for the long haul.,Prudential
22,"""Financial Services""",2.0,Income potential can be good,Commissions are limited. Captive agent can't sell what's best for the client.,Prudential
23,"""Associate Manager""",4.0,Fairness with regard to Human Resource issues. Opportunity for upward mobility.,A little too much travel for me.,Prudential
24,"""actuarial analyst""",5.0,Benefit package is decent and reasonable. Plenty of promotion opportunities if working hard. Training is good.,Work load could get very stressful depending on the team you belong to. Hard to find the right contact person from other building. No life for family if in the wrong team.,Prudential
25,"""They are winners""",5.0,Great management and flexibility. Plenty of opportunities for growth if you work hard.,Innovation is something that takes months to move forward. They hope to change with a new division,Prudential
26,"""I manage various projects through the organization""",5.0,They are very flexible and understanding while fostering an environment of growth. They have a lot of non monetary benefits which cater to individual and their families.,"Like most companies, politics and egos can get in the way of individual ideas. As a large company there are certain aspects which they are unorganized at but are working to resolve.",Prudential
27,"""Agent""",3.0,Great admin support and nice offices,Horrible commission structure for new agents,Prudential
28,"""Law Intern""",5.0,Attorneys made sure interns are trained and get interesting assignments. strongly recommend,nothing. i really enjoyed my experience interning at this company,Prudential
29,"""Financial Advisor""",4.0,Building of a business that is yours. It is extremely rewarding to know you've done a great service to your clients for their financial futures. Training is good.,"Ever since the Dodd-Frank bill compliance has been much more strenuous, time-consuming, and onerous. Our compliance people do a good job and keep you up with training but it is a drag on building your business. I feel it takes longer than it should to build the residuals required to really keep your business running through the ups and downs. You just need to be there when your clients need you.",Prudential
30,"""Opportunities for Growth""",4.0,Worked with Prudential Mortgage Capital Company. Was provided several opportunities to expand my skill above what I was originally hired to do. PMCC looks for opportunities to expand the skill set of its team members.,Top down driven organization that could benefit from grass roots input.,Prudential
31,"""Great company to work for!""",3.0,Own Schedule so must be self-motivated!,100% Commission So Must Work Hard!,Prudential
32,"""Excellent career potential""",4.0,The large corporate environment has a great deal of potententional. Managers are available to assist and maintain development. Flexible work arrangements and a commitment to improved quality of life generate a more devoted and happy workplace. Compensation is very comparable to the market.,"Movement can be slow at the corporate level, due to the large organizational structure. Because of the PTO policy, most staff come to work when sick rather than forfeiting a PTO day which combines sick & vacation days. Annual reviews are looked at as a task rather than as a process to improve the employee, or recognize a job well done.",Prudential
33,"""Analyst""",2.0,"Vacation, Tele commute, Start time, location, pension","Salary, leadership, level playing field, glass ceiling, and training",Prudential
34,"""Three-year analyst program provides good experience""",4.0,"1) The people are very smart and dedicated. Team members and others in the office are very supportive. 2) Exposure to a wide variety of people across the real estate industry. 3) The 3-year analyst program allows for planning for the future. After the program, it's ""up or out"" -- either get promoted or find another job/go to grad school. Staying on as a 4th year analyst is usually an option for good talent, but most find that option undesirable. 4) Real emphasis on getting work done, not just being in the office to demonstrate you are ""working hard"".","1) Working in a satellite office (San Francisco, HQs in New Jersey) means less face time with upper management. I felt this can inhibit advancing in the company. 2) You can only be promoted after three years -- but if there is no associate-level position available, then there is no possibility for advancement. 3) Work is done in silos - there is the transactions team and the asset management team. They keep work separate for the most part. There is little formal learning between the teams.",Prudential
35,"""Great company to work for""",5.0,"Respectful environment, fair compensation, good benefits",Can't think of any right now,Prudential
36,"""great company""",5.0,"-Everyone is very nice, friendly, wants you to succeed -Many opportunities for growth -Very diverse -Great cafeteria with reasonable prices -Security parking, buses between buildings and train station",-I can't think of any t the moment,Prudential
37,"""Individual goals unrealistic""",3.0,"Initial formal training program for disability claims examiners was very comprehensive and thorough. They offer opportunity for flexible schedules, including telecommuting on occasion.","Very aggressive and unattainable metrics, most examiners unable to meet, which means no chance for annual salary increase. Little to no opportunity for growth unless you want to relocate to New Jersey.",Prudential
38,"""Current employee not in the Actuarial Leadership Development Program.""",4.0,Great place to work and develop skills. Excellent benefits package. 401k and Cash Balance pension plan. People are amazing and manager actually cares.,"None really. Except if you work in actuarial and aren't in the Actuarial Leadership Development Program (ALDP). ALDP students work less hours, get more study time, get promoted just for passing exams (not for working hard), get bigger raises for exams than other students. Overall, they get paid more to do less, it's pretty pathetic. I'd take a student from the Consulting Actuarial Development Program (CADP) over the ALDP any day. CADP students are well rounded, can complete a project from start to finish (not just a small part, without understanding how it fits into the big picture), can present to peers as well as clients and they get paid less to do more.",Prudential
39,"""Great place to work""",5.0,"Excellent benefits, professional atmosphere. Helpful people and personal accountability.","Mostly big corporate stuff...Cliques, secrets, may sometimes feel like a machine cog. Chance at poor local management.",Prudential
40,"""Actuary""",4.0,Huge company with lots of opportunities for talents to move around. Great Work/life balance for actuaries,Like other old and stable companies changes are slow and large scale projects take forever. This cones with the scale.,Prudential
41,"""Good Company""",3.0,"Excellent benefits, professional atmosphere. Helpful people and personal accountability. Cons. Good work life balance (work from home ability, vacation time, on site daycare, etc)","Mostly big corporate stuff. Cliques, secrets, may sometimes feel like a machine cog, silo atmosphere at times. Chance at poor local management. A lot of outsourcing occurring over the last 5 years in all business segments (Individual Life, Group Insurance, Annuities).",Prudential
42,"""Very focused on consistent mgt practices""",3.0,Lots of very smart people,Not the most postiive company culture,Prudential
43,"""Waste of time""",3.0,"work at home, other employees","culture, management, outsourcing, apathetic leadership",Prudential
