,title,rating,pros,cons,company
0,"""Cashier""",4.0,It was okay. They pay every week &amp; are fairly lenient about off days,Can be difficult to move up the chain,Publix
1,"""Great place to work. You earn what you work for.""",4.0,Great hour flexibility and pay,"Managers show favoritism sometimes, at least at my store",Publix
2,"""Good College Job""",4.0,- Flexibility - Decent pay for a simple job - learn great customer servcie skillsets,- No creativity - Can feel like you are being micromanaged,Publix
3,"""Good customer service""",5.0,"Stock options, always get your hours, they don't lay anyone off","Working without a regular schedule, can't plan anything.",Publix
4,"""Gtl""",5.0,Friendly coworkers and rewarding days providing premiere service,Some upper management have lost there drive,Publix
5,"""They don’t care""",2.0,They’re great at pretending they’re a good company,Where do I even begin?,Publix
6,"""Great company to work for""",4.0,"Publix hires from within and never brings in managers from outside the company. Because of this it's easy for managers to relate to you, and help you become as successful as they have been.",Corporate is constantly putting more pressure on managers. Especially the ones being promoted to stores North of Georgia like the Carolinas. I've see great people work hard after getting promoted only to leave and find themselves happier somewhere else.,Publix
7,"""Alright, so..""",3.0,"If you have the right associates and managers around you, it’s an amazing place to work for! You can really connect with some customers, and Writing on customers cakes for their special occasions is my personal favorite!","Favoritism is big within management, associates like to talk about each other.. including management. Can’t really go to any managers about a problem because they don’t really care..",Publix
8,"""Publix Customer Service Associate""",5.0,"Flexibility, Benefits, Training &amp; Advancement",None At This Time.,Publix
9,"""There is no other place that I would rather be but there""",5.0,"Advancement opportunities, flexible schedule, coworkers are like family",Times of the days you work will not always consistent.,Publix
10,"""consulting engineer""",4.0,"benefits, stock, flexible hours, friendly",you get no discounts in the store,Publix
11,"""Where working is *sometimes* a pleasure""",4.0,Good pay and schedule flexibility,Inconsistency of management means you can have a great experience or and awful one,Publix
12,"""Working for Publix""",4.0,"Flexible with your schedule, free coupons every month, nice people to work with","Poor management, very little promotions, managers pick favorites",Publix
13,"""A good company slowly declining""",3.0,"Good coworkers, easy enough work, decent pay and benefits",Dress code needs updated. I think I heard recently they finally allowed workers to keep clean and maintained beards. Before that they only allowed a moustache. Upper management slowly stripping away extra perks like extra pay for working Sundays and holidays.,Publix
14,"""Good company""",3.0,Good place to work while you're in college.,"Unreliable coworkers, you get called in all the time if you're reliable, but they make sure they don't have to make you full time.",Publix
15,"""Work""",5.0,"Decent pay , stock, insurance , 401k, days off","No promotion, lot of work , favoritism , no help, early mornings , late night",Publix
16,"""Publix is a great opportunity for many""",5.0,"Great atmosphere. Management is great and always has your back incase of anything. You will be provided with great benefits if you become fulltime. Becoming fulltime with the company introduces you to a lot more opportunities and possibilities. Becoming a stockholder, moving in management, and having great 401k investment.",Can be hard to keep yourself from showing any genuine emotions but happy and kind though the job definitely makes it easy when your treated with respect.,Publix
17,"""NA NA NA""",5.0,great better best ever made,demeanor ethics logos pathos grief,Publix
18,""".""",4.0,"Good pay, flexible hours, training, most holidays off, breakroom",Depends on the managers you have,Publix
19,"""Not bad""",3.0,"Flexible hours, easy work, management could be very good","On your feet for hours at a time, have had bad management in the past, difficult to overachieve during performance reviews",Publix
20,"""Publix""",4.0,Great place to work part time as they are flexible,They lost their focus on the employees,Publix
21,"""Pretty good""",3.0,They give you a few shares of stock every year,"Poor communication, district people say one thing, region says something else ris says something else",Publix
22,"""Good place to work""",4.0,Flexibility and good company,Stressful work and no incentive to work harder because it means more work,Publix
