,title,rating,pros,cons,company
0,"""Could be better""",3.0,"Good Benefits, Nice Values, Nice Co workers, Nice Outings","No Flexibility, Micromanage, No room for growth.",Sysco
1,"""Great place to work""",5.0,Its Great pay &amp; steady work,Its a Lot of manual labor,Sysco
2,"""Typical corporate company.""",3.0,"great work/life balance, limitless income potential",Appreciation for good work is no longer celebrated. Focus is no longer on the art of selling,Sysco
3,"""Marketing Associate""",4.0,"Money, benefits, flexibility of schedule, great upper management","Customers will call 7 days a week and nights too, work life balance Transportation issues Meeting high demands from immediate manager and customers",Sysco
4,"""HR Specialist""",5.0,"Excellent benefits, competitive within the market","with the recent layoffs, lacks stability",Sysco
5,"""Analyst""",2.0,Flexible working hours and good size office,"no work life balance, pay is not that good",Sysco
6,"""Not worth it!!""",2.0,The people for the most part are good people.,Some management and up are not ethical human beings. Work Life Balance is horrible. Work 7 days a week and even if it is considered a holiday you still end up working.,Sysco
7,"""Sales""",3.0,"Continual training, good benefits. Lots of great food","Stop training people on the same products monthly, it’s a waste of time. Lots of useless computer work",Sysco
8,"""Great growing and proven leader in food service""",5.0,"Great pay, fast paced, challenging, ever changing, have the benefit of being at the forefront of food service products for our customers",Ever changing and fast paced (goes both ways),Sysco
9,"""Great team work""",4.0,Very good Pay and work schedule,The Warehouse can be difficult,Sysco
10,"""Sr Manager, supply chain""",4.0,stable company with lots of career opportunity,less competitive in the market,Sysco
11,"""Rebate Analyst""",2.0,401K is really good and PTO.,Do not pay well and there is no room to grow.,Sysco
12,"""Delivery Driver- Great if you can handle it.""",4.0,"As others have said good money and benefits. If you can go without a portion of money each quarter you can buy stock at a 15% discount and either save it for dividends or sell back later. Pretty much your own boss and as long as you do a good job keeping up with the work you will be mostly left alone. Get catered breakfasts and parties occasionally like Royals games, Worlds of Fun etc. Good job security as long as you are safe and reasonably keep up with the work you will be completely safe in you job.",You will work for those money/benefits. Think lifting 15000-25000lbs of product every day putting it on a two-wheeler and pushing it in a store. Turnover is fairly high as most people who try end up quitting because of workload; so during busy times you might have to go out and do extra or have extra added onto your route.,Sysco
13,"""hello mule/////sorry cheap mule""",1.0,good pay and good benefits,"pay differences a lot of management was hard to like... thats leaving out chris minnetelo,,,,,,",Sysco
14,"""Definite unapprective""",2.0,Benefits. Strong corporate benefit programs at fair expense,Unappective work environment. You are only as good as your manager allows. Hard to overcome if you are a nail that does not comply with overtime or submission to being being uneducated when you are,Sysco
15,"""To many meetings! Waste too much time talking about, and not doing""",3.0,Customers get what they order. Operations are good.,"Like I said, they love their meetings, and reports. Sales Force stinks!",Sysco
16,"""Night Warehouse Selector""",3.0,Lots of overtime pay and a great group of hourly employees Union,Graveyard shift 10-12 hours/day Swing shifts,Sysco
17,"""Pay good""",3.0,"Pay is great, union benefits",Long hours and not enough time spent at home,Sysco
18,"""Marketing Associate""",4.0,"Excellent training program, and support from the Sysco team.","No car allowance, and have tp pay for fuel out of pocket",Sysco
19,"""Senior Business Analyst""",4.0,Room to grow Nice people Relaxed environment Somewhat flexible work schedule,Ability to grow in responsibility but not salary (annual raise barely keeps up with inflation) Pay is less than at other large companies,Sysco
20,"""Great learning experience""",4.0,"Excellent benefits and vacation time, flexible schedule, great customers to work with","Very corporate minded, impersonal, stressful, 50+hours required per week",Sysco
21,"""Sales Executive""",3.0,"Vacation, trips, flexibility and benefits",Transportation for food often delayed,Sysco
22,"""MARKETING ASSOCIATE""",4.0,"Good Pay, Good Benefits","Tough Market, a lot of competition and very low margins. Work 7 days a week",Sysco
23,"""Payroll""",4.0,Great Company with decent benefits. Very Cultural.,Managment is not the best. Morale is not the greatest either.,Sysco
24,"""Best to be in Sales""",3.0,Decent pay for the area. Good benefits. All the basic perks of any job out there. A free turkey for Thanksgiving and ham for Christmas.,"No flex time. No childcare. Unless you are a sales associate, nothing you do is valued or acknowledged. Employees are not reprimanded for degrading or harassing other. Exorbitant amounts of money are spent on things of no value.",Sysco
25,"""Delivery driver""",1.0,earning potential is the only benefit,"long hours, unorganized routing, forced to disobey DOT regulations, poor loading of product causing having to waste time digging through pallets of product to find products for stops, forced to work and skip scheduled vacations, always called in on days off, management doesn't care about problems with routes or vehicles, used to have good benefits but they have done away with those, nobody in the company will care about you as a person except your fellow workers, you're just a number to management,",Sysco
26,"""Analyst""",1.0,"Team feel, people seem friendly.","High turnover, limited training (sink or swim attitude). Lower than average pay. They expect you to get there early and leave late and pay you WAY below market value. Many ambitious cut-throat people there that make working as a team challenging. Bad managers with seniority have carte blanche and are hurting the bottom line, decreasing morale and driving away top talent.",Sysco
27,"""Marketing Associate""",4.0,Company is well run. Great people and good sales training,Can be stressful. There are a lot of things you have to manage. It is hard to get away.,Sysco
28,"""Not great""",1.0,Cypress location provides 'close to home' work,"Work/life balance, salary, benefits, the job can be OK if you get the right manager",Sysco
29,"""Bigger is better""",4.0,Consistent work you work alone you're Your Own Boss,Hear other driver complain,Sysco
30,"""Job not a Career""",2.0,"Learn multiple skills, work with good people, paychecks do not bounce.","Not a place you can grow, management opportunities are limited, hourly employees do not get raises and very little overtime. If you want an 8-5 job and have no aspirations of ever doing any better financially than what you make on day 1, then this may be a good fit for you. Otherwise, its just a job until you find another one. Also, corporate leaders of the company have made it completely impossible to apply accountability to the employees due their minimum staff maximum effort philosophy. The only real rule inside an OPCO is hurry up. Safety and accountability take a back seat to production. Very stressful environment if you are in maintenance and have to clean up or fix everybody else's mess.",Sysco
31,"""Sysco""",2.0,Paycheck was good and on time,The supervisors are not nice,Sysco
32,"""Nice Job Destroy By Top Down Mistakes""",1.0,Picture of all the nice food that you never get eat because they charge you to eat it with big money.,Poor Pay vs Market Standards Not care about family Not clean building Bonus small Make move other side city! Bad Work Balance Employees treated like machine Personal space stripped from people make like people don’t matter! Terrible vacation amount No raise Super high stresses Rat wheel running never get place. Bad vibe No travel pay Just make company stock go higher. All that matter. Built on back of workers who never get noticed. Management never care about no one but them self and manager above them. They know all these problem and admit. Say they fix problem but not fix nothing! So lie now to people? This make better?,Sysco
33,"""Excellent company to work with""",5.0,Excellent company to work with Good management Good people A Real MNC,None that i can think of,Sysco
34,"""Sysco Foods""",4.0,"Pay, health insurance, decent time off","Lots of physical labor, long hours, unpredictable end time",Sysco
35,"""Great place to work, lots of initiatives""",4.0,Benefits and pay People Customers Large company,Opco and corporate not always aligned,Sysco
36,"""Long hours... Typical Management""",3.0,Good pay! Great co workers! Honestly about it though. Immediate supervisors were great!,Long overnight hours. Horrible upper management.,Sysco
37,"""Not a bad place to work""",3.0,"Flexible schedule, customer facing and fun team enviroment",Lots of things thrown at you in a weeks time for you to complete perfectly. Gets to be a little stressful at times but manageable,Sysco
38,"""Marketing Associate""",4.0,Good place to work with good upside.,Industry is changing causing lower commissions,Sysco
39,"""Not a great culture""",1.0,"Large company, growth opportunities if right people likes you",Advancement and movement within company depends too much on who knows who. A fortune 100 company that’s run like a mom and pop shop,Sysco
40,"""Delivery Driver""",3.0,"1st shift, benefits, and management",Too much physical labor for the amount of money paid. Should pay more and reduce work load.,Sysco
