,title,rating,pros,cons,company
0,"""Advanced Solutions Intern""",5.0,Excellent overall work environment companywide,Far from where I live,Tech Data
1,"""Techdata ASR""",4.0,Great people Learn valuable skill Help employees Great work enviroment,They overwork ASR’s They underpaid Workers,Tech Data
2,"""Let go after 25 + years""",4.0,"excelent pay and benefits, opurtunity to grow","recently shut down the MIAMI LC, very sad day for 40 + employees",Tech Data
3,"""Great Company""",5.0,Great company to work for,"Longevity is key, many people never leave so work gets stagnate",Tech Data
4,"""Great people to work with, training not so good""",4.0,"Bonuses, prizes from contests/raffles, amazing people to work with, great pay","Training is not always the best, they try to incorporate everyone into the new hire classes and only broadly focus on what they need to teach you which isn't always the correct information or most up to date information, some of the teams suck at responses or even providing correct information when requested.",Tech Data
5,"""Was recently laid off right after the end of the year.""",3.0,Had great team members and management. The cafe had a great food and unlimited vacation and sick time along with benefits were not bad.,Increase work load/more responsible but pay was not increased. Sometimes there was a show of favoritism to certain employees so sometimes hard work and dedication was not given to everyone.,Tech Data
6,"""Company is in cost savings mode""",2.0,Large global presence with offices in multiple locations. Ability to work with top level IT suppliers.,Company is in cost savings mode and continues to execute layoffs. Base starting pay has lowered over the years. Company is outsourcing multiple jobs outside of the United States. Not a lot of room for growth as a proffesional and very little management involvement.,Tech Data
7,"""Opportunity to grow skills for the market""",4.0,Management was open and receptive to new ideas,Very busy and a lot of issues to resolve with partnered vendors that are often out of your hands,Tech Data
8,"""A fun place to work""",5.0,"As long as goals are reasonable, quarterly bonuses can be achieved.",hitting goals can be a challenge because vendor budgets can fluctuate.,Tech Data
9,"""LEAVE""",1.0,Vendors give out free food and snacks,"Not a professional work environment. Super unhealthy emotional environment. This was my first real job out of college and boy did I make a bad decision. Extremely low pay for what you do and the management sucks. I was barley making 40k at Tech Data, I left the company and now make double for a similar role. Not to be rude but there are some odd characters work there. I was harassed by my team members and after multiple reports to management and HR, nothing was done. They will not promote you unless you have been there for at least 18 months and even then it is hard to get promoted.",Tech Data
