,title,rating,pros,cons,company
0,"""UTC / Finance review""",3.0,Pay and benefits are good. There's a lot of good people at this company.,Too many management changes at the business unit level. Too many layoffs... even in businesses that are performing well.,United Technologies
1,"""Big corporation""",5.0,"UTC is a huge corporation, but the business units have a lot of freedom in the way they operate. For this reason you may have totally different experience depending on the unit you work for. You need to learn how the corporation works and then you can accomplish a lot if you are ambitious.",Big global corporation. It is hard to hire new engineers in the USA. It is also easy to be lazy and imitate work.,United Technologies
2,"""Horrible company run by old white men""",1.0,sometimes you get a free lunch and the caf is onsite,"Company has too many org changes which cause the environment to be unstable. Awful health insurance and benefits. Low Salary range. Unrealistic expectations. Bureaucratic. Favoritism. Run by old white men who are stuck in their old ways and type with one finger. Horrible HR department who only look out for the company, not the employees. Horrible IT support. Takes days to get help if you have an issue with PC.",United Technologies
3,"""Inability to retain talent will lead company down a rough path in the future""",2.0,Stock is currently doing okay due to spin-offs and mergers.... but I imagine it will drop once investors realize the company is unable to retain talent.,"- Company culture is very much ""make stakeholders richer at the expense of employees."" - If your department isn't in the business of quick profits (ie. Fly-By-Wire), the company leaders don't really care if the department sinks. - Pretty average/meh benefits and compensation",United Technologies
4,"""Strong Company, Good Benefits, Enjoyable place to work""",4.0,"Competitive salary, good benefits, good company culture",Epitome of a corporate machine. Slow to change; more reactive than proactive,United Technologies
5,"""HORRIBLE PLACE !""",1.0,There are absolutely nothing good to say about this company!,"Horrible management, illegal and unethical business practices. Just to name a few.....!",United Technologies
6,"""Benefits better than other defense companies""",4.0,"Pay is great. Compared to other defense companies, UTC has overall better benefits.","As expected, the upper management is very old and very conservative. Hard to get the needed changes across.",United Technologies
7,"""Okay""",2.0,benefits people hours education breaks,management vision technology openness trust,United Technologies
8,"""Good but tumultuous""",4.0,Pay and benefits were good. Workplace was very safe and clean.,Lot of uncertainly due to all the M&amp;A activity.,United Technologies
9,"""Opportunities for Veterans are limited""",1.0,Well known and established company,There is no chance for veterans with leadership experiences and qualities to even get an interview for any leadership or management positions within the company.,United Technologies
10,"""Engineer""",2.0,"It’s a job, it’s a paycheck. Can’t say much more","Really bad health care / dental. Premiums are about the same as getting your own private insurance. Very little social type events (they eliminate most, including the Christmas dance/social/dinner). Not much room for advancement.",United Technologies
11,"""Work Environment""",3.0,Good work environment with experienced people,No job security and remote location,United Technologies
12,"""Decent company to work for""",4.0,"Good benefits including tuition reimbursement, 401k, vacation",A typical large company with processes and bureaucracy,United Technologies
13,"""Good Employee Focus for a Big Corporation""",4.0,"Education program, although benefits have been reduced in past 10 years or so",It is a huge company,United Technologies
14,"""Put coils on AC Units""",4.0,"Good pay, medium To fast pace",Only 6 mos out of a year,United Technologies
15,"""Good company to work""",3.0,Lay back environment and work from home opportunity,Pay and health insurance is not that great,United Technologies
16,"""Union work""",2.0,union work more activities needed,no growth and no career advancement,United Technologies
17,"""Old school culture, lack of desire to change""",2.0,- Good vacation benefits - Somewhat flexible in getting work you want to do - Masters degree paid for,"- Many people just move work around to avoid having to do it - Slow pace - Very bureaucratic - Leadership and management isn't interested in making forward looking investments in digital technology. They view it as a reactive measure where something should only be fixed or updated after an issue has arisen - Other parts of the company, like ops or engineering, treats digital technology as contractors instead of partners",United Technologies
18,"""No clear direction for this company""",1.0,The dumbo office has a nice view,"Leadership in the cloud security department is completely unqualified to develop and maintain a clear strategy with objectives and goals; no stability, after I was hired 2 of the 4 departments were sold (recently to a weapons manufacturer); Project Managers outnumber engineers and architects; contractors are never “part of the team” and are made to feel unwelcome.",United Technologies
19,"""Not the best""",2.0,High Pay for professionals who have an education,Bureaucratic and ineffective with almost all HR programs,United Technologies
20,"""Strategic Planning""",5.0,Great place to work; would recommend,Position moved out of state,United Technologies
21,"""Good Company""",5.0,"Benefits, Hours, People, Assignments, Exposure",Some locations in the rotation are not as good as others,United Technologies
22,"""Good job, could be more challenging and pay more""",4.0,"Laid back, balanced work, good culture",Could be more interesting,United Technologies
23,"""Decent company to work for, for sure has good and not so good aspects""",3.0,"Pay is decent for the area. Really good tuition reimbursement program for college. Steady hours, with a lot of overtime.","Insurance is very expensive with very limited coverage. Ability to advance is very limited if your good at a ""money making"" job.",United Technologies
24,"""The company is wonderful in terms of it's people, benefits, and technology offerings.""",5.0,"Benefits, People, Knowledge, Opportunities, Inclusion, Diversity","Communication, Assistance, Hours, Acknowledgement, Guidance",United Technologies
25,"""Great progress...more to come""",5.0,Positive culture change is underway by a committed senior leadership team,You must be comfortable with lots of change,United Technologies
