,title,rating,pros,cons,company
0,"""Good, Fun Experience All Around""",5.0,"Friendly environment, great driver. Got to meet nice customers who really value the service.","During the peak season, there are a lot of stops, and so many parcels that it can be physically taxing if unprepared.",UPS
1,"""Great pay with much physical work.""",4.0,There was overtime after 5 hours of working!,Physical strain on your body.,UPS
2,"""Good company""",4.0,Great company to work for with room for growth if you’re willing to work,Schedule is terrible (have to work either super early mornings or late nights),UPS
3,"""Great company to work for.""",4.0,The pay and benefits. The union makes this a great company to work for.,Not enough full time positions.,UPS
4,"""Seasonal Driver Helper""",5.0,Timely pay check every week.,Must meet driver at NYC location promptly upon getting daily assignment,UPS
5,"""UPS: Zipping Forward""",5.0,UPS builds Internal/ Community Partnerships,Environmental Hazards on building Sites,UPS
6,"""Great for students""",4.0,Tuition reimbursement Early hours available Union Benefits after 1 year for part-time Overtime after 5 hours/day,Workload can be excessive during holidays,UPS
7,"""supervisor""",5.0,Pay and benefits for part-time employees,available hours until you become a full-time employee,UPS
8,"""our own little clique""",5.0,benefits co worker were great to work with,no time off at Christmas,UPS
9,"""Not sure what this means""",5.0,Great place to work. Spent 34 years with them in IT.,"None at all. Great environment, Benifits, pension, work/life balance, job security",UPS
10,"""Not sure what this means""",5.0,Great place to work. Spent 34 years with them in IT.,"None at all. Great environment, Benifits, pension, work/life balance, job security",UPS
11,"""Honest work""",5.0,Honest hard work. Couldn't be a better job once you are used to the hours.,"Hard work, not an issue on my part but but the job is really not for everybody.",UPS
12,"""One of the Best I’ve Had...Had a Lot""",4.0,"The people are super friendly easy to work with and the training is mostly done in the field. Their benefits packages are the best at minimum to no cost. Pay is decent but the work can get physically hard. However, that helped me sleep at night.",I didn’t work there for long but can’t really think of any...,UPS
13,"""Great Company""",4.0,"Short hours, great for students or a second job. Great benefits",It's hard work and supervisors will pick favorites and won't do anything.,UPS
14,"""Was fun to see how they do it.""",5.0,Got to meet some friendly people.,Never had a set schedule,UPS
15,"""Work""",5.0,Steady work consistent challenging work,Need to hydrate need to bring lunch,UPS
