,title,rating,pros,cons,company
0,great work opportunities and growth within the company,5.0,walmart is very good at being flexible with ones work schedule especially if you are a student full time.,i dont have anything negative to say about walmart.,Walmart
1,great people,5.0,loves the employees and customers,none i can think of,Walmart
2,hard work good company,4.0,fair compensation for work performed,lack of daily personnel resources,Walmart
3,its fine,4.0,some of the people are great. environment was pretty laid back.,its walmart. pay wasnt great.,Walmart
4,loved it,4.0,great company raises every 6 months competitive wages management does care about their workers,benefits i thought were not so great for such a big company they could be a lot better,Walmart
5,auditor,4.0,good place to work,they can do better with the pay rate,Walmart
6,deli and homelines associate,4.0,great people to work with,management doesnt seem to care about associate.,Walmart
7,it was great place to work.,5.0,i met new people and got to help them.,i honestly dont have any cons,Walmart
8,great job to work at,5.0,you get to meet new people and help others,great at what they do,Walmart
9,bad,5.0,customer  csm benefits area,management  pay schedule,Walmart
10,good company,5.0,good company love the bound we get,some people cant mind there own business,Walmart
11,great management,5.0,supportive management and fellow employees,couldnt get enough part time hours,Walmart
12,i love working there it good to be there helping out other.,5.0,bakery i love that part,gotta finish the job and go home,Walmart
13,good job,5.0,fair breaks friendly coworkers time goes by quick,heavy lifting fast paced sometimes bad management,Walmart
14,good pay,5.0,good pay pto hours quarterly bonuses,cutting hours no advancement in positions,Walmart
15,great corporation,4.0,friendly people who seem to care about what theyre doing.,not the best pay but not the worst for part time.,Walmart
16,walmart,4.0,very flexible with your schedule,calling out sick cost you points,Walmart
17,unloading organizing merchandise auditing merchandise ensuring necessary stock goes out every night.,4.0,fast pace hands on experience,minimumn wage not many opportunities for growth,Walmart
18,alright for a temp. summer job,4.0,needed work between semesters at college amp got hired pretty quickly,not the most exciting job,Walmart
19,manage department,4.0,good work environment. i like it.,pay scale not good. they should increase the hourly rate,Walmart
20,manager,5.0,good pay and alot of st uff ff,over worked food and atiff,Walmart
21,it was great place to work.,5.0,i met new people and got to help them.,i honestly dont have any cons,Walmart
22,great job to work at,5.0,you get to meet new people and help others,great at what they do,Walmart
23,bad,5.0,customer  csm benefits area,management  pay schedule,Walmart
24,family of employees,5.0,great people to work with,policies and recommendations from corporate,Walmart
25,hourly cashier 7 months at brier creek raleigh nc liked it,4.0,i heard there is a lot of variance between stores. my store was one of the better ones brier creek shopping center raleigh nc. 7 months there. i liked it. management was reasonable and cashiering was fun and easy. i left because i got another higher paying job after 7 months.,they didnt give always allow me time to work on my pathways coursework even when the front end was slow they wouldnt let me go back to work on it always. so it took me 7 months rather than 6 before they allowed me to finish pathways and progress in salary.,Walmart
26,working for walmart is exhilarating. all of my coworkers were friendly and supportive.  great and flexible hours.,4.0,easy commute and relaxed environment.,the federal way wa location was very inflexible in versatility in contrast.,Walmart
27,dm,4.0,benefits consistent schedule career opportunities,the way management speaks to you pay lazy associates,Walmart
28,great,5.0,walmart has great benefits to offer,not being able to stop a customer from stealing sometimes,Walmart
29,good can be better,4.0,chill especially if you are from the high tension valley,nothing to do in town  slow company,Walmart
30,walmart,5.0,stock purchase plan paid time off,none i was at brand new store,Walmart
31,staff helps with everything.,5.0,everything your looking for you can find it here,should something is missing they can direct where it might be at,Walmart
32,fun job and great coworkers.,4.0,great team benefits are great opportunity to move around departments.,managers seem to be trained in methods of being unpleasant lack people skills to motivate and retain any level of talent.,Walmart
33,great company to shop and work at,4.0,great pay a lot of benefits,work overloading always busy always working,Walmart
34,its retail,4.0,great benefits 401k profit sharing moveability and advancement if you are willing to work hard.,its retail... your going to work long hours just as you work if you where a manager in just about any other customer base job. we would all love a more work life balance.,Walmart
35,great first job.,4.0,paid well wasnt too difficult and worked around school.,a few mistakes with scheduling system interfered with school activities break time was listed incorrectly in the scheduling system and led to most of the employees not knowing that they were taking longer lunch breaks than they should have.,Walmart
